,Concept_ID,ja,zh
0,Auge::N,目,眼睛
1,Ohr::N,耳,耳朵
2,Nase::N,鼻,鼻子
3,Mund::N,口,嘴
4,Zahn::N,歯,牙齿
5,Zunge::N,舌,舌头
6,Lippe::N,唇,嘴唇
7,Wange::N,頬,面颊
8,Gesicht::N,顔,脸
9,Stirn::N,額,额
10,Haar::N,髪,头发
11,Schnurrbart::N,口髭,髭须
12,Bart::N,髭,胡子
13,Kinn::N,顎,下巴
14,Kiefer[Anatomie]::N,顎,颌
15,Kehle::N,喉,嗓子
16,Hals::N,首,颈
17,Genick::N,首,后颈
18,Kopf::N,頭,头
19,Rücken::N,背中,背
20,Bauch::N,腹,肚子
21,Bauch::N,お腹,肚子
22,Nabel::N,へそ,肚脐
23,Busen::N,乳房,胸脯
24,Brust::N,胸,胸
25,Schulter::N,肩,肩膀
26,Arm::N,腕,臂膀
27,Ellenbogen::N,肘,肘
28,Hand::N,手,手
29,Handfläche::N,手のひら,手掌
30,Finger::N,指,手指
31,Fingernagel::N,爪,指甲
32,Nagel[Anatomie]::N,爪,指甲
33,Zeh::N,足の指,脚趾
34,Fuß::N,足,脚
35,Ferse::N,かかと,后跟
36,Knie::N,膝,膝
37,Oberschenkel::N,上腿,大腿
38,Bein::N,足,腿
39,Körper::N,体,身体
40,Haut::N,皮膚,皮肤
41,Blut::N,血,血
42,Ader::N,血管,血管
43,Sehne::N,腱,腱
44,Knochen::N,骨,骨
45,Gehirn::N,脳,脑
46,Herz::N,心,心
47,Herz::N,心臓,心
48,Magen::N,胃,胃
49,Leber::N,肝臓,肝
50,Atem::N,息,呼吸
51,Atem::N,呼吸,呼吸
52,Hunger::N,空腹,饿
53,Träne::N,涙,眼泪
54,Geschmack::N,味,味道
55,Geruch::N,匂い,气味
56,Schlaf::N,睡眠,睡眠
57,Traum::N,夢,梦
58,Himmel::N,空,天空
59,Sonne::N,太陽,太阳
60,Mond::N,月,月亮
61,Stern::N,星,星
62,Luft::N,空気,空气
63,Wind::N,風,风
64,Welle::N,波,波
65,Wasser::N,水,水
66,Stein::N,石,石头
67,Boden::N,土地,地面
68,Erde::N,土,地
69,Staub::N,埃,灰尘
70,Rauch::N,煙,烟
71,Funke::N,火花,火花
72,Feuer::N,火,火
73,Licht::N,光,光
74,Schatten::N,陰,影子
75,Wetter::N,天気,天气
76,Nebel::N,霧,雾
77,Wolke::N,雲,云
78,Regen::N,雨,雨
79,Schnee::N,雪,雪
80,Eis::N,氷,冰
81,Frost::N,霜,霜冻
82,Kälte::N,寒さ,寒冷
83,Hitze::N,暑さ,炎热
84,Raureif::N,霧氷,霜
85,Regenbogen::N,虹,虹
86,Donner::N,雷,雷
87,Strömung::N,流れ,水流
88,Tropfen::N,滴,滴
89,Schaum::N,泡,泡沫
90,Schmutz::N,汚れ,赃物
91,See::N,湖,湖
92,Sumpf::N,沼,沼泽
93,Moor::N,湿原,沼泽
94,Wiese::N,草原,草地
95,Wald::N,森,森林
96,Hügel::N,丘,丘陵
97,Anhöhe::N,高み,山丘
98,Berg::N,山,山
99,Gipfel::N,頂上,峰
100,Höhle::N,洞窟,洞穴
101,Abhang::N,斜面,斜坡
102,Quelle::N,泉,泉
103,Bach::N,小川,溪
104,Fluss::N,川,河流
105,Ufer::N,岸,岸
106,Küste::N,海岸,海岸
107,Festland::N,陸,大陆
108,Meer::N,海,海
109,Bucht::N,湾,海湾
110,Insel::N,島,岛
111,Blume::N,花,花
112,Gras::N,草,草
113,Wurzel::N,根,根
114,Baum::N,木,树
115,Stamm::N,幹,树干
116,Rinde::N,皮層,树皮
117,Ast::N,枝,树枝
118,Zweig::N,小枝,树枝
119,Blatt::N,葉,叶子
120,Birke::N,樺,桦木
121,Kiefer[Baum]::N,松,松树
122,Weide[Baum]::N,柳,柳树
123,Tanne::N,樅,冷杉
124,Horn::N,角,角
125,Feder::N,羽根,羽毛
126,Fell::N,毛皮,皮毛
127,Flügel::N,羽,翅膀
128,Klaue::N,鉤爪,爪子
129,Kralle::N,爪,爪子
130,Schwanz::N,尻尾,尾巴
131,Ei::N,卵,蛋
132,Nest::N,巣,巢
133,Bau::N,穴,穴
134,Tier::N,動物,动物
135,Herde::N,群れ,群
136,Kuh::N,牛,母牛
137,Bulle::N,雄牛,公牛
