,Concept_ID,eu,tt
0,Auge::N,begi,күз
1,Ohr::N,belarri,колак
2,Nase::N,sudur,борын
3,Mund::N,aho,авыз
4,Mund::N,aho,тамак
5,Zahn::N,hortz,теш
6,Zunge::N,mihi,тел
7,Lippe::N,ezpain,ирен
8,Wange::N,masail,яңак
9,Gesicht::N,aurpegi,йөз
10,Stirn::N,bekoki,маңгай
11,Haar::N,ile,чәч
12,Haar::N,bilo,чәч
13,Schnurrbart::N,bibote,мыек
14,Schnurrbart::N,sudurpeko,мыек
15,Bart::N,bizar,сакал
16,Kinn::N,kokots,ияк
17,Kiefer[Anatomie]::N,masailezur,казналык
18,Kehle::N,eztarri,тамак
19,Hals::N,sama,бугаз
20,Genick::N,garondo,җилкә
21,Kopf::N,buru,баш
22,Rücken::N,bizkar,сырт
23,Bauch::N,sabel,корсак
24,Nabel::N,zilbor,кендек
25,Busen::N,titi,түш
26,Busen::N,ugatz,түш
27,Brust::N,bular,имчәк
28,Brust::N,bular,күкрәк
29,Schulter::N,besaburu,иңбаш
30,Schulter::N,besaburu,кулбаш
31,Arm::N,beso,кул
32,Ellenbogen::N,ukondo,терсәк
33,Hand::N,esku,кул
34,Handfläche::N,ahur,уч
35,Finger::N,hatz,бармак
36,Fingernagel::N,azazkal,тырнак
37,Nagel[Anatomie]::N,azazkal,тырнак
38,Zeh::N,behatz,бармак
39,Fuß::N,oin,табан
40,Ferse::N,orpo,үкчә
41,Ferse::N,oinburu,үкчә
42,Knie::N,belaun,тез
43,Oberschenkel::N,izter,бот
44,Bein::N,zango,аяк
45,Körper::N,soin,тән
46,Körper::N,soin,җисем
47,Haut::N,azal,тире
48,Blut::N,odol,кан
49,Ader::N,zain,тамыр
50,Sehne::N,gihar-zain,сеңер
51,Knochen::N,hezur,сөяк
52,Gehirn::N,garun,ми
53,Gehirn::N,burmuin,ми
54,Herz::N,bihotz,йөрәк
55,Magen::N,urdail,ашказаны
56,Leber::N,gibel,бавыр
57,Atem::N,hats,сулыш
58,Atem::N,arnasa,сулыш
59,Hunger::N,gose,ачлык
60,Träne::N,malko,яшь
61,Geschmack::N,dasta,тәм
62,Geschmack::N,dasta,зәвык
63,Geruch::N,usain,ис
64,Schlaf::N,lo,йокы
65,Traum::N,amets,төш
66,Himmel::N,zeru,күк
67,Sonne::N,eguzki,кояш
68,Mond::N,ilargi,ай
69,Stern::N,izar,йолдыз
70,Luft::N,aire,һава
71,Wind::N,haize,җил
72,Welle::N,uhin,дулкын
73,Welle::N,olatu,дулкын
74,Wasser::N,ur,су
75,Stein::N,harri,таш
76,Boden::N,lur,туфрак
77,Boden::N,zoru,туфрак
78,Erde::N,lur,җир
79,Staub::N,hauts,тузан
80,Rauch::N,ke,төтен
81,Funke::N,zirta,очкын
82,Funke::N,txinparta,очкын
83,Feuer::N,su,ут
84,Licht::N,argi,якты
85,Schatten::N,itzal,күләгә
86,Schatten::N,geriza,күләгә
87,Wetter::N,eguraldi,һава
88,Nebel::N,laino,томан
89,Wolke::N,hodei,болыт
90,Regen::N,euri,яңгыр
91,Schnee::N,elur,кар
92,Eis::N,horma,боз
93,Frost::N,izotzaldi,суык
94,Frost::N,izotzaldi,салкын
95,Kälte::N,hotz,суык
96,Kälte::N,hotz,салкын
97,Hitze::N,bero,эсселек
98,Raureif::N,antzigar,бәс
99,Raureif::N,antzigar,сыкы
100,Regenbogen::N,ostadar,салават күпере
101,Regenbogen::N,ortzadar,салават күпере
