,Concept_ID,av,no
0,Ohr::N,гӏин,øre
1,Nase::N,мегӏер,nese
2,Mund::N,кӏал,munn
3,Zahn::N,гӏус,tann
4,Zunge::N,мацӏ,tunge
5,Lippe::N,кӏветӏ,leppe
6,Wange::N,гӏоно,kinn
7,Gesicht::N,гьумер,fjes
8,Gesicht::N,гьумер,ansikt
9,Stirn::N,нодо,panne
10,Haar::N,рас,hår
11,Schnurrbart::N,михъ,bart
12,Bart::N,мегеж,skjegg
13,Kinn::N,нилъу,hake
14,Kiefer[Anatomie]::N,чанагъ,kjeve
15,Kehle::N,щекъер,strupe
16,Hals::N,габур,hals
17,Genick::N,гъванща,nakke
18,Kopf::N,бетӏер,hode
19,Rücken::N,мугъ,rygg
20,Bauch::N,чехь,buk
21,Bauch::N,чехь,mage
22,Nabel::N,цӏину,navle
23,Busen::N,керен,barm
24,Brust::N,керен,bryst
25,Schulter::N,гъажазубетӏер,skulder
26,Arm::N,гъеж,arm
27,Ellenbogen::N,гӏункӏрукь,albue
28,Hand::N,квер,hånd
29,Handfläche::N,огъохъат,håndflate
30,Handfläche::N,жанисахъат,håndflate
31,Finger::N,килищ,finger
32,Fingernagel::N,малъ,fingernegl
33,Nagel[Anatomie]::N,малъ,negl
34,Zeh::N,килищ,tå
35,Fuß::N,хӏетӏ,fot
36,Fuß::N,хӏетӏе,fot
37,Ferse::N,эгъе,hæl
38,Knie::N,наку,kne
39,Oberschenkel::N,мачӏ,lår
40,Bein::N,бох,bein
41,Körper::N,къаркъала,kropp
42,Körper::N,къаркъала,legeme
43,Haut::N,тӏом,hud
44,Haut::N,тӏом,skinn
45,Blut::N,би,blod
46,Ader::N,бидурихь,åre
47,Knochen::N,ракьа,bein
48,Knochen::N,ракьа,knokkel
49,Gehirn::N,гӏадалнах,hjerne
50,Herz::N,ракӏ,hjerte
51,Magen::N,кванирукъ,mage
52,Leber::N,тӏул,lever
53,Atem::N,хӏухь,pust
54,Hunger::N,ракъи,sult
55,Träne::N,магӏу,tåre
56,Geschmack::N,тату,smak
57,Geruch::N,махӏ,lukt
58,Schlaf::N,макьу,søvn
59,Traum::N,макьу,drøm
60,Himmel::N,зоб,himmel
61,Sonne::N,бакъ,sol
62,Mond::N,моцӏ,måne
63,Stern::N,цӏва,stjerne
64,Luft::N,гьава,luft
65,Wind::N,гьури,vind
66,Welle::N,карачел,bølge
67,Wasser::N,лъим,vann
