,Concept_ID,av,br
0,Ohr::N,гӏин,skouarn
1,Nase::N,мегӏер,fri
2,Mund::N,кӏал,genoù
3,Zahn::N,гӏус,dant
4,Zunge::N,мацӏ,teod
5,Lippe::N,кӏветӏ,muzell
6,Wange::N,гӏоно,chot
7,Gesicht::N,гьумер,dremm
8,Stirn::N,нодо,tal
9,Haar::N,рас,blev
10,Schnurrbart::N,михъ,mourenn
11,Bart::N,мегеж,barv
12,Kinn::N,нилъу,groñj
13,Kiefer[Anatomie]::N,чанагъ,javed
14,Kehle::N,щекъер,gouzoug
15,Hals::N,габур,gouzoug
16,Genick::N,гъванща,choug
17,Kopf::N,бетӏер,penn
18,Rücken::N,мугъ,kein
19,Bauch::N,чехь,kof
20,Nabel::N,цӏину,begel
21,Busen::N,керен,bronn
22,Brust::N,керен,bruched
23,Schulter::N,гъажазубетӏер,skoaz
24,Arm::N,гъеж,brec'h
25,Ellenbogen::N,гӏункӏрукь,ilin
26,Hand::N,квер,dorn
27,Handfläche::N,огъохъат,palv
28,Handfläche::N,жанисахъат,palv
29,Finger::N,килищ,biz
30,Fingernagel::N,малъ,ivin
31,Nagel[Anatomie]::N,малъ,ivin
32,Zeh::N,килищ,biz-troad
33,Fuß::N,хӏетӏ,troad
34,Fuß::N,хӏетӏе,troad
35,Ferse::N,эгъе,seul
36,Knie::N,наку,glin
37,Oberschenkel::N,мачӏ,morzhed
38,Bein::N,бох,gar
39,Körper::N,къаркъала,korf
40,Haut::N,тӏом,kroc'hen
41,Blut::N,би,gwad
42,Ader::N,бидурихь,gwazhi
43,Knochen::N,ракьа,askorn
44,Gehirn::N,гӏадалнах,empenn
45,Herz::N,ракӏ,kalon
46,Magen::N,кванирукъ,stomog
47,Leber::N,тӏул,avu
48,Atem::N,хӏухь,anal
49,Hunger::N,ракъи,naon
50,Träne::N,магӏу,daer
51,Geschmack::N,тату,blaz
52,Geruch::N,махӏ,c'hwezh
53,Schlaf::N,макьу,kousked
54,Traum::N,макьу,hune
55,Himmel::N,зоб,oabl
56,Sonne::N,бакъ,heol
57,Mond::N,моцӏ,loar
58,Stern::N,цӏва,steredenn
59,Luft::N,гьава,aer
60,Wind::N,гьури,avel
61,Welle::N,карачел,houlenn
62,Wasser::N,лъим,dour
63,Stein::N,гьецӏо,maen
64,Boden::N,ракь,tachenn
65,Erde::N,ракь,douar
66,Erde::N,дуниял,douar
67,Staub::N,хӏур,poultr
68,Rauch::N,кӏкӏуй,moged
69,Feuer::N,цӏа,tan
70,Licht::N,канлъи,gouloù
71,Schatten::N,рагӏад,disheol
72,Wetter::N,гьава-бакъ,amzer
73,Nebel::N,гӏодобнакӏкӏ,brumenn
74,Wolke::N,накӏкӏ,koumoulenn
75,Regen::N,цӏад,glav
76,Schnee::N,гӏазу,erc'h
77,Eis::N,цӏер,skorn
78,Frost::N,замгьари,rev
79,Kälte::N,квач,yen
80,Hitze::N,багӏари,tommder
81,Raureif::N,мартӏ,frim
82,Regenbogen::N,нур,gwareg-ar-glav
83,Regenbogen::N,чамбара,gwareg-ar-glav
84,Donner::N,гъугъай,kurun
85,Donner::N,гъугъади,kurun
86,Strömung::N,чвахи,red
87,Tropfen::N,резел,bannac'h
88,Tropfen::N,резел,takenn
89,Tropfen::N,тӏинкӏ,bannac'h
90,Tropfen::N,тӏинкӏ,takenn
91,Tropfen::N,къатӏра,bannac'h
92,Tropfen::N,къатӏра,takenn
93,Tropfen::N,тӏенкӏел,bannac'h
94,Tropfen::N,тӏенкӏел,takenn
95,Schaum::N,полоп,spoum
96,Schmutz::N,чороклъи,fank
97,See::N,хӏор,lenn
98,Sumpf::N,хьуцӏ,gwern
99,Wiese::N,мегъ,prad
100,Wiese::N,гӏурдаллъи,prad
101,Wald::N,рохь,koad
102,Hügel::N,гохӏ,torgenn
103,Anhöhe::N,сийитма,run
104,Berg::N,мегӏер,menez
105,Gipfel::N,тӏогь,barr
106,Höhle::N,нохъо,kav
107,Abhang::N,лабаллъи,naou
108,Quelle::N,ицц,feunteun
109,Bach::N,лъар,gwazh
110,Fluss::N,гӏор,stêr
111,Ufer::N,рагӏал,ribl
112,Küste::N,рагӏал,aod
113,Festland::N,ракь,douar
114,Festland::N,ракъдаллъи,douar
115,Meer::N,ралъад,mor
116,Bucht::N,кӏветӏ,mor-bihan
117,Insel::N,чӏинкӏиллъи,enez
118,Blume::N,тӏегь,bleunienn
119,Gras::N,хер,geot
120,Wurzel::N,кьибил,gwrizienn
121,Baum::N,гъветӏ,gwezenn
122,Stamm::N,рохти,kef
123,Rinde::N,макъар,rusk
124,Ast::N,ноцӏ,barr
125,Zweig::N,гӏаркьел,bod
126,Blatt::N,тӏамах,delienn
127,Birke::N,мах,bezvenn
128,Birke::N,махигъветӏ,bezvenn
129,Kiefer[Baum]::N,накӏкӏигъветӏ,pinenn
130,Weide[Baum]::N,рицӏцӏ,halegenn
131,Weide[Baum]::N,рицӏцӏигъветӏ,halegenn
132,Tanne::N,ёлка,sapenn
133,Horn::N,лълъар,korn
134,Feder::N,хӏули,pluñv
135,Fell::N,тӏом,kreoñ
136,Fell::N,цӏоко,kreoñ
137,Flügel::N,кваркьи,askell
138,Klaue::N,галъ,skilf
139,Kralle::N,квачӏ,skilf
140,Kralle::N,катиквачӏ,skilf
141,Schwanz::N,рачӏ,lost
142,Ei::N,хоно,vi
143,Nest::N,бусен,neizh
144,Bau::N,каратӏ,douarenn
145,Tier::N,хӏайван,loen
146,Herde::N,рехъен,tropell
147,Herde::N,рехъед,tropell
