,Concept_ID,sq,ja
0,Auge::N,sy,目
1,Ohr::N,vesh,耳
2,Nase::N,hundë,鼻
3,Mund::N,gojë,口
4,Zahn::N,dhëmb,歯
5,Zunge::N,gjuhë,舌
6,Lippe::N,buzë,唇
7,Wange::N,faqe,頬
8,Wange::N,mollëz,頬
9,Gesicht::N,fytyrë,顔
10,Stirn::N,ballë,額
11,Haar::N,flokë,髪
12,Schnurrbart::N,mustaqe,口髭
13,Bart::N,mjekër,髭
14,Kinn::N,mjekër,顎
15,Kiefer[Anatomie]::N,nofull,顎
16,Kehle::N,fyt,喉
17,Kehle::N,grykë,喉
18,Hals::N,qafë,首
19,Genick::N,arrëz,首
20,Kopf::N,kokë,頭
21,Rücken::N,kurriz,背中
22,Bauch::N,bark,腹
23,Bauch::N,bark,お腹
24,Nabel::N,kërthizë,へそ
25,Busen::N,gji,乳房
26,Brust::N,gjoks,胸
27,Brust::N,kraharor,胸
28,Schulter::N,sup,肩
29,Schulter::N,krah,肩
30,Arm::N,krah,腕
31,Ellenbogen::N,bërryl,肘
32,Hand::N,dorë,手
33,Handfläche::N,pëllëmbë,手のひら
34,Finger::N,gisht,指
35,Fingernagel::N,thua,爪
36,Nagel[Anatomie]::N,thua,爪
37,Zeh::N,gisht i këmbës,足の指
38,Fuß::N,këmbë,足
39,Ferse::N,thembër,かかと
40,Knie::N,gju,膝
41,Oberschenkel::N,kofshë,上腿
42,Bein::N,këmbë,足
43,Körper::N,trup,体
44,Haut::N,lëkurë,皮膚
45,Blut::N,gjak,血
46,Ader::N,venë,血管
47,Sehne::N,dell,腱
48,Knochen::N,asht,骨
49,Knochen::N,kockë,骨
50,Gehirn::N,tru,脳
51,Herz::N,zemër,心
52,Herz::N,zemër,心臓
53,Magen::N,stomak,胃
54,Leber::N,mëlçi,肝臓
55,Atem::N,frymë,息
56,Atem::N,frymë,呼吸
57,Hunger::N,uri,空腹
58,Träne::N,lot,涙
59,Geschmack::N,shije,味
60,Geruch::N,erë,匂い
61,Schlaf::N,gjumë,睡眠
62,Traum::N,ëndërr,夢
63,Himmel::N,qiell,空
64,Sonne::N,diell,太陽
65,Mond::N,hënë,月
66,Stern::N,yll,星
67,Luft::N,ajër,空気
68,Wind::N,erë,風
69,Welle::N,valë,波
70,Welle::N,dallgë,波
71,Wasser::N,ujë,水
72,Stein::N,gur,石
73,Boden::N,tokë,土地
74,Boden::N,truall,土地
75,Erde::N,dhe,土
76,Erde::N,baltë,土
77,Staub::N,pluhur,埃
78,Rauch::N,tym,煙
79,Funke::N,xixë,火花
80,Funke::N,shkëndijë,火花
81,Feuer::N,zjarr,火
82,Licht::N,dritë,光
83,Schatten::N,hije,陰
84,Wetter::N,mot,天気
85,Nebel::N,mjegull,霧
86,Wolke::N,re,雲
87,Regen::N,shi,雨
88,Schnee::N,borë,雪
89,Eis::N,akull,氷
90,Frost::N,ngricë,霜
91,Kälte::N,të ftohtë,寒さ
92,Hitze::N,vapë,暑さ
93,Hitze::N,nxehtësi,暑さ
94,Raureif::N,cikmë,霧氷
95,Regenbogen::N,ylber,虹
96,Donner::N,gjëmim,雷
97,Donner::N,bubullimë,雷
98,Strömung::N,rrymë,流れ
99,Tropfen::N,pikë,滴
100,Schaum::N,shkumë,泡
101,Schmutz::N,baltë,汚れ
102,See::N,liqen,湖
103,Sumpf::N,batak,沼
104,Moor::N,kënetë,湿原
105,Wiese::N,livadh,草原
106,Wald::N,pyll,森
107,Hügel::N,kodër,丘
108,Anhöhe::N,bregore,高み
109,Berg::N,mal,山
110,Gipfel::N,kulm,頂上
111,Höhle::N,shpellë,洞窟
112,Höhle::N,zgafelle,洞窟
113,Abhang::N,shpat,斜面
114,Abhang::N,tatëpjetë,斜面
115,Quelle::N,krua,泉
116,Quelle::N,burim,泉
117,Bach::N,virua,小川
118,Fluss::N,lumë,川
119,Ufer::N,breg,岸
120,Küste::N,anëdet,海岸
121,Küste::N,bregdet,海岸
122,Festland::N,kontinent,陸
123,Meer::N,det,海
124,Bucht::N,gji deti,湾
125,Insel::N,ishull,島
126,Insel::N,ujdhesë,島
127,Blume::N,lule,花
128,Gras::N,bar,草
129,Wurzel::N,rrënjë,根
130,Baum::N,pemë,木
131,Stamm::N,trung,幹
132,Rinde::N,lëvore,皮層
133,Ast::N,degë,枝
134,Zweig::N,bisk,小枝
135,Blatt::N,fletë,葉
136,Blatt::N,gjethe,葉
137,Birke::N,mështekën,樺
138,Kiefer[Baum]::N,pishë,松
139,Weide[Baum]::N,shelg,柳
140,Tanne::N,bredh,樅
141,Horn::N,bri,角
142,Feder::N,pupël,羽根
143,Fell::N,lëkurë,毛皮
144,Flügel::N,krah,羽
145,Flügel::N,fletë,羽
146,Klaue::N,kthetër,鉤爪
147,Kralle::N,thua,爪
148,Kralle::N,kthetër,爪
149,Schwanz::N,bisht,尻尾
150,Ei::N,vezë,卵
151,Nest::N,fole,巣
152,Bau::N,strofkë,穴
153,Tier::N,kafshë,動物
154,Herde::N,kope,群れ
155,Herde::N,grigjë,群れ
156,Kuh::N,lopë,牛
157,Bulle::N,dem,雄牛
158,Pferd::N,kalë,馬
159,Schaf::N,dele,羊
160,Schwein::N,derr,豚
161,Hund::N,qen,犬
162,Katze::N,mace,猫
163,Bär::N,ari,熊
164,Eichhörnchen::N,ketër,栗鼠
165,Elch::N,dre brilopatë,ヘラジカ
166,Fuchs::N,dhelpër,狐
167,Hase::N,lepur,兎
168,Maus::N,mi,鼠
169,Wolf::N,ujk,狼
170,Vogel::N,zog,鳥
171,Vogel::N,shpend,鳥
172,Schwarm::N,luzmë,群れ
173,Huhn::N,pulë,鶏
174,Hahn::N,gjel,雄鶏
175,Hahn::N,këndes,雄鶏
176,Gans::N,patë,ガチョウ
177,Adler::N,shqiponjë,鷲
178,Ente::N,rosë,鴨
179,Eule::N,buf,フクロウ
180,Kranich::N,lejlek,鶴
181,Kranich::N,kurrillë,鶴
182,Krähe::N,sorrë,烏
183,Kuckuck::N,qyqe,郭公
184,Schwan::N,mjellmë,白鳥
185,Fisch::N,peshk,魚
186,Barsch::N,purtekë,鱸
187,Hecht::N,mlysh,川魳
188,Schlange[Tier]::N,gjarpër,蛇
189,Wurm::N,krimb,虫
190,Spinne::N,marimangë,蜘蛛
191,Ameise::N,thnegël,蟻
192,Ameise::N,milingonë,蟻
193,Laus::N,morr,虱
194,Mücke::N,kunup,蚊
195,Mücke::N,mushkonjë,蚊
196,Fliege::N,mizë,蝿
197,Schmetterling::N,flutur,蝶
198,Beere::N,frutë,漿果
199,Beere::N,manaferrë,漿果
200,Apfel::N,mollë,林檎
201,Pilz::N,kërpudhë,茸
202,Zwiebel::N,qepë,玉葱
203,Saat::N,farë,種
204,Korn::N,grurë,粒
205,Korn::N,kokërr,粒
206,Heu::N,sanë,干し草
207,Schale::N,lëkurë,皮
208,Grube::N,gropë,穴
209,Falle::N,kurth,わな
210,Falle::N,grackë,わな
211,Schlinge::N,nyjë,輪
212,Spur::N,gjurmë,跡
213,Asche::N,hi,灰
214,Dreck::N,baltë,泥
215,Eisen::N,hekur,鉄
216,Gold::N,ar,金
217,Gold::N,flori,金
218,Silber::N,argjend,銀
219,Kohle::N,qymyr,炭
220,Glas::N,qelq,ガラス
221,Lehm::N,argjilë,ローム
222,Sand::N,rërë,砂
223,Mensch::N,njeri,人
224,Mann::N,burrë,男
225,Mann::N,burrë,男性
226,Mann::N,mashkull,男
227,Mann::N,mashkull,男性
228,Frau::N,grua,女
229,Frau::N,grua,女性
230,Frau::N,femër,女
231,Frau::N,femër,女性
232,Kind::N,kalama,子
233,Kind::N,kalama,子供
234,Junge::N,djalë,男の子
235,Mädchen::N,gocë,女の子
236,Mädchen::N,vajzë,女の子
237,Familie::N,familje,家族
238,Großvater::N,gjysh,祖父
239,Großvater::N,gjysh,おじいさん
240,Großmutter::N,gjyshe,祖母
241,Großmutter::N,gjyshe,おばあさん
242,Eltern::N,prindër,親
243,Eltern::N,prindër,両親
244,Vater::N,atë,父
245,Vater::N,atë,お父さん
246,Mutter::N,nënë,母
247,Mutter::N,nënë,お母さん
248,Sohn::N,bir,息子
249,Sohn::N,bir,息子さん
250,Tochter::N,bijë,娘
251,Tochter::N,bijë,お嬢さん
252,Bruder::N,vëlla,弟
253,Schwester::N,motër,妹
254,Onkel::N,dajë,伯父
255,Onkel::N,dajë,伯父さん
256,Onkel::N,xhaxha,伯父
257,Onkel::N,xhaxha,伯父さん
258,Tante::N,teze,叔母
259,Tante::N,teze,叔母さん
260,Tante::N,hallë,叔母
261,Tante::N,hallë,叔母さん
262,Ehemann::N,burrë,夫
263,Ehemann::N,burrë,主人
264,Ehemann::N,bashkëshort,夫
265,Ehemann::N,bashkëshort,主人
266,Ehefrau::N,grua,妻
267,Ehefrau::N,grua,奥さん
268,Ehefrau::N,bashkëshorte,妻
269,Ehefrau::N,bashkëshorte,奥さん
270,Freude::N,gaz,喜び
271,Freude::N,gëzim,喜び
272,Gelächter::N,qeshje,笑い
273,Glück::N,lumturi,幸せ
274,Kummer::N,brengë,悩み
275,Kummer::N,pikëllim,悩み
276,Wunsch::N,dëshirë,希望
277,Lust::N,epsh,気
278,Lust::N,dashuri,気
279,Geist::N,frymë,精神
280,Geist::N,shpirt,精神
281,Gedanke::N,ide,考え
282,Gedanke::N,mendim,考え
283,Gedächtnis::N,kujtesë,記憶
284,Verstand::N,mend,理解力
285,Sinn::N,kuptim,意味
286,Grund::N,arsye,理由
287,Wahrheit::N,vërtetë,真実
288,Gespräch::N,bisedim,会話
289,Märchen::N,përrallë,童話
290,Erzählung::N,tregim,物語
291,Nachricht::N,lajm,報告
292,Neuigkeit::N,risi,ニュース
293,Name::N,emër,名前
294,Rätsel::N,gjëzë,謎
295,Rätsel::N,gjëegjëzë,謎
296,Rede::N,fjalim,演説
297,Sprache::N,gjuhë,言語
298,Stimme::N,zë,声
299,Wort::N,fjalë,言葉
300,Zeichen::N,shenjë,記号
301,Ruf::N,thirrmë,呼び声
302,Lärm::N,zhurmë,騒音
303,Laut::N,tingull,音
304,Ton::N,ton,音
305,Lied::N,këngë,歌
306,Ruhe::N,qetësi,静けさ
307,Leute::N,botë,人々
308,Leute::N,njerëz,人々
309,Volk::N,popull,民族
310,Arbeit::N,punë,仕事
311,Gast::N,mik,客
312,Gast::N,mysafir,客
313,Geschenk::N,dhuratë,贈り物
314,Geschenk::N,peshqesh,贈り物
315,Spiel::N,lojë,遊び
316,Gesellschaft::N,shoqëri,社会
317,Hilfe::N,ndihmë,援助
318,Freund::N,mik,友達
319,Kamerad::N,shok,同志
320,Angelegenheit::N,punë,件
321,Anzahl::N,sasi,数
322,Art::N,lloj,種類
323,Stück::N,copë,部分
324,Teil::N,pjesë,部分
325,Hälfte::N,gjysmë,半分
326,Kreis::N,qark,円
327,Kreis::N,rreth,円
328,Kreuz::N,kryq,十字
329,Linie::N,vijë,線
330,Strich::N,vizë,線
331,Abstand::N,distancë,距離
332,Entfernung::N,largim,距離
333,Gegend::N,vise,辺
334,Gegend::N,vise,地域
335,Gegend::N,krahinë,辺
336,Gegend::N,krahinë,地域
337,Platz::N,shesh,ゆとり
338,Ort::N,vend,所
339,Ort::N,vend,場所
340,Seite::N,anë,横
341,Mitte::N,mes,真ん中
342,Gegenstand::N,send,物件
343,Sache::N,gjë,物
344,Sache::N,send,物
345,Rand::N,qoshe,端
346,Kante::N,teh,縁
347,Ecke::N,qoshe,角
348,Spitze::N,majë,先頭
349,Ende::N,skaj,端
350,Ende::N,bisht,端
351,Loch::N,vrimë,穴
352,Winkel::N,kënd,片隅
353,Muster::N,mostër,模様
354,Größe::N,madhësi,大きさ
355,Länge::N,gjatësi,長さ
356,Höhe::N,lartësi,高さ
357,Gewicht::N,peshë,重さ
358,Menge::N,sasi,量
359,Haufen::N,grumbull,堆積
360,Reihe::N,radhë,並び
361,Reihe::N,rresht,並び
362,Boot::N,barkë,ボート
363,Boot::N,lundër,ボート
364,Ruder::N,rrem,オール
365,Schlitten::N,sajë,そり
366,Ski::N,ski,スキー
367,Lagerfeuer::N,flakadan,篝火
368,Lagerfeuer::N,zjarr i madh,篝火
369,Last::N,barrë,荷物
370,Gang::N,ecje,歩み
371,Schritt::N,hap,歩
372,Norden::N,veri,北
373,Süden::N,jug,南
374,Westen::N,perëndim,西
375,Osten::N,lindje,東
376,Holz::N,dru,木
377,Holz::N,dru,木材
378,Brett::N,dërrasë,板
379,Platte::N,pllakë,盤
380,Stütze::N,shtyllë,支柱
381,Stütze::N,mbështetesë,支柱
382,Stange::N,shufër,棒
383,Stock::N,dajak,杖
384,Stab::N,shkop,棒
385,Rohr::N,tub,管
386,Haus::N,shtëpi,家
387,Heim::N,konak,家
388,Heim::N,shtëpi,家
389,Ofen::N,sobë,ストーブ
390,Ofen::N,stufë,ストーブ
391,Fußboden::N,dysheme,床
392,Tisch::N,tryezë,机
393,Stuhl::N,karrige,椅子
394,Wiege::N,djep,揺籃
395,Bett::N,shtrat,ベッド
396,Regal::N,raft,棚
397,Kiste::N,kuti,箱
398,Fenster::N,dritare,窓
399,Tür::N,derë,戸
400,Tür::N,derë,ドア
401,Tor::N,portë,門
402,Zaun::N,gardh,垣根
