,Concept_ID,ps,sl
0,Auge::N,سترګه,okó
1,Ohr::N,غوږ,uhó
2,Nase::N,پوزه,nós
3,Mund::N,خوله,ústa
4,Zahn::N,غاښ,zób
5,Zunge::N,جبه,jêzik
6,Lippe::N,شونډه,ústnica
7,Wange::N,باړخو,líce
8,Gesicht::N,مخ,oblíčje
9,Stirn::N,تندی,čêlo
10,Stirn::N,وچولی,čêlo
11,Haar::N,وېښته,lás
12,Schnurrbart::N,برېت,bŕki
13,Bart::N,ږیره,bráda
14,Kinn::N,زنه,bráda
15,Kiefer[Anatomie]::N,جامه,čeljúst
16,Kehle::N,غاړه,gŕlo
17,Hals::N,غاړه,vrát
18,Genick::N,ورمېږ,zatílnik
19,Kopf::N,سر,gláva
20,Rücken::N,شا,hrbèt
21,Bauch::N,نس,trébuh
22,Bauch::N,ګېډه,trébuh
23,Nabel::N,نوم,pópek
24,Busen::N,تی,nédrja
25,Brust::N,سینه,pŕsi
26,Schulter::N,اوږه,ráma
27,Schulter::N,اوږه,plêče
28,Arm::N,لاس,rôka
29,Ellenbogen::N,څنګل,komólec
30,Hand::N,لاس,rôka
31,Handfläche::N,ورغوی,dlán
32,Finger::N,ګوته,pŕst
33,Fingernagel::N,نوک,nóht na rôki
34,Nagel[Anatomie]::N,نوک,nóht
35,Zeh::N,ګوته,pŕst na nôgi
36,Fuß::N,پښه,nôga
37,Ferse::N,پونده,pêta
38,Knie::N,زنګون,koléno
39,Oberschenkel::N,پتون,stêgno
40,Bein::N,پښه,nôga
41,Körper::N,ځان,teló
42,Haut::N,پوټکی,kóža
43,Blut::N,وینه,krí
44,Ader::N,رګ,žíla
45,Sehne::N,پله,kíta
46,Knochen::N,هډوکی,kóst
47,Gehirn::N,ماغزه,možgáni
48,Herz::N,زړه,srcé
49,Magen::N,معده,želódec
50,Leber::N,ينه,jétra
51,Leber::N,ځیګر,jétra
52,Atem::N,نفس,díh
53,Hunger::N,ولږه,glád
54,Träne::N,اوښکه,sólza
55,Geschmack::N,مزه,okús
56,Geschmack::N,خوند,okús
57,Geruch::N,بوی,vónj
58,Schlaf::N,خوب,sèn
59,Schlaf::N,خوب,spánec
60,Traum::N,خوب,sánje
61,Himmel::N,اسمان,nebó
62,Sonne::N,لمر,sónce
63,Mond::N,سپوږمۍ,lúna
64,Mond::N,سپوږمۍ,mésec
65,Stern::N,ستوری,zvézda
66,Luft::N,هوا,zràk
67,Wind::N,ورښ,véter
68,Welle::N,موج,vál
69,Wasser::N,اوبه,vôda
70,Stein::N,ډبره,kámen
71,Boden::N,مځکه,tlà
72,Erde::N,خاوره,pŕst
73,Erde::N,خاوره,zêmlja
74,Staub::N,ګرد,práh
75,Staub::N,خاوره,práh
76,Rauch::N,دود,dìm
77,Rauch::N,لوګی,dìm
78,Funke::N,سپرغۍ,ískra
79,Feuer::N,اور,ôgenj
80,Licht::N,رڼا,lúč
81,Schatten::N,سیوری,sénca
82,Wetter::N,هوا,vrême
83,Nebel::N,لړه,meglà
84,Wolke::N,ورېځ,oblák
85,Regen::N,وریا,dèž
86,Regen::N,باران,dèž
87,Schnee::N,واوره,snég
88,Eis::N,یخ,léd
89,Eis::N,کنګل,léd
90,Frost::N,یخ,zmrzál
91,Kälte::N,ساړه,mràz
92,Hitze::N,تودوخي,pripéka
93,Raureif::N,سپینه پرخه,ívje
94,Raureif::N,سپینه پرخه,slána
95,Regenbogen::N,بوډۍ ټال,mávrica
96,Regenbogen::N,سره زرغونه,mávrica
97,Donner::N,تالنده,gròm
98,Strömung::N,بهېدنه,strúja
99,Tropfen::N,قطره,káplja
100,Tropfen::N,څاڅکی,káplja
101,Schaum::N,ځګ,péna
102,Schmutz::N,ناپاکي,nesnága
103,See::N,جهیل,jézero
104,Sumpf::N,جبه,močvírje
105,Moor::N,جبه,bárje
106,Wiese::N,چمن,trávnik
107,Wiese::N,شنېلی,trávnik
108,Wald::N,ځنګل,lés
109,Wald::N,ځنګل,gòzd
110,Hügel::N,تپه,brég
111,Hügel::N,تپه,goríca
112,Anhöhe::N,غونډۍ,gríč
113,Anhöhe::N,غونډۍ,višína
114,Berg::N,غ‍‍‍‍‍ر,gôra
115,Berg::N,غ‍‍‍‍‍ر,planína
116,Gipfel::N,څوکه,vŕh
117,Höhle::N,کاز,jáma
118,Höhle::N,کاز,votlína
119,Abhang::N,لمن,pobóčje
120,Quelle::N,چینه,izvír
121,Bach::N,واله,pôtok
122,Fluss::N,سیند,réka
123,Ufer::N,غاړه,brég
124,Küste::N,ساحل,obála
125,Küste::N,ساحل,obréžje
126,Festland::N,وچه,celína
127,Festland::N,وچه,kopnína
128,Meer::N,بحر,mórje
129,Meer::N,سمندر,mórje
130,Bucht::N,کارۍ,zalív
131,Insel::N,ټاپو,ôtok
132,Insel::N,جزيره,ôtok
133,Blume::N,ګل,cvetlíca
134,Gras::N,واښه,tráva
135,Wurzel::N,ریښه,korenína
136,Baum::N,ونه,drevó
137,Stamm::N,ډډ,dêblo
138,Rinde::N,پوستکی,lúbje
