,Concept_ID,ka,la
0,Auge::N,თვალი,oculus
1,Ohr::N,ყური,auris
2,Nase::N,ცხვირი,nasus
3,Mund::N,პირი,os
4,Zahn::N,კბილი,dens
5,Zunge::N,ენა,lingua
6,Lippe::N,ბაგე,labrum
7,Wange::N,ლოყა,gena
8,Gesicht::N,სახე,vultus
9,Stirn::N,შუბლი,frons
10,Haar::N,თმა,capillus
11,Schnurrbart::N,ულვაში,barba labri superioris
12,Bart::N,წვერი,barba
13,Kinn::N,ნიკაპი,mentum
14,Kiefer[Anatomie]::N,ყბა,mala
15,Kehle::N,ყელი,iugulums
16,Hals::N,ყელი,collum
17,Hals::N,კისერი,collum
18,Genick::N,კეფა,cervices
19,Kopf::N,თავი,caput
20,Rücken::N,ზურგი,tergum
21,Bauch::N,მუცელი,venter
22,Nabel::N,ჭიპი,umbilicus
23,Busen::N,ძუძუ,sinus
24,Brust::N,მკერდი,pectus
25,Schulter::N,მხარი,umerus
26,Schulter::N,მკლავი,umerus
27,Arm::N,ხელი,bracchium
28,Ellenbogen::N,იდაყვი,cubitum
29,Hand::N,ხელი,manus
30,Handfläche::N,ნები,palma
31,Handfläche::N,ხელისგული,palma
32,Finger::N,თითი,digitus
33,Fingernagel::N,ფრჩხილი,unguiculus
34,Nagel[Anatomie]::N,ფრჩხილი,unguis
35,Zeh::N,ფეხის თითი,digitus
36,Fuß::N,ტერფი,pes
37,Fuß::N,ფეხისგული,pes
38,Ferse::N,ქუსლი,calx
39,Knie::N,მუხლი,genu
40,Oberschenkel::N,ბარძაყი,femur
41,Bein::N,ფეხი,crus
42,Körper::N,ტანი,corpus
43,Körper::N,სხეული,corpus
44,Haut::N,კანი,cutis
45,Haut::N,კანი,pellis
46,Blut::N,სისხლი,sanguis
47,Ader::N,ძარღვი,vena
48,Sehne::N,მყესი,nervus
49,Knochen::N,ძვალი,os
50,Gehirn::N,ტვინი,cerebrum
51,Herz::N,გული,cor
52,Herz::N,გული,animus
53,Magen::N,კუჭი,stomachus
54,Leber::N,ღვიძლი,iecur
55,Atem::N,სუნთქვა,spiritus
56,Hunger::N,შიმშილი,fames
57,Träne::N,ცრემლი,lacrima
58,Geschmack::N,გემო,sapor
59,Geschmack::N,გემო,gustus
60,Geruch::N,სუნი,odor
61,Schlaf::N,ძილი,somnus
62,Traum::N,სიზმარი,somnium
63,Himmel::N,ცა,caelum
64,Sonne::N,მზე,sol
65,Mond::N,მთვარე,luna
66,Stern::N,ვარსკვლავი,sidus
67,Stern::N,ვარსკვლავი,stella
68,Luft::N,ჰაერი,aer
69,Wind::N,ქარი,ventus
70,Welle::N,ტალღა,unda
71,Wasser::N,წყალი,aqua
72,Stein::N,ქვა,lapis
73,Boden::N,მიწა,solum
74,Erde::N,ნიადაგი,terra
75,Staub::N,მტვერი,pulvis
76,Rauch::N,ბოლი,fumus
77,Rauch::N,კვამლი,fumus
78,Funke::N,ნაკვესი,scintilla
79,Feuer::N,ცეცხლი,ignis
80,Licht::N,შუქი,lux
81,Licht::N,შუქი,lumen
82,Licht::N,სინათლე,lux
83,Licht::N,სინათლე,lumen
84,Schatten::N,ლანდი,umbra
85,Schatten::N,ჩრდილი,umbra
86,Wetter::N,ამინდი,caelum
87,Wetter::N,ამინდი,tempestas
88,Nebel::N,ნისლი,nebula
89,Wolke::N,ღრუბელი,nubes
90,Regen::N,წვიმა,imber
91,Regen::N,წვიმა,pluvia
92,Schnee::N,თოვლი,nix
93,Eis::N,თოში,glacies
94,Eis::N,ყინული,glacies
95,Frost::N,ყინვა,gelu
96,Kälte::N,სიცივე,frigus
97,Hitze::N,სიცხე,calor
98,Hitze::N,სიცხე,aestus
99,Raureif::N,ჭირხლი,pruina
100,Raureif::N,თრთვილი,pruina
101,Regenbogen::N,ცისარტყელა,arcus
102,Donner::N,ქუხილი,tonitrus
103,Strömung::N,დინება,fluctus
104,Tropfen::N,წვეთი,gutta
105,Schaum::N,ქაფი,spuma
106,Schaum::N,დორბლი,spuma
107,Schmutz::N,ჭუჭყი,sordes
108,Schmutz::N,ჭუჭყი,squalor
109,Schmutz::N,ტალახი,sordes
110,Schmutz::N,ტალახი,squalor
111,See::N,ტბა,lacus
112,Sumpf::N,ჭაობი,palus
113,Moor::N,ტორფნარი,palus
114,Wiese::N,ველი,pratum
115,Wiese::N,მდელო,pratum
116,Wald::N,ტყე,silva
117,Hügel::N,ბორცვი,collis
118,Anhöhe::N,მაღლობი,specula
119,Berg::N,მთა,mons
120,Gipfel::N,მწვერვალი,vertex
121,Höhle::N,მღვიმე,caverna
122,Höhle::N,მღვიმე,spelunca
123,Höhle::N,გამოქვებული,caverna
124,Höhle::N,გამოქვებული,spelunca
125,Abhang::N,ფერდობი,declivum
126,Quelle::N,წყარო,fons
127,Quelle::N,სათავე,fons
128,Bach::N,რუ,rivus
129,Bach::N,ნაკადული,rivus
130,Fluss::N,მდინარე,flumen
131,Ufer::N,კიდე,ripa
132,Ufer::N,ნაპირი,ripa
133,Küste::N,ნაპირი,litus
134,Festland::N,ხმელეთი,continens
135,Meer::N,ზღვა,mare
136,Bucht::N,ყურე,sinus
137,Insel::N,კუნძული,insula
138,Blume::N,ყვავილი,flos
139,Gras::N,ბალახი,herba
140,Gras::N,ბალახი,gramen
141,Wurzel::N,ძირი,radix
142,Wurzel::N,ფესვი,radix
143,Baum::N,ხე,arbor
144,Stamm::N,ტანი,truncus
145,Rinde::N,ქერქი,cortex
146,Ast::N,ტოტი,ramus
147,Zweig::N,შტო,ramus
148,Blatt::N,ფოთოლი,folium
149,Birke::N,არყი,betulla
150,Kiefer[Baum]::N,ფიჭვი,pinus
151,Weide[Baum]::N,ტირიფი,salix
152,Tanne::N,ნაძვი,abies
153,Horn::N,რქა,cornu
154,Feder::N,ფრთა,penna
155,Fell::N,ტყავი,pellis
156,Flügel::N,ფრთა,ala
157,Klaue::N,კლანჭი,unguis
158,Kralle::N,ტორი,unguis
159,Schwanz::N,კუდი,cauda
160,Ei::N,კვერცხი,ovum
161,Nest::N,ბუდე,nidus
162,Bau::N,სორო,cavum
163,Bau::N,სორო,latibulum
164,Tier::N,ნადირი,bestia
165,Tier::N,ცხოველი,bestia
166,Herde::N,ფარა,grex
167,Kuh::N,ფური,vacca
168,Kuh::N,ძროხა,vacca
169,Bulle::N,ხარი,taurus
170,Pferd::N,რაში,equus
171,Pferd::N,ცხენი,equus
172,Schaf::N,ცხვარი,ovis
173,Schwein::N,ღორი,sus
174,Schwein::N,ღორი,porcus
175,Hund::N,ძაღლი,canis
176,Katze::N,კატა,felis
177,Bär::N,დათვი,ursus
178,Eichhörnchen::N,ციყვი,sciurus
179,Elch::N,ცხენ-ირემი,alces
180,Fuchs::N,მელა,vulpes
181,Hase::N,კურდღელი,lepus
182,Maus::N,თაგვი,mus
183,Wolf::N,მგელი,lupus
184,Vogel::N,ჩიტი,avis
185,Vogel::N,ფრინველი,avis
186,Schwarm::N,გუნდი,examen
187,Huhn::N,დედალი,gallina
188,Hahn::N,მამალი,gallus
189,Gans::N,ბატი,anser
190,Adler::N,არწივი,aquila
191,Ente::N,იხვი,anas
192,Eule::N,ბუ,ulula
193,Eule::N,ბუ,noctua
194,Kranich::N,წერო,grus
195,Krähe::N,ყვავი,cornix
196,Kuckuck::N,გუგული,cuculus
197,Schwan::N,გედი,olor
198,Schwan::N,გედი,cycnus
199,Fisch::N,თევზი,piscis
200,Barsch::N,ქორჭილა,perca
201,Hecht::N,ქარიყლაპია,esox
202,Schlange[Tier]::N,გველი,serpens
203,Wurm::N,ჭია,vermis
204,Spinne::N,ობობა,aranea
205,Ameise::N,ჭიანჭველა,formica
206,Laus::N,ტილი,pediculus
207,Laus::N,მკბენარი,pediculus
208,Mücke::N,კოღო,culex
209,Fliege::N,ბუზი,musca
210,Schmetterling::N,პეპელა,papilio
211,Beere::N,კენკრა,baca
212,Apfel::N,ვაშლი,malum
213,Pilz::N,სოკო,fungus
