,Concept_ID,he,myv
0,Auge::N,עין,сельме
1,Ohr::N,אזן,пиле
2,Nase::N,אף,судо
3,Nase::N,חטם,судо
4,Mund::N,פה,курго
5,Zahn::N,שן,пей
6,Zunge::N,לשון,кель
7,Lippe::N,שפה,турва
8,Wange::N,לחי,чамабока
9,Wange::N,לחי,чамаумарь
10,Gesicht::N,פנים,чама
11,Stirn::N,מצח,коня
12,Haar::N,שערה,черь
13,Schnurrbart::N,שפם,ус
14,Schnurrbart::N,שפם,муюк
15,Bart::N,זקן,сакал
16,Kinn::N,סנטר,уло
17,Kiefer[Anatomie]::N,לסת,пейпакар
18,Kiefer[Anatomie]::N,לסת,пейловажа
19,Kehle::N,גרון,кирьгапарь
20,Hals::N,צואר,кирьга
21,Genick::N,ערף,човонь
22,Kopf::N,ראש,пря
23,Rücken::N,גב,копорь
24,Bauch::N,בטן,пеке
25,Nabel::N,טבור,почо
26,Busen::N,שד,поте
27,Brust::N,חזה,меште
28,Schulter::N,כתף,лавтов
29,Arm::N,זרוע,кедь
30,Ellenbogen::N,מרפק,кенерепакарь
31,Hand::N,יד,кедь
32,Handfläche::N,כף יד,кедькуншка
33,Handfläche::N,כף יד,кедьлапушка
34,Finger::N,אצבע,сур
35,Fingernagel::N,צפרן,кенже
36,Nagel[Anatomie]::N,צפרן,кенже
37,Zeh::N,אצבע,пильге сур
38,Fuß::N,רגל,пильге
39,Ferse::N,עקב,кочкаря
40,Knie::N,ברך,эле
41,Knie::N,ברך,эзне
42,Knie::N,ברך,кумажа
43,Oberschenkel::N,ירך,качо
44,Bein::N,רגל,пильге
45,Körper::N,גוף,рунго
46,Haut::N,עור,киське
47,Blut::N,דם,верь
48,Ader::N,וריד,сан
49,Sehne::N,גיד,коське сан
50,Knochen::N,עצם,пакарь
51,Gehirn::N,מוח,удем
52,Herz::N,לב,седей
53,Magen::N,קבה,пеке
54,Leber::N,כבד,максо
55,Atem::N,נשימה,лексема
56,Atem::N,נשימה,оймень таргсема
57,Hunger::N,רעב,вачочи
58,Träne::N,דמעה,селведь
