,Concept_ID,da,hr
0,Auge::N,øje,oko
1,Ohr::N,øre,uho
2,Nase::N,næse,nos
3,Mund::N,mund,usta
4,Zahn::N,tand,zub
5,Zunge::N,tunge,jezik
6,Lippe::N,læbe,usna
7,Wange::N,kind,obraz
8,Gesicht::N,ansigt,lice
9,Stirn::N,pande,čelo
10,Haar::N,hår,kosa
11,Schnurrbart::N,overskæg,brkovi
12,Bart::N,skæg,brada
13,Kinn::N,hage,brada
14,Kinn::N,hage,podbradak
15,Kiefer[Anatomie]::N,kæbe,čeljust
16,Kehle::N,strube,grlo
17,Hals::N,hals,vrat
18,Genick::N,nakke,zatiljak
19,Kopf::N,hoved,glava
20,Rücken::N,ryg,leđa
21,Rücken::N,ryg,hrbat
22,Bauch::N,mave,trbuh
23,Nabel::N,navle,pupak
24,Busen::N,barm,sisa
25,Busen::N,barm,njedra
26,Brust::N,bryst,prsa
27,Schulter::N,skulder,rame
28,Schulter::N,skulder,pleći
29,Arm::N,arm,ruka
30,Ellenbogen::N,albue,lakat
31,Hand::N,hånd,ruka
32,Handfläche::N,håndflade,dlan
33,Finger::N,finger,prst
34,Fingernagel::N,fingernegl,nokat
35,Nagel[Anatomie]::N,negl,nokat
36,Zeh::N,tå,nozni prst
37,Fuß::N,fod,noga
38,Fuß::N,fod,stopalo
39,Ferse::N,hæl,peta
40,Knie::N,knæ,koljeno
41,Oberschenkel::N,lår,bedro
42,Bein::N,ben,noga
43,Körper::N,krop,tijelo
44,Körper::N,legeme,tijelo
45,Haut::N,hud,put
46,Haut::N,hud,koža
47,Blut::N,blod,krv
48,Ader::N,åre,žila
49,Sehne::N,sene,tetiva
50,Knochen::N,ben,kost
51,Gehirn::N,hjerne,
52,Herz::N,hjerte,srce
53,Magen::N,mave,stomak
54,Magen::N,mave,želudac
55,Leber::N,lever,jetra
56,Atem::N,ånde,dah
57,Hunger::N,sult,glad
58,Träne::N,tåre,suza
59,Geschmack::N,smag,ukus
60,Geruch::N,lugt,njuh
61,Geruch::N,lugt,miris
62,Schlaf::N,søvn,san
63,Traum::N,drøm,san
64,Himmel::N,himmel,nebo
65,Sonne::N,sol,sunce
66,Mond::N,måne,mjesec
67,Stern::N,stjerne,zvijezda
68,Luft::N,luft,zrak
69,Wind::N,vind,vjetar
70,Welle::N,bølge,val
71,Welle::N,bølge,talas
72,Wasser::N,vand,voda
73,Stein::N,sten,kamen
74,Boden::N,jord,tlo
75,Boden::N,jord,zemlja
76,Erde::N,jord,zemlja
77,Staub::N,støv,prah
78,Staub::N,støv,prašina
79,Rauch::N,røg,dim
80,Funke::N,gnist,iskra
81,Funke::N,gnist,varnica
82,Feuer::N,ild,vatra
83,Licht::N,lys,svjetlo
84,Schatten::N,skygge,hlad
85,Schatten::N,skygge,sjena
86,Wetter::N,vejr,vrijeme
87,Nebel::N,tåge,magla
88,Wolke::N,sky,oblak
89,Regen::N,regn,kiša
90,Schnee::N,sne,snijeg
91,Eis::N,is,led
92,Frost::N,frost,mraz
93,Kälte::N,kulde,studen
94,Kälte::N,kulde,hladnoća
95,Hitze::N,hede,vrućina
96,Raureif::N,rimfrost,inje
97,Regenbogen::N,regnbue,duga
98,Donner::N,torden,grom
99,Donner::N,torden,grmljavina
100,Strömung::N,strømning,struja
101,Strömung::N,strømning,strujanje
102,Tropfen::N,dråbe,kap
103,Tropfen::N,dråbe,kaplja
104,Schaum::N,skum,pjena
105,Schmutz::N,snavs,nečistoća
106,Schmutz::N,snavs,prljavština
107,See::N,sø,jezero
108,Sumpf::N,sump,bara
109,Moor::N,mose,močvara
110,Wiese::N,eng,livada
111,Wald::N,skov,šuma
112,Hügel::N,høj,brijeg
113,Hügel::N,høj,brežuljak
114,Hügel::N,bakke,brijeg
115,Hügel::N,bakke,brežuljak
116,Anhöhe::N,høj,uzvišica
117,Anhöhe::N,bakke,uzvišica
118,Berg::N,bjerg,brdo
119,Gipfel::N,top,vrh
120,Höhle::N,hule,pećina
121,Höhle::N,hule,spilja
122,Abhang::N,skrænt,obronak
123,Abhang::N,skrænt,nizbrdica
124,Abhang::N,skråning,obronak
125,Abhang::N,skråning,nizbrdica
126,Quelle::N,kilde,izvor
127,Quelle::N,kilde,vrelo
128,Bach::N,bæk,potok
129,Fluss::N,flod,rijeka
130,Ufer::N,bred,obala
131,Küste::N,kyst,obala
132,Küste::N,kyst,morska obala
133,Festland::N,fastland,kopno
134,Meer::N,hav,more
135,Bucht::N,bugt,zaliv
136,Insel::N,ø,ada
137,Insel::N,ø,otok
138,Blume::N,blomst,cvijet
139,Gras::N,græs,trava
140,Wurzel::N,rod,korijen
141,Baum::N,træ,drvo
142,Baum::N,træ,stablo
143,Stamm::N,stamme,deblo
144,Stamm::N,stamme,stablo
145,Rinde::N,bark,kora
146,Ast::N,gren,grana
147,Zweig::N,kvist,grana
148,Blatt::N,blad,list
149,Birke::N,birk,breza
150,Kiefer[Baum]::N,fyrretræ,bor
151,Weide[Baum]::N,piletræ,iva
152,Weide[Baum]::N,piletræ,vŕba
153,Tanne::N,gran,jela
154,Horn::N,horn,rog
155,Feder::N,fjer,pero
156,Fell::N,skind,koža
157,Flügel::N,vinge,krilo
158,Klaue::N,klov,papak
159,Kralle::N,klo,pandža
160,Schwanz::N,hale,rep
161,Ei::N,æg,jaje
162,Nest::N,rede,gnijezdo
163,Bau::N,bo,jazbina
164,Tier::N,dyr,životinja
165,Herde::N,flok,krdo
166,Herde::N,flok,stado
167,Kuh::N,ko,krava
168,Bulle::N,tyr,bik
169,Pferd::N,hest,konj
170,Schaf::N,får,ovca
171,Schwein::N,gris,svinja
172,Hund::N,hund,pas
173,Hund::N,hund,pseto
174,Katze::N,kat,mačka
175,Bär::N,bjørn,medvjed
176,Eichhörnchen::N,egern,vjeverica
177,Elch::N,elg,los
178,Fuchs::N,ræv,lisica
179,Hase::N,hare,zec
180,Maus::N,mus,miš
181,Wolf::N,ulv,vuk
182,Wolf::N,ulv,kurjak
183,Vogel::N,fugl,ptica
184,Schwarm::N,sværm,roj
185,Schwarm::N,sværm,jato
186,Huhn::N,høne,kokoš
187,Hahn::N,hane,kokot
188,Hahn::N,hane,pijevac
189,Gans::N,gås,guska
190,Adler::N,ørn,orao
191,Ente::N,and,patka
192,Eule::N,ugle,sova
193,Kranich::N,trane,ždral
194,Krähe::N,krage,vrana
195,Kuckuck::N,gøg,kukavica
196,Schwan::N,svane,labud
197,Fisch::N,fisk,riba
198,Barsch::N,aborre,grgeč
199,Hecht::N,gedde,štuka
200,Schlange[Tier]::N,slange,guja
201,Schlange[Tier]::N,slange,zmija
202,Wurm::N,orm,crv
203,Spinne::N,edderkop,pauk
204,Ameise::N,myre,mrav
205,Laus::N,lus,uš
206,Mücke::N,myg,komarac
207,Fliege::N,flue,muha
208,Schmetterling::N,sommerfugl,leptir
209,Beere::N,bær,boba
210,Beere::N,bær,bobica
211,Apfel::N,æble,jabuka
212,Pilz::N,svamp,pečurka
213,Zwiebel::N,løg,luk
214,Zwiebel::N,løg,kapula
215,Saat::N,sæd,sjemenje
216,Korn::N,korn,zrno
217,Heu::N,hø,sijeno
218,Schale::N,skræl,kora
219,Schale::N,skræl,ljuska
220,Grube::N,grav,jama
221,Falle::N,fælde,zamka
222,Falle::N,fælde,klopka
223,Schlinge::N,snare,uzao
224,Schlinge::N,snare,petlja
225,Spur::N,spor,trag
226,Spur::N,spor,slijed
227,Asche::N,aske,pepeo
228,Dreck::N,snavs,blato
229,Eisen::N,jern,željezo
230,Gold::N,guld,zlato
231,Silber::N,sølv,srebro
232,Kohle::N,kul,ugalj
233,Kohle::N,kul,ugljen
234,Glas::N,glas,staklo
235,Lehm::N,ler,glina
236,Lehm::N,ler,ilovača
237,Sand::N,sand,pijesak
238,Mensch::N,mennesge,čovjek
239,Mann::N,mand,muškarac
240,Frau::N,kvinde,žena
241,Kind::N,barn,čedo
242,Kind::N,barn,dijete
243,Junge::N,dreng,momče
244,Junge::N,dreng,dječak
245,Mädchen::N,pige,djevojka
246,Mädchen::N,pige,djevojčica
