,Concept_ID,udm,mhr
0,Auge::N,син,шинча́
1,Ohr::N,пель,пы́лыш
2,Nase::N,ныр,нер
3,Mund::N,ым,умша́
4,Zahn::N,пинь,пӱй
5,Zunge::N,кыл,йы́лме
6,Lippe::N,ымдур,тӱ́рвӧ
7,Wange::N,бам,шӱ́ргӧ
8,Gesicht::N,ымныр,чури́й
9,Stirn::N,кымес,саҥга́
10,Haar::N,йырси,ӱп
11,Schnurrbart::N,мыйык,ӧ́рыш
12,Bart::N,туш,понда́ш
13,Kinn::N,ангес,оҥыла́ш
14,Kiefer[Anatomie]::N,ан,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,ан,пӱйората́
16,Kiefer[Anatomie]::N,анлы,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,анлы,пӱйората́
18,Kehle::N,гульым,лога́р
19,Hals::N,чырты,шӱй
20,Genick::N,йырбер,шӱйло́дыш
21,Kopf::N,йыр,вуй
22,Rücken::N,мыш,туп
23,Bauch::N,кӧт,мӱ́шкыр
24,Nabel::N,гогы,кы́лымде
25,Busen::N,ноны,чы́зе
26,Brust::N,мӧля,оҥ
27,Schulter::N,пельпум,ва́че
28,Arm::N,суй,кид
29,Ellenbogen::N,гырпум,кынерву́й
30,Hand::N,ки,кид
31,Hand::N,ки,копа́
32,Handfläche::N,ки пыдэс,со́во
33,Handfläche::N,кырым пыдэс,со́во
34,Finger::N,чиньы,парня́
35,Fingernagel::N,гижы,кидкӱ́ч
36,Fingernagel::N,гижы,парнягӱ́ч
37,Fingernagel::N,гиждӥнь,кидкӱ́ч
38,Fingernagel::N,гиждӥнь,парнягӱ́ч
39,Nagel[Anatomie]::N,гижы,кӱч
40,Zeh::N,пыдчиньы,йолварня́
41,Fuß::N,пыд,йол
42,Fuß::N,пыд,йолкопа́
43,Ferse::N,пыдбер,тага́н
44,Knie::N,пыдес,пулву́й
45,Oberschenkel::N,макес,э́рде
46,Bein::N,пыд,йол
47,Körper::N,мугор,кап
48,Körper::N,вылтыр,кап
49,Haut::N,ку,кова́ште
50,Blut::N,вир,вӱр
51,Ader::N,вирсэр,шӧн
52,Sehne::N,вуж,шӧн
53,Sehne::N,вуж,кӱсе́н
54,Knochen::N,лы,лу
55,Gehirn::N,вим,вем
56,Gehirn::N,вим,вуйве́м
57,Herz::N,сюлэм,шӱм
58,Magen::N,ӝуш,пага́р
59,Leber::N,мус,мокш
60,Atem::N,лул,шӱ́лыш
61,Atem::N,шокан,шӱ́лыш
62,Hunger::N,кӧтсюман,шужыма́ш
63,Träne::N,синкыли,шинчавӱ́д
64,Geschmack::N,шӧм,там
65,Geruch::N,зын,пуш
66,Schlaf::N,вӧт,о́мо
67,Traum::N,уйвӧт,йӱдо́мо
68,Himmel::N,ин,кава́
69,Sonne::N,шунды,ке́че
70,Mond::N,толэзь,ты́лзе
71,Stern::N,кизили,шӱ́дыр
72,Luft::N,омыр,юж
73,Wind::N,тӧл,марде́ж
74,Welle::N,тулкым,то́лкын
75,Wasser::N,ву,вӱд
76,Stein::N,из,кӱ
77,Boden::N,музъем,рок
78,Erde::N,му,мла́нде
79,Staub::N,пыль,пура́к
80,Rauch::N,ӵын,шикш
81,Funke::N,гизьы,сеске́м
82,Funke::N,гизьы,тулйы́п
83,Feuer::N,тыл,тул
84,Licht::N,тыл,со́то
85,Schatten::N,вужер,ӱ́мыл
86,Wetter::N,куазь,иге́че
87,Nebel::N,бус,тӱтыра́
88,Wolke::N,пилем,пыл
89,Regen::N,зор,йӱр
90,Schnee::N,лымы,лум
91,Eis::N,йӧ,ий
92,Frost::N,кезьыт,чатлама́
93,Kälte::N,кезьыт,йӱ́штӧ
94,Hitze::N,пӧсь,шо́кшо
95,Raureif::N,гӧр,пӧрш
96,Raureif::N,гӧр,по́кшым
97,Regenbogen::N,вуюись,шонанпы́л
98,Donner::N,гудыри,кӱ́дырчӧ
99,Strömung::N,бызён,йо́гын
100,Tropfen::N,шапык,чӱча́лтыш
101,Schaum::N,шукы,шоҥ
102,Schmutz::N,нӧд,лавыра́
103,Schmutz::N,дэри,лавыра́
104,See::N,ты,ер
105,Sumpf::N,нюр,лӱ́кӧ
106,Moor::N,нюр,куп
107,Wiese::N,возь,о́лык
108,Wiese::N,возьвыл,о́лык
109,Wald::N,сик,чодыра́
110,Wald::N,нюлэс,чодыра́
111,Hügel::N,выр,арка́
112,Hügel::N,вырйыл,арка́
113,Anhöhe::N,выр,тӧва́
114,Anhöhe::N,выр,кӱкшака́
115,Anhöhe::N,вырйыл,тӧва́
116,Anhöhe::N,вырйыл,кӱкшака́
117,Berg::N,гурезь,ку́рык
118,Gipfel::N,йыл,чаҥга́
119,Gipfel::N,йыл,курыкву́й
120,Höhle::N,гу,пеще́р
121,Höhle::N,гу,курыкпо́мыш
122,Abhang::N,бам,та́йыл
123,Quelle::N,ошмес,важ
124,Quelle::N,ошмес,вӱдшинча́
125,Bach::N,пичи шур,изэҥе́р
126,Fluss::N,шур,эҥе́р
127,Ufer::N,ярдур,сер
128,Küste::N,вудур,вӱдтӱ́р
129,Festland::N,мувыр,мла́нде
130,Meer::N,зарезь,те́ҥыз
131,Bucht::N,вукож,икса́
132,Insel::N,вумуӵ,отро́
133,Insel::N,шормуӵ,отро́
134,Blume::N,сяська,пеле́дыш
135,Gras::N,турын,шу́до
136,Wurzel::N,выжы,вож
137,Baum::N,пу,пуше́ҥге
138,Stamm::N,модос,йы́тыр
139,Rinde::N,сул,шӱм
140,Ast::N,ул,укш
141,Zweig::N,вай,торма́к
142,Blatt::N,куар,лышта́ш
143,Birke::N,кызьпу,куэ́
144,Kiefer[Baum]::N,пужым,пӱ́нчӧ
145,Weide[Baum]::N,бадьпу,уа́
146,Tanne::N,кыз,кож
147,Horn::N,сюр,шур
148,Feder::N,тылы,пы́стыл
149,Fell::N,ку,кова́ште
150,Flügel::N,бурд,шу́лдыр
151,Klaue::N,гижы,кӱч
152,Kralle::N,пыд,ла́па
153,Kralle::N,пыд,копа́
154,Schwanz::N,быж,поч
155,Ei::N,пуз,му́но
156,Ei::N,кукей,му́но
157,Nest::N,кар,пыжа́ш
158,Nest::N,пузкар,пыжа́ш
159,Bau::N,кар,пыжа́ш
160,Bau::N,гу,пыжа́ш
161,Tier::N,пӧйшур,я́нлык
162,Tier::N,пӧйшур,живо́тный
163,Herde::N,уллё,кӱ́тӱ
164,Herde::N,уллё,тӱшка́
165,Kuh::N,скал,ушка́л
166,Bulle::N,ош,ӱ́шкыж
167,Bulle::N,пороз,ӱ́шкыж
168,Pferd::N,вал,и́мне
169,Schaf::N,ыж,шо́рык
170,Schwein::N,парсь,сӧсна́
171,Hund::N,пуны,пий
172,Katze::N,коӵыш,пы́рыс
173,Bär::N,гондыр,маска́
174,Eichhörnchen::N,коньы,ур
175,Elch::N,койык,шо́рдо
176,Fuchs::N,ӟичы,ры́выж
177,Hase::N,кеч,мера́ҥ
178,Maus::N,шыр,коля́
179,Wolf::N,кион,пи́ре
180,Vogel::N,тылобурдо,ка́йык
181,Schwarm::N,уллё,каша́к
182,Huhn::N,курег,чы́ве
183,Hahn::N,атас,агыта́н
184,Gans::N,ӟазег,ко́мбо
185,Adler::N,ӧрзи,карагу́ш
186,Ente::N,ӵӧж,лу́до
187,Eule::N,кучыран,тумна́
188,Kranich::N,тури,турня́
189,Krähe::N,куака,кора́к
190,Kuckuck::N,кикы,куку́
191,Schwan::N,юсь,йӱ́ксӧ
192,Fisch::N,чорыг,кол
193,Barsch::N,юш,ола́ҥге
194,Hecht::N,чипей,нуж
195,Hecht::N,чипей,чорта́н
196,Schlange[Tier]::N,кый,ки́шке
197,Wurm::N,нумыр,шукш
198,Spinne::N,чонари,эҥыре́мыш
199,Ameise::N,кузьыли,ку́тко
200,Laus::N,тэй,тий
201,Mücke::N,нымы,шыҥа́
202,Mücke::N,чибинь,шыҥа́
203,Fliege::N,кут,ка́рме
204,Schmetterling::N,бубыли,лы́ве
205,Beere::N,узы-боры,мӧр
206,Apfel::N,яблок,олма́
207,Pilz::N,губи,по́ҥго
208,Zwiebel::N,сугон,шога́н
209,Saat::N,кидыс,нӧ́шмӧ
210,Saat::N,кидыс,туш
211,Korn::N,тысь,шу́рно
212,Heu::N,турын,шу́до
213,Schale::N,кыд,шӱм
214,Grube::N,гу,выне́м
215,Grube::N,гоп,выне́м
216,Falle::N,налик,лӧ́дӧ
217,Schlinge::N,гиӟ,о́птыш
218,Schlinge::N,гиӟ,шӧрга́лтыш
219,Schlinge::N,герд,о́птыш
220,Schlinge::N,герд,шӧрга́лтыш
221,Spur::N,пытьы,кыша́
222,Spur::N,бервыл,кыша́
223,Asche::N,пень,ло́мыж
224,Dreck::N,дэри,лавыра́
225,Eisen::N,корт,кӱ́ртньӧ
226,Gold::N,зарни,шӧ́ртньӧ
227,Silber::N,азвесь,ший
228,Kohle::N,эгыр,мландышӱ́й
229,Glas::N,стекло,янда́
230,Glas::N,пияла,янда́
231,Lehm::N,сюй,шун
232,Sand::N,луо,ошма́
233,Mensch::N,мурт,еҥ
234,Mensch::N,мурт,айде́ме
235,Mensch::N,адями,еҥ
236,Mensch::N,адями,айде́ме
237,Mann::N,воргорон,пӧръе́ҥ
238,Frau::N,кышномурт,ӱдырама́ш
239,Kind::N,нуны,аза́
240,Kind::N,пинал,аза́
241,Junge::N,пи,рве́зе
242,Mädchen::N,ныл,ӱдыра́ш
243,Familie::N,семья,еш
244,Großvater::N,песятай,коча́
245,Großvater::N,пересь атай,коча́
246,Großmutter::N,песянай,кова́
247,Großmutter::N,пересь анай,кова́
248,Eltern::N,атай-анай,ача́-ава́
249,Eltern::N,бубы-мумы,ача́-ава́
250,Vater::N,айы,ача́
251,Vater::N,атай,ача́
252,Mutter::N,мумы,ава́
253,Sohn::N,пи,э́рге
254,Tochter::N,ныл,ӱ́дыр
255,Bruder::N,агай,иза́
256,Bruder::N,агай,шо́льо
