,Concept_ID,hu,hr
0,Auge::N,szem,oko
1,Ohr::N,fül,uho
2,Nase::N,orr,nos
3,Mund::N,száj,usta
4,Zahn::N,fog,zub
5,Zunge::N,nyelv,jezik
6,Lippe::N,ajak,usna
7,Wange::N,orca,obraz
8,Gesicht::N,arc,lice
9,Stirn::N,homlok,čelo
10,Haar::N,haj,kosa
11,Schnurrbart::N,bajusz,brkovi
12,Bart::N,szakáll,brada
13,Kinn::N,áll,brada
14,Kinn::N,áll,podbradak
15,Kiefer[Anatomie]::N,állkapocs,čeljust
16,Kehle::N,gége,grlo
17,Kehle::N,torok,grlo
18,Hals::N,nyak,vrat
19,Genick::N,tarkó,zatiljak
20,Kopf::N,fő,glava
21,Kopf::N,fej,glava
22,Rücken::N,hát,leđa
23,Rücken::N,hát,hrbat
24,Bauch::N,has,trbuh
25,Nabel::N,köldök,pupak
26,Busen::N,mell,sisa
27,Busen::N,mell,njedra
28,Busen::N,kebel,sisa
29,Busen::N,kebel,njedra
30,Brust::N,mell,prsa
31,Schulter::N,váll,rame
32,Schulter::N,váll,pleći
33,Arm::N,kar,ruka
34,Ellenbogen::N,könyök,lakat
35,Hand::N,kéz,ruka
36,Handfläche::N,tenyér,dlan
37,Finger::N,ujj,prst
38,Fingernagel::N,köröm,nokat
39,Nagel[Anatomie]::N,köröm,nokat
40,Zeh::N,lábujj,nozni prst
41,Fuß::N,láb,noga
42,Fuß::N,láb,stopalo
43,Ferse::N,sarok,peta
44,Knie::N,térd,koljeno
45,Oberschenkel::N,comb,bedro
46,Bein::N,láb,noga
47,Bein::N,lábszár,noga
48,Körper::N,test,tijelo
49,Haut::N,bőr,put
50,Haut::N,bőr,koža
51,Blut::N,vér,krv
52,Ader::N,ér,žila
53,Sehne::N,ín,tetiva
54,Knochen::N,csont,kost
55,Gehirn::N,agy,
56,Gehirn::N,agyvelő,
57,Herz::N,szív,srce
58,Magen::N,gyomor,stomak
59,Magen::N,gyomor,želudac
60,Leber::N,máj,jetra
61,Atem::N,lehelet,dah
62,Atem::N,lélegzet,dah
63,Hunger::N,éhség,glad
64,Träne::N,könny,suza
65,Geschmack::N,íz,ukus
66,Geruch::N,szag,njuh
67,Geruch::N,szag,miris
68,Schlaf::N,álom,san
69,Schlaf::N,alvás,san
70,Traum::N,álom,san
71,Himmel::N,ég,nebo
72,Himmel::N,menny,nebo
73,Sonne::N,nap,sunce
74,Mond::N,hold,mjesec
75,Stern::N,csillag,zvijezda
76,Luft::N,levegő,zrak
77,Wind::N,szél,vjetar
78,Welle::N,hullám,val
79,Welle::N,hullám,talas
80,Wasser::N,víz,voda
81,Stein::N,kő,kamen
82,Boden::N,föld,tlo
83,Boden::N,föld,zemlja
84,Boden::N,talaj,tlo
85,Boden::N,talaj,zemlja
86,Erde::N,föld,zemlja
87,Staub::N,por,prah
88,Staub::N,por,prašina
89,Rauch::N,füst,dim
90,Funke::N,szikra,iskra
91,Funke::N,szikra,varnica
92,Feuer::N,tűz,vatra
93,Licht::N,fény,svjetlo
94,Schatten::N,árnyék,hlad
