,Concept_ID,ka,hu
0,Auge::N,თვალი,szem
1,Ohr::N,ყური,fül
2,Nase::N,ცხვირი,orr
3,Mund::N,პირი,száj
4,Zahn::N,კბილი,fog
5,Zunge::N,ენა,nyelv
6,Lippe::N,ბაგე,ajak
7,Wange::N,ლოყა,orca
8,Gesicht::N,სახე,arc
9,Stirn::N,შუბლი,homlok
10,Haar::N,თმა,haj
11,Schnurrbart::N,ულვაში,bajusz
12,Bart::N,წვერი,szakáll
13,Kinn::N,ნიკაპი,áll
14,Kiefer[Anatomie]::N,ყბა,állkapocs
15,Kehle::N,ყელი,gége
16,Kehle::N,ყელი,torok
17,Hals::N,ყელი,nyak
18,Hals::N,კისერი,nyak
19,Genick::N,კეფა,tarkó
20,Kopf::N,თავი,fő
21,Kopf::N,თავი,fej
22,Rücken::N,ზურგი,hát
23,Bauch::N,მუცელი,has
24,Nabel::N,ჭიპი,köldök
25,Busen::N,ძუძუ,mell
26,Busen::N,ძუძუ,kebel
27,Brust::N,მკერდი,mell
28,Schulter::N,მხარი,váll
29,Schulter::N,მკლავი,váll
30,Arm::N,ხელი,kar
31,Ellenbogen::N,იდაყვი,könyök
32,Hand::N,ხელი,kéz
33,Handfläche::N,ნები,tenyér
34,Handfläche::N,ხელისგული,tenyér
35,Finger::N,თითი,ujj
36,Fingernagel::N,ფრჩხილი,köröm
37,Nagel[Anatomie]::N,ფრჩხილი,köröm
38,Zeh::N,ფეხის თითი,lábujj
39,Fuß::N,ტერფი,láb
40,Fuß::N,ფეხისგული,láb
41,Ferse::N,ქუსლი,sarok
42,Knie::N,მუხლი,térd
43,Oberschenkel::N,ბარძაყი,comb
44,Bein::N,ფეხი,láb
45,Bein::N,ფეხი,lábszár
46,Körper::N,ტანი,test
47,Körper::N,სხეული,test
48,Haut::N,კანი,bőr
49,Blut::N,სისხლი,vér
50,Ader::N,ძარღვი,ér
51,Sehne::N,მყესი,ín
52,Knochen::N,ძვალი,csont
53,Gehirn::N,ტვინი,agy
54,Gehirn::N,ტვინი,agyvelő
55,Herz::N,გული,szív
56,Magen::N,კუჭი,gyomor
57,Leber::N,ღვიძლი,máj
58,Atem::N,სუნთქვა,lehelet
59,Atem::N,სუნთქვა,lélegzet
60,Hunger::N,შიმშილი,éhség
61,Träne::N,ცრემლი,könny
62,Geschmack::N,გემო,íz
63,Geruch::N,სუნი,szag
64,Schlaf::N,ძილი,álom
65,Schlaf::N,ძილი,alvás
66,Traum::N,სიზმარი,álom
67,Himmel::N,ცა,ég
68,Himmel::N,ცა,menny
69,Sonne::N,მზე,nap
70,Mond::N,მთვარე,hold
71,Stern::N,ვარსკვლავი,csillag
72,Luft::N,ჰაერი,levegő
73,Wind::N,ქარი,szél
74,Welle::N,ტალღა,hullám
75,Wasser::N,წყალი,víz
76,Stein::N,ქვა,kő
77,Boden::N,მიწა,föld
78,Boden::N,მიწა,talaj
79,Erde::N,ნიადაგი,föld
80,Staub::N,მტვერი,por
81,Rauch::N,ბოლი,füst
82,Rauch::N,კვამლი,füst
83,Funke::N,ნაკვესი,szikra
84,Feuer::N,ცეცხლი,tűz
85,Licht::N,შუქი,fény
86,Licht::N,სინათლე,fény
87,Schatten::N,ლანდი,árnyék
88,Schatten::N,ჩრდილი,árnyék
89,Wetter::N,ამინდი,idő
90,Wetter::N,ამინდი,időjárás
91,Nebel::N,ნისლი,köd
92,Wolke::N,ღრუბელი,felhő
93,Regen::N,წვიმა,eső
94,Schnee::N,თოვლი,hó
95,Eis::N,თოში,jég
96,Eis::N,ყინული,jég
97,Frost::N,ყინვა,fagy
98,Kälte::N,სიცივე,hideg
99,Hitze::N,სიცხე,hő
100,Hitze::N,სიცხე,hőség
101,Raureif::N,ჭირხლი,zúzmara
102,Raureif::N,თრთვილი,zúzmara
103,Regenbogen::N,ცისარტყელა,szivárvány
104,Donner::N,ქუხილი,dörgés
105,Donner::N,ქუხილი,mennydörgés
106,Strömung::N,დინება,áramlat
107,Tropfen::N,წვეთი,csepp
108,Schaum::N,ქაფი,hab
109,Schaum::N,ქაფი,tajték
110,Schaum::N,დორბლი,hab
111,Schaum::N,დორბლი,tajték
112,Schmutz::N,ჭუჭყი,piszok
113,Schmutz::N,ტალახი,piszok
114,See::N,ტბა,tó
115,Sumpf::N,ჭაობი,mocsár
116,Moor::N,ტორფნარი,láp
117,Wiese::N,ველი,rét
118,Wiese::N,ველი,mező
119,Wiese::N,მდელო,rét
120,Wiese::N,მდელო,mező
121,Wald::N,ტყე,erdő
122,Hügel::N,ბორცვი,domb
123,Anhöhe::N,მაღლობი,magaslat
124,Berg::N,მთა,hegy
125,Gipfel::N,მწვერვალი,csúcs
126,Höhle::N,მღვიმე,barlang
127,Höhle::N,გამოქვებული,barlang
128,Abhang::N,ფერდობი,lejtő
129,Quelle::N,წყარო,forrás
130,Quelle::N,სათავე,forrás
131,Bach::N,რუ,patak
132,Bach::N,ნაკადული,patak
133,Fluss::N,მდინარე,folyó
134,Ufer::N,კიდე,part
135,Ufer::N,ნაპირი,part
136,Küste::N,ნაპირი,tengerpart
137,Festland::N,ხმელეთი,szárazföld
138,Meer::N,ზღვა,tenger
139,Bucht::N,ყურე,öböl
140,Insel::N,კუნძული,sziget
141,Blume::N,ყვავილი,virág
142,Gras::N,ბალახი,fű
143,Wurzel::N,ძირი,gyökér
144,Wurzel::N,ფესვი,gyökér
145,Baum::N,ხე,fa
146,Stamm::N,ტანი,tő
147,Stamm::N,ტანი,törzs
148,Rinde::N,ქერქი,kéreg
149,Ast::N,ტოტი,ág
150,Zweig::N,შტო,gally
151,Blatt::N,ფოთოლი,levél
152,Birke::N,არყი,nyír
153,Kiefer[Baum]::N,ფიჭვი,fenyő
154,Weide[Baum]::N,ტირიფი,fűz
155,Tanne::N,ნაძვი,fenyő
156,Horn::N,რქა,szarv
157,Feder::N,ფრთა,toll
158,Fell::N,ტყავი,szőr
159,Fell::N,ტყავი,bunda
160,Flügel::N,ფრთა,szárny
161,Klaue::N,კლანჭი,köröm
162,Kralle::N,ტორი,karom
163,Schwanz::N,კუდი,farok
164,Ei::N,კვერცხი,tojás
165,Nest::N,ბუდე,fészek
166,Bau::N,სორო,odú
167,Tier::N,ნადირი,állat
168,Tier::N,ცხოველი,állat
169,Herde::N,ფარა,nyáj
170,Herde::N,ფარა,csorda
171,Kuh::N,ფური,tehén
172,Kuh::N,ძროხა,tehén
173,Bulle::N,ხარი,bika
174,Pferd::N,რაში,ló
175,Pferd::N,ცხენი,ló
176,Schaf::N,ცხვარი,juh
177,Schaf::N,ცხვარი,birka
178,Schwein::N,ღორი,sertés
179,Hund::N,ძაღლი,eb
180,Hund::N,ძაღლი,kutya
181,Katze::N,კატა,macska
182,Bär::N,დათვი,medve
183,Eichhörnchen::N,ციყვი,mókus
184,Elch::N,ცხენ-ირემი,jávorszarvas
185,Fuchs::N,მელა,róka
186,Hase::N,კურდღელი,nyúl
187,Maus::N,თაგვი,egér
188,Wolf::N,მგელი,farkas
189,Vogel::N,ჩიტი,madár
190,Vogel::N,ფრინველი,madár
191,Schwarm::N,გუნდი,raj
192,Huhn::N,დედალი,tyúk
193,Hahn::N,მამალი,kakas
194,Gans::N,ბატი,lúd
195,Gans::N,ბატი,liba
196,Adler::N,არწივი,sas
197,Ente::N,იხვი,kacsa
198,Eule::N,ბუ,bagoly
199,Kranich::N,წერო,daru
200,Krähe::N,ყვავი,varjú
201,Kuckuck::N,გუგული,kakukk
202,Schwan::N,გედი,hattyú
203,Fisch::N,თევზი,hal
204,Barsch::N,ქორჭილა,sügér
205,Hecht::N,ქარიყლაპია,csuka
206,Schlange[Tier]::N,გველი,kígyó
207,Wurm::N,ჭია,kukac
208,Spinne::N,ობობა,pók
209,Ameise::N,ჭიანჭველა,hangya
210,Laus::N,ტილი,tetű
211,Laus::N,მკბენარი,tetű
212,Mücke::N,კოღო,szúnyog
213,Fliege::N,ბუზი,légy
214,Schmetterling::N,პეპელა,lepke
215,Schmetterling::N,პეპელა,pillangó
216,Beere::N,კენკრა,bogyó
217,Apfel::N,ვაშლი,alma
218,Pilz::N,სოკო,gomba
