,Concept_ID,ar,kn
0,Auge::N,عين,ಕಣ್ಣು
1,Ohr::N,أذن,ಕಿವಿ
2,Nase::N,أنف,ಮೂಗು
3,Mund::N,فم,ಬಾಯಿ
4,Zahn::N,سن,ಹಲ್ಲು
5,Zunge::N,لسان,ನಾಲಿಗೆ
6,Lippe::N,شفة,ತುಟಿ
7,Wange::N,خد,ಗಲ್ಲ
8,Wange::N,وجنة,ಗಲ್ಲ
9,Gesicht::N,وجه,ಮುಖ
10,Stirn::N,جبين,ಹಣೆ
11,Haar::N,شعر,ಕೂದಲು
12,Schnurrbart::N,شارب,ಮೀಸೆ
13,Bart::N,لحية,ಗಡ್ಡ
14,Kinn::N,ذقن,ಗದ್ದ
15,Kiefer[Anatomie]::N,فك,ದವಡೆ
16,Kehle::N,حلق,ಗಂಟಲು
17,Hals::N,عنق,ಕೊರಳು
18,Hals::N,رقبة,ಕೊರಳು
19,Genick::N,قفا,ಹಿಂಗತ್ತು
20,Kopf::N,رأس,ತಲೆ
21,Rücken::N,ظهر,ಬೆನ್ನು
22,Bauch::N,بطن,ಹೊಟ್ಟೆ
23,Nabel::N,سرة,ಹೊಕ್ಕುಳು
24,Busen::N,ثدي,ಸ್ತನ
25,Brust::N,صدر,ಎದೆ
26,Schulter::N,كتف,ಭುಜ
27,Arm::N,ذراع,ತೋಳು
28,Ellenbogen::N,كوع,ಮೊಣಕೈ
29,Hand::N,يد,ಕೈ
30,Handfläche::N,كف,ಅಂಗೈ
31,Finger::N,إصبع,ಕೈಬೆರಳು
32,Fingernagel::N,ظفر,ಉಗುರು
33,Nagel[Anatomie]::N,ظفر,ಉಗುರು
34,Zeh::N,إصبع القدم,ಕಾಲ್ಬೆರಳು
35,Fuß::N,قدم,ಪಾದ
36,Ferse::N,كعب,ಹಿಮ್ಮಡಿ
37,Knie::N,ركبة,ಮಂಡಿ
38,Oberschenkel::N,فخذ,ತೊಡೆ
39,Bein::N,ساق,ಕಾಲು
40,Körper::N,جسم,ದೇಹ
41,Haut::N,بشرة,ಚರ್ಮ
42,Blut::N,دم,ರಕ್ತ
43,Ader::N,عرق,ನರ
44,Sehne::N,طنب,ನರ
45,Knochen::N,عظم,ಮೂಳೆ
46,Gehirn::N,دماغ,ಮಿದುಳು
47,Herz::N,قلب,ಹೃದಯ
48,Magen::N,معدة,ಉದರ
49,Leber::N,كبد,ಯಕೃತ್ತು
50,Atem::N,نفس,ಉಸಿರು
51,Hunger::N,جوع,ಹಸಿವು
52,Träne::N,دمعة,ಕಣ್ಣೀರು
53,Geschmack::N,طعم,ರುಚಿ
54,Geschmack::N,مذاق,ರುಚಿ
55,Geruch::N,رائحة,ವಾಸನೆ
56,Schlaf::N,نوم,ನಿದ್ರೆ
57,Schlaf::N,منام,ನಿದ್ರೆ
58,Traum::N,حلم,ಕನಸು
59,Himmel::N,سماء,ಬಾನು
60,Sonne::N,شمس,ಸೂರ್ಯ
61,Mond::N,قمر,ಚಂದ್ರ
62,Stern::N,نجم,ಚುಕ್ಕಿ
63,Stern::N,كوكب,ಚುಕ್ಕಿ
64,Luft::N,هواء,ವಾಯು
65,Wind::N,ريح,ಗಾಳಿ
66,Welle::N,موجة,ಅಲೆ
67,Wasser::N,ماء,ನೀರು
68,Stein::N,حجر,ಕಲ್ಲು
69,Boden::N,تراب,ನೆಲ
70,Erde::N,أرض,ಭೂಮಿ
71,Staub::N,غبار,ದೂಳು
72,Rauch::N,دخان,ಹೊಗೆ
73,Funke::N,شرارة,ಕಿಡಿ
74,Feuer::N,نار,ಬೆಂಕಿ
75,Licht::N,نور,ಬೆಳಕು
76,Licht::N,ضوء,ಬೆಳಕು
77,Schatten::N,ظل,ನೆರಳು
78,Schatten::N,فيء,ನೆರಳು
79,Wetter::N,جو,ಹವ
80,Wetter::N,طقس,ಹವ
81,Nebel::N,ضباب,ಮಂಜು
82,Wolke::N,غيمة,ಮೋಡ
83,Wolke::N,سحابة,ಮೋಡ
84,Regen::N,مطر,ಮಳೆ
85,Schnee::N,ثلج,ಹಿಮ
86,Eis::N,جليد,ಮಂಜುಗಡ್ಡೆ
87,Frost::N,صقيع,ಮಂಜು
88,Kälte::N,برد,ಹಿಮ
89,Hitze::N,حر,ಉಷ್ಣ
90,Hitze::N,حرارة,ಉಷ್ಣ
91,Raureif::N,صقيع,ಇಬ್ಬನಿ
92,Regenbogen::N,قوس قزح,ಇಂದ್ರಚಾಪ
93,Donner::N,رعد,ಗುಡುಗು
94,Strömung::N,تيار,ಪ್ರವಾಹ
95,Tropfen::N,قطرة,ತೊಟ್ಟು
96,Schaum::N,زبد,ನೊರೆ
97,Schaum::N,رغوة,ನೊರೆ
98,Schmutz::N,وسخ,ಕಸ
99,See::N,بحيرة,ಸರೋವರ
100,Sumpf::N,مستنقع,ಜೌಗುಸ್ಥಳ
101,Moor::N,مستنقع,ಬಂಜರು ಭೂಮಿ
102,Wiese::N,مرج,ಹುಲ್ಲುಗಾವಲು
103,Wald::N,غابة,ಕಾಡು
104,Hügel::N,تل,ಗುಡ್ಡೆ
105,Anhöhe::N,تل,ದಿಬ್ಬ
106,Berg::N,جبل,ಮಲೆ
107,Berg::N,جبل,ಪರ್ವತ
108,Gipfel::N,قمة,ಶೃಂಗ
109,Höhle::N,كهف,ಗುಹೆ
110,Abhang::N,منحدر,ಇಳಿಜಾರು
111,Quelle::N,منبع,ಮೂಲ
112,Bach::N,مجرى,ತೊರೆ
113,Fluss::N,نهر,ನದಿ
114,Ufer::N,ضفة,ತೀರ
115,Küste::N,ساحل,ದಂಡೆ
116,Festland::N,بر,ಭೂಮಿ
117,Meer::N,بحر,ಕಡಲು
118,Bucht::N,خليج,ಖಾರಿ
119,Insel::N,جزيرة,ದ್ವೀಪ
120,Blume::N,زهرة,ಸುಮ
121,Gras::N,حشيش,ಹುಲ್ಲು
122,Wurzel::N,أصل,ಬೇರು
123,Baum::N,شجرة,ಮರ
124,Stamm::N,جذع,ಕಾಂಡ
125,Rinde::N,قشرة,ತೂಗಟಿ
126,Ast::N,فرع,ಶಾಖೆ
127,Zweig::N,غصن,ರೆಂಬೆ
128,Blatt::N,ورقة,ಎಲೆ
129,Birke::N,قضبان,ಬರ್ಚ್ ಮರ
130,Kiefer[Baum]::N,صنوبرة,ದೇವದಾರು ಮರ
131,Weide[Baum]::N,صفصاف,ವಿಲೋಮರ
132,Tanne::N,شوح,ಭದ್ರದಾರು
133,Tanne::N,تبوب,ಭದ್ರದಾರು
134,Horn::N,قرن,ಕೊಂಬು
135,Feder::N,ريشة,ಪುಕ್ಕ
136,Fell::N,فرو,ರೋಮ
137,Flügel::N,جناح,ರೆಕ್ಕೆ
138,Klaue::N,مخلب,ಪಂಜ
139,Kralle::N,مخلب,ಉಗುರು
140,Schwanz::N,ذيل,ಬಾಲ
141,Ei::N,بيض,ಮೊಟ್ಟೆ
142,Nest::N,عش,ಗೂಡು
143,Bau::N,جحر,ಅಡಗುದಾಣ
144,Tier::N,حيوان,ಪ್ರಾಣಿ
145,Herde::N,قطيع,ಗುಂಪು
146,Kuh::N,بقرة,ಹಸು
147,Bulle::N,ثور,ಗೂಳಿ
148,Pferd::N,خيل,ಕುದುರೆ
149,Schaf::N,شاة,ಕುರಿ
150,Schwein::N,خنزير,ಹಂದಿ
151,Hund::N,كلب,ನಾಯಿ
152,Katze::N,قطة,ಬೆಕ್ಕು
153,Bär::N,دب,ಕರಡಿ
154,Eichhörnchen::N,سنجاب,ಉಡುತೆ
155,Elch::N,موظ,ಕಡವೆ
156,Fuchs::N,ثعلب,ನರಿ
157,Hase::N,أرنب,ಮೊಲ
158,Maus::N,فأرة,ಇಲಿ
159,Wolf::N,ذئب,ತೋಳ
160,Vogel::N,طير,ಪಕ್ಷಿ
161,Schwarm::N,سرب,ಗುಂಪು
162,Huhn::N,دجاجة,ಚಿಕ್
163,Hahn::N,ديك,ಹುಂಜ
164,Gans::N,وزة,ವರಟೆ
165,Adler::N,نسر,ಗರುಡ
166,Ente::N,بطة,ಬಾತು
167,Eule::N,بوم,ಗೂಬೆ
168,Kranich::N,كركي,ಕೊಕ್ಕರ
169,Krähe::N,غراب,ಕಾಗೆ
170,Kuckuck::N,وقواق,ಕೋಗಿಲೆ
171,Schwan::N,إوز عراقي,ಹಂಸಪಕ್ಷಿ
172,Fisch::N,سمك,ಮೀನು
173,Barsch::N,فرخ أوربي,ಪರ್ಚ್ ಮೀನು
174,Hecht::N,سمك الكراكي,ಪೈಕ್ ಮೀನು
175,Schlange[Tier]::N,حية,ಹಾವು
176,Schlange[Tier]::N,ثعبان,ಹಾವು
177,Wurm::N,دودة,ಹುಳು
178,Spinne::N,عنكبوت,ಊರ್ಣನಾಭ
179,Ameise::N,نملة,ಇರುವೆ
180,Laus::N,قملة,ಹೇನು
181,Mücke::N,ناموسة,ಸೊಳ್ಳೆ
182,Fliege::N,ذبابة,ನೊಣ
183,Schmetterling::N,فراشة,ಪತಂಗ
184,Beere::N,حبة,ನಯವಣ್ಣು
185,Apfel::N,تفاح,ಸೇಬು
186,Pilz::N,فطر,ಅಣಬೆ
187,Zwiebel::N,بصل,ನೀರುಳ್ಳಿ
188,Saat::N,زرع,ಬಿತ್ತ
189,Korn::N,حبة,ಬೀಜ
190,Heu::N,دريس,ಕರಡ
191,Schale::N,قشرة,ಹೊಟ್ಟು
192,Grube::N,نقرة,ಗುಂಡಿ
193,Falle::N,فخ,ಬೋನು
194,Falle::N,مصيدة,ಬೋನು
195,Schlinge::N,عروة,ಉರುಲು
196,Spur::N,أثر,ಜಾಡು
197,Asche::N,رماد,ಬೂದಿ
198,Dreck::N,قذر,ಹೊಲಸು
199,Eisen::N,حديد,ಕಬ್ಬಿಣ
200,Gold::N,ذهب,ಚಿನ್ನ
201,Silber::N,فضة,ಬೆಳ್ಳಿ
202,Kohle::N,فحم,ಕಲ್ಲಿದ್ದಲು
203,Glas::N,زجاج,ಗಾಜು
204,Lehm::N,طين,ಜೇಡಿಮಣ್ಣು
205,Sand::N,رمل,ಮರಳು
206,Mensch::N,إنسان,ಪುರುಷ
207,Mann::N,رجل,ಆಳು
208,Frau::N,امرأة,ಹೆಣ್ಣು
209,Kind::N,طفل,ಮಗು
210,Junge::N,ولد,ಹುಡುಗ
211,Mädchen::N,بنت,ಹುಡುಗಿ
212,Familie::N,عائلة,ಕುಟುಂಬ
213,Großvater::N,جد,ಅಜ್ಜ
214,Großmutter::N,جدة,ಅಮ್ಮ
215,Eltern::N,أبوان,ಹೆತ್ತವರು
216,Eltern::N,والدان,ಹೆತ್ತವರು
217,Vater::N,أب,ತಂದೆ
