,Concept_ID,no,cv
0,Auge::N,øye,куҫ
1,Ohr::N,øre,хӑлха
2,Nase::N,nese,сӑмса
3,Mund::N,munn,ҫӑвар
4,Zahn::N,tann,шӑл
5,Zunge::N,tunge,чӗлхе
6,Lippe::N,leppe,тута
7,Wange::N,kinn,пит ҫӑмарти
8,Gesicht::N,fjes,пит
9,Gesicht::N,fjes,пит-куҫ
10,Gesicht::N,ansikt,пит
11,Gesicht::N,ansikt,пит-куҫ
12,Stirn::N,panne,ҫамка
13,Haar::N,hår,ҫӳҫ
14,Schnurrbart::N,bart,усси
15,Bart::N,skjegg,сухал
16,Kinn::N,hake,янах
17,Kiefer[Anatomie]::N,kjeve,янах
18,Kehle::N,strupe,пыр
19,Kehle::N,strupe,карланкӑ
20,Hals::N,hals,пыр
21,Genick::N,nakke,ӗнсе
22,Kopf::N,hode,пуҫ
23,Rücken::N,rygg,ҫурӑм
24,Bauch::N,buk,
25,Bauch::N,mage,
26,Nabel::N,navle,кӑвапа
27,Busen::N,barm,кӑкӑр
28,Brust::N,bryst,умӗ
29,Schulter::N,skulder,хул пуҫҫи
30,Arm::N,arm,алӑ
31,Ellenbogen::N,albue,чавса
32,Hand::N,hånd,алӑ сыппи
33,Handfläche::N,håndflate,ал лаппи
34,Finger::N,finger,пӳрне
35,Fingernagel::N,fingernegl,чӗрне
36,Nagel[Anatomie]::N,negl,чӗрне
37,Zeh::N,tå,пӳрне
38,Fuß::N,fot,ура лаппи
39,Ferse::N,hæl,кӗле
40,Knie::N,kne,чӗркуҫҫи
41,Oberschenkel::N,lår,пӗҫӗ
42,Bein::N,bein,ура
43,Körper::N,kropp,ӳт
44,Körper::N,kropp,ӳт-пӳ
45,Körper::N,legeme,ӳт
46,Körper::N,legeme,ӳт-пӳ
47,Haut::N,hud,тир
48,Haut::N,skinn,тир
49,Blut::N,blod,юн
50,Ader::N,åre,вена
51,Sehne::N,sene,шӑнӑр
52,Knochen::N,bein,шӑмӑ
53,Knochen::N,knokkel,шӑмӑ
54,Gehirn::N,hjerne,миме
55,Herz::N,hjerte,чӗре
56,Magen::N,mage,хырӑмлӑх
57,Leber::N,lever,пӗвер
58,Atem::N,pust,сывлав
59,Hunger::N,sult,выҫлӑх
60,Träne::N,tåre,куҫҫуль
61,Geschmack::N,smak,техӗм
62,Geruch::N,lukt,шӑршӑ
63,Schlaf::N,søvn,ыйхӑ
64,Traum::N,drøm,тӗлӗк
65,Himmel::N,himmel,пӗлӗт
66,Sonne::N,sol,хӗвел
67,Mond::N,måne,уйӑх
68,Stern::N,stjerne,ҫӑлтӑр
69,Luft::N,luft,сывлӑш
70,Wind::N,vind,ҫил
71,Welle::N,bølge,хум
72,Wasser::N,vann,шыв
73,Wasser::N,vann,шыв-шур
74,Stein::N,stein,чул
75,Boden::N,bakke,тӑпра
76,Erde::N,jord,ҫӗр
77,Staub::N,støv,тусан
78,Rauch::N,røyk,тӗтӗм
79,Funke::N,gnist,хӗм
80,Feuer::N,ild,вут
81,Feuer::N,ild,ҫулӑм
82,Licht::N,lys,ҫутӑ
83,Schatten::N,skygge,сулхӑн
84,Wetter::N,vær,ҫанталӑк
85,Nebel::N,tåke,тӗтре
86,Wolke::N,sky,пӗлӗт
87,Regen::N,regn,ҫумӑр
88,Schnee::N,snø,юр
89,Eis::N,is,пӑр
90,Frost::N,frost,сивӗ
91,Kälte::N,kulde,сивӗ
92,Hitze::N,hete,вӗри
93,Hitze::N,hete,шӑрӑх
94,Raureif::N,rimfrost,пас
95,Regenbogen::N,regnbue,асамат кӗперӗ
96,Donner::N,torden,аслати
97,Strömung::N,strømning,юхӑ
98,Tropfen::N,dråpe,тумлам
99,Schaum::N,skum,кӑпӑк
100,Schmutz::N,søl,пылчӑк
101,Schmutz::N,skitt,пылчӑк
102,See::N,sjø,кӳлӗ
103,Sumpf::N,sump,шур
104,Sumpf::N,sump,шурлӑх
105,Sumpf::N,myrlende,шур
106,Sumpf::N,myrlende,шурлӑх
107,Moor::N,myr,торфлӑ шурлӑх
108,Moor::N,myrhei,торфлӑ шурлӑх
109,Wiese::N,eng,улӑх
110,Wiese::N,eng,ҫаран
111,Wald::N,skog,вӑрман
112,Hügel::N,haug,сӑрт
113,Hügel::N,haug,тӗмеске
114,Hügel::N,bakke,сӑрт
115,Hügel::N,bakke,тӗмеске
116,Anhöhe::N,haug,сӑрт
117,Anhöhe::N,bakke,сӑрт
118,Berg::N,berg,ту
119,Berg::N,fjell,ту
120,Gipfel::N,topp,тӳпе
121,Höhle::N,hule,ҫӗр хӑвӑлӗ
122,Abhang::N,li,тӑвайкки
123,Abhang::N,skråning,тӑвайкки
124,Quelle::N,kilde,ҫӑл куҫ
125,Bach::N,bekk,пӗчӗк шыв
126,Fluss::N,elv,юхан шыв
127,Ufer::N,bredd,ҫыран
128,Küste::N,kyst,тинӗс ҫыранӗ
129,Festland::N,fastland,тип ҫӗр
130,Meer::N,hav,тинӗс
131,Bucht::N,bukt,тинӗс кукӑрӗ
132,Insel::N,øy,утрав
133,Blume::N,blomst,чечек
134,Gras::N,gress,курӑк
135,Wurzel::N,rot,тымар
136,Baum::N,tre,йывӑҫ
137,Stamm::N,stamme,вулӑ
138,Rinde::N,bark,хуйӑр
139,Ast::N,gren,турат
140,Zweig::N,kvist,турат
141,Blatt::N,blad,ҫулҫӑ
142,Birke::N,bjørk,хурӑн
143,Kiefer[Baum]::N,furu,хыр
144,Weide[Baum]::N,selje,хӑва
145,Weide[Baum]::N,piletre,хӑва
146,Tanne::N,gran,чӑрӑш
147,Horn::N,horn,мӑйрака
148,Feder::N,fjær,тӗк
