,Concept_ID,sq,sah
0,Auge::N,sy,харах
1,Ohr::N,vesh,кулгаах
2,Nase::N,hundë,мурун
3,Mund::N,gojë,айах
4,Zahn::N,dhëmb,тиис
5,Zunge::N,gjuhë,тыл
6,Lippe::N,buzë,уос
7,Wange::N,faqe,иэдэс
8,Wange::N,mollëz,иэдэс
9,Gesicht::N,fytyrë,сирэй
10,Stirn::N,ballë,сүүс
11,Haar::N,flokë,баттах
12,Schnurrbart::N,mustaqe,уос бытыга
13,Bart::N,mjekër,сэҥийэ бытыга
14,Kinn::N,mjekër,сэҥийэ
15,Kiefer[Anatomie]::N,nofull,сыҥаах
16,Kehle::N,fyt,тамах
17,Kehle::N,fyt,күөмэй
18,Kehle::N,grykë,тамах
19,Kehle::N,grykë,күөмэй
20,Hals::N,qafë,моой
21,Genick::N,arrëz,кэтэх
22,Kopf::N,kokë,бас
23,Rücken::N,kurriz,көҕүс
24,Bauch::N,bark,ис
25,Nabel::N,kërthizë,киин
26,Busen::N,gji,эмиий
27,Brust::N,gjoks,түөс
28,Brust::N,kraharor,түөс
29,Schulter::N,sup,сарын
30,Schulter::N,krah,сарын
31,Arm::N,krah,илии
32,Ellenbogen::N,bërryl,тоҕонох
33,Hand::N,dorë,илии
34,Handfläche::N,pëllëmbë,ытыс
35,Finger::N,gisht,тарбах
36,Fingernagel::N,thua,тыҥырах
37,Nagel[Anatomie]::N,thua,тыҥырах
38,Zeh::N,gisht i këmbës,тарбах
39,Fuß::N,këmbë,уллуҥах
40,Ferse::N,thembër,тилэх
41,Knie::N,gju,тобук
42,Knie::N,gju,дьилбэк
43,Oberschenkel::N,kofshë,уллук
44,Oberschenkel::N,kofshë,өттүк
45,Bein::N,këmbë,атах
46,Körper::N,trup,бэйэ
47,Haut::N,lëkurë,тирии
48,Blut::N,gjak,хаан
49,Ader::N,venë,вена
50,Ader::N,venë,күөх_тымыр
51,Sehne::N,dell,иҥиир
52,Knochen::N,asht,уҥуох
53,Knochen::N,asht,уҥгуох
54,Knochen::N,kockë,уҥуох
55,Knochen::N,kockë,уҥгуох
56,Gehirn::N,tru,мэйии
57,Herz::N,zemër,сүрэх
58,Magen::N,stomak,куртах
59,Leber::N,mëlçi,быар
60,Atem::N,frymë,тыын
61,Hunger::N,uri,аас
62,Träne::N,lot,харах уута
63,Geschmack::N,shije,амтан
64,Geruch::N,erë,сыт
65,Schlaf::N,gjumë,утуйуу
66,Traum::N,ëndërr,түүл
67,Himmel::N,qiell,халлаан
68,Sonne::N,diell,күн
69,Mond::N,hënë,ый
70,Stern::N,yll,сулус
71,Luft::N,ajër,салгын
72,Wind::N,erë,тыал
73,Welle::N,valë,долгун
74,Welle::N,valë,балхаан
75,Welle::N,dallgë,долгун
76,Welle::N,dallgë,балхаан
77,Wasser::N,ujë,уу
78,Stein::N,gur,таас
79,Boden::N,tokë,сир
80,Boden::N,truall,сир
81,Erde::N,dhe,буор
82,Erde::N,baltë,буор
83,Staub::N,pluhur,быыл
84,Rauch::N,tym,буруо
85,Funke::N,xixë,кыым
86,Funke::N,shkëndijë,кыым
87,Feuer::N,zjarr,уот
88,Licht::N,dritë,уот
89,Schatten::N,hije,күлүк
90,Wetter::N,mot,күн-дьыл
91,Nebel::N,mjegull,туман
92,Wolke::N,re,былыт
93,Regen::N,shi,самыыр
94,Schnee::N,borë,хаар
95,Eis::N,akull,муус
96,Frost::N,ngricë,тымныы
97,Kälte::N,të ftohtë,тымныы
98,Hitze::N,vapë,куйаас
99,Hitze::N,nxehtësi,куйаас
100,Raureif::N,cikmë,кырыа
101,Regenbogen::N,ylber,кустук
102,Donner::N,gjëmim,этиҥ
103,Donner::N,bubullimë,этиҥ
104,Strömung::N,rrymë,сүүрүк
105,Tropfen::N,pikë,таммах
106,Tropfen::N,pikë,хааппыла
107,Schaum::N,shkumë,күүгэн
108,Schmutz::N,baltë,кир
109,See::N,liqen,күөл
110,Sumpf::N,batak,бадараан
111,Moor::N,kënetë,дьэбэрэ
112,Wiese::N,livadh,ходуһа
113,Wald::N,pyll,ойуур
114,Hügel::N,kodër,булгунньах
115,Anhöhe::N,bregore,үрдэл
116,Berg::N,mal,хайа
117,Gipfel::N,kulm,чыпчаал
118,Höhle::N,shpellë,хайа_хаспаҕа
119,Höhle::N,shpellë,көҥүс
120,Höhle::N,zgafelle,хайа_хаспаҕа
121,Höhle::N,zgafelle,көҥүс
122,Abhang::N,shpat,эниэ
123,Abhang::N,tatëpjetë,эниэ
124,Quelle::N,krua,дьүүктэ
125,Quelle::N,burim,дьүүктэ
126,Bach::N,virua,үрүйэ
127,Fluss::N,lumë,өрүс
128,Ufer::N,breg,биэрэк
129,Küste::N,anëdet,кытыл
130,Küste::N,bregdet,кытыл
131,Festland::N,kontinent,кураанах сир
132,Meer::N,det,муора
133,Bucht::N,gji deti,хомо
134,Bucht::N,gji deti,бухта
135,Insel::N,ishull,арыы
136,Insel::N,ujdhesë,арыы
137,Blume::N,lule,сибэкки
138,Gras::N,bar,от
139,Wurzel::N,rrënjë,силис
140,Baum::N,pemë,мас
141,Stamm::N,trung,умнас
142,Rinde::N,lëvore,хатырык
143,Ast::N,degë,мутук
144,Zweig::N,bisk,лабаа
145,Blatt::N,fletë,сэбирдэх
146,Blatt::N,gjethe,сэбирдэх
147,Birke::N,mështekën,хатыҥ
148,Kiefer[Baum]::N,pishë,бэс
149,Weide[Baum]::N,shelg,үөт
150,Weide[Baum]::N,shelg,талах
151,Tanne::N,bredh,харыйа
152,Horn::N,bri,муос
153,Feder::N,pupël,куорсун
154,Fell::N,lëkurë,тирии
