,Concept_ID,uz,da
0,Auge::N,ko'z,øje
1,Ohr::N,quloq,øre
2,Nase::N,burun,næse
3,Mund::N,og'iz,mund
4,Zahn::N,tish,tand
5,Zunge::N,til,tunge
6,Lippe::N,dudoq,læbe
7,Wange::N,bet,kind
8,Gesicht::N,yuz,ansigt
9,Stirn::N,manglay,pande
10,Haar::N,soch,hår
11,Schnurrbart::N,mo'ylov,overskæg
12,Bart::N,soqol,skæg
13,Kinn::N,ängak,hage
14,Kiefer[Anatomie]::N,iyak,kæbe
15,Kehle::N,bo'g'iz,strube
16,Hals::N,bo'yin,hals
17,Genick::N,gardan,nakke
18,Kopf::N,bosh,hoved
19,Rücken::N,orqa,ryg
20,Bauch::N,qorin,mave
21,Nabel::N,kindik,navle
22,Busen::N,ämchak,barm
23,Brust::N,ko'krak,bryst
24,Schulter::N,elka,skulder
25,Arm::N,bilak,arm
26,Ellenbogen::N,tirsak,albue
27,Hand::N,qo'l,hånd
28,Handfläche::N,kaft,håndflade
29,Finger::N,barmoq,finger
30,Fingernagel::N,tirnoq,fingernegl
31,Nagel[Anatomie]::N,tirnoq,negl
32,Zeh::N,oyoq barmog'i,tå
33,Fuß::N,oyoq,fod
34,Ferse::N,tovon,hæl
35,Knie::N,tiz,knæ
36,Oberschenkel::N,son,lår
37,Bein::N,oyoq,ben
38,Körper::N,badna,krop
39,Körper::N,badna,legeme
40,Haut::N,teri,hud
41,Blut::N,qon,blod
42,Ader::N,qon tomir,åre
43,Sehne::N,tomir,sene
44,Knochen::N,suyak,ben
45,Gehirn::N,miya,hjerne
46,Herz::N,qalb,hjerte
47,Magen::N,oshqozon,mave
48,Leber::N,bag'ir,lever
49,Atem::N,dam,ånde
50,Hunger::N,ochlik,sult
51,Träne::N,yosh,tåre
52,Geschmack::N,tam,smag
53,Geruch::N,jid,lugt
54,Schlaf::N,uyqu,søvn
55,Traum::N,tush,drøm
56,Himmel::N,osmon,himmel
57,Sonne::N,quyosh,sol
58,Mond::N,oy,måne
59,Stern::N,yulduz,stjerne
60,Luft::N,havo,luft
61,Wind::N,el,vind
62,Welle::N,to'lqin,bølge
63,Wasser::N,suv,vand
64,Stein::N,tosh,sten
65,Boden::N,tuproq,jord
66,Erde::N,er,jord
67,Staub::N,chang,støv
68,Rauch::N,tutun,røg
69,Funke::N,yalt,gnist
70,Feuer::N,o't,ild
71,Licht::N,yorug',lys
72,Schatten::N,soya,skygge
73,Wetter::N,havo,vejr
74,Nebel::N,tuman,tåge
75,Wolke::N,bulut,sky
76,Regen::N,yomg'ir,regn
77,Schnee::N,qor,sne
78,Eis::N,muz,is
79,Frost::N,ajoz,frost
80,Kälte::N,ajoz,kulde
81,Hitze::N,issiq,hede
82,Raureif::N,qirov,rimfrost
83,Regenbogen::N,kamalak,regnbue
84,Donner::N,guldur,torden
85,Strömung::N,oqim,strømning
86,Tropfen::N,tomchi,dråbe
87,Schaum::N,ko'pik,skum
88,Schmutz::N,gard,snavs
89,See::N,ko'l,sø
90,Sumpf::N,botqoq,sump
91,Moor::N,qir-adir,mose
92,Wiese::N,o'tzor,eng
93,Wald::N,o'rmon,skov
94,Hügel::N,tepa,høj
95,Hügel::N,tepa,bakke
96,Anhöhe::N,adir,høj
97,Anhöhe::N,adir,bakke
98,Berg::N,tog',bjerg
99,Gipfel::N,cho'qqi,top
100,Höhle::N,kavak,hule
101,Abhang::N,to'sh,skrænt
102,Abhang::N,to'sh,skråning
103,Quelle::N,buloq,kilde
104,Bach::N,o'zan,bæk
105,Fluss::N,daryo,flod
106,Ufer::N,sohil,bred
107,Küste::N,qirg'oq,kyst
108,Festland::N,materik,fastland
109,Meer::N,dengiz,hav
110,Bucht::N,qo'ltiq,bugt
111,Insel::N,orol,ø
112,Blume::N,gul,blomst
113,Gras::N,sabza,græs
114,Wurzel::N,tub,rod
115,Wurzel::N,tomir,rod
116,Baum::N,daraxt,træ
117,Stamm::N,o'simta,stamme
118,Rinde::N,qobiq,bark
119,Ast::N,shox,gren
120,Zweig::N,butoq,kvist
121,Blatt::N,barg,blad
122,Birke::N,qayin,birk
123,Kiefer[Baum]::N,qarag'ay,fyrretræ
124,Weide[Baum]::N,shum,piletræ
125,Tanne::N,archa,gran
126,Horn::N,mugiz,horn
127,Feder::N,par,fjer
128,Fell::N,mo'yna,skind
129,Flügel::N,qanot,vinge
130,Klaue::N,tirnoq,klov
131,Kralle::N,tirnoq,klo
132,Schwanz::N,quyruq,hale
133,Ei::N,tuxum,æg
134,Nest::N,oshyon,rede
135,Bau::N,o'pqon,bo
136,Tier::N,hayvon,dyr
137,Herde::N,gala,flok
138,Kuh::N,inak,ko
139,Bulle::N,ho'kiz,tyr
140,Pferd::N,ot,hest
141,Schaf::N,qo'y,får
142,Schwein::N,cho'chqa,gris
143,Hund::N,it,hund
144,Katze::N,mushuk,kat
145,Bär::N,ayiq,bjørn
146,Eichhörnchen::N,tiyin,egern
147,Elch::N,los,elg
148,Fuchs::N,tulki,ræv
149,Hase::N,kuyon,hare
150,Maus::N,sichqon,mus
151,Wolf::N,bo'ri,ulv
152,Vogel::N,qush,fugl
153,Schwarm::N,to'da,sværm
154,Huhn::N,tovuq,høne
155,Hahn::N,xo'roz,hane
156,Gans::N,g'oz,gås
157,Adler::N,burgut,ørn
158,Ente::N,o'rdak,and
159,Eule::N,boyo'g'li,ugle
160,Kranich::N,turna,trane
161,Krähe::N,qarg'a,krage
162,Kuckuck::N,kakku,gøg
163,Schwan::N,oqkush,svane
164,Fisch::N,baliq,fisk
165,Barsch::N,olabug'a,aborre
166,Hecht::N,cho'rtan,gedde
167,Schlange[Tier]::N,ilon,slange
168,Wurm::N,qurt,orm
169,Spinne::N,o'rgimchak,edderkop
170,Ameise::N,chumoli,myre
171,Laus::N,bit,lus
172,Mücke::N,chivin,myg
173,Fliege::N,pashsha,flue
174,Schmetterling::N,kapalak,sommerfugl
175,Beere::N,meva,bær
176,Apfel::N,olma,æble
177,Pilz::N,qo'ziqorin,svamp
178,Zwiebel::N,piyoz,løg
179,Saat::N,äkin,sæd
180,Korn::N,zarra,korn
181,Heu::N,xashak,hø
182,Schale::N,po'choq,skræl
183,Grube::N,co'ra,grav
184,Falle::N,qopqon,fælde
185,Schlinge::N,sirtmoq,snare
186,Spur::N,iz,spor
187,Asche::N,kul,aske
188,Dreck::N,kir,snavs
189,Eisen::N,temir,jern
190,Gold::N,tilla,guld
191,Silber::N,kumush,sølv
192,Kohle::N,ko'mir,kul
193,Glas::N,oyna,glas
194,Lehm::N,loy,ler
195,Sand::N,qum,sand
196,Mensch::N,odam,mennesge
197,Mann::N,ärkak,mand
198,Frau::N,ayol,kvinde
199,Kind::N,bola,barn
200,Kind::N,kichkintoy,barn
201,Junge::N,bola,dreng
202,Mädchen::N,qiz,pige
203,Familie::N,oila,familie
204,Großvater::N,buva,bedstefar
205,Großvater::N,katta ota,bedstefar
206,Großmutter::N,buvi,bedstemor
207,Großmutter::N,katta oyi,bedstemor
208,Eltern::N,ota-ona,forældre
209,Vater::N,ota,far
210,Mutter::N,ona,mor
211,Sohn::N,o'g'il,søn
212,Tochter::N,qiz,datter
213,Bruder::N,og'a,bror
214,Bruder::N,uka,bror
215,Schwester::N,opa,søster
216,Schwester::N,singil,søster
217,Onkel::N,amaki,onkel
218,Tante::N,amma,tante
219,Tante::N,xola,tante
220,Ehemann::N,är,ægtemand
221,Ehefrau::N,rafiqa,hustru
222,Freude::N,ayish,glæde
223,Gelächter::N,kulgi,latter
224,Glück::N,saodat,lykke
225,Kummer::N,g'am,sorg
226,Wunsch::N,orzu,ønske
227,Lust::N,rag'bat,lyst
228,Geist::N,ruh,ånd
229,Gedanke::N,fikr,tanke
230,Gedächtnis::N,äs,hukommelse
231,Verstand::N,aql,forstand
232,Sinn::N,ma'ni,mening
233,Sinn::N,ma'ni,betydning
234,Grund::N,sabab,grund
235,Wahrheit::N,haq,sandhed
236,Gespräch::N,gap,samtale
237,Märchen::N,ärtak,eventyr
238,Erzählung::N,rivoyat,fortælling
239,Nachricht::N,xabar,efterretning
240,Neuigkeit::N,yangilik,nyhed
241,Name::N,ot,navn
242,Rätsel::N,topishmoq,gåde
243,Rede::N,nutq,tale
244,Sprache::N,til,sprog
245,Stimme::N,ovoz,stemme
246,Wort::N,so'z,ord
247,Zeichen::N,alomat,tegn
248,Ruf::N,chaqiriq,råb
249,Lärm::N,taraq,larm
250,Laut::N,tovush,lyd
251,Ton::N,un,tone
252,Lied::N,ashula,sang
253,Ruhe::N,tinchlik,ro
254,Ruhe::N,tinchlik,hvile
255,Leute::N,xaloyiq,folk
256,Leute::N,xaloyiq,mennesker
257,Volk::N,xalq,folk
258,Arbeit::N,ish,arbejde
259,Gast::N,mehmon,gæst
260,Geschenk::N,hadya,gave
261,Spiel::N,o'yin,leg
262,Gesellschaft::N,jamiyat,selskab
263,Hilfe::N,yordam,hjælp
264,Freund::N,do'st,ven
265,Kamerad::N,yo'ldosh,kammerat
266,Angelegenheit::N,daxl,sag
267,Angelegenheit::N,daxl,anliggende
268,Anzahl::N,son,antal
269,Art::N,tur,art
270,Stück::N,parcha,stykke
271,Teil::N,bo'lak,del
272,Hälfte::N,yarim,halvdel
273,Kreis::N,aylana,cirkel
274,Kreuz::N,xoch,kors
275,Kreuz::N,xoch,kryds
276,Linie::N,liniya,linie
277,Strich::N,chiziq,streg
278,Abstand::N,oralik,afstand
279,Entfernung::N,uzoqlik,afstand
280,Gegend::N,yer,egn
281,Platz::N,oralig,plads
282,Ort::N,joy,sted
283,Seite::N,yon,side
284,Mitte::N,o'rta,midte
285,Gegenstand::N,ashyo,genstand
286,Sache::N,buyum,sag
287,Rand::N,chek,rand
288,Kante::N,tig',kant
289,Ecke::N,burchak,hjørne
290,Spitze::N,uch,spids
291,Ende::N,oxir,ende
292,Loch::N,teshik,hul
293,Winkel::N,go'sha,vinkel
294,Muster::N,nusha,mønster
295,Größe::N,kattalik,størrelse
296,Länge::N,uzunlik,længde
297,Höhe::N,yuksaklik,højde
298,Gewicht::N,solmoq,vægt
299,Menge::N,miqdor,mængde
300,Haufen::N,uyum,bunke
301,Reihe::N,saf,række
302,Boot::N,qayiq,båd
303,Ruder::N,äshkak,åre
304,Schlitten::N,chana,kælk
305,Schlitten::N,chana,slæde
306,Ski::N,chang'i,ski
307,Lagerfeuer::N,gulxan,lejrbål
308,Last::N,yuk,last
309,Last::N,yuk,byrde
310,Gang::N,yurish,gang
311,Schritt::N,qadam,skridt
312,Norden::N,shimol,nord
313,Süden::N,janub,syd
314,Westen::N,g'arb,vest
315,Osten::N,sharq,øst
316,Holz::N,yog'och,træ
317,Brett::N,taxta,bræt
318,Platte::N,tabaqa,plade
319,Stütze::N,tayanchi,støtte
320,Stange::N,qo'noq,stang
321,Stock::N,tayoq,stok
322,Stab::N,gavron,stav
323,Rohr::N,tarnov,rør
324,Haus::N,uy,hus
325,Heim::N,makon,hjem
326,Ofen::N,pechka,ovn
327,Fußboden::N,pol,gulv
328,Tisch::N,mosa,bord
329,Stuhl::N,o'rindiq,stol
330,Wiege::N,beshik,vugge
331,Bett::N,yotoq,seng
332,Regal::N,tokcha,reol
333,Kiste::N,sandiq,kasse
