,Concept_ID,fa,de
0,Auge::N,چشم,Auge
1,Ohr::N,گوش,Ohr
2,Nase::N,بینی,Nase
3,Mund::N,دهان,Mund
4,Zahn::N,دندان,Zahn
5,Zunge::N,زبان,Zunge
6,Lippe::N,لب,Lippe
7,Wange::N,لپ,Wange
8,Gesicht::N,رو,Gesicht
9,Gesicht::N,چهره,Gesicht
10,Stirn::N,پیشانی,Stirn
11,Haar::N,مو,Haar
12,Schnurrbart::N,سبیل,Schnurrbart
13,Bart::N,ریش,Bart
14,Kinn::N,چانه,Kinn
15,Kiefer[Anatomie]::N,فک,Kiefer
16,Kiefer[Anatomie]::N,آرواره,Kiefer
17,Kehle::N,حلق,Kehle
18,Hals::N,گردن,Hals
19,Genick::N,پشت گردن,Genick
20,Kopf::N,سر,Kopf
21,Kopf::N,کله,Kopf
22,Rücken::N,پشت,Rücken
23,Bauch::N,شکم,Bauch
24,Nabel::N,ناف,Nabel
25,Busen::N,پستان,Busen
26,Brust::N,سینه,Brust
27,Schulter::N,دوش,Schulter
28,Schulter::N,شانه,Schulter
29,Arm::N,بازو,Arm
30,Ellenbogen::N,آرنج,Ellenbogen
31,Hand::N,دست,Hand
32,Handfläche::N,کف دست,Handfläche
33,Finger::N,انگشت,Finger
34,Fingernagel::N,ناخن دست,Fingernagel
35,Nagel[Anatomie]::N,ناخن,Nagel
36,Zeh::N,انگشت پا,Zeh
37,Fuß::N,پا,Fuß
38,Ferse::N,پاشنه,Ferse
39,Knie::N,زانو,Knie
40,Oberschenkel::N,ران,Oberschenkel
41,Bein::N,پا,Bein
42,Bein::N,لنگ,Bein
43,Körper::N,تن,Körper
44,Körper::N,بدن,Körper
45,Haut::N,پوست,Haut
46,Blut::N,خون,Blut
47,Ader::N,رگ,Ader
48,Sehne::N,زردپی,Sehne
49,Knochen::N,استخوان,Knochen
50,Gehirn::N,مخ,Gehirn
51,Gehirn::N,مغز,Gehirn
52,Herz::N,دل,Herz
53,Herz::N,قلب,Herz
54,Magen::N,معده,Magen
55,Leber::N,کبد,Leber
56,Atem::N,نفس,Atem
57,Hunger::N,گرسنگی,Hunger
58,Träne::N,اشک,Träne
59,Geschmack::N,مزه,Geschmack
60,Geruch::N,بو,Geruch
61,Schlaf::N,خواب,Schlaf
62,Traum::N,رؤیا,Traum
63,Himmel::N,فلک,Himmel
64,Himmel::N,آسمان,Himmel
65,Sonne::N,آفتاب,Sonne
66,Sonne::N,خورشید,Sonne
67,Mond::N,ماه,Mond
68,Stern::N,ستاره,Stern
69,Luft::N,هوا,Luft
70,Wind::N,باد,Wind
71,Welle::N,موج,Welle
72,Wasser::N,آب,Wasser
73,Stein::N,سنگ,Stein
74,Boden::N,زمین,Boden
75,Erde::N,خاک,Erde
76,Erde::N,زمین,Erde
77,Staub::N,گرد,Staub
78,Staub::N,غبار,Staub
79,Rauch::N,دود,Rauch
80,Funke::N,جرقه,Funke
81,Feuer::N,آتش,Feuer
82,Licht::N,نور,Licht
83,Licht::N,روشنی,Licht
84,Schatten::N,سایه,Schatten
85,Wetter::N,هوا,Wetter
86,Nebel::N,مه,Nebel
87,Wolke::N,ابر,Wolke
88,Regen::N,باران,Regen
89,Schnee::N,برف,Schnee
90,Eis::N,یخ,Eis
91,Frost::N,یخبندان,Frost
92,Kälte::N,سرما,Kälte
93,Hitze::N,گرما,Hitze
94,Hitze::N,حرارت,Hitze
95,Raureif::N,برف ریزه,Raureif
96,Regenbogen::N,رنگین‌کمان,Regenbogen
97,Donner::N,رعد,Donner
98,Strömung::N,جریان,Strömung
99,Tropfen::N,قطره,Tropfen
100,Schaum::N,کف,Schaum
101,Schmutz::N,گل,Schmutz
102,Schmutz::N,کثافت,Schmutz
103,See::N,دریاچه,See
104,Sumpf::N,مرداب,Sumpf
105,Sumpf::N,باتلاق,Sumpf
106,Moor::N,باتلاق,Moor
107,Wiese::N,چمن,Wiese
108,Wald::N,جنگل,Wald
109,Hügel::N,تل,Hügel
110,Hügel::N,تپه,Hügel
