,Concept_ID,te,cy
0,Auge::N,కన్ను,llygad
1,Ohr::N,చెవి,clust
2,Nase::N,ముక్కు,trwyn
3,Mund::N,నోరు,ceg
4,Zahn::N,పల్లు,dant
5,Zunge::N,నాలుక,tafod
6,Lippe::N,పెదవి,gwefus
7,Wange::N,చెంప,boch
8,Gesicht::N,ముఖము,wyneb
9,Stirn::N,నుదురు,talcen
10,Haar::N,వెండ్రుక,blew
11,Schnurrbart::N,మీసము,mwstas
12,Bart::N,గడ్డము,barf
13,Kinn::N,గడ్డము,gên
14,Kiefer[Anatomie]::N,దౌడ,gên
15,Kehle::N,గొంతు,gwddf
16,Hals::N,మెడ,gwddf
17,Genick::N,మూపు,gwar
18,Genick::N,మూపు,gwegil
19,Kopf::N,తల,pen
20,Rücken::N,వెన్ను,cefn
21,Bauch::N,కడుపు,bol
22,Nabel::N,బొడ్డు,bogail
23,Busen::N,స్తనము,bron
24,Brust::N,ఱొమ్ము,brest
25,Schulter::N,భుజము,ysgwydd
26,Arm::N,చేయి,braich
27,Ellenbogen::N,మోచేయి,penelin
28,Hand::N,చేయి,llaw
29,Handfläche::N,అరచేయు,palf
30,Finger::N,చేతిప్రేలు,bys
31,Fingernagel::N,గోరు,ewin
32,Nagel[Anatomie]::N,గోరు,ewin
33,Zeh::N,కాలిప్రేలు,bys troed
34,Fuß::N,అడుగు,troed
35,Ferse::N,మడమ,sawdl
36,Knie::N,మోకాలు,glin
37,Oberschenkel::N,తొడ,clun
38,Bein::N,కాలు,coes
39,Körper::N,కాయము,corff
40,Haut::N,చర్మము,croen
41,Blut::N,రక్తము,gwaed
42,Ader::N,సిర,gwythïen
43,Sehne::N,స్నాయువు,gewyn
44,Knochen::N,ఎముక,asgwrn
45,Gehirn::N,మెదడు,ymennydd
46,Herz::N,హృదయము,calon
47,Magen::N,కడుపు,cylla
48,Magen::N,కడుపు,stumog
49,Leber::N,కాలేయము,iau
50,Atem::N,ఉపిరి,anadl
51,Hunger::N,ఆకలి,newyn
52,Träne::N,కన్నీటిచుక్క,deigryn
53,Geschmack::N,రుచి,cyflas
54,Geruch::N,వాసన,aroglau
55,Schlaf::N,నిద్ర,cwsg
56,Traum::N,కల,breuddwyd
57,Himmel::N,ఆకాశము,awyr
58,Sonne::N,సూర్యుడు,haul
59,Mond::N,చంద్రుడు,lleuad
60,Stern::N,నక్షత్రము,seren
61,Luft::N,గాలి,awyr
62,Wind::N,వీచుచున్నగాలి,gwynt
63,Welle::N,అల,ton
64,Wasser::N,నీరు,dŵr
65,Stein::N,ఱాయి,carreg
66,Boden::N,నేల,llawr
67,Erde::N,మన్ను,pridd
68,Staub::N,దుమ్ము,llwch
69,Rauch::N,పొగ,mwg
70,Funke::N,అగ్నికణము,gwreichioni
71,Feuer::N,అగ్ని,tân
72,Licht::N,కాంతి,golau
73,Schatten::N,నీడ,cysgod
74,Wetter::N,వాతావరణ స్థితి,tywydd
75,Nebel::N,పొగమంచు,niwl
76,Wolke::N,మేఘము,cwmwl
77,Regen::N,వాన,glaw
