,Concept_ID,cv,fi
0,Auge::N,куҫ,silmä
1,Ohr::N,хӑлха,korva
2,Nase::N,сӑмса,nenä
3,Mund::N,ҫӑвар,suu
4,Zahn::N,шӑл,hammas
5,Zunge::N,чӗлхе,kieli
6,Lippe::N,тута,huuli
7,Wange::N,пит ҫӑмарти,poski
8,Gesicht::N,пит,naama
9,Gesicht::N,пит,kasvot
10,Gesicht::N,пит-куҫ,naama
11,Gesicht::N,пит-куҫ,kasvot
12,Stirn::N,ҫамка,otsa
13,Haar::N,ҫӳҫ,hius
14,Haar::N,ҫӳҫ,tukka
15,Schnurrbart::N,усси,viikset
16,Bart::N,сухал,parta
17,Kinn::N,янах,leuka
18,Kiefer[Anatomie]::N,янах,leukaluu
19,Kehle::N,пыр,kurkku
20,Kehle::N,карланкӑ,kurkku
21,Hals::N,пыр,kaula
22,Genick::N,ӗнсе,niska
23,Kopf::N,пуҫ,pää
24,Rücken::N,ҫурӑм,selkä
25,Nabel::N,кӑвапа,napa
26,Busen::N,кӑкӑр,rinta
27,Brust::N,умӗ,rinta
28,Schulter::N,хул пуҫҫи,olka
29,Schulter::N,хул пуҫҫи,hartia
30,Schulter::N,хул пуҫҫи,olkapää
31,Arm::N,алӑ,käsivarsi
32,Ellenbogen::N,чавса,kyynärpää
33,Hand::N,алӑ сыппи,käsi
34,Handfläche::N,ал лаппи,kämmen
35,Finger::N,пӳрне,sormi
36,Fingernagel::N,чӗрне,kynsi
37,Nagel[Anatomie]::N,чӗрне,kynsi
38,Zeh::N,пӳрне,varvas
39,Fuß::N,ура лаппи,jalka
40,Ferse::N,кӗле,kantapää
41,Knie::N,чӗркуҫҫи,polvi
42,Oberschenkel::N,пӗҫӗ,reisi
43,Bein::N,ура,jalka
44,Körper::N,ӳт,keho
45,Körper::N,ӳт,ruumis
46,Körper::N,ӳт-пӳ,keho
47,Körper::N,ӳт-пӳ,ruumis
48,Haut::N,тир,iho
49,Blut::N,юн,veri
50,Ader::N,вена,suoni
51,Sehne::N,шӑнӑр,jänne
52,Knochen::N,шӑмӑ,luu
