,Concept_ID,ko,ab
0,Auge::N,눈,ала
1,Ohr::N,귀,алымҳа
2,Nase::N,코,аҧынҵа
3,Mund::N,입,аҧышə
4,Zahn::N,이,ахаҧыц
5,Zunge::N,혀,абз
6,Lippe::N,입술,ақьышə
7,Wange::N,뺨,аӡамҩа
8,Gesicht::N,얼굴,аҿы
9,Stirn::N,이마,алахь
10,Haar::N,털,ахəыц
11,Schnurrbart::N,윗수몀,аҧаҵа
12,Schnurrbart::N,코밑수염,аҧаҵа
13,Bart::N,수엄,ажакьа
14,Kinn::N,아래턱,ацламкəыгə
15,Kiefer[Anatomie]::N,턱,ацламҳəа
16,Kehle::N,인후,ахəда
17,Hals::N,목,ахəда
18,Genick::N,먹덜이,ахəдаџьал
19,Kopf::N,머리,ахы
20,Rücken::N,든,азқəа
21,Bauch::N,배,амгəа
22,Nabel::N,배꼽,аҷапан
23,Busen::N,가슴속,агəыҧҳəы
24,Brust::N,가슴,агəышҧы
25,Schulter::N,어깨,ажəҩахыр
26,Arm::N,팔,амахəар
27,Ellenbogen::N,팔쿰치,амашьхəылҵ
28,Hand::N,손,анапы
29,Handfläche::N,손바닥,анапсаргəыҵа
30,Finger::N,속가락,анацəа
31,Fingernagel::N,손톱,анапхыц
32,Nagel[Anatomie]::N,손톱,ашьапхыц
33,Zeh::N,발가락,ашьацəа
34,Fuß::N,발,ашьапсыргəыҵа
35,Ferse::N,발꿈치,ашьхəа
36,Knie::N,무릎,ашьамхы
37,Oberschenkel::N,허벅다리,ауаҭəа
38,Bein::N,다리,ашьапы
39,Körper::N,구간,ацəеижь
40,Haut::N,살갗,ацəа
41,Blut::N,피,ашьа
42,Ader::N,정맥,ада
43,Sehne::N,현,адаш
44,Knochen::N,뼈,абаҩ
45,Gehirn::N,뇌,ахшлыбаҩ
46,Gehirn::N,뇌,ахшыбаҩ
47,Gehirn::N,뇌수,ахшлыбаҩ
48,Gehirn::N,뇌수,ахшыбаҩ
49,Herz::N,염통,агəы
50,Magen::N,위,аца
51,Magen::N,위,ацар
52,Leber::N,간,агəаҵəа
53,Atem::N,기식,аҧсыҧлагаҩгара
