,Concept_ID,cv,es
0,Auge::N,куҫ,ojo
1,Ohr::N,хӑлха,oreja
2,Nase::N,сӑмса,nariz
3,Mund::N,ҫӑвар,boca
4,Zahn::N,шӑл,diente
5,Zunge::N,чӗлхе,lengua
6,Lippe::N,тута,labio
7,Wange::N,пит ҫӑмарти,mejilla
8,Gesicht::N,пит,cara
9,Gesicht::N,пит-куҫ,cara
10,Stirn::N,ҫамка,frente
11,Haar::N,ҫӳҫ,cabello
12,Schnurrbart::N,усси,bigote
13,Bart::N,сухал,barba
14,Kinn::N,янах,barbilla
15,Kiefer[Anatomie]::N,янах,mandíbula
16,Kehle::N,пыр,garganta
17,Kehle::N,карланкӑ,garganta
18,Hals::N,пыр,cuello
19,Genick::N,ӗнсе,nuca
20,Genick::N,ӗнсе,cerviz
21,Kopf::N,пуҫ,cabeza
22,Rücken::N,ҫурӑм,espalda
23,Nabel::N,кӑвапа,ombligo
24,Busen::N,кӑкӑр,pecho
25,Brust::N,умӗ,pecho
26,Schulter::N,хул пуҫҫи,hombro
27,Arm::N,алӑ,brazo
28,Ellenbogen::N,чавса,codo
29,Hand::N,алӑ сыппи,mano
30,Handfläche::N,ал лаппи,palma
31,Finger::N,пӳрне,dedo
32,Fingernagel::N,чӗрне,uña
33,Nagel[Anatomie]::N,чӗрне,uña
34,Zeh::N,пӳрне,dedo del pie
35,Fuß::N,ура лаппи,pie
36,Ferse::N,кӗле,talón
37,Knie::N,чӗркуҫҫи,rodilla
38,Oberschenkel::N,пӗҫӗ,muslo
39,Bein::N,ура,pierna
40,Körper::N,ӳт,cuerpo
41,Körper::N,ӳт-пӳ,cuerpo
42,Haut::N,тир,piel
43,Blut::N,юн,sangre
44,Ader::N,вена,vena
45,Sehne::N,шӑнӑр,tendón
46,Knochen::N,шӑмӑ,hueso
47,Gehirn::N,миме,cerebro
48,Gehirn::N,миме,encéfalo
49,Herz::N,чӗре,corazón
50,Magen::N,хырӑмлӑх,estómago
51,Leber::N,пӗвер,hígado
52,Atem::N,сывлав,aliento
53,Hunger::N,выҫлӑх,hambre
54,Träne::N,куҫҫуль,lágrima
55,Geschmack::N,техӗм,gusto
56,Geruch::N,шӑршӑ,olor
57,Schlaf::N,ыйхӑ,sueño
58,Traum::N,тӗлӗк,sueño
59,Traum::N,тӗлӗк,ensueño
60,Himmel::N,пӗлӗт,cielo
61,Sonne::N,хӗвел,sol
62,Mond::N,уйӑх,luna
63,Stern::N,ҫӑлтӑр,estrella
64,Luft::N,сывлӑш,aire
65,Wind::N,ҫил,viento
66,Welle::N,хум,ola
67,Welle::N,хум,onda
68,Wasser::N,шыв,agua
69,Wasser::N,шыв-шур,agua
70,Stein::N,чул,piedra
71,Boden::N,тӑпра,suelo
72,Erde::N,ҫӗр,tierra
73,Staub::N,тусан,polvo
74,Rauch::N,тӗтӗм,humo
75,Funke::N,хӗм,chispa
76,Feuer::N,вут,fuego
77,Feuer::N,ҫулӑм,fuego
78,Licht::N,ҫутӑ,luz
79,Schatten::N,сулхӑн,sombra
80,Wetter::N,ҫанталӑк,tiempo
81,Nebel::N,тӗтре,niebla
82,Wolke::N,пӗлӗт,nube
83,Regen::N,ҫумӑр,lluvia
84,Schnee::N,юр,nieve
85,Eis::N,пӑр,hielo
86,Frost::N,сивӗ,helada
87,Kälte::N,сивӗ,frío
88,Hitze::N,вӗри,calor
89,Hitze::N,шӑрӑх,calor
90,Raureif::N,пас,escarcha
91,Regenbogen::N,асамат кӗперӗ,arco iris
92,Donner::N,аслати,trueno
93,Strömung::N,юхӑ,corriente
94,Tropfen::N,тумлам,gota
95,Schaum::N,кӑпӑк,espuma
96,Schmutz::N,пылчӑк,suciedad
97,See::N,кӳлӗ,lago
98,Sumpf::N,шур,pantano
99,Sumpf::N,шурлӑх,pantano
100,Moor::N,торфлӑ шурлӑх,turbera
101,Wiese::N,улӑх,prado
102,Wiese::N,улӑх,pradera
103,Wiese::N,ҫаран,prado
104,Wiese::N,ҫаран,pradera
105,Wald::N,вӑрман,bosque
106,Hügel::N,сӑрт,colina
107,Hügel::N,тӗмеске,colina
108,Anhöhe::N,сӑрт,cerro
109,Berg::N,ту,monte
110,Berg::N,ту,montaña
111,Gipfel::N,тӳпе,cima
112,Gipfel::N,тӳпе,cumbre
113,Höhle::N,ҫӗр хӑвӑлӗ,cueva
114,Höhle::N,ҫӗр хӑвӑлӗ,caverna
115,Abhang::N,тӑвайкки,cuesta
116,Abhang::N,тӑвайкки,declive
117,Quelle::N,ҫӑл куҫ,fuente
118,Quelle::N,ҫӑл куҫ,manantial
119,Bach::N,пӗчӗк шыв,arroyo
120,Fluss::N,юхан шыв,río
121,Ufer::N,ҫыран,orilla
122,Küste::N,тинӗс ҫыранӗ,costa
123,Festland::N,тип ҫӗр,tierra firme
124,Meer::N,тинӗс,mar
125,Bucht::N,тинӗс кукӑрӗ,cala
126,Bucht::N,тинӗс кукӑрӗ,bahía
127,Insel::N,утрав,isla
128,Blume::N,чечек,flor
129,Gras::N,курӑк,hierba
130,Wurzel::N,тымар,raíz
131,Baum::N,йывӑҫ,árbol
