,Concept_ID,lv,kn
0,Auge::N,син,ಕಣ್ಣು
1,Auge::N,acs,ಕಣ್ಣು
2,Ohr::N,пель,ಕಿವಿ
3,Ohr::N,auss,ಕಿವಿ
4,Nase::N,ныр,ಮೂಗು
5,Nase::N,deguns,ಮೂಗು
6,Mund::N,вом,ಬಾಯಿ
7,Mund::N,mute,ಬಾಯಿ
8,Zahn::N,пинь,ಹಲ್ಲು
9,Zahn::N,zobs,ಹಲ್ಲು
10,Zunge::N,кыв,ನಾಲಿಗೆ
11,Zunge::N,mēle,ನಾಲಿಗೆ
12,Lippe::N,вом дор,ತುಟಿ
13,Lippe::N,lūpa,ತುಟಿ
14,Wange::N,бан,ಗಲ್ಲ
15,Wange::N,vaigs,ಗಲ್ಲ
16,Gesicht::N,чужӧм,ಮುಖ
17,Gesicht::N,seja,ಮುಖ
18,Gesicht::N,ģīmis,ಮುಖ
19,Stirn::N,плеш,ಹಣೆ
20,Stirn::N,кымӧс,ಹಣೆ
21,Stirn::N,piere,ಹಣೆ
22,Haar::N,си,ಕೂದಲು
23,Haar::N,юрси,ಕೂದಲು
24,Haar::N,mats,ಕೂದಲು
25,Schnurrbart::N,ус,ಮೀಸೆ
26,Schnurrbart::N,пыртсим,ಮೀಸೆ
27,Schnurrbart::N,ūsas,ಮೀಸೆ
28,Bart::N,тош,ಗಡ್ಡ
29,Bart::N,bārda,ಗಡ್ಡ
30,Kinn::N,тшӧка,ಗದ್ದ
31,Kinn::N,zods,ಗದ್ದ
32,Kinn::N,smakrs,ಗದ್ದ
33,Kiefer[Anatomie]::N,черлы,ದವಡೆ
34,Kiefer[Anatomie]::N,алака лы,ದವಡೆ
35,Kiefer[Anatomie]::N,вомкӧтш лы,ದವಡೆ
36,Kiefer[Anatomie]::N,žoklis,ದವಡೆ
37,Kehle::N,голя,ಗಂಟಲು
38,Kehle::N,rīkle,ಗಂಟಲು
39,Hals::N,сьылі,ಕೊರಳು
40,Hals::N,kakls,ಕೊರಳು
41,Genick::N,юрбӧр,ಹಿಂಗತ್ತು
42,Genick::N,балябӧж,ಹಿಂಗತ್ತು
43,Genick::N,sprands,ಹಿಂಗತ್ತು
44,Kopf::N,юр,ತಲೆ
45,Kopf::N,galva,ತಲೆ
46,Rücken::N,мыш,ಬೆನ್ನು
47,Rücken::N,mugura,ಬೆನ್ನು
48,Bauch::N,рушку,ಹೊಟ್ಟೆ
49,Bauch::N,vēders,ಹೊಟ್ಟೆ
50,Nabel::N,гӧг,ಹೊಕ್ಕುಳು
51,Nabel::N,naba,ಹೊಕ್ಕುಳು
52,Busen::N,морӧс,ಸ್ತನ
53,Busen::N,krūts,ಸ್ತನ
54,Brust::N,морӧс,ಎದೆ
55,Brust::N,krūts,ಎದೆ
56,Schulter::N,пельпом,ಭುಜ
57,Schulter::N,plecs,ಭುಜ
58,Arm::N,ки,ತೋಳು
59,Arm::N,roka,ತೋಳು
60,Arm::N,delms,ತೋಳು
61,Ellenbogen::N,гырддза,ಮೊಣಕೈ
62,Ellenbogen::N,elkonis,ಮೊಣಕೈ
