,Concept_ID,xal,fi
0,Auge::N,нүдн,silmä
1,Ohr::N,чикн,korva
2,Nase::N,хамр,nenä
3,Mund::N,амн,suu
4,Zahn::N,шүдн,hammas
5,Zunge::N,келн,kieli
6,Lippe::N,урл,huuli
7,Wange::N,халх,poski
8,Gesicht::N,нүр,naama
9,Gesicht::N,нүр,kasvot
10,Stirn::N,маңна,otsa
11,Haar::N,үсн,hius
12,Haar::N,үсн,tukka
13,Schnurrbart::N,сахл,viikset
14,Bart::N,сахл,parta
15,Bart::N,өргнә сахл,parta
16,Kinn::N,өргн,leuka
17,Kiefer[Anatomie]::N,өргн,leukaluu
18,Kehle::N,хол,kurkku
19,Hals::N,күзүн,kaula
20,Genick::N,гиҗг,niska
21,Kopf::N,толһа,pää
22,Rücken::N,нурһн,selkä
23,Bauch::N,гесн,maha
24,Bauch::N,гесн,vatsa
25,Nabel::N,киисн,napa
26,Busen::N,көкн,rinta
27,Brust::N,чееҗ,rinta
28,Schulter::N,ээм,olka
29,Schulter::N,ээм,hartia
30,Schulter::N,ээм,olkapää
31,Arm::N,һар,käsivarsi
32,Ellenbogen::N,тоха,kyynärpää
33,Hand::N,баһлцг,käsi
34,Handfläche::N,альхн,kämmen
35,Finger::N,хурһн,sormi
36,Finger::N,һарин хурһн,sormi
37,Fingernagel::N,хумсн,kynsi
38,Nagel[Anatomie]::N,хумсн,kynsi
39,Zeh::N,хурһн,varvas
40,Zeh::N,көлин хурһн,varvas
41,Fuß::N,тавг,jalka
42,Ferse::N,өскә,kantapää
43,Knie::N,өвдг,polvi
44,Oberschenkel::N,һуй,reisi
45,Bein::N,көл,jalka
46,Körper::N,махмуд,keho
47,Körper::N,махмуд,ruumis
48,Haut::N,арсн,iho
49,Blut::N,цусн,veri
50,Ader::N,судцн,suoni
51,Sehne::N,шүрүсн,jänne
52,Knochen::N,ясн,luu
53,Gehirn::N,экн,aivot
54,Herz::N,зүркн,sydän
55,Magen::N,гесн,maha
56,Magen::N,гесн,vatsa
57,Leber::N,элкн,maksa
58,Atem::N,әмсхл,henki
59,Atem::N,әмсхл,hengitys
60,Hunger::N,харһнлһн,nälkä
61,Träne::N,нульмсн,kyynel
62,Geschmack::N,амтн,maku
63,Geruch::N,үнр,haju
64,Schlaf::N,нөр,uni
65,Traum::N,зүүдн,uni
66,Himmel::N,теңгр,taivas
67,Sonne::N,нарн,aurinko
68,Mond::N,сар,kuu
69,Stern::N,одн,tähti
70,Luft::N,аһар,ilma
71,Wind::N,салькн,tuuli
72,Welle::N,дольган,aalto
73,Wasser::N,усн,vesi
74,Stein::N,чолун,kivi
75,Boden::N,Һазр,maa
76,Boden::N,Һазр,maaperä
77,Erde::N,Һазр,maa
