,Concept_ID,fr,ku
0,Auge::N,œil,çav
1,Ohr::N,oreille,guh
2,Nase::N,nez,bêvil
3,Mund::N,bouche,dev
4,Zahn::N,dent,didan
5,Zunge::N,langue,ziman
6,Lippe::N,lèvre,lêv
7,Wange::N,joue,dêm
8,Wange::N,joue,hinarik
9,Gesicht::N,face,rû
10,Gesicht::N,visage,rû
11,Stirn::N,front,enî
12,Haar::N,cheveu,por
13,Schnurrbart::N,moustache,simbêl
14,Bart::N,barbe,rih
15,Kinn::N,menton,zenî
16,Kiefer[Anatomie]::N,mâchoire,arguşk
17,Kehle::N,gorge,qirik
18,Hals::N,cou,stû
19,Hals::N,cou,qirik
20,Genick::N,nuque,stû
21,Kopf::N,tête,serî
22,Rücken::N,dos,pişt
23,Bauch::N,ventre,ûr
24,Bauch::N,ventre,zik
25,Nabel::N,nombril,navik
26,Busen::N,sein,sîng
27,Brust::N,poitrine,sîng
28,Schulter::N,épaule,mil
29,Arm::N,bras,çepil
30,Ellenbogen::N,coude,enîşk
31,Hand::N,main,dest
32,Handfläche::N,paume,kefadest
33,Finger::N,doigt,tilî
34,Fingernagel::N,ongle,neynuk
35,Nagel[Anatomie]::N,ongle,bizmar
36,Zeh::N,orteil,tilî linga
37,Zeh::N,doigt de pied,tilî linga
38,Fuß::N,pied,ling
39,Ferse::N,talon,pahnî
40,Knie::N,genou,kabok
41,Oberschenkel::N,cuisse,rahn
42,Bein::N,jambe,çip
43,Körper::N,corps,laş
44,Körper::N,corps,gowde
45,Haut::N,peau,çerm
46,Blut::N,sang,xwîn
47,Ader::N,veine,reh
48,Sehne::N,tendon,reh
49,Knochen::N,os,hestî
50,Gehirn::N,cerveau,mêjî
51,Herz::N,cœur,dil
52,Magen::N,estomac,navêş
53,Leber::N,foie,kezeb
54,Atem::N,haleine,hilm
55,Hunger::N,faim,birçîtî
56,Träne::N,larme,hêstir
57,Geschmack::N,goût,tam
58,Geschmack::N,saveur,tam
59,Geruch::N,odeur,bêhn
60,Schlaf::N,sommeil,xew
61,Traum::N,songe,xewn
62,Himmel::N,ciel,ezman
63,Sonne::N,soleil,roj
64,Mond::N,lune,heyv
65,Stern::N,étoile,stêrk
66,Luft::N,air,ba
67,Wind::N,vent,ba
68,Welle::N,vague,şewl
69,Wasser::N,eau,av
70,Stein::N,pierre,kevir
71,Boden::N,sol,herd
72,Boden::N,terrain,herd
73,Erde::N,terre,ax
74,Staub::N,poussière,toz
75,Rauch::N,fumée,dû
76,Funke::N,étincelle,çirûşk
77,Feuer::N,feu,agir
78,Licht::N,lumière,ronahî
79,Schatten::N,ombre,sî
80,Wetter::N,temps,hewa
81,Nebel::N,brume,mij
82,Nebel::N,brouillard,mij
83,Wolke::N,nuage,ewr
84,Regen::N,pluie,baran
85,Schnee::N,neige,berf
86,Eis::N,glace,qeşa
87,Frost::N,gel,xûsik
88,Frost::N,gelée,xûsik
89,Kälte::N,froid,serma
90,Hitze::N,chaleur,germayî
91,Raureif::N,givre,şext
92,Regenbogen::N,arc-en-ciel,heftreng
93,Donner::N,tonnerre,gire-gir
94,Strömung::N,courant,şewl
95,Tropfen::N,goutte,dilop
96,Schaum::N,écume,kef
97,Schaum::N,mousse,kef
98,Schmutz::N,boue,gemar
99,Schmutz::N,saleté,gemar
100,See::N,lac,gol
101,Sumpf::N,marais,hezek
102,Sumpf::N,marécage,hezek
103,Moor::N,tourbière,mafêl
104,Wiese::N,pré,sûrik
105,Wald::N,bois,çiya
106,Wald::N,bois,daristan
107,Wald::N,forêt,çiya
108,Wald::N,forêt,daristan
109,Hügel::N,coteau,gir
110,Hügel::N,colline,gir
111,Anhöhe::N,éminence,sere gir
112,Anhöhe::N,élévation,sere gir
113,Berg::N,mont,kaş
114,Berg::N,montagne,kaş
115,Gipfel::N,cime,sere gir
116,Gipfel::N,sommet,sere gir
117,Höhle::N,caverne,şikeft
118,Abhang::N,pente,kaş
119,Abhang::N,versant,kaş
120,Quelle::N,source,kanî
121,Quelle::N,fontaine,kanî
122,Bach::N,ruisseau,çem
123,Fluss::N,fleuve,çem
124,Fluss::N,fleuve,rûbar
125,Fluss::N,rivière,çem
126,Fluss::N,rivière,rûbar
127,Ufer::N,bord,kevî
128,Ufer::N,rivage,kevî
129,Küste::N,côte,berav
130,Festland::N,terre ferme,bejahî
131,Meer::N,mer,behr
132,Bucht::N,baie,derav
133,Insel::N,île,girav
134,Blume::N,fleur,kulînk
135,Gras::N,herbe,giha
136,Wurzel::N,racine,reh
137,Baum::N,arbre,dar
138,Stamm::N,tronc,bavik
139,Rinde::N,écorce,qaqil
140,Ast::N,branche,gulî
141,Zweig::N,rameau,şax
142,Blatt::N,feuille,pel
143,Birke::N,bouleau,dara sipî
144,Kiefer[Baum]::N,pin,dara bî
145,Weide[Baum]::N,saule,dara belalûk
146,Tanne::N,sapin,merx
147,Horn::N,corne,strô
148,Feder::N,plume,pîrtîk
149,Fell::N,peau,heyar
150,Flügel::N,aile,per
151,Klaue::N,serre,napîk
152,Kralle::N,ongle,dinik
153,Kralle::N,ongle,dirnax
154,Kralle::N,griffe,dinik
155,Kralle::N,griffe,dirnax
156,Schwanz::N,queue,dûv
157,Ei::N,œuf,hêk
158,Nest::N,nid,hêlîn
159,Bau::N,terrier,avahî
160,Tier::N,animal,heywan
161,Herde::N,troupeau,hoz
162,Kuh::N,vache,çêlek
163,Bulle::N,taureau,ga
164,Pferd::N,cheval,hesp
165,Schaf::N,mouton,mîh
166,Schwein::N,porc,beraz
167,Schwein::N,cochon,beraz
168,Hund::N,chien,seh
169,Katze::N,chat,pişîk
170,Bär::N,ours,hirç
171,Eichhörnchen::N,écureuil,pilûr
172,Elch::N,élan,pazkovî
173,Fuchs::N,renard,rovî
174,Hase::N,lièvre,kîroşk
175,Maus::N,souris,mişk
176,Wolf::N,loup,gur
177,Vogel::N,oiseau,çûk
178,Schwarm::N,nuée,lufik
179,Schwarm::N,volée,lufik
180,Huhn::N,poule,mirîşk
181,Hahn::N,coq,dîk
182,Gans::N,oie,qaz
183,Adler::N,aigle,eylo
184,Ente::N,canard,werdek
185,Eule::N,hibou,bûm
186,Eule::N,hibou,kund
187,Kranich::N,grue,quling
188,Krähe::N,corneille,qijik
189,Kuckuck::N,coucou,pepûk
190,Schwan::N,cygne,qû
191,Fisch::N,poisson,masî
192,Barsch::N,perche,okûn
193,Hecht::N,brochet,mesîyê lûf
194,Schlange[Tier]::N,serpent,mar
195,Wurm::N,ver,kurm
196,Spinne::N,araignée,pîrê
197,Ameise::N,fourmi,mîro
198,Ameise::N,fourmi,gêrîk
199,Laus::N,pou,spi
200,Mücke::N,moucheron,mêş
201,Fliege::N,mouche,mêş
202,Schmetterling::N,papillon,perperîk
203,Beere::N,baie,hirç
204,Apfel::N,pomme,sêv
205,Pilz::N,champignon,bîrov
206,Zwiebel::N,oignon,pîvaz
207,Saat::N,semence,tov
208,Korn::N,grain,dexl
209,Heu::N,foin,sap
210,Schale::N,pelure,qaşik
211,Grube::N,fosse,çahl
212,Falle::N,piège,dafik
213,Schlinge::N,lacs,dahf
214,Spur::N,trace,rêç
215,Asche::N,cendre,xweli
216,Dreck::N,crotte,gemarî
217,Eisen::N,fer,hesing
218,Gold::N,or,zêr
219,Silber::N,argent,zîv
220,Kohle::N,charbon,komir
221,Glas::N,verre,qedeh
222,Lehm::N,glaise,kelpîç
223,Sand::N,sable,qûm
224,Mensch::N,homme,mirov
225,Mann::N,homme,mêr
226,Frau::N,femme,jin
227,Kind::N,enfant,zarok
228,Junge::N,garçon,kur
229,Mädchen::N,fille,keç
230,Mädchen::N,fille,keçik
231,Mädchen::N,jeune fille,keç
232,Mädchen::N,jeune fille,keçik
233,Familie::N,famille,malbat
234,Großvater::N,grand-père,bapîr
235,Großmutter::N,grand-mère,pîrik
236,Eltern::N,parents,bavudê
237,Vater::N,père,bav
238,Mutter::N,mère,dê
239,Mutter::N,mère,dayik
240,Sohn::N,fils,kur
241,Tochter::N,fille,keç
242,Bruder::N,frère,bira
243,Schwester::N,sœur,xweh
244,Onkel::N,oncle,am
245,Onkel::N,oncle,xal
246,Tante::N,tante,metik
247,Tante::N,tante,xaltîk
248,Ehemann::N,mari,mêr
249,Ehemann::N,époux,mêr
250,Ehefrau::N,femme,kulfet
251,Ehefrau::N,épouse,kulfet
252,Freude::N,joie,kêfxweşî
253,Freude::N,plaisir,kêfxweşî
254,Gelächter::N,rires,pîrqînî
255,Glück::N,bonheur,bext
256,Kummer::N,peine,derd
257,Kummer::N,chagrin,derd
258,Wunsch::N,désir,daxwaz
259,Wunsch::N,désir,xwestek
260,Lust::N,envie,şewq
261,Geist::N,esprit,aqil
262,Gedanke::N,idée,fikir
263,Gedanke::N,pensée,fikir
264,Gedächtnis::N,mémoire,aqil
265,Verstand::N,raison,fêm
266,Sinn::N,sens,aqil
267,Grund::N,cause,asas
268,Grund::N,raison,asas
269,Wahrheit::N,vérité,rastî
270,Gespräch::N,conversation,guftûgo
271,Märchen::N,conte,çirok
272,Märchen::N,conte de fées,çirok
273,Erzählung::N,conte,çirok
274,Erzählung::N,conte,vegotin
275,Erzählung::N,narration,çirok
276,Erzählung::N,narration,vegotin
277,Nachricht::N,message,nûçe
278,Neuigkeit::N,nouvelle,hewal
279,Name::N,nom,nav
280,Name::N,nom,paşnav
281,Rätsel::N,énigme,tiştonek
282,Rätsel::N,devinette,tiştonek
283,Rede::N,parole,gotar
284,Rede::N,parole,axavtin
285,Rede::N,discours,gotar
286,Rede::N,discours,axavtin
287,Sprache::N,langue,ziman
288,Sprache::N,langage,ziman
289,Stimme::N,voix,pejn
290,Wort::N,mot,gotin
291,Zeichen::N,signe,şanek
292,Ruf::N,cri,hawar
293,Ruf::N,appel,hawar
294,Lärm::N,bruit,xarbalix
295,Laut::N,son,deng
296,Laut::N,son,hês
297,Ton::N,ton,awaz
298,Lied::N,chant,sitran
299,Lied::N,chanson,sitran
300,Ruhe::N,calme,rihetî
301,Ruhe::N,tranquillité,rihetî
302,Leute::N,gens,xelk
303,Volk::N,peuple,xelk
304,Arbeit::N,travail,xebat
305,Gast::N,hôte,mêvan
306,Gast::N,invité,mêvan
307,Geschenk::N,cadeau,diyarî
308,Geschenk::N,présent,diyarî
309,Spiel::N,jeu,lîstik
310,Gesellschaft::N,compagnie,komal
311,Hilfe::N,aide,alîkarî
312,Hilfe::N,secours,alîkarî
313,Freund::N,ami,heval
314,Kamerad::N,copain,heval
315,Kamerad::N,camarade,heval
316,Angelegenheit::N,affaire,pirsgirêk
317,Anzahl::N,nombre,çend
318,Art::N,sorte,çeh
319,Art::N,espèce,çeh
320,Stück::N,morceau,lib
321,Stück::N,morceau,parçe
322,Teil::N,part,parçe
323,Teil::N,partie,parçe
324,Hälfte::N,moitié,nîvî
325,Kreis::N,cercle,çemil
326,Kreuz::N,croix,xaç
327,Linie::N,ligne,xezik
328,Strich::N,trait,xezik
329,Abstand::N,écart,dûrahî
330,Entfernung::N,distance,dûrahî
331,Gegend::N,région,dever
332,Gegend::N,contrée,dever
333,Platz::N,place,çih
334,Ort::N,lieu,dever
335,Ort::N,endroit,dever
336,Seite::N,côté,rûpel
337,Mitte::N,milieu,nav
338,Mitte::N,milieu,nabênê
339,Gegenstand::N,objet,tişt
340,Sache::N,chose,tişt
341,Rand::N,bord,kevî
342,Kante::N,arête,kevî
343,Ecke::N,coin,qunç
344,Ecke::N,tournant,qunç
345,Spitze::N,cime,derzî
346,Spitze::N,pointe,derzî
347,Ende::N,bout,talî
348,Loch::N,trou,qul
349,Winkel::N,coin,kurnîşk
350,Winkel::N,réduit,kurnîşk
351,Muster::N,dessin,desen
352,Größe::N,grandeur,mezinî
353,Länge::N,longueur,dirêjahî
354,Höhe::N,hauteur,bilindayî
355,Höhe::N,altitude,bilindayî
356,Gewicht::N,poids,giranî
357,Menge::N,quantité,qas
358,Haufen::N,tas,lod
359,Reihe::N,file,rêz
360,Reihe::N,rangée,rêz
361,Boot::N,canot,kelek
362,Boot::N,bateau,kelek
