,Concept_ID,lt,eu
0,Auge::N,akis,begi
1,Ohr::N,ausis,belarri
2,Nase::N,nosis,sudur
3,Mund::N,burna,aho
4,Zahn::N,dantis,hortz
5,Zunge::N,liežuvis,mihi
6,Lippe::N,lūpa,ezpain
7,Wange::N,žandas,masail
8,Wange::N,skruostas,masail
9,Gesicht::N,veidas,aurpegi
10,Stirn::N,kakta,bekoki
11,Haar::N,plaukai,ile
12,Haar::N,plaukai,bilo
13,Schnurrbart::N,ūsai,bibote
14,Schnurrbart::N,ūsai,sudurpeko
15,Bart::N,barzda,bizar
16,Kinn::N,smakras,kokots
17,Kiefer[Anatomie]::N,žandikaulis,masailezur
18,Kehle::N,gerklė,eztarri
19,Hals::N,kaklas,sama
20,Genick::N,sprandas,garondo
21,Kopf::N,galva,buru
22,Rücken::N,nugara,bizkar
23,Bauch::N,pilvas,sabel
24,Nabel::N,bamba,zilbor
25,Busen::N,krūtinė,titi
26,Busen::N,krūtinė,ugatz
27,Brust::N,krūtis,bular
28,Schulter::N,petys,besaburu
29,Arm::N,ranka,beso
30,Ellenbogen::N,alkūnė,ukondo
31,Hand::N,ranka,esku
32,Hand::N,plaštaka,esku
33,Handfläche::N,delnas,ahur
34,Handfläche::N,plaštaka,ahur
35,Finger::N,pirštas,hatz
36,Fingernagel::N,nagas,azazkal
37,Nagel[Anatomie]::N,nagas,azazkal
38,Zeh::N,pirštas,behatz
39,Fuß::N,pėda,oin
40,Ferse::N,kulnas,orpo
41,Ferse::N,kulnas,oinburu
42,Knie::N,kelis,belaun
43,Oberschenkel::N,kulšis,izter
44,Oberschenkel::N,šlaunis,izter
45,Bein::N,koja,zango
46,Körper::N,kūnas,soin
47,Haut::N,oda,azal
48,Blut::N,kraujas,odol
49,Ader::N,kraujagyslė,zain
50,Sehne::N,sausgyslė,gihar-zain
51,Knochen::N,kaulas,hezur
52,Gehirn::N,smegenys,garun
53,Gehirn::N,smegenys,burmuin
54,Herz::N,širdis,bihotz
55,Magen::N,skrandis,urdail
56,Leber::N,kepenys,gibel
57,Atem::N,kvapas,hats
58,Atem::N,kvapas,arnasa
59,Hunger::N,badas,gose
60,Hunger::N,alkis,gose
61,Träne::N,ašara,malko
62,Geschmack::N,skonis,dasta
63,Geruch::N,kvapas,usain
64,Schlaf::N,miegas,lo
65,Traum::N,sapnas,amets
66,Himmel::N,dangus,zeru
67,Sonne::N,saulė,eguzki
68,Mond::N,mėnulis,ilargi
69,Stern::N,žvaigždė,izar
70,Luft::N,oras,aire
71,Wind::N,vėjas,haize
72,Welle::N,banga,uhin
73,Welle::N,banga,olatu
74,Welle::N,vilnis,uhin
75,Welle::N,vilnis,olatu
76,Wasser::N,vanduo,ur
77,Stein::N,akmuo,harri
78,Boden::N,žemė,lur
79,Boden::N,žemė,zoru
80,Boden::N,dugnas,lur
81,Boden::N,dugnas,zoru
82,Erde::N,žemė,lur
83,Staub::N,dulkės,hauts
84,Rauch::N,dūmai,ke
85,Funke::N,kibirkštis,zirta
86,Funke::N,kibirkštis,txinparta
87,Feuer::N,ugnis,su
88,Licht::N,šviesa,argi
89,Schatten::N,paūksmė,itzal
90,Schatten::N,paūksmė,geriza
91,Wetter::N,oras,eguraldi
92,Nebel::N,migla,laino
93,Nebel::N,rūkas,laino
94,Wolke::N,debesis,hodei
95,Regen::N,lietus,euri
96,Schnee::N,sniegas,elur
97,Eis::N,ledas,horma
98,Frost::N,šalna,izotzaldi
99,Kälte::N,šaltis,hotz
100,Hitze::N,karštis,bero
101,Raureif::N,šerkšnas,antzigar
102,Regenbogen::N,vaivorykštė,ostadar
103,Regenbogen::N,vaivorykštė,ortzadar
104,Donner::N,perkūnas,ostots
105,Donner::N,perkūnas,ihurtzuri
106,Donner::N,griaustinis,ostots
107,Donner::N,griaustinis,ihurtzuri
108,Strömung::N,tėkmė,laster
109,Tropfen::N,lašas,xorta
110,Schaum::N,putos,bits
111,Schmutz::N,purvas,lohi
112,Schmutz::N,purvas,zikin
113,See::N,ežeras,laku
114,See::N,ežeras,aintzira
115,Sumpf::N,klampynė,zingira
116,Sumpf::N,liūnas,zingira
117,Moor::N,pelkė,zohikaztegi
118,Wiese::N,pieva,larre
119,Wiese::N,pieva,belardi
120,Wald::N,miškas,baso
121,Wald::N,miškas,oihan
122,Hügel::N,kalva,muino
123,Hügel::N,kalva,pentoka
124,Anhöhe::N,kauburys,garai
125,Anhöhe::N,kauburys,goragune
126,Berg::N,kalnas,mendi
127,Gipfel::N,viršūnė,gain
128,Gipfel::N,viršūnė,tontor
129,Höhle::N,ola,kobazulo
130,Abhang::N,šlaitas,aldapa
131,Abhang::N,nuokalnė,aldapa
132,Quelle::N,versmė,iturri
133,Quelle::N,versmė,iturbegi
134,Quelle::N,šaltinis,iturri
135,Quelle::N,šaltinis,iturbegi
136,Bach::N,upelis,lats
137,Bach::N,upelis,erreka
138,Fluss::N,upė,ibai
139,Fluss::N,upė,uhaitz
140,Ufer::N,krantas,bazter
141,Küste::N,pajūris,itsasalde
142,Festland::N,sausuma,lehor
143,Meer::N,jūra,itsaso
144,Bucht::N,įlanka,golko
145,Bucht::N,užutekis,golko
146,Insel::N,sala,irla
147,Insel::N,sala,uharte
148,Blume::N,gėlė,lili
149,Gras::N,žolė,belar
150,Wurzel::N,šaknis,zuztar
151,Wurzel::N,šaknis,sustrai
152,Baum::N,medis,zuhaitz
153,Stamm::N,kamienas,enbor
154,Rinde::N,žievė,azal
155,Ast::N,šaka,adar
156,Zweig::N,šakelė,abar
157,Blatt::N,lapas,hosto
158,Birke::N,beržas,urki
159,Kiefer[Baum]::N,pušis,ler
160,Weide[Baum]::N,karklas,zume
161,Weide[Baum]::N,karklas,sahats
162,Tanne::N,eglė,izei
163,Tanne::N,kėnis,izei
164,Horn::N,ragas,adar
165,Feder::N,plunksna,luma
166,Feder::N,plunksna,hegaki
167,Fell::N,kailis,ile
168,Fell::N,kailis,larru
169,Flügel::N,sparnas,hego
170,Klaue::N,kanopa,atzapar
171,Kralle::N,nagas,erpe
172,Kralle::N,nagas,atzapar
173,Schwanz::N,uodega,isats
174,Schwanz::N,uodega,buztan
175,Ei::N,kiaušinis,arrautza
176,Nest::N,gūžta,habia
177,Nest::N,lizdas,habia
178,Bau::N,ola,ohantze
179,Tier::N,gyvūnas,abere
180,Tier::N,gyvūnas,piztia
181,Herde::N,banda,saldo
182,Herde::N,banda,abere talde
183,Herde::N,kaimenė,saldo
184,Herde::N,kaimenė,abere talde
185,Kuh::N,karvė,behi
186,Bulle::N,bulius,zezen
187,Pferd::N,arklys,zaldi
188,Schaf::N,avis,ardi
189,Schwein::N,kiaulė,urde
190,Schwein::N,kiaulė,txerri
191,Hund::N,šuo,txakur
192,Katze::N,katė,katu
193,Bär::N,lokys,hartz
194,Eichhörnchen::N,voveraitė,urtxintxa
195,Elch::N,briedis,altze
196,Fuchs::N,lapė,azeri
197,Hase::N,kiškas,erbi
198,Maus::N,pelė,sagu
199,Wolf::N,vilkas,otso
200,Vogel::N,paukštis,txori
201,Vogel::N,paukštis,hegazti
202,Schwarm::N,spiečius,aldra
203,Huhn::N,višta,oilo
204,Hahn::N,gaidys,oilar
205,Gans::N,žąsis,antzara
206,Adler::N,erelis,arrano
207,Ente::N,antis,ahate
208,Eule::N,pelėda,hontza
209,Kranich::N,gervė,kurrilo
210,Krähe::N,varna,bele
211,Kuckuck::N,gegužė,kuku
212,Schwan::N,gulbė,beltxarga
213,Fisch::N,žuvis,arrain
214,Barsch::N,ešerys,perka
215,Hecht::N,lydeka,lutxo
216,Schlange[Tier]::N,gyvatė,suge
217,Wurm::N,kirmėlė,har
218,Spinne::N,voras,armiarma
219,Ameise::N,skruzdė,inurri
220,Laus::N,utėlė,zorri
221,Mücke::N,uodas,eltxo
222,Fliege::N,musė,euli
223,Schmetterling::N,drugys,pinpirin
224,Schmetterling::N,drugys,tximeleta
225,Schmetterling::N,peteliškė,pinpirin
226,Schmetterling::N,peteliškė,tximeleta
227,Beere::N,uoga,baia
228,Apfel::N,obuolys,sagar
229,Pilz::N,grybas,onddo
230,Pilz::N,grybas,perretxiko
231,Zwiebel::N,svogūnas,tipula
232,Saat::N,sėkla,haziak
233,Korn::N,grūdai,ale
234,Korn::N,grūdai,pikor
235,Heu::N,šienas,belar ondu
236,Schale::N,žievelė,azal
237,Grube::N,duobė,hobi
238,Falle::N,pinklės,harrapagailu
239,Falle::N,žabangai,harrapagailu
240,Schlinge::N,kilpa,bilur
241,Schlinge::N,kilpa,xedera
242,Spur::N,vėžė,lorratz
243,Spur::N,pėdos,lorratz
244,Spur::N,pėdsakas,lorratz
245,Asche::N,pelenai,errauts
246,Dreck::N,purvas,satsukeria
247,Eisen::N,geležis,burdina
248,Gold::N,auksas,urre
