,Concept_ID,lt,ta
0,Auge::N,akis,கண்
1,Ohr::N,ausis,காது
2,Nase::N,nosis,மூக்கு
3,Mund::N,burna,வாய்
4,Zahn::N,dantis,பல்
5,Zunge::N,liežuvis,நாக்கு
6,Lippe::N,lūpa,உதடு
7,Wange::N,žandas,கன்னம்
8,Wange::N,skruostas,கன்னம்
9,Gesicht::N,veidas,முகம்
10,Stirn::N,kakta,முன்னெற்றி
11,Haar::N,plaukai,முடி
12,Schnurrbart::N,ūsai,மீசை
13,Bart::N,barzda,தாடி
14,Kinn::N,smakras,கீழதாடை
15,Kiefer[Anatomie]::N,žandikaulis,தாடை
16,Kehle::N,gerklė,தொண்டை
17,Hals::N,kaklas,கழுத்து
18,Genick::N,sprandas,கழுத்து
19,Kopf::N,galva,தலை
20,Rücken::N,nugara,முதுகு
21,Bauch::N,pilvas,வயிறு
22,Nabel::N,bamba,தொப்புள்
23,Busen::N,krūtinė,மார்பகம்
24,Brust::N,krūtis, மார்பு
25,Schulter::N,petys,தோள்பட்டை
26,Arm::N,ranka,கரம்
27,Ellenbogen::N,alkūnė,முழங்கை
28,Hand::N,ranka,கை
29,Hand::N,plaštaka,கை
30,Handfläche::N,delnas,உள்ளங்கை
31,Handfläche::N,plaštaka,உள்ளங்கை
32,Finger::N,pirštas,விரல்
33,Fingernagel::N,nagas,விரல் நகம்
34,Nagel[Anatomie]::N,nagas,நகம்
35,Zeh::N,pirštas,கால்விரல்
36,Fuß::N,pėda,கால்
37,Ferse::N,kulnas,குதிகால்
38,Knie::N,kelis,முழங்கால்
39,Oberschenkel::N,kulšis,தொடை
40,Oberschenkel::N,šlaunis,தொடை
41,Bein::N,koja,கால்
42,Körper::N,kūnas,உடல்
43,Haut::N,oda,சருமம்
44,Blut::N,kraujas,இரத்தம்
45,Ader::N,kraujagyslė,நாளம்
46,Sehne::N,sausgyslė,தசைநார்
47,Knochen::N,kaulas,எலுமபு
48,Gehirn::N,smegenys,மூனை
49,Herz::N,širdis,இதயம
50,Magen::N,skrandis,வயிறு
51,Leber::N,kepenys,கல்லீரல்
52,Atem::N,kvapas,மூச்சு
53,Hunger::N,badas,பசி
