,Concept_ID,bg,ca
0,Auge::N,око,ull
1,Ohr::N,ухо,orella
2,Nase::N,нос,nas
3,Mund::N,уста,boca
4,Zahn::N,зъб,dent
5,Zunge::N,език,llēngua
6,Lippe::N,устна,llavi
7,Wange::N,буза,galta
8,Gesicht::N,лице,cara
9,Gesicht::N,образ,cara
10,Stirn::N,чело,front
11,Haar::N,коса,cabēll
12,Haar::N,косъм,cabēll
13,Schnurrbart::N,мустаци,bigoti
14,Bart::N,брада,barba
15,Kinn::N,брада,mentó
16,Kinn::N,брада,barbeta
17,Kinn::N,брадичка,mentó
18,Kinn::N,брадичка,barbeta
19,Kiefer[Anatomie]::N,челюст,queix
20,Kiefer[Anatomie]::N,челюст,mandíbula
21,Kehle::N,гърло,gola
22,Kehle::N,гърло,gorja
23,Hals::N,врат,coll
24,Genick::N,тил,nuca
25,Kopf::N,глава,cap
26,Rücken::N,гръб,esquena
27,Bauch::N,корем,panxa
28,Nabel::N,пъп,llombrígol
29,Busen::N,бозка,pit
30,Busen::N,бозка,mama
31,Brust::N,гръд,pit
32,Schulter::N,рамо,espatlla
33,Schulter::N,плещи,espatlla
34,Arm::N,ръка,braç
35,Ellenbogen::N,лакът,colze
36,Hand::N,ръка,mà
37,Hand::N,китка,mà
38,Handfläche::N,длан,palma
39,Finger::N,пръст,dit
40,Fingernagel::N,нокът,ungla
41,Nagel[Anatomie]::N,нокът,ungla
42,Zeh::N,пръст на крак,dit del peu
43,Fuß::N,крак,peu
44,Fuß::N,нога,peu
45,Ferse::N,пета,taló
46,Knie::N,коляно,genoll
47,Oberschenkel::N,бедро,cuixa
48,Bein::N,крак,cama
49,Bein::N,нога,cama
50,Körper::N,тяло,cos
51,Haut::N,кожа,pell
52,Blut::N,кръв,sang
53,Ader::N,вена,vena
54,Ader::N,артерия,vena
55,Sehne::N,жила,tendó
56,Sehne::N,сухожилие,tendó
57,Knochen::N,кост,os
58,Gehirn::N,мозък,cervell
59,Herz::N,сърце,cor
