,Concept_ID,hi,hy
0,Auge::N,आँख,աչք
1,Auge::N,चक्षु,աչք
2,Ohr::N,कान,ականջ
3,Ohr::N,कर्ण,ականջ
4,Nase::N,नाक,քիթ
5,Nase::N,नासा,քիթ
6,Mund::N,मुख,բերան
7,Mund::N,मुँह,բերան
8,Zahn::N,दंत,ատամ
9,Zahn::N,दाँत,ատամ
10,Zunge::N,जीभ,լեզու
11,Zunge::N,ज़बान,լեզու
12,Zunge::N,जिह्वा,լեզու
13,Lippe::N,ओंठ,շրթունք
14,Lippe::N,होंठ,շրթունք
15,Wange::N,गाल,այտ
16,Wange::N,गाल,թուշ
17,Wange::N,कपोल,այտ
18,Wange::N,कपोल,թուշ
19,Gesicht::N,मुँह,դեմք
20,Gesicht::N,चेहरा,դեմք
21,Stirn::N,माथा,ճակատ
22,Stirn::N,मस्तक,ճակատ
23,Haar::N,बाल,մազ
24,Schnurrbart::N,मूँछें,բեղ
25,Bart::N,दाढ़ी,մորուք
26,Kinn::N,चिबुक,կզակ
27,Kiefer[Anatomie]::N,जबड़ा,ծնոտ
28,Kehle::N,गला,կոկորդ
29,Hals::N,गला,վիզ
30,Hals::N,गला,պարանոց
31,Hals::N,गरदन,վիզ
32,Hals::N,गरदन,պարանոց
33,Genick::N,गरदन,ծոծրակ
34,Genick::N,ग्रीवा,ծոծրակ
35,Kopf::N,सिर,գլուխ
36,Kopf::N,शीर्ष,գլուխ
37,Rücken::N,पीठ,մեջք
38,Bauch::N,उदर,փոր
39,Bauch::N,उदर,որովայն
40,Nabel::N,नाभि,պորտ
41,Nabel::N,ढोंढी,պորտ
42,Busen::N,कुच,ծոց
43,Busen::N,स्तन,ծոց
44,Brust::N,वक्ष,կուրծք
45,Schulter::N,कंधा,ուս
46,Schulter::N,स्कंध,ուս
47,Arm::N,बाँह,թեւ
48,Arm::N,बाँह,բազուկ
49,Arm::N,बाज़ू,թեւ
50,Arm::N,बाज़ू,բազուկ
51,Ellenbogen::N,कुहनी,արմունկ
52,Hand::N,हाथ,ձեռք
53,Hand::N,हस्त,ձեռք
54,Handfläche::N,हथेली,ափ
55,Finger::N,उँगली,մատ
56,Finger::N,अँगुली,մատ
