,Concept_ID,tr,kn
0,Auge::N,göz,ಕಣ್ಣು
1,Ohr::N,kulak,ಕಿವಿ
2,Nase::N,burun,ಮೂಗು
3,Mund::N,ağız,ಬಾಯಿ
4,Zahn::N,diş,ಹಲ್ಲು
5,Zunge::N,dil,ನಾಲಿಗೆ
6,Lippe::N,dudak,ತುಟಿ
7,Wange::N,yanak,ಗಲ್ಲ
8,Gesicht::N,yüz,ಮುಖ
9,Stirn::N,alın,ಹಣೆ
10,Haar::N,saç,ಕೂದಲು
11,Schnurrbart::N,bıyık,ಮೀಸೆ
12,Bart::N,sakal,ಗಡ್ಡ
13,Kinn::N,çene,ಗದ್ದ
14,Kiefer[Anatomie]::N,çene,ದವಡೆ
15,Kehle::N,boğaz,ಗಂಟಲು
16,Hals::N,boyun,ಕೊರಳು
17,Hals::N,gerdan,ಕೊರಳು
18,Genick::N,ense,ಹಿಂಗತ್ತು
19,Kopf::N,baş,ತಲೆ
20,Kopf::N,kafa,ತಲೆ
21,Rücken::N,arka,ಬೆನ್ನು
22,Bauch::N,karın,ಹೊಟ್ಟೆ
23,Nabel::N,göbek,ಹೊಕ್ಕುಳು
24,Busen::N,koyun,ಸ್ತನ
25,Brust::N,göğüs,ಎದೆ
26,Schulter::N,omuz,ಭುಜ
27,Arm::N,kol,ತೋಳು
28,Ellenbogen::N,dirsek,ಮೊಣಕೈ
29,Hand::N,el,ಕೈ
30,Handfläche::N,avuç,ಅಂಗೈ
31,Handfläche::N,el ayası,ಅಂಗೈ
32,Finger::N,parmak,ಕೈಬೆರಳು
33,Fingernagel::N,el tırnağı,ಉಗುರು
34,Nagel[Anatomie]::N,tırnak,ಉಗುರು
35,Zeh::N,ayak parmağı,ಕಾಲ್ಬೆರಳು
36,Fuß::N,ayak,ಪಾದ
37,Ferse::N,topuk,ಹಿಮ್ಮಡಿ
38,Knie::N,diz,ಮಂಡಿ
39,Oberschenkel::N,uyluk,ತೊಡೆ
40,Bein::N,bacak,ಕಾಲು
41,Körper::N,vücut,ದೇಹ
42,Haut::N,cilt,ಚರ್ಮ
43,Blut::N,kan,ರಕ್ತ
44,Ader::N,damar,ನರ
45,Sehne::N,kiriş,ನರ
46,Knochen::N,kemik,ಮೂಳೆ
47,Gehirn::N,beyin,ಮಿದುಳು
48,Herz::N,kalp,ಹೃದಯ
49,Herz::N,yürek,ಹೃದಯ
50,Magen::N,mide,ಉದರ
51,Leber::N,karaciğer,ಯಕೃತ್ತು
52,Atem::N,nefes,ಉಸಿರು
53,Hunger::N,açlık,ಹಸಿವು
54,Träne::N,gözyaşı,ಕಣ್ಣೀರು
55,Geschmack::N,tat,ರುಚಿ
56,Geschmack::N,lezzet,ರುಚಿ
57,Geruch::N,koku,ವಾಸನೆ
58,Schlaf::N,uyku,ನಿದ್ರೆ
59,Traum::N,düş,ಕನಸು
60,Traum::N,rüya,ಕನಸು
61,Himmel::N,gök,ಬಾನು
62,Sonne::N,güneş,ಸೂರ್ಯ
63,Mond::N,ay,ಚಂದ್ರ
64,Stern::N,yıldız,ಚುಕ್ಕಿ
65,Luft::N,hava,ವಾಯು
66,Wind::N,yel,ಗಾಳಿ
67,Wind::N,rüzgâr,ಗಾಳಿ
68,Welle::N,dalga,ಅಲೆ
69,Wasser::N,su,ನೀರು
70,Stein::N,taş,ಕಲ್ಲು
71,Boden::N,yer,ನೆಲ
72,Boden::N,zemin,ನೆಲ
73,Erde::N,toprak,ಭೂಮಿ
74,Staub::N,toz,ದೂಳು
75,Rauch::N,duman,ಹೊಗೆ
76,Funke::N,kıvılcım,ಕಿಡಿ
77,Feuer::N,ateş,ಬೆಂಕಿ
78,Licht::N,ışık,ಬೆಳಕು
79,Schatten::N,gölge,ನೆರಳು
80,Wetter::N,hava,ಹವ
81,Nebel::N,pus,ಮಂಜು
82,Wolke::N,bulut,ಮೋಡ
83,Regen::N,yağmur,ಮಳೆ
84,Schnee::N,kar,ಹಿಮ
85,Eis::N,buz,ಮಂಜುಗಡ್ಡೆ
86,Frost::N,don,ಮಂಜು
87,Kälte::N,soğukluk,ಹಿಮ
88,Hitze::N,sıcaklık,ಉಷ್ಣ
89,Raureif::N,kırç,ಇಬ್ಬನಿ
90,Regenbogen::N,gökkuşağı,ಇಂದ್ರಚಾಪ
91,Donner::N,gök gürlemesi,ಗುಡುಗು
92,Strömung::N,akıntı,ಪ್ರವಾಹ
93,Strömung::N,cereyan,ಪ್ರವಾಹ
94,Tropfen::N,damla,ತೊಟ್ಟು
95,Schaum::N,köpük,ನೊರೆ
96,Schmutz::N,çamur,ಕಸ
97,Schmutz::N,pislik,ಕಸ
98,See::N,göl,ಸರೋವರ
99,Sumpf::N,batak,ಜೌಗುಸ್ಥಳ
100,Moor::N,cılgıt,ಬಂಜರು ಭೂಮಿ
101,Wiese::N,çimen,ಹುಲ್ಲುಗಾವಲು
102,Wald::N,koru,ಕಾಡು
103,Wald::N,orman,ಕಾಡು
104,Hügel::N,tepe,ಗುಡ್ಡೆ
105,Anhöhe::N,tümsek,ದಿಬ್ಬ
106,Anhöhe::N,yükseklik,ದಿಬ್ಬ
107,Berg::N,dağ,ಮಲೆ
108,Berg::N,dağ,ಪರ್ವತ
109,Gipfel::N,zirve,ಶೃಂಗ
110,Höhle::N,in,ಗುಹೆ
111,Höhle::N,mağara,ಗುಹೆ
112,Abhang::N,bayır,ಇಳಿಜಾರು
113,Quelle::N,pınar,ಮೂಲ
114,Quelle::N,kaynak,ಮೂಲ
115,Bach::N,çay,ತೊರೆ
116,Bach::N,dere,ತೊರೆ
117,Fluss::N,nehir,ನದಿ
118,Ufer::N,kıyı,ತೀರ
119,Ufer::N,sahil,ತೀರ
120,Küste::N,kıyı,ದಂಡೆ
121,Küste::N,sahil,ದಂಡೆ
122,Festland::N,kara,ಭೂಮಿ
123,Meer::N,deniz,ಕಡಲು
124,Bucht::N,koy,ಖಾರಿ
125,Bucht::N,körfez,ಖಾರಿ
126,Insel::N,ada,ದ್ವೀಪ
127,Blume::N,çiçek,ಸುಮ
128,Gras::N,ot,ಹುಲ್ಲು
129,Gras::N,çim,ಹುಲ್ಲು
130,Wurzel::N,kök,ಬೇರು
131,Baum::N,ağaç,ಮರ
