,Concept_ID,fr,ca
0,Auge::N,œil,ull
1,Ohr::N,oreille,orella
2,Nase::N,nez,nas
3,Mund::N,bouche,boca
4,Zahn::N,dent,dent
5,Zunge::N,langue,llēngua
6,Lippe::N,lèvre,llavi
7,Wange::N,joue,galta
8,Gesicht::N,face,cara
9,Gesicht::N,visage,cara
10,Stirn::N,front,front
11,Haar::N,cheveu,cabēll
12,Schnurrbart::N,moustache,bigoti
13,Bart::N,barbe,barba
14,Kinn::N,menton,mentó
15,Kinn::N,menton,barbeta
16,Kiefer[Anatomie]::N,mâchoire,queix
17,Kiefer[Anatomie]::N,mâchoire,mandíbula
18,Kehle::N,gorge,gola
19,Kehle::N,gorge,gorja
20,Hals::N,cou,coll
21,Genick::N,nuque,nuca
22,Kopf::N,tête,cap
23,Rücken::N,dos,esquena
24,Bauch::N,ventre,panxa
25,Nabel::N,nombril,llombrígol
26,Busen::N,sein,pit
27,Busen::N,sein,mama
28,Brust::N,poitrine,pit
29,Schulter::N,épaule,espatlla
30,Arm::N,bras,braç
31,Ellenbogen::N,coude,colze
32,Hand::N,main,mà
33,Handfläche::N,paume,palma
34,Finger::N,doigt,dit
35,Fingernagel::N,ongle,ungla
36,Nagel[Anatomie]::N,ongle,ungla
37,Zeh::N,orteil,dit del peu
38,Zeh::N,doigt de pied,dit del peu
39,Fuß::N,pied,peu
40,Ferse::N,talon,taló
41,Knie::N,genou,genoll
42,Oberschenkel::N,cuisse,cuixa
43,Bein::N,jambe,cama
44,Körper::N,corps,cos
45,Haut::N,peau,pell
46,Blut::N,sang,sang
47,Ader::N,veine,vena
48,Sehne::N,tendon,tendó
49,Knochen::N,os,os
50,Gehirn::N,cerveau,cervell
51,Herz::N,cœur,cor
52,Magen::N,estomac,estómac
53,Leber::N,foie,fetge
54,Atem::N,haleine,alè
55,Atem::N,haleine,hàlit
56,Hunger::N,faim,fam
57,Hunger::N,faim,gana
58,Träne::N,larme,llàgrima
59,Geschmack::N,goût,gust
60,Geschmack::N,goût,sabor
61,Geschmack::N,saveur,gust
62,Geschmack::N,saveur,sabor
63,Geruch::N,odeur,olor
64,Schlaf::N,sommeil,son
65,Traum::N,songe,somni
66,Himmel::N,ciel,celm
67,Sonne::N,soleil,sol
68,Mond::N,lune,lluna
69,Stern::N,étoile,estel
70,Stern::N,étoile,estrella
71,Luft::N,air,aire
72,Wind::N,vent,vent
73,Welle::N,vague,ona
74,Wasser::N,eau,āigua
75,Stein::N,pierre,pedra
76,Boden::N,sol,sòl
77,Boden::N,terrain,sòl
78,Erde::N,terre,terra
79,Staub::N,poussière,pols
