,Concept_ID,en,kn
0,Auge::N,eye,ಕಣ್ಣು
1,Ohr::N,ear,ಕಿವಿ
2,Nase::N,nose,ಮೂಗು
3,Mund::N,mouth,ಬಾಯಿ
4,Zahn::N,tooth,ಹಲ್ಲು
5,Zunge::N,tongue,ನಾಲಿಗೆ
6,Lippe::N,lip,ತುಟಿ
7,Wange::N,cheek,ಗಲ್ಲ
8,Gesicht::N,face,ಮುಖ
9,Stirn::N,forehead,ಹಣೆ
10,Haar::N,hair,ಕೂದಲು
11,Schnurrbart::N,moustache,ಮೀಸೆ
12,Bart::N,beard,ಗಡ್ಡ
13,Kinn::N,chin,ಗದ್ದ
14,Kiefer[Anatomie]::N,jaw,ದವಡೆ
15,Kehle::N,throat,ಗಂಟಲು
16,Hals::N,neck,ಕೊರಳು
17,Genick::N,nape,ಹಿಂಗತ್ತು
18,Kopf::N,head,ತಲೆ
19,Rücken::N,back,ಬೆನ್ನು
20,Rücken::N,spine,ಬೆನ್ನು
21,Bauch::N,belly,ಹೊಟ್ಟೆ
22,Nabel::N,navel,ಹೊಕ್ಕುಳು
23,Busen::N,bosom,ಸ್ತನ
24,Brust::N,chest,ಎದೆ
25,Brust::N,breast,ಎದೆ
26,Schulter::N,shoulder,ಭುಜ
27,Arm::N,arm,ತೋಳು
28,Ellenbogen::N,elbow,ಮೊಣಕೈ
29,Hand::N,hand,ಕೈ
30,Handfläche::N,palm,ಅಂಗೈ
31,Finger::N,finger,ಕೈಬೆರಳು
32,Fingernagel::N,fingernail,ಉಗುರು
33,Nagel[Anatomie]::N,nail,ಉಗುರು
34,Zeh::N,toe,ಕಾಲ್ಬೆರಳು
35,Fuß::N,foot,ಪಾದ
36,Ferse::N,heel,ಹಿಮ್ಮಡಿ
37,Knie::N,knee,ಮಂಡಿ
38,Oberschenkel::N,thigh,ತೊಡೆ
39,Bein::N,leg,ಕಾಲು
40,Körper::N,body,ದೇಹ
41,Haut::N,skin,ಚರ್ಮ
42,Blut::N,blood,ರಕ್ತ
43,Ader::N,vein,ನರ
44,Sehne::N,sinew,ನರ
45,Knochen::N,bone,ಮೂಳೆ
46,Gehirn::N,brain,ಮಿದುಳು
47,Herz::N,heart,ಹೃದಯ
48,Magen::N,stomach,ಉದರ
49,Leber::N,liver,ಯಕೃತ್ತು
50,Atem::N,breath,ಉಸಿರು
51,Hunger::N,hunger,ಹಸಿವು
52,Träne::N,tear,ಕಣ್ಣೀರು
53,Geschmack::N,flavour,ರುಚಿ
54,Geschmack::N,flavor,ರುಚಿ
55,Geruch::N,odour,ವಾಸನೆ
56,Geruch::N,odor,ವಾಸನೆ
57,Schlaf::N,sleep,ನಿದ್ರೆ
58,Traum::N,dream,ಕನಸು
59,Himmel::N,sky,ಬಾನು
60,Sonne::N,sun,ಸೂರ್ಯ
61,Mond::N,moon,ಚಂದ್ರ
62,Stern::N,star,ಚುಕ್ಕಿ
63,Luft::N,air,ವಾಯು
64,Wind::N,wind,ಗಾಳಿ
65,Welle::N,wave,ಅಲೆ
66,Wasser::N,water,ನೀರು
67,Stein::N,stone,ಕಲ್ಲು
68,Boden::N,soil,ನೆಲ
69,Boden::N,ground,ನೆಲ
70,Erde::N,earth,ಭೂಮಿ
71,Staub::N,dust,ದೂಳು
72,Rauch::N,smoke,ಹೊಗೆ
73,Funke::N,spark,ಕಿಡಿ
74,Feuer::N,fire,ಬೆಂಕಿ
75,Licht::N,light,ಬೆಳಕು
76,Schatten::N,shadow,ನೆರಳು
77,Wetter::N,weather,ಹವ
78,Nebel::N,fog,ಮಂಜು
79,Wolke::N,cloud,ಮೋಡ
80,Regen::N,rain,ಮಳೆ
81,Schnee::N,snow,ಹಿಮ
82,Eis::N,ice,ಮಂಜುಗಡ್ಡೆ
83,Frost::N,frost,ಮಂಜು
84,Kälte::N,chill,ಹಿಮ
85,Hitze::N,heat,ಉಷ್ಣ
86,Raureif::N,hoarfrost,ಇಬ್ಬನಿ
87,Regenbogen::N,rainbow,ಇಂದ್ರಚಾಪ
88,Donner::N,thunder,ಗುಡುಗು
89,Strömung::N,current,ಪ್ರವಾಹ
90,Tropfen::N,drop,ತೊಟ್ಟು
91,Schaum::N,foam,ನೊರೆ
92,Schmutz::N,dirt,ಕಸ
93,See::N,lake,ಸರೋವರ
94,Sumpf::N,swamp,ಜೌಗುಸ್ಥಳ
95,Moor::N,moor,ಬಂಜರು ಭೂಮಿ
96,Wiese::N,meadow,ಹುಲ್ಲುಗಾವಲು
97,Wald::N,forest,ಕಾಡು
98,Hügel::N,hill,ಗುಡ್ಡೆ
99,Anhöhe::N,elevation,ದಿಬ್ಬ
100,Berg::N,mountain,ಮಲೆ
101,Berg::N,mountain,ಪರ್ವತ
102,Gipfel::N,summit,ಶೃಂಗ
