,Concept_ID,kl,sk
0,Auge::N,isi,oko
1,Ohr::N,siut,ucho
2,Mund::N,paaq,ústa
3,Mund::N,qaneq,ústa
4,Zahn::N,kigut,zub
5,Zunge::N,oqaq,jazyk
6,Lippe::N,qarloq,pera
7,Wange::N,ersaq,líce
8,Gesicht::N,kiinaq,tvár
9,Gesicht::N,kiinaq,obličaj
10,Stirn::N,qaaq,čelo
11,Haar::N,meqqoq,vlas
12,Bart::N,umik,brada
13,Kinn::N,talloq,brada
14,Kiefer[Anatomie]::N,alleroq,čeľusť
15,Kehle::N,malaq,hrdlo
16,Hals::N,qungaseq,krk
17,Genick::N,pukusuk,väzy
18,Kopf::N,niaqoq,hlava
19,Rücken::N,qimerlut,chrbát
20,Bauch::N,naaq,brucho
21,Nabel::N,qalaseq,pupok
22,Busen::N,iviangeq,prsia
23,Brust::N,iviangeq,hruď
24,Schulter::N,ersik,plece
25,Schulter::N,assaqqoq,plece
26,Arm::N,taleq,rameno
27,Ellenbogen::N,ikusik,lakeť
28,Hand::N,assak,ruka
29,Handfläche::N,itumak,dlaň
30,Finger::N,inuak,prst
31,Fingernagel::N,kikiak,necht
32,Nagel[Anatomie]::N,kukik,necht
33,Zeh::N,isigak,prst na nohe
34,Ferse::N,kimmik,päta
35,Knie::N,seeqqoq,koleno
36,Oberschenkel::N,uppat,stehno
37,Oberschenkel::N,quttoraq,stehno
38,Bein::N,isigak,noha
39,Körper::N,timi,telo
40,Haut::N,mattak,koža
41,Blut::N,aak,krv
42,Ader::N,taqaq,žila
43,Sehne::N,ujalu,šľacha
44,Sehne::N,ujaloq,šľacha
45,Knochen::N,saanikut,kosť
46,Gehirn::N,qarasaq,mozog
47,Herz::N,uummat,srdce
48,Magen::N,aqajaroq,žalúdok
49,Leber::N,tinguk,pečeň
50,Atem::N,anerneq,dych
51,Hunger::N,kaanneq,hlad
52,Träne::N,qia,slza
53,Träne::N,qiak,slza
54,Geschmack::N,qilanaartuut,chuť
55,Geruch::N,tipi,pach
56,Geruch::N,tipik,pach
57,Traum::N,sinnattoq,sen
58,Traum::N,sinnattugaq,sen
59,Himmel::N,qilak,nebo
60,Sonne::N,seqineq,slnko
61,Mond::N,qaammat,mesiac
62,Stern::N,ulloriaq,hviezda
63,Luft::N,silaannaq,vzduch
64,Wind::N,anori,vietor
65,Wind::N,anorsarik,vietor
66,Welle::N,aalappaa,vlna
67,Wasser::N,imeq,voda
68,Stein::N,ujarak,kameň
69,Boden::N,nateq,zem
70,Boden::N,nateq,pôda
71,Erde::N,issoq,zem
72,Staub::N,pujualanerit,prach
73,Staub::N,pujoralanerit,prach
74,Rauch::N,iseq,dym
75,Rauch::N,pujoq,dym
76,Funke::N,illoorneq,iskra
77,Feuer::N,inneq,oheň
78,Licht::N,qaamaneq,svetlo
79,Schatten::N,tarraq,tieň
80,Wetter::N,sila,počasie
81,Nebel::N,pujoq,hmla
82,Wolke::N,nuia,oblak
83,Wolke::N,nuia,mračno
84,Regen::N,sialuk,dážď
85,Schnee::N,aput,sneh
86,Eis::N,siku,ľad
87,Frost::N,issi,mráz
88,Frost::N,issik,mráz
89,Kälte::N,issi,zima
90,Kälte::N,issi,chlad
91,Hitze::N,kianneq,horúčava
92,Hitze::N,kiassuseq,horúčava
93,Raureif::N,kaneq,srieň
94,Raureif::N,kaneq,inovať
95,Regenbogen::N,neriusaaq,dúha
96,Donner::N,kalleq,hrom
97,Tropfen::N,kuseriarneq,kvapka
98,Schaum::N,qapuk,pena
99,Schmutz::N,minguk,špina
100,Schmutz::N,minguk,nečistota
101,See::N,taseq,jazero
102,Sumpf::N,maqulluk,bahno
