,Concept_ID,ga,bn
0,Auge::N,súil,চক্ষু
1,Ohr::N,cluas,কর্ণ
2,Nase::N,soc,নাক
3,Mund::N,béal,মুখ
4,Zahn::N,fiacail,দাঁত
5,Zunge::N,teanga,জিহবা
6,Lippe::N,liopa,অধর
7,Wange::N,grua,গণ্ড
8,Wange::N,leiceann,গণ্ড
9,Gesicht::N,éadan,মুখমণ্ডল
10,Gesicht::N,aghaidh,মুখমণ্ডল
11,Stirn::N,baithis,কপাল
12,Stirn::N,clár éadain,কপাল
13,Haar::N,gruaig,চুল
14,Schnurrbart::N,croiméal,গোঁফ
15,Bart::N,féasóg,শ্মশ্রু
16,Kinn::N,smig,চিবুক
17,Kiefer[Anatomie]::N,giall,চোয়াল
18,Kehle::N,scornach,কণ্ঠ
19,Hals::N,muinéal,গল
20,Genick::N,baic,ঘাড়
21,Kopf::N,ceann,মাথা
22,Rücken::N,droim,পৃষ্ঠ
23,Bauch::N,bolg,উদর
24,Nabel::N,imleacán,নাভি
25,Busen::N,cíoch,স্তন
26,Brust::N,brollach,বুক
27,Schulter::N,gualainn,স্কন্ধ
28,Arm::N,lámh,বাহু
29,Ellenbogen::N,uillinn,কনুই
30,Hand::N,lámh,হাত
31,Handfläche::N,bos,করতল
32,Finger::N,méar,আঙ্গুল
33,Fingernagel::N,ionga,হাতের নখ
34,Nagel[Anatomie]::N,ionga,নখ
35,Zeh::N,ladhar,আঙ্গুল
36,Fuß::N,cos,পা
37,Fuß::N,troigh,পা
38,Ferse::N,sáil,গোড়ালি
39,Knie::N,glúin,হাঁটু
40,Oberschenkel::N,ceathrú,ঊরু
41,Bein::N,cos,পা
42,Körper::N,corp,দেহ
43,Körper::N,colainn,দেহ
44,Haut::N,cneas,ত্বক
45,Haut::N,craiceann,ত্বক
46,Blut::N,fuil,রক্ত
47,Sehne::N,teannán,কণ্ডরা
48,Sehne::N,féitheog,কণ্ডরা
49,Knochen::N,cnámh,অস্থি
50,Gehirn::N,inchinn,মস্তিষ্ক
51,Herz::N,croí,হৃৎপিণ্ড
52,Magen::N,bolg,পাকস্থলী
53,Magen::N,goile,পাকস্থলী
54,Leber::N,ae,যকৃৎ
55,Atem::N,anáil,শ্বাস
56,Hunger::N,ocras,ক্ষুধা
57,Träne::N,deoir,অশ্রু
58,Geschmack::N,blas,স্বাদ
59,Geruch::N,boladh,গন্ধ
60,Schlaf::N,suan,ঘুম
61,Schlaf::N,codladh,ঘুম
62,Traum::N,taibhreamh,স্বপ্ন
63,Himmel::N,spéir,আকাশ
64,Sonne::N,grian,সূর্য
65,Mond::N,ré,চন্দ্র
66,Mond::N,gealach,চন্দ্র
67,Stern::N,rinn,নক্ষত্র
68,Stern::N,réalta,নক্ষত্র
69,Luft::N,aer,বায়ু
70,Wind::N,gaoth,বাতাস
71,Welle::N,tonn,ঢেউ
72,Welle::N,tonn,তরঙ্গ
73,Wasser::N,uisce,জল
74,Stein::N,cloch,ঢিল
75,Stein::N,cloch,প্রস্তর
76,Boden::N,talamh,ভূতল
77,Erde::N,cré,ভূমি
78,Erde::N,ithir,ভূমি
79,Staub::N,dusta,ধুলা
80,Staub::N,deannach,ধুলা
81,Rauch::N,toit,ধোঁয়া
82,Rauch::N,deatach,ধোঁয়া
83,Funke::N,drithle,স্ফুলিঙ্গ
84,Feuer::N,tine,অগ্নি
85,Licht::N,solas,আলো
86,Schatten::N,scáth,ছায়া
87,Wetter::N,aimsir,আবহাওয়া
88,Nebel::N,ceo,কুহেলিকা
89,Wolke::N,néal,মেঘ
90,Wolke::N,scamall,মেঘ
91,Regen::N,báisteach,বৃষ্টি
92,Regen::N,fearthainn,বৃষ্টি
93,Schnee::N,sneachta,তুষার
94,Eis::N,oighear,বরফ
95,Frost::N,sioc,তুষার
96,Kälte::N,fuacht,শৈত্য
97,Hitze::N,teas,তাপ
98,Hitze::N,teocht,তাপ
99,Raureif::N,sioc bán,তুহিন
100,Regenbogen::N,stua ceatha,রামধনু
101,Regenbogen::N,bogha báistí,রামধনু
102,Donner::N,toirneach,বজ্রধ্বনি
103,Strömung::N,sruth,স্রোত
104,Tropfen::N,deoir,ফোঁটা
105,Schaum::N,cúr,ফেনা
106,Schmutz::N,salachar,ধুলা
107,See::N,loch,হ্রদ
108,Sumpf::N,portach,জলা
109,Moor::N,caorán,মাঠ
110,Moor::N,móinteán,মাঠ
111,Wiese::N,cluain,তৃণভূমি
