,Concept_ID,sl,ps
0,Auge::N,okó,سترګه
1,Ohr::N,uhó,غوږ
2,Nase::N,nós,پوزه
3,Mund::N,ústa,خوله
4,Zahn::N,zób,غاښ
5,Zunge::N,jêzik,جبه
6,Lippe::N,ústnica,شونډه
7,Wange::N,líce,باړخو
8,Gesicht::N,oblíčje,مخ
9,Stirn::N,čêlo,تندی
10,Stirn::N,čêlo,وچولی
11,Haar::N,lás,وېښته
12,Schnurrbart::N,bŕki,برېت
13,Bart::N,bráda,ږیره
14,Kinn::N,bráda,زنه
15,Kiefer[Anatomie]::N,čeljúst,جامه
16,Kehle::N,gŕlo,غاړه
17,Hals::N,vrát,غاړه
18,Genick::N,zatílnik,ورمېږ
19,Kopf::N,gláva,سر
20,Rücken::N,hrbèt,شا
21,Bauch::N,trébuh,نس
22,Bauch::N,trébuh,ګېډه
23,Nabel::N,pópek,نوم
24,Busen::N,nédrja,تی
25,Brust::N,pŕsi,سینه
26,Schulter::N,ráma,اوږه
27,Schulter::N,plêče,اوږه
28,Arm::N,rôka,لاس
29,Ellenbogen::N,komólec,څنګل
30,Hand::N,rôka,لاس
31,Handfläche::N,dlán,ورغوی
32,Finger::N,pŕst,ګوته
33,Fingernagel::N,nóht na rôki,نوک
34,Nagel[Anatomie]::N,nóht,نوک
35,Zeh::N,pŕst na nôgi,ګوته
36,Fuß::N,nôga,پښه
37,Ferse::N,pêta,پونده
38,Knie::N,koléno,زنګون
39,Oberschenkel::N,stêgno,پتون
40,Bein::N,nôga,پښه
41,Körper::N,teló,ځان
42,Haut::N,kóža,پوټکی
43,Blut::N,krí,وینه
44,Ader::N,žíla,رګ
45,Sehne::N,kíta,پله
46,Knochen::N,kóst,هډوکی
47,Gehirn::N,možgáni,ماغزه
48,Herz::N,srcé,زړه
49,Magen::N,želódec,معده
50,Leber::N,jétra,ينه
51,Leber::N,jétra,ځیګر
52,Atem::N,díh,نفس
53,Hunger::N,glád,ولږه
54,Träne::N,sólza,اوښکه
55,Geschmack::N,okús,مزه
56,Geschmack::N,okús,خوند
57,Geruch::N,vónj,بوی
58,Schlaf::N,sèn,خوب
59,Schlaf::N,spánec,خوب
60,Traum::N,sánje,خوب
61,Himmel::N,nebó,اسمان
62,Sonne::N,sónce,لمر
63,Mond::N,lúna,سپوږمۍ
64,Mond::N,mésec,سپوږمۍ
65,Stern::N,zvézda,ستوری
66,Luft::N,zràk,هوا
67,Wind::N,véter,ورښ
68,Welle::N,vál,موج
69,Wasser::N,vôda,اوبه
70,Stein::N,kámen,ډبره
71,Boden::N,tlà,مځکه
72,Erde::N,pŕst,خاوره
73,Erde::N,zêmlja,خاوره
74,Staub::N,práh,ګرد
75,Staub::N,práh,خاوره
76,Rauch::N,dìm,دود
77,Rauch::N,dìm,لوګی
78,Funke::N,ískra,سپرغۍ
79,Feuer::N,ôgenj,اور
80,Licht::N,lúč,رڼا
81,Schatten::N,sénca,سیوری
82,Wetter::N,vrême,هوا
83,Nebel::N,meglà,لړه
84,Wolke::N,oblák,ورېځ
85,Regen::N,dèž,وریا
86,Regen::N,dèž,باران
87,Schnee::N,snég,واوره
88,Eis::N,léd,یخ
89,Eis::N,léd,کنګل
90,Frost::N,zmrzál,یخ
91,Kälte::N,mràz,ساړه
92,Hitze::N,pripéka,تودوخي
93,Raureif::N,ívje,سپینه پرخه
94,Raureif::N,slána,سپینه پرخه
95,Regenbogen::N,mávrica,بوډۍ ټال
96,Regenbogen::N,mávrica,سره زرغونه
97,Donner::N,gròm,تالنده
98,Strömung::N,strúja,بهېدنه
99,Tropfen::N,káplja,قطره
100,Tropfen::N,káplja,څاڅکی
101,Schaum::N,péna,ځګ
102,Schmutz::N,nesnága,ناپاکي
103,See::N,jézero,جهیل
