,Concept_ID,ja,udm
0,Auge::N,目,син
1,Ohr::N,耳,пель
2,Nase::N,鼻,ныр
3,Mund::N,口,ым
4,Zahn::N,歯,пинь
5,Zunge::N,舌,кыл
6,Lippe::N,唇,ымдур
7,Wange::N,頬,бам
8,Gesicht::N,顔,ымныр
9,Stirn::N,額,кымес
10,Haar::N,髪,йырси
11,Schnurrbart::N,口髭,мыйык
12,Bart::N,髭,туш
13,Kinn::N,顎,ангес
14,Kiefer[Anatomie]::N,顎,ан
15,Kiefer[Anatomie]::N,顎,анлы
16,Kehle::N,喉,гульым
17,Hals::N,首,чырты
18,Genick::N,首,йырбер
19,Kopf::N,頭,йыр
20,Rücken::N,背中,мыш
21,Bauch::N,腹,кӧт
22,Bauch::N,お腹,кӧт
23,Nabel::N,へそ,гогы
24,Busen::N,乳房,ноны
25,Brust::N,胸,мӧля
26,Schulter::N,肩,пельпум
27,Arm::N,腕,суй
28,Ellenbogen::N,肘,гырпум
29,Hand::N,手,ки
30,Handfläche::N,手のひら,ки пыдэс
31,Handfläche::N,手のひら,кырым пыдэс
32,Finger::N,指,чиньы
33,Fingernagel::N,爪,гижы
34,Fingernagel::N,爪,гиждӥнь
35,Nagel[Anatomie]::N,爪,гижы
36,Zeh::N,足の指,пыдчиньы
37,Fuß::N,足,пыд
38,Ferse::N,かかと,пыдбер
39,Knie::N,膝,пыдес
40,Oberschenkel::N,上腿,макес
41,Bein::N,足,пыд
42,Körper::N,体,мугор
43,Körper::N,体,вылтыр
44,Haut::N,皮膚,ку
45,Blut::N,血,вир
46,Ader::N,血管,вирсэр
47,Sehne::N,腱,вуж
48,Knochen::N,骨,лы
49,Gehirn::N,脳,вим
50,Herz::N,心,сюлэм
51,Herz::N,心臓,сюлэм
52,Magen::N,胃,ӝуш
53,Leber::N,肝臓,мус
54,Atem::N,息,лул
55,Atem::N,息,шокан
56,Atem::N,呼吸,лул
57,Atem::N,呼吸,шокан
58,Hunger::N,空腹,кӧтсюман
59,Träne::N,涙,синкыли
60,Geschmack::N,味,шӧм
61,Geruch::N,匂い,зын
62,Schlaf::N,睡眠,вӧт
63,Traum::N,夢,уйвӧт
64,Himmel::N,空,ин
65,Sonne::N,太陽,шунды
66,Mond::N,月,толэзь
67,Stern::N,星,кизили
68,Luft::N,空気,омыр
69,Wind::N,風,тӧл
70,Welle::N,波,тулкым
71,Wasser::N,水,ву
72,Stein::N,石,из
73,Boden::N,土地,музъем
74,Erde::N,土,му
75,Staub::N,埃,пыль
76,Rauch::N,煙,ӵын
77,Funke::N,火花,гизьы
78,Feuer::N,火,тыл
79,Licht::N,光,тыл
80,Schatten::N,陰,вужер
81,Wetter::N,天気,куазь
82,Nebel::N,霧,бус
83,Wolke::N,雲,пилем
84,Regen::N,雨,зор
85,Schnee::N,雪,лымы
86,Eis::N,氷,йӧ
87,Frost::N,霜,кезьыт
88,Kälte::N,寒さ,кезьыт
