,Concept_ID,fr,sq
0,Auge::N,œil,sy
1,Ohr::N,oreille,vesh
2,Nase::N,nez,hundë
3,Mund::N,bouche,gojë
4,Zahn::N,dent,dhëmb
5,Zunge::N,langue,gjuhë
6,Lippe::N,lèvre,buzë
7,Wange::N,joue,faqe
8,Wange::N,joue,mollëz
9,Gesicht::N,face,fytyrë
10,Gesicht::N,visage,fytyrë
11,Stirn::N,front,ballë
12,Haar::N,cheveu,flokë
13,Schnurrbart::N,moustache,mustaqe
14,Bart::N,barbe,mjekër
15,Kinn::N,menton,mjekër
16,Kiefer[Anatomie]::N,mâchoire,nofull
17,Kehle::N,gorge,fyt
18,Kehle::N,gorge,grykë
19,Hals::N,cou,qafë
20,Genick::N,nuque,arrëz
21,Kopf::N,tête,kokë
22,Rücken::N,dos,kurriz
23,Bauch::N,ventre,bark
24,Nabel::N,nombril,kërthizë
25,Busen::N,sein,gji
26,Brust::N,poitrine,gjoks
27,Brust::N,poitrine,kraharor
28,Schulter::N,épaule,sup
29,Schulter::N,épaule,krah
30,Arm::N,bras,krah
31,Ellenbogen::N,coude,bërryl
32,Hand::N,main,dorë
33,Handfläche::N,paume,pëllëmbë
34,Finger::N,doigt,gisht
35,Fingernagel::N,ongle,thua
36,Nagel[Anatomie]::N,ongle,thua
37,Zeh::N,orteil,gisht i këmbës
38,Zeh::N,doigt de pied,gisht i këmbës
39,Fuß::N,pied,këmbë
40,Ferse::N,talon,thembër
41,Knie::N,genou,gju
42,Oberschenkel::N,cuisse,kofshë
43,Bein::N,jambe,këmbë
44,Körper::N,corps,trup
45,Haut::N,peau,lëkurë
46,Blut::N,sang,gjak
47,Ader::N,veine,venë
48,Sehne::N,tendon,dell
49,Knochen::N,os,asht
50,Knochen::N,os,kockë
51,Gehirn::N,cerveau,tru
52,Herz::N,cœur,zemër
53,Magen::N,estomac,stomak
54,Leber::N,foie,mëlçi
55,Atem::N,haleine,frymë
56,Hunger::N,faim,uri
57,Träne::N,larme,lot
58,Geschmack::N,goût,shije
59,Geschmack::N,saveur,shije
60,Geruch::N,odeur,erë
61,Schlaf::N,sommeil,gjumë
62,Traum::N,songe,ëndërr
63,Himmel::N,ciel,qiell
64,Sonne::N,soleil,diell
65,Mond::N,lune,hënë
66,Stern::N,étoile,yll
67,Luft::N,air,ajër
68,Wind::N,vent,erë
69,Welle::N,vague,valë
70,Welle::N,vague,dallgë
71,Wasser::N,eau,ujë
72,Stein::N,pierre,gur
73,Boden::N,sol,tokë
74,Boden::N,sol,truall
75,Boden::N,terrain,tokë
76,Boden::N,terrain,truall
77,Erde::N,terre,dhe
78,Erde::N,terre,baltë
79,Staub::N,poussière,pluhur
80,Rauch::N,fumée,tym
81,Funke::N,étincelle,xixë
82,Funke::N,étincelle,shkëndijë
83,Feuer::N,feu,zjarr
84,Licht::N,lumière,dritë
85,Schatten::N,ombre,hije
86,Wetter::N,temps,mot
87,Nebel::N,brume,mjegull
88,Nebel::N,brouillard,mjegull
89,Wolke::N,nuage,re
90,Regen::N,pluie,shi
91,Schnee::N,neige,borë
92,Eis::N,glace,akull
93,Frost::N,gel,ngricë
94,Frost::N,gelée,ngricë
95,Kälte::N,froid,të ftohtë
96,Hitze::N,chaleur,vapë
97,Hitze::N,chaleur,nxehtësi
98,Raureif::N,givre,cikmë
99,Regenbogen::N,arc-en-ciel,ylber
100,Donner::N,tonnerre,gjëmim
101,Donner::N,tonnerre,bubullimë
102,Strömung::N,courant,rrymë
103,Tropfen::N,goutte,pikë
104,Schaum::N,écume,shkumë
105,Schaum::N,mousse,shkumë
106,Schmutz::N,boue,baltë
107,Schmutz::N,saleté,baltë
108,See::N,lac,liqen
109,Sumpf::N,marais,batak
110,Sumpf::N,marécage,batak
111,Moor::N,tourbière,kënetë
112,Wiese::N,pré,livadh
113,Wald::N,bois,pyll
114,Wald::N,forêt,pyll
115,Hügel::N,coteau,kodër
116,Hügel::N,colline,kodër
117,Anhöhe::N,éminence,bregore
118,Anhöhe::N,élévation,bregore
119,Berg::N,mont,mal
120,Berg::N,montagne,mal
121,Gipfel::N,cime,kulm
122,Gipfel::N,sommet,kulm
123,Höhle::N,caverne,shpellë
124,Höhle::N,caverne,zgafelle
125,Abhang::N,pente,shpat
126,Abhang::N,pente,tatëpjetë
127,Abhang::N,versant,shpat
128,Abhang::N,versant,tatëpjetë
129,Quelle::N,source,krua
130,Quelle::N,source,burim
131,Quelle::N,fontaine,krua
132,Quelle::N,fontaine,burim
133,Bach::N,ruisseau,virua
134,Fluss::N,fleuve,lumë
135,Fluss::N,rivière,lumë
136,Ufer::N,bord,breg
137,Ufer::N,rivage,breg
138,Küste::N,côte,anëdet
139,Küste::N,côte,bregdet
140,Festland::N,terre ferme,kontinent
141,Meer::N,mer,det
142,Bucht::N,baie,gji deti
143,Insel::N,île,ishull
144,Insel::N,île,ujdhesë
145,Blume::N,fleur,lule
146,Gras::N,herbe,bar
147,Wurzel::N,racine,rrënjë
148,Baum::N,arbre,pemë
149,Stamm::N,tronc,trung
150,Rinde::N,écorce,lëvore
151,Ast::N,branche,degë
152,Zweig::N,rameau,bisk
153,Blatt::N,feuille,fletë
154,Blatt::N,feuille,gjethe
155,Birke::N,bouleau,mështekën
156,Kiefer[Baum]::N,pin,pishë
157,Weide[Baum]::N,saule,shelg
158,Tanne::N,sapin,bredh
159,Horn::N,corne,bri
160,Feder::N,plume,pupël
161,Fell::N,peau,lëkurë
162,Flügel::N,aile,krah
163,Flügel::N,aile,fletë
164,Klaue::N,serre,kthetër
165,Kralle::N,ongle,thua
166,Kralle::N,ongle,kthetër
167,Kralle::N,griffe,thua
168,Kralle::N,griffe,kthetër
169,Schwanz::N,queue,bisht
170,Ei::N,œuf,vezë
171,Nest::N,nid,fole
172,Bau::N,terrier,strofkë
173,Tier::N,animal,kafshë
174,Herde::N,troupeau,kope
175,Herde::N,troupeau,grigjë
176,Kuh::N,vache,lopë
177,Bulle::N,taureau,dem
178,Pferd::N,cheval,kalë
