,Concept_ID,os,ab
0,Auge::N,цӕст,ала
1,Ohr::N,хъус,алымҳа
2,Nase::N,фындз,аҧынҵа
3,Mund::N,дзых,аҧышə
4,Zahn::N,дӕндаг,ахаҧыц
5,Zunge::N,ӕвзаг,абз
6,Lippe::N,был,ақьышə
7,Wange::N,рус,аӡамҩа
8,Wange::N,уадул,аӡамҩа
9,Wange::N,ӕхсӕрфарс,аӡамҩа
10,Gesicht::N,цӕсгом,аҿы
11,Stirn::N,ных,алахь
12,Haar::N,хил,ахəыц
13,Schnurrbart::N,рихи,аҧаҵа
14,Bart::N,зачъе,ажакьа
15,Kinn::N,роцъо,ацламкəыгə
16,Kiefer[Anatomie]::N,ӕфсӕр,ацламҳəа
17,Kehle::N,хъуыр,ахəда
18,Hals::N,къубал,ахəда
19,Genick::N,къӕбут,ахəдаџьал
20,Kopf::N,сӕр,ахы
21,Rücken::N,фӕсонтӕ,азқəа
22,Bauch::N,гуыбын,амгəа
23,Nabel::N,бикъ,аҷапан
24,Busen::N,дзидзи,агəыҧҳəы
25,Brust::N,риу,агəышҧы
26,Schulter::N,уӕхск,ажəҩахыр
27,Arm::N,цонг,амахəар
28,Ellenbogen::N,рæмбын,амашьхəылҵ
29,Hand::N,къух,анапы
30,Handfläche::N,армытъӕпӕн,анапсаргəыҵа
31,Finger::N,ӕнруылдз,анацəа
32,Fingernagel::N,ных,анапхыц
33,Nagel[Anatomie]::N,ных,ашьапхыц
34,Zeh::N,къух,ашьацəа
35,Fuß::N,фад,ашьапсыргəыҵа
36,Ferse::N,зӕвӕт,ашьхəа
37,Knie::N,уӕраг,ашьамхы
38,Oberschenkel::N,агъд,ауаҭəа
39,Bein::N,зӕнг,ашьапы
40,Körper::N,буар,ацəеижь
41,Haut::N,царм,ацəа
42,Blut::N,туг,ашьа
43,Ader::N,дадзин,ада
44,Ader::N,тугдадзин,ада
45,Sehne::N,хъиутæ,адаш
46,Sehne::N,нуар,адаш
47,Knochen::N,стӕг,абаҩ
48,Gehirn::N,магъз,ахшлыбаҩ
49,Gehirn::N,магъз,ахшыбаҩ
50,Herz::N,зӕрдӕ,агəы
51,Magen::N,ахсӕн,аца
52,Magen::N,ахсӕн,ацар
53,Leber::N,игæр,агəаҵəа
54,Atem::N,улӕфт,аҧсыҧлагаҩгара
55,Hunger::N,стонг,амла
56,Träne::N,цæссыг,алабжыш
57,Geschmack::N,ад,агьама
58,Geruch::N,смаг,афҩы
59,Schlaf::N,хуыссӕг,ацəа
60,Traum::N,фын,аҧхыӡ
61,Himmel::N,арв,ажəҩан
62,Himmel::N,уӕларв,ажəҩан
63,Sonne::N,хур,амра
64,Mond::N,мӕй,амза
65,Stern::N,стъалы,аеҵəа
66,Luft::N,уӕлдӕф,аҳаир
67,Wind::N,дымгӕ,аҧша
68,Welle::N,уылӕн,ацəқəырҧа
69,Wasser::N,дон,аӡы
70,Stein::N,дур,ахаҳə
71,Boden::N,зӕхх,адгьыл
72,Erde::N,сыджыт,адгьыл
73,Staub::N,рыг,асаба
74,Rauch::N,фӕздӕг,алҩа
75,Funke::N,цӕхӕр,акəиц
76,Funke::N,цӕхӕр,ацҧхь
77,Feuer::N,зынг,амца
78,Licht::N,рухс,алашара
79,Schatten::N,аууон,ашəшьыра
80,Wetter::N,боныхъӕд,амш
81,Nebel::N,мигъ,анаҟəа
82,Wolke::N,ӕврагъ,аҧсҭҳəа
83,Regen::N,уарын,ақəа
84,Schnee::N,мит,асы
85,Eis::N,их,аҵаа
86,Frost::N,ихæн,аҵаа
87,Kälte::N,уазал,ахьҭа
88,Hitze::N,ӕнтӕф,ашоура
89,Raureif::N,халас,аҵааҧшқа
90,Regenbogen::N,арвырон,ацəаҟəа
91,Regenbogen::N,арвырдын,ацəаҟəа
92,Donner::N,æрвнæрын,адыд
93,Strömung::N,цыд,аиасра
94,Strömung::N,цыд,амҩасра
95,Tropfen::N,æртах,ацəыкəбар
96,Schaum::N,фынк,ашəах
97,Schmutz::N,цъыф,алымт
98,See::N,цад,аӡиа
99,Sumpf::N,цъыфдзаст,аӡмах
100,Moor::N,цъыфдзаст,
101,Wiese::N,уыгӕрдӕн,адəы
102,Wald::N,хъӕд,абна
103,Hügel::N,обау,ахəы
104,Hügel::N,къуыбыр,ахəы
105,Anhöhe::N,уæлвæз,аҳаракыра
106,Anhöhe::N,уæлхох,аҳаракыра
107,Berg::N,хох,ашьха
108,Gipfel::N,цъупп,ацəқəа
109,Höhle::N,лӕгӕт,аҳаҧы
110,Abhang::N,къул,анаара
111,Quelle::N,суадон,аҵҵырҭа
112,Bach::N,мӕсчъыдон,акəараҷҷа
113,Fluss::N,дон,аӡиас
