,Concept_ID,os,ab
114,Fluss::N,цӕугӕдон,аӡиас
115,Ufer::N,был,ахықə
116,Küste::N,донбыл,ахықə
117,Festland::N,сурзæхх,абарра
118,Meer::N,денджыз,амшын
119,Bucht::N,донбакæлæн,аӡбжьахала
120,Insel::N,сакъадах,адгьылбжьаха
121,Blume::N,дидинӕг,ашəҭ
122,Gras::N,кӕрдӕг,аҳасакьын
123,Wurzel::N,уидаг,адац
124,Baum::N,бӕлас,аҵла
125,Stamm::N,хӕтӕл,ашьапы
126,Rinde::N,цъар,ацəа
127,Ast::N,арх,амахə
128,Ast::N,арх,амахəҭа
129,Zweig::N,къалиу,амахə
130,Zweig::N,къалиу,амахəҭа
131,Blatt::N,сыф,абҕьы
132,Birke::N,бæрз,аҵааҵла
133,Kiefer[Baum]::N,нӕзы,амза
134,Weide[Baum]::N,хӕрис,аҧслыш
135,Tanne::N,наз,аҧсаӡ
136,Horn::N,сыкъа,атəыҩа
137,Feder::N,сис,ахӡы
138,Fell::N,царм,ацəа
139,Flügel::N,базыр,амҵəыжəа
140,Klaue::N,ных,ашьапхыц
141,Kralle::N,дзӕмбы,
142,Schwanz::N,къӕдзил,аҵыхəа
143,Ei::N,айк,акəтаӷь
144,Nest::N,ахстон,аҭра
145,Nest::N,ахстон,аҵысҭра
146,Bau::N,хуынкъ,аҭыҩра
147,Tier::N,сырд,аҧстəы
148,Tier::N,сырд,агыгшəыг
149,Tier::N,цӕрӕгой,аҧстəы
150,Tier::N,цӕрӕгой,агыгшəыг
151,Herde::N,дзуг,агəарҭа
152,Herde::N,рӕгъау,агəарҭа
153,Kuh::N,хъуг,ажə
154,Bulle::N,гал,ацə
155,Pferd::N,бӕх,аҽы
156,Schaf::N,фыс,ауаса
157,Schwein::N,хуы,аҳəа
158,Hund::N,куыдз,ала
159,Katze::N,гӕды,ацгəы
160,Bär::N,арс,амшə
161,Eichhörnchen::N,æхсæрæг,аеш
162,Elch::N,цæгатаг саг,аҽаҩа
163,Fuchs::N,рувас,абгахəыҷы
164,Hase::N,тæрхъус,ажьа
165,Maus::N,мыст,аҳəынаҧ
166,Wolf::N,бирӕгъ,абгаду
167,Vogel::N,цъиу,аҧсаатə
168,Vogel::N,маргъ,аҧсаатə
169,Schwarm::N,бал,
170,Huhn::N,карк,акəты
171,Hahn::N,уасӕг,арбаҕь
172,Gans::N,хъаз,аҟыз
173,Adler::N,цӕргӕс,ауарба
174,Ente::N,ацц,акəата
175,Eule::N, уыг,аты
176,Eule::N,сидахъ,аты
177,Kranich::N,зырнæг,апҟа
178,Kranich::N,хърихъупп,апҟа
179,Krähe::N,халон,аҟəараан
180,Kuckuck::N,гаккук,акəыкəу
181,Schwan::N,доныхъаз,агьад
182,Fisch::N,кӕсаг,аҧсыӡ
183,Barsch::N,окунь,ацəыбла
184,Hecht::N,хихор кӕсаг,ахиаала
185,Schlange[Tier]::N,калм,амаҭ
186,Wurm::N,зулкъ,ахəа
187,Wurm::N,зулкъ,ахəац
188,Wurm::N,къуыдыргалм,ахəа
189,Wurm::N,къуыдыргалм,ахəац
190,Spinne::N,хӕлуарӕг,абызкаҭаҳа
191,Ameise::N,мæлдзыг,ашышкамс
192,Laus::N,сыст,аҵа
193,Mücke::N,къогъо,акəыбры
194,Fliege::N,бындз,амҵ
195,Schmetterling::N,гæлæбу,аҧарҧалыкь
196,Beere::N,гагадыргъ,аргуц
197,Apfel::N,фӕткъуы,аҵəа
198,Pilz::N,зокъо,акəкəбаа
199,Pilz::N,къозо,акəкəбаа
200,Zwiebel::N,хъӕдындз,аџьымшьы
201,Zwiebel::N,хъӕдындз,аџьымшьхы
202,Saat::N,тауинаг,ажəла
203,Saat::N,мыггаг,ажəла
204,Korn::N,мыггаг,арыц
205,Korn::N,тауинаг,арыц
206,Heu::N,хос,аҭəа
207,Schale::N,цъар,ацəа
208,Grube::N,урм,ажра
209,Grube::N,урм,атыша
210,Grube::N,къахт,ажра
211,Grube::N,къахт,атыша
212,Grube::N,дзыхъхъ,ажра
213,Grube::N,дзыхъхъ,атыша
214,Falle::N,цъысым,арыҧҟьа
215,Falle::N,къӕппӕг,арыҧҟьа
216,Schlinge::N,цасм,аҟəараҟəантə
217,Spur::N,фæд,ашьҭа
218,Asche::N,фӕнык,ахəа
219,Asche::N,ӕртхутӕг,ахəа
220,Dreck::N,цъыф,аҳəынҵəа
221,Dreck::N,цъыф,аҟьамсар
222,Eisen::N,ӕфсӕйнаг,аиха
223,Gold::N,сыгъзӕрин,ахьы
224,Silber::N,ӕвзист,аразны
225,Kohle::N,ӕвзалы,арацəа
226,Glas::N,авг,асаркьа
227,Lehm::N,ӕлыг,анышəаҧшь
228,Sand::N,змис,аҧслымӡ
229,Mensch::N,лӕг,ауаҩы
230,Mensch::N,адӕймаг,ауаҩы
231,Mensch::N,удгоймаг,ауаҩы
232,Mann::N,лӕг,ахаҵа
233,Mann::N,нӕлгоймаг,ахаҵа
234,Frau::N,сылгоймаг,аҧҳəыс
235,Kind::N,сывӕллон,ахəыҷы
236,Junge::N,лӕппу,аҷкəын
237,Junge::N,лӕппу,ахаҵарҧыс
238,Mädchen::N,чызг,аӡӷаб
239,Familie::N,бинонтæ,аҭаацəа
240,Großvater::N,фыдыфыд,абду
241,Großvater::N,мадыфыд,абду
242,Großmutter::N,фыды мад,анду
243,Großmutter::N,мады мад,анду
244,Eltern::N,ныййарджытæ,ани аби
245,Vater::N,фыд,аб
246,Mutter::N,мад,ан
247,Sohn::N,фырт,аҧа
248,Tochter::N,чызг,аҧҳа
249,Bruder::N,ӕфсымӕр,аиашьа
250,Schwester::N,хо,Аҳəшьа
251,Onkel::N,фыдыфсымӕр,абиашьа
252,Onkel::N,фыдыфсымӕр,аншьа
253,Tante::N,мадыхо,абиаҳəшьа
254,Ehemann::N,мой,ахаҵа
255,Ehemann::N,мой,аҧшəма
256,Ehefrau::N,ус,аҧҳəыс
257,Freude::N,цин,агəырӷьара
258,Freude::N,циндзинад,агəырӷьара
259,Gelächter::N,худын,ачча
260,Gelächter::N,худын,аччара
261,Gelächter::N,худт,ачча
262,Gelächter::N,худт,аччара
263,Gelächter::N,худæг,ачча
264,Gelächter::N,худæг,аччара
265,Glück::N,амонд,аразҟы
266,Kummer::N,хъыг,агəырҩа
267,Wunsch::N,бӕллиц,агəхəтəы
268,Wunsch::N,бӕллиц,аҭахра
269,Lust::N,монц,агəазыҳəара
270,Geist::N,уд,аҧсы
271,Gedanke::N,хъуыды,ахəыцырҭа
272,Gedächtnis::N,мысæн,агəынкылара
273,Gedächtnis::N,мысын,агəынкылара
274,Gedächtnis::N,зæрдылдарын,агəынкылара
275,Verstand::N,зонд,ахшыҩ
276,Sinn::N,нысаниуæг,аҵакы
277,Grund::N,ӕфсон,амзыз
278,Wahrheit::N,æцæг,аиаша
279,Gespräch::N,ныхас,аиҿцәажәара
280,Märchen::N,аргъау,алакə
281,Erzählung::N,радзырд,ажәабжь
282,Nachricht::N,уац,адырраҭара
283,Neuigkeit::N,хабар,ажәабжь ҿыц
284,Name::N,ном,ахьӡ
285,Rätsel::N,уыци-уыци,ацуфара
286,Rätsel::N,базон-базон,ацуфара
287,Rede::N,раныхас,ажәа
288,Sprache::N,ӕвзаг,абызшəа
289,Stimme::N,хъӕлӕс,абжьы
290,Wort::N,дзырд,ажәа
291,Zeichen::N,нысан,адырга
292,Ruf::N,сидт,аҿҭы
293,Lärm::N,уынæр,ашьҭыбжь
294,Laut::N,зӕл,ашьҭыбжь
295,Laut::N,мыр,ашьҭыбжь
296,Ton::N,мыр,атон
297,Lied::N,зарӕг,ашəа
298,Ruhe::N,æнцой,аҭынчра
299,Leute::N,адӕм,ауаа
300,Volk::N,адӕм,ажəлар
301,Arbeit::N,фӕллой,аусура
302,Gast::N,уазӕг,асас
303,Geschenk::N,хуын,аҳамҭа
304,Geschenk::N,хуын,аҿанҵа
305,Spiel::N,хъазт,ахəмарра
306,Gesellschaft::N,дзыллæ,агəыҧ
307,Gesellschaft::N,æхсæнад,агəыҧ
308,Hilfe::N,æххуыс,ацхыраара
309,Hilfe::N,ахъаз,ацхыраара
310,Freund::N,лымӕн,аҩыза
311,Kamerad::N,ӕмбал,Аҧхнагьла
312,Angelegenheit::N,хъуыддаг,аус
313,Anzahl::N,бӕрц,ахыҧхьаӡара
314,Art::N,хуыз,ахкы
315,Art::N,хуызад,ахкы
316,Stück::N,кæрдих,аҽыҭ
317,Stück::N,комдзаг,аҽыҭ
318,Teil::N,хай,ахəҭа
319,Hälfte::N,æрдæг,абжа
320,Hälfte::N,æмбис,абжа
321,Kreis::N,зиллакк,агьагьа
322,Kreuz::N,дзуар,аџьар
323,Linie::N,хахх,аицтәар
324,Strich::N,хахх,ацəаҳəа
325,Abstand::N,æхсæнуат,абжьара
326,Entfernung::N,дæрддзæг,абжьара
327,Entfernung::N,дардцæг,абжьара
328,Gegend::N,ран,аҭыҧ
329,Platz::N,бууат,аҭыҧ
330,Ort::N,ран,аҭыҧ
331,Ort::N,бынат,аҭыҧ
332,Seite::N,фахс,аган
333,Mitte::N,астӕу,агəҭа
334,Gegenstand::N,дзаума,амаҭəар
335,Sache::N,дзаума,
336,Rand::N,кӕрон,аҵкар
337,Kante::N,фӕрск,авардым
338,Ecke::N,тигъ,акəакь
339,Ecke::N,фисын,акəакь
340,Spitze::N,бырынкъ,аҧынҵа
341,Ende::N,кӕрон,анаӡара
342,Loch::N,хуынкъ,акылҵəара
343,Winkel::N,къуым,агҿаҩра
344,Winkel::N,къуым,акəындхə
345,Winkel::N,къуым,акəакь
346,Muster::N,нывæфтыд,аҟҟа
347,Muster::N,кæдзист,аҟҟа
348,Größe::N,ас,изаҟароу
349,Länge::N,дӕргъ,аура
350,Höhe::N,бæрзонд,агылара
351,Höhe::N,бæрзæнд,агылара
352,Höhe::N,бæрзонддзинад,агылара
353,Gewicht::N,уӕз,акапан
354,Menge::N,бӕрц,
355,Haufen::N,кӕри,ачаҟəа
356,Reihe::N,рӕнхъ,ацəаҳəа
357,Boot::N,чема,анышь
358,Ruder::N,къохар,ажəҩа
359,Schlitten::N,дзоныгъ,ашəаҩауардын
360,Ski::N,къахдзоныгътæ,ашəаҩа
361,Ski::N,къахдзоныгътæ,ашьахаха
362,Ski::N,лыжæтæ,ашəаҩа
363,Ski::N,лыжæтæ,ашьахаха
364,Lagerfeuer::N,арт,еиқуу амца
365,Last::N,уаргъ,ахьанҭара
366,Gang::N,цыд,аныҟəара
367,Schritt::N,санчъех,ашьаҿа
368,Schritt::N,къахдзӕф,ашьаҿа
369,Norden::N,цæгат,аҩада
370,Süden::N,хуссар,алада
371,Westen::N,ныгуылæн,амраҭашəара
372,Osten::N,скæсæн,амрагылара
373,Holz::N,хъӕдӕрмӕг,амҿымаҭəахə
374,Brett::N,фæйнæг,аӷəы
375,Platte::N,къӕй,ахаҳәцәы
376,Stütze::N,быцæу,аҵаргəа
377,Stütze::N,быцæу,агəышьаҟа
378,Stange::N,хъил,акьат
379,Stock::N,лӕдзӕг,алаба
380,Stab::N,хъил,акьат
381,Rohr::N,хӕтӕл,абыкь
382,Haus::N,хӕдзар,аҩны
383,Heim::N,къона,аҭаацəа
384,Ofen::N,пец,аҳақə
385,Ofen::N,пец,ауаџьаҟ
386,Ofen::N,пец,афрына
387,Fußboden::N,астӕрд,адашьма
388,Tisch::N,стъол,аишәа
389,Stuhl::N,бандон,аҟəардə
390,Wiege::N,авдæн,агара
391,Bett::N,сынтӕг,акаруаҭ
392,Regal::N,тӕрхӕг,акыӷəра
393,Regal::N,уӕлвӕйнӕг,акыӷəра
394,Kiste::N,асыкк,аидчаҧала
395,Fenster::N,рудзынг,аҧенџьыр
396,Fenster::N,фæрссаг,аҧенџьыр
397,Tür::N,дуар,ашə
398,Tor::N,кулдуар,агəашə
399,Zaun::N,æмбонд,аанда
400,Zaun::N,быру,аанда
401,Zaun::N,гæрæн,аанда
402,Dach::N,уӕлхӕдзар,ахыб
403,Leiter::N,асин,амардуан
404,Besen::N,уисой,аҧссага
405,Spaten::N,бел,ажыга
406,Schaufel::N,æвгæнæн,аҭəарӷəы
407,Schaufel::N,кæфой,аҭəарӷəы
408,Gabel::N,вилкæ,ачқьыҧ
409,Löffel::N,уидыг,амҳаҵə
410,Messer::N,кард,аҳəызба
411,Nagel::N,зӕгӕл,аҵəымӷ
412,Netz::N,хыз,акаҭа
413,Haken::N,хæдз,аҵəаҳə
414,Haken::N,хæбырæгъ,аҵəаҳə
415,Griff::N,фистон,амаа
416,Schloss::N,гуыдыр,асаҧаҭ
417,Bild::N,ныв,асахьа
418,Figur::N,кæрдгæныв,афигура
419,Puppe::N,чындз,акьанџьа
420,Beutel::N,дзӕкъул,асакь
421,Bündel::N,баст,аҿаҳəара
422,Tasche::N,хызын,арҭмаҟ
423,Tasche::N,дзæкъул,арҭмаҟ
424,Eimer::N,къæрта,аведра
425,Eimer::N,чъыбыла,аведра
426,Eimer::N,ведра,аведра
427,Deckel::N,сæр,ахҩа
428,Deckel::N,æмбæрзæн,ахҩа
429,Geschirr::N,мигæнæн,ачысмаҭəа
430,Geschirr::N,мигæнæнтæ,ачысмаҭəа
431,Sack::N,голлаг,асакь
432,Tasse::N,пиала,аҵəца
433,Tasse::N,къус,аҵəца
434,Topf::N,аг,акаструлиа
435,Topf::N,чысыл аг,акаструлиа
436,Kessel::N,аг,ачуан
437,Essen::N,хӕрд,
438,Nahrung::N,хойраг,афатə
439,Speise::N,хӕринаг,афатə
440,Fleisch::N,дзидза,акəац
441,Fleisch::N,фыдызгъӕл,акəац
442,Getreide::N,халсар,ачакуа
443,Brei::N,кас,ақашь
444,Brot::N,дзул,ача
445,Scheibe::N,къӕбӕр,аҽыҭ
446,Scheibe::N,къӕбӕр,аҿаҵа
447,Fett::N,сой,ашша
448,Butter::N,нӕлхӕ,ахəша
449,Öl::N,зети,азеҭ
450,Salz::N,цӕхх,аџьыка
451,Suppe::N,бас,асуҧ
452,Honig::N,мыд,ацха
453,Milch::N,ӕхсыр,ахш
454,Tee::N,цай,ачаи
455,Leder::N,мæскуы,ацəа
456,Wolle::N,фӕсмын,аласа
457,Stoff::N,хъуымац,Аба
458,Nadel::N,судзин,агəыр
459,Faden::N,ӕндах,арахəыц
460,Knopf::N,цӕппӕр,аҳəынҵəра
461,Knoten::N,ӕлхынцъ,аиқəҳəала
462,Farbe::N,ахорæн,ашəыга
463,Kleidung::N,дарӕс,амаҭəа
464,Hemd::N,хӕдон,акьаҿ
465,Kragen::N,æфцæггот,ахəда
466,Ärmel::N,дыс,амаӷра
467,Hose::N,хæлаф,аиқəа
468,Hose::N,æддаг хæлаф,аиқəа
469,Hose::N,салбар,аиқəа
470,Gürtel::N,рон,амаҟа
471,Mütze::N,худ,ахылҧа
472,Schuh::N,басмахъ,аимаа
473,Stiefel::N,цырыхъхъ,амагə
474,Ring::N,къухдарӕн,амацəаз
475,Band::N,лент,алента
476,Kamm::N,сӕрвасӕн,ахҳəа
477,Spiegel::N,айдæн,асаркьа
478,Spiegel::N,кæсæн,асаркьа
479,Riemen::N,гӕрз,аа
480,Schnur::N,бӕндӕн,ашаха
481,Decke::N,хъӕццул,ахыза
482,Kissen::N,баз,ахчы
483,Tuch::N,кæлмæрзæн,акасы
484,Tuch::N,кæрдæн,акасы
485,Handtuch::N,хисæрфæн,ампахьшьы
486,Kraft::N,тых,амч
487,Kraft::N,хъомыс,амч
488,Stärke::N,тых,амч
489,Stärke::N,æхсар,амч
490,Gesundheit::N,æнæниздзинад,агəабзиара
491,Krankheit::N,низ,ачымазара
492,Krankheit::N,рын,ачымазара
493,Schmerz::N,рис,ахьаа
494,Wunde::N,цӕф,ахəра
495,Fieber::N,ризӕг,ашоура
496,Fieber::N,тӕфсӕг,ашоура
497,Arznei::N,хос,ахəшə
498,Brücke::N,хид,ацҳа
499,Brunnen::N,цъай,аҵыџь
500,Weide::N,хизæн,аҳəырҭа
501,Weide::N,хизæнуат,аҳəырҭа
502,Weide::N,сæрвæт,аҳəырҭа
503,Pfad::N,къахвæндаг,амхəасҭа
504,Pfad::N,къахвæд,амхəасҭа
505,Weg::N,фӕндаг,амҩа
506,Straße::N,фӕндаг,амҩа
507,Dorf::N,хъӕу,ақыҭа
508,Stadt::N,сахар,ақалақь
509,Brief::N,фыстӕг,ашəҟəы
510,Buch::N,чиныг,ашəҟəы
511,Buchstabe::N,дамгъӕ,анбан
512,Zeitung::N,газет,агазеҭ
513,Leben::N,цард,аҧсҭазаара
514,Leben::N,цӕрӕнбон,аҧсҭазаара
515,Tod::N,мæлæт,аҧсра
516,Tod::N,адзал,аҧсра
517,Grab::N,ингӕн,анышəынҭра
518,Kirche::N,аргъуан,ауахəама
519,Sünde::N,тæригъæд,агəнаҳа
520,Gott::N,хуыцау,анцəа
521,Arbeiter::N,кусæг,аусуҩ
522,Chef::N,ӕмцег,Аиҳабы
523,Meister::N,мастер,аҟаза
524,Meister::N,дæсны,аҟаза
525,Arzt::N,хосгæнæг,аҳақьым
526,Arzt::N,дохтыр,аҳақьым
527,Lehrer::N,ахуыргæнæг,арҵаҩы
528,Geld::N,ӕхца,аҧара
529,Geschäft::N,бизнес,
530,Geschäft::N,хъуыддаг,
531,Laden::N,дукани,амагазин
532,Preis::N,аргъ,ахə
533,Ware::N,базайраг,атауар
534,Nutzen::N,пайда,ақьар
535,Reichtum::N,хъæздыгдзинад,абеиара
536,Reichtum::N,исбон,абеиара
537,Reichtum::N,мулк,абеиара
538,Welt::N,дуне,адунеи
539,Land::N,бӕстӕ,атəыла
540,Staat::N,паддзахад,аҳəынҭқарра
541,König::N,къарол,акрал
542,Macht::N,хицаудзинад,амчра
543,Grenze::N,арӕн,аҳəаа
544,Krieg::N,хӕст,аибашьра
545,Feind::N,знаг,Аҕа
546,Feind::N,фыдгул,Аҕа
547,Feind::N,фыдзæрдæ,Аҕа
548,Feind::N,сон,Аҕа
549,Gewalt::N,тыхми,ақəымчра
550,Gewalt::N,тыхдзинад,ақəымчра
551,Kampf::N,хæст,ақəҧара
552,Kampf::N,хъæбысæйхæст,ақəҧара
553,Kampf::N,тох,ақəҧара
554,Bogen[Waffe]::N,ӕрдын,ахыц
555,Pfeil::N,фат,ахəымпал
556,Gewehr::N,топп,ашəақь
557,Fehler::N,рӕдыд,агха
558,Lüge::N,мӕнг,амц
559,Lüge::N,гӕдыдзинад,амц
560,Schaden::N,зиан,аҧырхага
561,Unglück::N,бæллæх,арыцҳара
562,Schuld::N,азым,ахара
563,Alter::N,кар,ақəра
564,Schluss::N,кæрон,анҵəамҭа
565,Zeit::N,рӕстӕг,аамта
566,Tag::N,бон,амш
567,Morgen::N,райсом,ашара
568,Morgen::N,райсом,ашьыбжь
569,Mittag::N,æмбисбон,шьыбжьон
570,Abend::N,изӕр,ахəылҧаз
571,Abend::N,изӕр,ахəлбыҽха
572,Nacht::N,ӕхсӕв,аҵх
573,Woche::N,къуыри,амчыбжь
574,Monat::N,мӕй,
575,Jahr::N,аз,
576,Jahr::N,афӕдз,
577,Frühling::N,уалдзæг,ааҕын
578,Sommer::N,сӕрд,аҧхын
579,Herbst::N,фæззæг,ҭагалан
580,Herbst::N,фæззæг,хкаарачан
581,Winter::N,зымӕг,аӡын
582,Januar::N,январь,ианвар
583,Februar::N,февраль,февраль
584,März::N,мартъи,март
585,April::N,апрель,апрель
586,Mai::N,май,маи
587,Juni::N,июнь,иуун
588,Juli::N,июль,иууль
589,August::N,август,август
590,September::N,сентябрь,сентиабр
591,Oktober::N,октябрь,октиабр
592,November::N,ноябрь,ноиабр
593,Dezember::N,декабрь,декабр
594,Montag::N,къуырисæр,ашəахьа
595,Dienstag::N,дыццæг,аҩаша
596,Mittwoch::N,æртыццæг,ахаша
597,Donnerstag::N,цыппæрæм,аҧшьаша
598,Freitag::N,майрæмбон,ахəаша
599,Samstag::N,сабат,асабша
600,Sonntag::N,хуыцаубон,амҽыша
601,groß::A,дынджыр,аду
602,klein::A,гыццыл,амаҷ
603,lang::A,даргъ,ахəхəа
604,kurz::A,цыбыр,акьаҿ
605,breit::A,фӕтӕн,аиужь
606,breit::A,фӕтӕн,аиҵых
607,schmal::A,нарӕг,аҭшəа
608,schmal::A,уынгӕг,аҭшəа
609,dicht::A,бæзджын,аилач
610,dicht::A,тар,аилач
611,dick[Gegenstand]::A,сӕвджын,ажəпа
612,dünn::A,тæнæг,
613,fein::A,лыстӕг,апа
614,fein::A,лыстӕг,аҵаӷа
615,fein::A,лыстӕг,аӡа
616,fest::A,фидар,аҟаца
617,fest::A,фидар,аӷəӷəаҟаца
618,fest::A,хъӕддых,аҟаца
619,fest::A,хъӕддых,аӷəӷəаҟаца
620,flach::A,тъӕпӕн,ақəаҟьа
621,flach::A,тъӕпӕн,аҧаҟьа
622,glatt::A,лӕгъз,аимаҩзы
623,hart::A,хъӕбӕр,акьакьа
624,weich::A,фӕлмӕн,атата
625,rund::A,тымбыл,акəмпыл
626,spitz::A,цыргъбырынкъ,аҵар
627,spitz::A,цыргъфындз,аҵар
628,scharf::A,цыргъ,аҵар
629,stumpf::A,къуымых,ацагə
630,schwer::A,уӕззау,ахьанҭа
631,schön::A,аив,аҧшӡа
632,schön::A,рӕсугъд,аҧшӡа
633,heiß::A,тӕвд,ашы
634,warm::A,хъарм,аҧха
635,kalt::A,уазал,ахьшəашəа
636,kühl::A,сатæг,ахьшəашəа
637,kühl::A,сатæг,ицәыхьшәашәоу
638,kühl::A,уазалгомау,ахьшəашəа
639,kühl::A,уазалгомау,ицәыхьшәашәоу
640,frisch::A,сатæг,цқьа
641,feucht::A,уымӕл,ацəаак
642,nass::A,хуылыдз,абааӡа
643,trocken::A,хус,Аба
644,trocken::A,хус,аҩа
645,voll::A,дзаг,азна
646,voll::A,йедзаг ,азна
647,leer::A,афтид,аҭацəы
648,offen::A,гом,аарта
649,geschlossen::A,æхгæд,ихҩоу
650,geschlossen::A,æхгæд,иаркыу
651,sauber::A,сыгъдæг,ацқьа
652,schmutzig::A,чъиллон,аҟьашь
653,roh::A,хом,
654,reif::A,рӕгъӕд,Арҭ
655,reif::A,рӕгъӕд,аҟала
656,reif::A,рӕгъӕд,иҟалахьоу
657,lecker::A,хӕрзад,ахаа
658,süß::A,адджын,азла
659,bitter::A,судзаг,аша
660,sauer::A,туаг,аҵəҵəы
661,hell::A,рухс,алаша
662,dunkel::A,талынг,алашьца
663,schwarz::A,сау,аиқуаҵәа
664,weiß::A,урс,ашкəакəа
665,rot::A,сырх,аҟаҧшь
666,gelb::A,бур,аҩеижь
667,blau::A,цъӕх,аҽҵәа
668,grün::A,цъӕх,ашьацҧшҭəала
669,grün::A,цъӕх,аеҵəа
670,grün::A,кӕрдӕгхуыз,ашьацҧшҭəала
671,grün::A,кӕрдӕгхуыз,аеҵəа
672,grau::A,цъӕх,ацəыш
673,grau::A,фӕныкхуыз,ацəыш
674,bunt::A,хъулон,Аилыҕраа
675,bunt::A,хъулон,аҕраҷкəын
676,bunt::A,гæрæм,Аилыҕраа
677,bunt::A,гæрæм,аҕраҷкəын
678,billig::A,аслам,амариа
