,Concept_ID,sk,lez
0,Auge::N,oko,вил
1,Ohr::N,ucho,яб
2,Nase::N,nos,нер
3,Mund::N,ústa,сив
4,Zahn::N,zub,сас
5,Zahn::N,zub,свах
6,Zunge::N,jazyk,мез
7,Lippe::N,pera,пӏуз
8,Wange::N,líce,хъвехъ
9,Gesicht::N,tvár,ччин
10,Gesicht::N,obličaj,ччин
11,Stirn::N,čelo,пел
12,Haar::N,vlas,чӏар
13,Schnurrbart::N,fúzy,спел
14,Schnurrbart::N,fúzy,спелар
15,Bart::N,brada,ччуру
16,Kinn::N,brada,чене
17,Kiefer[Anatomie]::N,čeľusť,чене
18,Kehle::N,hrdlo,туьд
19,Hals::N,krk,гардан
20,Genick::N,väzy,кьам
21,Kopf::N,hlava,кьил
22,Rücken::N,chrbát,далу
23,Bauch::N,brucho,руфун
24,Nabel::N,pupok,пицӏ
25,Busen::N,prsia,мам
26,Brust::N,hruď,хур
27,Schulter::N,plece,къуьн
28,Arm::N,rameno,гъил
29,Ellenbogen::N,lakeť,кьуьнт
30,Hand::N,ruka,капаш
31,Handfläche::N,dlaň,капан юкь
32,Finger::N,prst,тӏуб
33,Fingernagel::N,necht,кек
34,Nagel[Anatomie]::N,necht,кек
35,Zeh::N,prst na nohe,кул
36,Fuß::N,noha,кӏвач
37,Ferse::N,päta,дабан
38,Knie::N,koleno,мет
39,Oberschenkel::N,stehno,
40,Bein::N,noha,кӏвач
41,Körper::N,telo,беден
42,Haut::N,koža,хам
43,Blut::N,krv,иви
44,Ader::N,žila,дамар
45,Sehne::N,šľacha,кьуру дамар
46,Knochen::N,kosť,кӏараб
47,Gehirn::N,mozog,мефт
48,Herz::N,srdce,рикӏ
49,Magen::N,žalúdok,хук
50,Leber::N,pečeň,лекь
51,Atem::N,dych,ял
52,Atem::N,dych,нефес
53,Hunger::N,hlad,каш
54,Träne::N,slza,вилин нагъв
55,Geschmack::N,chuť,дад
56,Geschmack::N,chuť,тӏям
57,Geruch::N,pach,ни
58,Schlaf::N,spánok,ахвар
59,Traum::N,sen,ахвар
60,Himmel::N,nebo,цав
61,Sonne::N,slnko,рагъ
62,Mond::N,mesiac,варз
63,Stern::N,hviezda,гъед
64,Luft::N,vzduch,гьава
65,Wind::N,vietor,гар
66,Welle::N,vlna,лепе
67,Wasser::N,voda,яд
68,Stein::N,kameň,къван
69,Boden::N,zem,накьв
70,Boden::N,pôda,накьв
71,Erde::N,zem,ччил
72,Staub::N,prach,руг
73,Rauch::N,dym,гум
74,Funke::N,iskra,цӏелхем
75,Feuer::N,oheň,цӏай
76,Licht::N,svetlo,экв
77,Schatten::N,tieň,серин
78,Wetter::N,počasie,гьава
79,Nebel::N,hmla,ччилин циф
80,Wolke::N,oblak,циф
81,Wolke::N,mračno,циф
82,Regen::N,dážď,марф
83,Schnee::N,sneh,жив
84,Eis::N,ľad,мурк
85,Frost::N,mráz,аяз
86,Kälte::N,zima,мекь
87,Kälte::N,zima,мекьивал
88,Kälte::N,chlad,мекь
89,Kälte::N,chlad,мекьивал
90,Hitze::N,horúčava,зегьем
91,Raureif::N,srieň,къирав
92,Raureif::N,inovať,къирав
93,Regenbogen::N,dúha,яргъируш
94,Donner::N,hrom,цавун ван
95,Strömung::N,prúdenie,
96,Tropfen::N,kvapka,стӏал
97,Schaum::N,pena,каф
98,Schmutz::N,špina,чирк
99,Schmutz::N,špina,кьуруш
100,Schmutz::N,nečistota,чирк
101,Schmutz::N,nečistota,кьуруш
102,See::N,jazero,вир
103,Sumpf::N,bahno,уьлен
104,Moor::N,močiar,
105,Wiese::N,lúka,векь
106,Wald::N,les,там
107,Wald::N,hora,там
108,Hügel::N,vŕšok,кӏунтӏ
109,Anhöhe::N,výšina,тепе
110,Anhöhe::N,výšina,гьуьндуьрвал
111,Anhöhe::N,vyvýšenina,тепе
112,Anhöhe::N,vyvýšenina,гьуьндуьрвал
113,Berg::N,hora,дагъ
114,Gipfel::N,vrchol,кӏукӏ
115,Höhle::N,jaskyňa,кьветӏ
116,Abhang::N,úbočie,гуьне
117,Quelle::N,prameň,чешме
118,Bach::N,potok,булах
119,Fluss::N,rieka,вацӏ
120,Ufer::N,breh,къерех
121,Küste::N,pobrežie,къерех
122,Festland::N,pevnina,кьурамат
123,Meer::N,more,гьуьл
124,Bucht::N,záliv,бухта
125,Bucht::N,zátoka,бухта
126,Insel::N,ostrov,остров
127,Blume::N,kvet,цуьк
128,Blume::N,kvetina,цуьк
129,Gras::N,tráva,хъач
130,Wurzel::N,koreň,дувул
131,Baum::N,strom,ттар
132,Stamm::N,kmeň,тан
133,Rinde::N,kôra,чкал
134,Ast::N,konár,тӏур
135,Zweig::N,vetva,хел
136,Blatt::N,list,пеш
137,Birke::N,breza,верх
138,Kiefer[Baum]::N,sosna,шамагъаж
139,Kiefer[Baum]::N,borovica,шамагъаж
140,Weide[Baum]::N,vŕba,цӏвелин ттар
141,Tanne::N,jedľa,ель
142,Horn::N,roh,карч
143,Feder::N,pero,цӏакул
144,Fell::N,koža,хам
145,Fell::N,kožušina,хам
