,Concept_ID,cy,bg
0,Auge::N,llygad,око
1,Ohr::N,clust,ухо
2,Nase::N,trwyn,нос
3,Mund::N,ceg,уста
4,Zahn::N,dant,зъб
5,Zunge::N,tafod,език
6,Lippe::N,gwefus,устна
7,Wange::N,boch,буза
8,Gesicht::N,wyneb,лице
9,Gesicht::N,wyneb,образ
10,Stirn::N,talcen,чело
11,Haar::N,blew,коса
12,Haar::N,blew,косъм
13,Schnurrbart::N,mwstas,мустаци
14,Bart::N,barf,брада
15,Kinn::N,gên,брада
16,Kinn::N,gên,брадичка
17,Kiefer[Anatomie]::N,gên,челюст
18,Kehle::N,gwddf,гърло
19,Hals::N,gwddf,врат
20,Genick::N,gwar,тил
21,Genick::N,gwegil,тил
22,Kopf::N,pen,глава
23,Rücken::N,cefn,гръб
24,Bauch::N,bol,корем
25,Nabel::N,bogail,пъп
26,Busen::N,bron,бозка
27,Brust::N,brest,гръд
28,Schulter::N,ysgwydd,рамо
29,Schulter::N,ysgwydd,плещи
30,Arm::N,braich,ръка
31,Ellenbogen::N,penelin,лакът
32,Hand::N,llaw,ръка
33,Hand::N,llaw,китка
34,Handfläche::N,palf,длан
35,Finger::N,bys,пръст
36,Fingernagel::N,ewin,нокът
37,Nagel[Anatomie]::N,ewin,нокът
38,Zeh::N,bys troed,пръст на крак
39,Fuß::N,troed,крак
40,Fuß::N,troed,нога
41,Ferse::N,sawdl,пета
42,Knie::N,glin,коляно
43,Oberschenkel::N,clun,бедро
44,Bein::N,coes,крак
45,Bein::N,coes,нога
46,Körper::N,corff,тяло
47,Haut::N,croen,кожа
48,Blut::N,gwaed,кръв
49,Ader::N,gwythïen,вена
50,Ader::N,gwythïen,артерия
51,Sehne::N,gewyn,жила
52,Sehne::N,gewyn,сухожилие
53,Knochen::N,asgwrn,кост
54,Gehirn::N,ymennydd,мозък
55,Herz::N,calon,сърце
56,Magen::N,cylla,стомах
57,Magen::N,stumog,стомах
58,Leber::N,iau,черен дроб
59,Atem::N,anadl,дишане
60,Hunger::N,newyn,глад
61,Träne::N,deigryn,сълза
62,Geschmack::N,cyflas,вкус
63,Geruch::N,aroglau,миризма
64,Schlaf::N,cwsg,сън
65,Traum::N,breuddwyd,сън
66,Himmel::N,awyr,небе
67,Sonne::N,haul,слънце
68,Mond::N,lleuad,луна
69,Mond::N,lleuad,месец
70,Stern::N,seren,звезда
71,Luft::N,awyr,въздух
72,Wind::N,gwynt,вятър
73,Welle::N,ton,вълна
74,Wasser::N,dŵr,вода
75,Stein::N,carreg,камък
76,Boden::N,llawr,земя
77,Boden::N,llawr,почва
78,Erde::N,pridd,земя
79,Erde::N,pridd,почва
80,Staub::N,llwch,прах
81,Rauch::N,mwg,дим
82,Rauch::N,mwg,пушек
83,Funke::N,gwreichioni,искра
84,Feuer::N,tân,огън
85,Licht::N,golau,светлина
86,Schatten::N,cysgod,сянка
87,Wetter::N,tywydd,време
88,Nebel::N,niwl,мъгла
89,Wolke::N,cwmwl,облак
90,Regen::N,glaw,дъжд
91,Schnee::N,ôd,сняг
92,Schnee::N,eira,сняг
93,Eis::N,iâ,лед
94,Frost::N,rhew,мраз
95,Kälte::N,oerni,студ
96,Kälte::N,annwyd,студ
97,Hitze::N,gwres,жега
98,Hitze::N,gwres,горещина
99,Raureif::N,barrug,скреж
100,Raureif::N,barrug,слана
101,Regenbogen::N,enfys,дъга
102,Donner::N,tyrfau,гръм
103,Strömung::N,cerrynt,течение
104,Tropfen::N,dafn,капка
105,Tropfen::N,diferyn,капка
106,Schaum::N,ewyn,пяна
107,Schmutz::N,baw,кал
108,Schmutz::N,baw,мръсотия
109,Schmutz::N,budreddi,кал
110,Schmutz::N,budreddi,мръсотия
111,See::N,llyn,езеро
112,Sumpf::N,cors,блато
113,Moor::N,rhos,мочурище
114,Wiese::N,dôl,ливада
115,Wald::N,coedwig,гора
116,Hügel::N,bryn,рид
117,Hügel::N,bryn,хълм
118,Anhöhe::N,bryn,могила
119,Anhöhe::N,bryn,възвишение
120,Berg::N,mynydd,планина
121,Gipfel::N,copa,връх
122,Höhle::N,ogof,пещера
123,Abhang::N,llethr,склон
124,Abhang::N,llethr,стръмнина
125,Quelle::N,tarddiad,извор
126,Quelle::N,ffynhonnell,извор
127,Bach::N,nant,поток
