,Concept_ID,te,uk
161,Kuckuck::N,కోయల,зозуля
162,Schwan::N,హంస,лебідь
163,Fisch::N,చేప,риба
164,Barsch::N,ఒకచేఁప,окунь
165,Hecht::N,గండుమీను,щука
166,Schlange[Tier]::N,పాము,змія
167,Wurm::N,పురుగు,черв’як
168,Spinne::N,సాలె పురుగు,павук
169,Ameise::N,చీమ,мурашка
170,Laus::N,పేను,воша
171,Mücke::N,చీకటీగ,комар
172,Fliege::N,ఈగ,муха
173,Schmetterling::N,సీతాకోకచిలుక,метелик
174,Beere::N,కాయ,ягода
175,Apfel::N,ఆపిల్ పండు,яблуко
176,Pilz::N,కుక్కగొడుగు,гриб
177,Zwiebel::N,నీరుల్లి,цибуля
178,Saat::N,విత్తనము,сім’я
179,Korn::N,గింజ,зерно
180,Heu::N,ఎండుగడ్డి,сіно
181,Schale::N,పొట్టు,шкірка
182,Grube::N,గొయ్యి,яма
183,Falle::N,బోను,пастка
184,Schlinge::N,ఉరి,петля
185,Spur::N,జాడ,слід
186,Asche::N,బూడిద,зола
187,Asche::N,బూడిద,попіл
188,Dreck::N,ముఱికి,бруд
189,Eisen::N,ఇనుము,залізо
190,Gold::N,బంగారము,золото
191,Silber::N,వెండి,срібло
192,Kohle::N,నేలబొగ్గు,вугілля
193,Glas::N,గాజు,скло
194,Lehm::N,బంకమన్ను,глина
195,Sand::N,ఇసుక,пісок
196,Mensch::N,నరుడు,людина
197,Mann::N,పురుమడు,чоловік
198,Frau::N,ఆడుది,жінка
199,Kind::N,బిడ్డ,дитина
200,Junge::N,బాలుడు,хлопець
201,Mädchen::N,బాలిక,дівчина
202,Familie::N,కుటుంబము,сім’я
203,Familie::N,కుటుంబము,родина
204,Großvater::N,తాత,дідусь
205,Großmutter::N,అయ్యమ్మ,бабуся
206,Eltern::N,తల్లితండ్రులు,батьки
207,Vater::N,తండ్రి,батько
208,Mutter::N,తల్లి,мати
209,Sohn::N,కొడుకు,син
210,Tochter::N,కూతురు,дочка
211,Bruder::N,పోదరుడు,брат
212,Schwester::N,సోదరి,сестра
213,Onkel::N,మేనమామ,дядько
214,Tante::N,మేనత్త,тітка
215,Tante::N,పినతల్లి,тітка
216,Ehemann::N,భర్త,чоловік
217,Ehefrau::N,భార్య,жінка
218,Ehefrau::N,భార్య,дружина
219,Freude::N,సంతోషము,радощі
220,Gelächter::N,నవ్వు,сміх
221,Glück::N,సంతోషము,щастя
222,Kummer::N,దుఃఖము,горе
223,Wunsch::N,కోరిక,бажання
224,Lust::N,కోరిక,бажання
225,Geist::N,ఆత్మ,дух
226,Gedanke::N,ఆలోచన,думка
227,Gedächtnis::N,జ్ఞాపకము,пам’ять
228,Verstand::N,మనస్సు,розум
229,Sinn::N,అర్థము,зміст
230,Sinn::N,అర్థము,значення
231,Grund::N,కారణము,причина
232,Wahrheit::N,సత్యము,правда
