,Concept_ID,he,hi
0,Auge::N,עין,आँख
1,Auge::N,עין,चक्षु
2,Ohr::N,אזן,कान
3,Ohr::N,אזן,कर्ण
4,Nase::N,אף,नाक
5,Nase::N,אף,नासा
6,Nase::N,חטם,नाक
7,Nase::N,חטם,नासा
8,Mund::N,פה,मुख
9,Mund::N,פה,मुँह
10,Zahn::N,שן,दंत
11,Zahn::N,שן,दाँत
12,Zunge::N,לשון,जीभ
13,Zunge::N,לשון,ज़बान
14,Zunge::N,לשון,जिह्वा
15,Lippe::N,שפה,ओंठ
16,Lippe::N,שפה,होंठ
17,Wange::N,לחי,गाल
18,Wange::N,לחי,कपोल
19,Gesicht::N,פנים,मुँह
20,Gesicht::N,פנים,चेहरा
21,Stirn::N,מצח,माथा
22,Stirn::N,מצח,मस्तक
23,Haar::N,שערה,बाल
24,Schnurrbart::N,שפם,मूँछें
25,Bart::N,זקן,दाढ़ी
26,Kinn::N,סנטר,चिबुक
27,Kiefer[Anatomie]::N,לסת,जबड़ा
28,Kehle::N,גרון,गला
29,Hals::N,צואר,गला
30,Hals::N,צואר,गरदन
31,Genick::N,ערף,गरदन
32,Genick::N,ערף,ग्रीवा
33,Kopf::N,ראש,सिर
34,Kopf::N,ראש,शीर्ष
35,Rücken::N,גב,पीठ
36,Bauch::N,בטן,उदर
37,Nabel::N,טבור,नाभि
38,Nabel::N,טבור,ढोंढी
39,Busen::N,שד,कुच
40,Busen::N,שד,स्तन
41,Brust::N,חזה,वक्ष
42,Schulter::N,כתף,कंधा
43,Schulter::N,כתף,स्कंध
44,Arm::N,זרוע,बाँह
45,Arm::N,זרוע,बाज़ू
46,Ellenbogen::N,מרפק,कुहनी
47,Hand::N,יד,हाथ
48,Hand::N,יד,हस्त
49,Handfläche::N,כף יד,हथेली
50,Finger::N,אצבע,उँगली
51,Finger::N,אצבע,अँगुली
52,Fingernagel::N,צפרן,नख
53,Fingernagel::N,צפרן,नाख़ून
54,Nagel[Anatomie]::N,צפרן,नख
55,Nagel[Anatomie]::N,צפרן,नाख़ून
56,Zeh::N,אצבע,उँगली
57,Zeh::N,אצבע,पाँव की उँगली
58,Fuß::N,רגל,चरण
59,Fuß::N,רגל,पाँव
60,Ferse::N,עקב,एड़ी
61,Knie::N,ברך,जानु
62,Knie::N,ברך,घुटना
63,Oberschenkel::N,ירך,उरु
64,Bein::N,רגל,टाँग
65,Körper::N,גוף,तन
66,Körper::N,גוף,देह
67,Körper::N,גוף,शरीर
68,Haut::N,עור,चर्म
69,Haut::N,עור,त्वचा
70,Blut::N,דם,लहू
71,Blut::N,דם,ख़ून
72,Ader::N,וריד,रग
73,Ader::N,וריד,शिरा
74,Sehne::N,גיד,कंडरा
75,Sehne::N,גיד,स्नायु
76,Knochen::N,עצם,अस्थि
77,Gehirn::N,מוח,दिमाग़
78,Gehirn::N,מוח,मस्तिष्क
79,Herz::N,לב,दिल
80,Herz::N,לב,हृदय
81,Magen::N,קבה,मेदा
82,Magen::N,קבה,अमाशय
83,Leber::N,כבד,जिगर
84,Leber::N,כבד,यकृत्
85,Atem::N,נשימה,दम
86,Atem::N,נשימה,साँस
87,Atem::N,נשימה,श्वास
88,Hunger::N,רעב,भूख
89,Hunger::N,רעב,क्षुधा
90,Träne::N,דמעה,आँसू
91,Träne::N,דמעה,अश्रु
92,Geschmack::N,טעם,स्वाद
93,Geschmack::N,טעם,ज़ायक़ा
94,Geruch::N,ריח,बू
95,Geruch::N,ריח,गंध
96,Schlaf::N,שנה,नींद
97,Schlaf::N,שנה,निद्रा
98,Traum::N,חלום,सपना
99,Traum::N,חלום,स्वप्न
100,Himmel::N,שמים,आकाश
101,Himmel::N,שמים,आसमान
102,Sonne::N,שמש,रवि
103,Sonne::N,שמש,सूरज
104,Sonne::N,שמש,सूर्य
105,Mond::N,ירח,चाँद
106,Mond::N,ירח,चंद्र
107,Stern::N,כוכב,तारा
108,Stern::N,כוכב,सितारा
109,Luft::N,אויר,हवा
110,Luft::N,אויר,वायु
111,Wind::N,רוח,पाद
112,Welle::N,גל,लहर
113,Welle::N,גל,तरंग
114,Wasser::N,מים,जल
115,Wasser::N,מים,पानी
116,Stein::N,אבן,पत्थर
117,Boden::N,קרקע,मिट्टी
118,Erde::N,אדמה,भूमि
119,Erde::N,אדמה,ज़मीन
120,Staub::N,אבק,धूल
121,Rauch::N,עשן,धूआँ
122,Rauch::N,עשן,धुम्र
123,Funke::N,ניצוץ,चिनगारी
124,Funke::N,ניצוץ,स्फुलिंग
125,Feuer::N,אש,आग
126,Feuer::N,אש,आतिश
127,Feuer::N,אש,अग्नि
128,Licht::N,אור,रोशनी
129,Licht::N,אור,प्रकाश
130,Schatten::N,צל,छाया
131,Schatten::N,צל,परछाई
132,Wetter::N,מזג אויר,ऋतु
133,Wetter::N,מזג אויר,मौसम
134,Nebel::N,ערפל,धुँध
135,Nebel::N,ערפל,कुहरा
136,Wolke::N,ענן,मेघ
137,Wolke::N,ענן,अभ्र
138,Regen::N,גשם,मेंह
139,Regen::N,גשם,बारिश
140,Schnee::N,שלג,हिम
141,Schnee::N,שלג,बर्फ़
142,Eis::N,קרח,हिम
143,Eis::N,קרח,बर्फ़
144,Frost::N,צנה,ठंड
145,Kälte::N,קר,सर्दी
146,Kälte::N,קר,शीतलता
147,Hitze::N,חם,ताप
148,Hitze::N,חם,गरमी
149,Raureif::N,כפור,पाला
150,Regenbogen::N,קשת,इंद्र-धनुष
151,Donner::N,רעם,गरज
152,Donner::N,רעם,मेघ-गर्जन
153,Strömung::N,זרימה,बहाव
154,Strömung::N,זרימה,प्रवाह
155,Tropfen::N,טפה,बूँद
156,Schaum::N,קצף,झाग
157,Schmutz::N,לכלוך,गंद
158,Schmutz::N,לכלוך,कीचड़
159,See::N,אגם,झील
160,See::N,אגם,सरोवर
161,Sumpf::N,בצה,दलदल
162,Sumpf::N,בצה,धँसान
163,Moor::N,בצה,झाबर
164,Moor::N,בצה,धँसान
165,Wiese::N,מרעה,घास-स्थल
166,Wald::N,יער,जंगल
167,Hügel::N,תל,टीला
168,Hügel::N,תל,पहाड़
169,Anhöhe::N,מעלה,टीला
170,Anhöhe::N,מעלה,पहाड़ी
171,Berg::N,הר,पहाड़
172,Gipfel::N,פסגה,शिखर
173,Höhle::N,מערה,गुहा
174,Höhle::N,מערה,गुफ़ा
175,Abhang::N,מדרון,ढाल
176,Abhang::N,מדרון,ढलान
177,Abhang::N,שפוע,ढाल
178,Abhang::N,שפוע,ढलान
179,Quelle::N,מעין,चश्मा
180,Bach::N,נחל,सोता
181,Bach::N,נחל,नदिका
182,Fluss::N,נהר,नदी
183,Fluss::N,נהר,सरिता
184,Ufer::N,גדה,तट
185,Ufer::N,גדה,किनारा
186,Küste::N,חוף,समुद्र-तट
187,Festland::N,יבשה,महाद्वीप
188,Meer::N,ים,सागर
189,Meer::N,ים,समुद्र
190,Bucht::N,מפרץ,खाड़ी
191,Insel::N,אי,टापू
192,Insel::N,אי,द्वीप
193,Blume::N,פרח,फूल
194,Blume::N,פרח,पुष्प
195,Gras::N,דשא,घास
196,Wurzel::N,שרש,मूल
197,Baum::N,עץ,पेड़
198,Baum::N,עץ,वृक्ष
199,Stamm::N,גזע,धड़
200,Rinde::N,קלפת עץ,छाल
201,Rinde::N,קלפת עץ,वल्कल
202,Ast::N,ענף,डाल
203,Ast::N,ענף,शाखा
204,Zweig::N,ענף,टहनी
205,Blatt::N,עלה,पत्र
206,Blatt::N,עלה,पत्ता
207,Birke::N,שדר,भूर्ज
208,Kiefer[Baum]::N,ארן,पाइन-वृक्ष
209,Weide[Baum]::N,ערבה,बेंत
210,Tanne::N,אשוח,फ़र
211,Horn::N,קרן,सींग
212,Horn::N,קרן,विषाण
213,Feder::N,נוצה,पर
214,Feder::N,נוצה,पंख
215,Fell::N,פרוה,खाल
216,Fell::N,פרוה,पशु-चर्म
217,Flügel::N,כנף,पंख
218,Flügel::N,כנף,डैना
219,Klaue::N,טלף,पंजा
220,Kralle::N,טפר,पंजा
221,Kralle::N,טפר,नाख़ून
222,Schwanz::N,זנב,पूँछ
223,Ei::N,ביצה,अंडा
224,Nest::N,קן,नीड़
225,Nest::N,קן,घोंसला
226,Bau::N,מחלה,बिल
227,Bau::N,מחלה,माँद
228,Tier::N,חיה,पशु
