,Concept_ID,ku,hy
0,Auge::N,çav,աչք
1,Ohr::N,guh,ականջ
2,Nase::N,bêvil,քիթ
3,Mund::N,dev,բերան
4,Zahn::N,didan,ատամ
5,Zunge::N,ziman,լեզու
6,Lippe::N,lêv,շրթունք
7,Wange::N,dêm,այտ
8,Wange::N,dêm,թուշ
9,Wange::N,hinarik,այտ
10,Wange::N,hinarik,թուշ
11,Gesicht::N,rû,դեմք
12,Stirn::N,enî,ճակատ
13,Haar::N,por,մազ
14,Schnurrbart::N,simbêl,բեղ
15,Bart::N,rih,մորուք
16,Kinn::N,zenî,կզակ
17,Kiefer[Anatomie]::N,arguşk,ծնոտ
18,Kehle::N,qirik,կոկորդ
19,Hals::N,stû,վիզ
20,Hals::N,stû,պարանոց
21,Hals::N,qirik,վիզ
22,Hals::N,qirik,պարանոց
23,Genick::N,stû,ծոծրակ
24,Kopf::N,serî,գլուխ
25,Rücken::N,pişt,մեջք
26,Bauch::N,ûr,փոր
27,Bauch::N,ûr,որովայն
28,Bauch::N,zik,փոր
29,Bauch::N,zik,որովայն
30,Nabel::N,navik,պորտ
31,Busen::N,sîng,ծոց
32,Brust::N,sîng,կուրծք
33,Schulter::N,mil,ուս
34,Arm::N,çepil,թեւ
35,Arm::N,çepil,բազուկ
36,Ellenbogen::N,enîşk,արմունկ
37,Hand::N,dest,ձեռք
38,Handfläche::N,kefadest,ափ
39,Finger::N,tilî,մատ
40,Fingernagel::N,neynuk,եղունգ
41,Nagel[Anatomie]::N,bizmar,եղունգ
42,Zeh::N,tilî linga,ոտքի մատ
43,Fuß::N,ling,ոտք
44,Ferse::N,pahnî,գարշապար
45,Knie::N,kabok,ծունկ
46,Oberschenkel::N,rahn,ազդր
47,Bein::N,çip,ոտք
48,Körper::N,laş,մարմին
49,Körper::N,gowde,մարմին
50,Haut::N,çerm,մաշկ
51,Blut::N,xwîn,արյուն
52,Ader::N,reh,երակ
53,Sehne::N,reh,ջիղ
54,Sehne::N,reh,ձգտան
55,Knochen::N,hestî,ոսկոր
56,Gehirn::N,mêjî,խելք
57,Herz::N,dil,սիրտ
58,Magen::N,navêş,ստամոքս
59,Leber::N,kezeb,լյարդ
60,Atem::N,hilm,շունչ
61,Hunger::N,birçîtî,քաղց
62,Träne::N,hêstir,արտասուք
63,Geschmack::N,tam,համ
64,Geschmack::N,tam,բուրմունք
65,Geruch::N,bêhn,հոտ
66,Geruch::N,bêhn,բուրում
67,Schlaf::N,xew,քուն
68,Traum::N,xewn,երազ
69,Himmel::N,ezman,երկինք
70,Sonne::N,roj,արեւ
71,Mond::N,heyv,լուսին
72,Stern::N,stêrk,աստղ
73,Luft::N,ba,օդ
74,Wind::N,ba,քամի
75,Welle::N,şewl,ալիք
76,Wasser::N,av,ջուր
77,Stein::N,kevir,քար
78,Boden::N,herd,գետին
79,Erde::N,ax,հող
80,Staub::N,toz,փոշի
81,Rauch::N,dû,ծուխ
82,Funke::N,çirûşk,կայծ
83,Feuer::N,agir,կրակ
84,Feuer::N,agir,հրդեհ
85,Licht::N,ronahî,լույս
86,Schatten::N,sî,ստվեր
87,Wetter::N,hewa,եղանակ
88,Nebel::N,mij,մեգ
89,Nebel::N,mij,մառախուղ
90,Wolke::N,ewr,ամպ
91,Regen::N,baran,անձրև
92,Schnee::N,berf,ձյուն
93,Eis::N,qeşa,սառույց
94,Frost::N,xûsik,սառնամանիք
95,Kälte::N,serma,դող
96,Hitze::N,germayî,շոգ
97,Raureif::N,şext,ցօղեղեամ
98,Regenbogen::N,heftreng,ծիածան
99,Donner::N,gire-gir,որոտ
100,Strömung::N,şewl,հոսանք
