,Concept_ID,ml,ady
0,Auge::N,കണ്ണ്,нэ
1,Ohr::N,ചെവി,тхьакӏу́м
2,Nase::N,മൂക്ക്,пэ
3,Mund::N,വായ,жэ
4,Zahn::N,പല്ല്,цэ
5,Zunge::N,നാക്ക്,бзэгу
6,Lippe::N,ചുണ്ട്,ӏупшӏэ́
7,Wange::N,കവിൾത്തടം,нэкӏу́шъу
8,Gesicht::N,മുഖം,нэ́гу
9,Stirn::N,നെറ്റി,натӏэ́
10,Haar::N,തലമുടി,шъхьацы́
11,Schnurrbart::N,മീശ,
12,Bart::N,താടിരോമം,жакӏэ́
13,Kinn::N,താടി,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,താടിയെല്ല്,жэпкъы́
15,Kehle::N,കണ്ഠനാളം,чый
16,Hals::N,കഴുത്ത്,пшъэ
17,Genick::N,പിടലി,шъхьэпхэтыку
18,Kopf::N,തല,шъхьэ́
19,Rücken::N,മുതുക്,кӏыбы́
20,Bauch::N,നയറ്,ныбэ́
21,Nabel::N,നാഭി,
22,Busen::N,സ്തനം,бгъэ́
23,Brust::N,സ്തനം,бгъэ́
24,Schulter::N,തോൾ,блыпкъ
25,Arm::N,കൈ,ӏэ
26,Ellenbogen::N,കൈമുട്ട്,ӏэнтэ́гъу
27,Hand::N,കൈ,ӏэтхьэцу
28,Handfläche::N,ഉള്ളം കൈ,ӏэ́гу
29,Finger::N,വിരൽ,ӏэхъуа́мб
30,Fingernagel::N,നഖം,ӏэбжъа́н
31,Nagel[Anatomie]::N,നഖം,ӏэбжъа́н
32,Zeh::N,കാൽവിരൽ,ӏэхъуа́мб
33,Fuß::N,കാൽപ്പാദം,лъэгу
34,Ferse::N,ഉപ്പൂറ്റി,лъэдакъэ
35,Knie::N,കാൽമുട്ട്,лъагуа́ндж
36,Oberschenkel::N,തുട,ко
37,Bein::N,കാൽ,лъакъо́
38,Körper::N,ശരീരം,пкъышъол
39,Haut::N,ചർമ്മം,кӏы́шъу
40,Blut::N,രക്തം,лъы
41,Ader::N,ഞരമ്പ്,льытф
42,Sehne::N,സ്നായു,фэ
43,Knochen::N,അസ്ഥി,къупшъхьэ́
44,Gehirn::N,തലച്ചോറ്,куцӏы
45,Herz::N,ഹൃദയം,гу
46,Magen::N,വയർ,мышкӏу
47,Leber::N,കരൾ,шӏу
48,Atem::N,ശ്വാസം,къэщэныр
49,Hunger::N,വിശപ്പ്,гъаблэ́
50,Träne::N,കണ്ണീർ,нэпсы
51,Geschmack::N,രുചി,ӏэшӏугъа́кӏ
52,Geruch::N,ഗന്ധം,мэ
53,Schlaf::N,ഉറകും,пчыхьы́пӏ
54,Traum::N,സ്വപ്നം,пчыхьы́пӏ
55,Himmel::N,ആകാശം,уашъо́
56,Sonne::N,സൂര്യൻ,тыгъэ
57,Mond::N,ചന്ദ്രൻ,мазэ
58,Stern::N,നക്ഷത്രം,жъуагъо́
59,Luft::N,കാറ്റ്,жьы
60,Wind::N,കാറ്റ്,жьыбгъэ́
61,Welle::N,തിരമാല,ор
62,Welle::N,തിരമാല,оры
63,Wasser::N,വെള്ളം,псы
64,Stein::N,ശില,мыжъо́
65,Stein::N,കല്ല്,мыжъо́
66,Boden::N,തറ,чӏ́ыгу
67,Boden::N,നിലം,чӏ́ыгу
68,Erde::N,മണ്ണ്,чӏ́ыгу
69,Staub::N,പൊടി,сап
70,Rauch::N,പുക,ӏугъо́
71,Funke::N,തീപ്പൊരി,мэшӏуа́ч
72,Feuer::N,തീ,машӏо́
73,Licht::N,വിളക്ക്,нэфы
74,Licht::N,വിളക്ക്,нэфын
75,Licht::N,സൂര്യപ്രകാശം,нэфы
