,Concept_ID,fi,de
0,Auge::N,silmä,Auge
1,Ohr::N,korva,Ohr
2,Nase::N,nenä,Nase
3,Mund::N,suu,Mund
4,Zahn::N,hammas,Zahn
5,Zunge::N,kieli,Zunge
6,Lippe::N,huuli,Lippe
7,Wange::N,poski,Wange
8,Gesicht::N,naama,Gesicht
9,Gesicht::N,kasvot,Gesicht
10,Stirn::N,otsa,Stirn
11,Haar::N,hius,Haar
12,Haar::N,tukka,Haar
13,Schnurrbart::N,viikset,Schnurrbart
14,Bart::N,parta,Bart
15,Kinn::N,leuka,Kinn
16,Kiefer[Anatomie]::N,leukaluu,Kiefer
17,Kehle::N,kurkku,Kehle
18,Hals::N,kaula,Hals
19,Genick::N,niska,Genick
20,Kopf::N,pää,Kopf
21,Rücken::N,selkä,Rücken
22,Bauch::N,maha,Bauch
23,Bauch::N,vatsa,Bauch
24,Nabel::N,napa,Nabel
25,Busen::N,rinta,Busen
26,Brust::N,rinta,Brust
27,Schulter::N,olka,Schulter
28,Schulter::N,hartia,Schulter
29,Schulter::N,olkapää,Schulter
30,Arm::N,käsivarsi,Arm
31,Ellenbogen::N,kyynärpää,Ellenbogen
32,Hand::N,käsi,Hand
33,Handfläche::N,kämmen,Handfläche
34,Finger::N,sormi,Finger
35,Fingernagel::N,kynsi,Fingernagel
36,Nagel[Anatomie]::N,kynsi,Nagel
37,Zeh::N,varvas,Zeh
38,Fuß::N,jalka,Fuß
39,Ferse::N,kantapää,Ferse
40,Knie::N,polvi,Knie
41,Oberschenkel::N,reisi,Oberschenkel
42,Bein::N,jalka,Bein
43,Körper::N,keho,Körper
44,Körper::N,ruumis,Körper
45,Haut::N,iho,Haut
46,Blut::N,veri,Blut
47,Ader::N,suoni,Ader
48,Sehne::N,jänne,Sehne
49,Knochen::N,luu,Knochen
50,Gehirn::N,aivot,Gehirn
51,Herz::N,sydän,Herz
52,Magen::N,maha,Magen
53,Magen::N,vatsa,Magen
54,Leber::N,maksa,Leber
55,Atem::N,henki,Atem
56,Atem::N,hengitys,Atem
57,Hunger::N,nälkä,Hunger
58,Träne::N,kyynel,Träne
59,Geschmack::N,maku,Geschmack
60,Geruch::N,haju,Geruch
61,Schlaf::N,uni,Schlaf
62,Traum::N,uni,Traum
63,Himmel::N,taivas,Himmel
64,Sonne::N,aurinko,Sonne
65,Mond::N,kuu,Mond
66,Stern::N,tähti,Stern
67,Luft::N,ilma,Luft
68,Wind::N,tuuli,Wind
69,Welle::N,aalto,Welle
70,Wasser::N,vesi,Wasser
71,Stein::N,kivi,Stein
72,Boden::N,maa,Boden
73,Boden::N,maaperä,Boden
74,Erde::N,maa,Erde
75,Staub::N,pöly,Staub
76,Rauch::N,savu,Rauch
77,Funke::N,kipinä,Funke
78,Feuer::N,tuli,Feuer
79,Licht::N,valo,Licht
80,Schatten::N,varjo,Schatten
81,Wetter::N,sää,Wetter
82,Nebel::N,sumu,Nebel
83,Wolke::N,pilvi,Wolke
84,Regen::N,sade,Regen
85,Schnee::N,lumi,Schnee
86,Eis::N,jää,Eis
87,Frost::N,halla,Frost
88,Frost::N,pakkanen,Frost
89,Kälte::N,vilu,Kälte
90,Kälte::N,kylmyys,Kälte
91,Hitze::N,helle,Hitze
92,Hitze::N,kuumuus,Hitze
93,Raureif::N,huurre,Raureif
94,Regenbogen::N,sateenkaari,Regenbogen
95,Donner::N,jyrinä,Donner
96,Strömung::N,virtaus,Strömung
97,Tropfen::N,tippa,Tropfen
98,Tropfen::N,pisara,Tropfen
99,Schaum::N,vaahto,Schaum
100,Schmutz::N,loka,Schmutz
101,See::N,järvi,See
102,Sumpf::N,suo,Sumpf
103,Moor::N,räme,Moor
104,Wiese::N,niitty,Wiese
105,Wald::N,metsä,Wald
106,Hügel::N,mäki,Hügel
107,Hügel::N,kumpu,Hügel
108,Hügel::N,kukkula,Hügel
109,Anhöhe::N,mäki,Anhöhe
110,Anhöhe::N,kumpare,Anhöhe
111,Berg::N,mäki,Berg
112,Berg::N,vuori,Berg
113,Gipfel::N,laki,Gipfel
114,Gipfel::N,huippu,Gipfel
115,Höhle::N,luola,Höhle
116,Abhang::N,rinne,Abhang
117,Quelle::N,lähde,Quelle
118,Bach::N,puro,Bach
119,Fluss::N,joki,Fluss
120,Ufer::N,ranta,Ufer
121,Küste::N,rannikko,Küste
122,Festland::N,manner,Festland
123,Meer::N,meri,Meer
124,Bucht::N,lahti,Bucht
125,Insel::N,saari,Insel
126,Blume::N,kukka,Blume
127,Gras::N,ruoho,Gras
128,Wurzel::N,juuri,Wurzel
129,Baum::N,puu,Baum
130,Stamm::N,runko,Stamm
131,Rinde::N,kuori,Rinde
132,Rinde::N,parkki,Rinde
133,Ast::N,oksa,Ast
134,Zweig::N,haara,Zweig
135,Blatt::N,lehti,Blatt
136,Birke::N,koivu,Birke
137,Kiefer[Baum]::N,mänty,Kiefer
138,Kiefer[Baum]::N,petäjä,Kiefer
139,Weide[Baum]::N,paju,Weide
140,Tanne::N,kuusi,Tanne
141,Horn::N,sarvi,Horn
142,Feder::N,sulka,Feder
143,Feder::N,höyhen,Feder
144,Fell::N,talja,Fell
145,Flügel::N,siipi,Flügel
146,Klaue::N,kynsi,Klaue
147,Kralle::N,kynsi,Kralle
148,Schwanz::N,häntä,Schwanz
149,Schwanz::N,pyrstö,Schwanz
150,Ei::N,muna,Ei
151,Nest::N,pesä,Nest
152,Bau::N,pesä,Bau
153,Tier::N,eläin,Tier
154,Herde::N,lauma,Herde
155,Kuh::N,lehmä,Kuh
156,Bulle::N,sonni,Bulle
157,Pferd::N,hevonen,Pferd
158,Schaf::N,lammas,Schaf
159,Schwein::N,sika,Schwein
160,Hund::N,koira,Hund
161,Katze::N,kissa,Katze
162,Bär::N,karhu,Bär
163,Eichhörnchen::N,orava,Eichhörnchen
164,Elch::N,hirvi,Elch
165,Fuchs::N,kettu,Fuchs
166,Hase::N,jänis,Hase
167,Maus::N,hiiri,Maus
168,Wolf::N,susi,Wolf
169,Vogel::N,lintu,Vogel
170,Schwarm::N,parvi,Schwarm
171,Huhn::N,kana,Huhn
172,Hahn::N,kukko,Hahn
173,Gans::N,hanhi,Gans
174,Adler::N,kotka,Adler
175,Ente::N,ankka,Ente
176,Eule::N,pöllö,Eule
177,Kranich::N,kurki,Kranich
178,Krähe::N,varis,Krähe
179,Kuckuck::N,käki,Kuckuck
180,Schwan::N,joutsen,Schwan
181,Fisch::N,kala,Fisch
182,Barsch::N,ahven,Barsch
183,Hecht::N,hauki,Hecht
184,Schlange[Tier]::N,käärme,Schlange
185,Wurm::N,mato,Wurm
186,Spinne::N,hämähäkki,Spinne
187,Ameise::N,muurahainen,Ameise
188,Laus::N,täi,Laus
189,Mücke::N,sääski,Mücke
190,Mücke::N,hyttynen,Mücke
191,Fliege::N,kärpänen,Fliege
192,Schmetterling::N,perhonen,Schmetterling
193,Beere::N,marja,Beere
194,Apfel::N,omena,Apfel
195,Pilz::N,sieni,Pilz
196,Zwiebel::N,sipuli,Zwiebel
197,Saat::N,siemenet,Saat
198,Korn::N,jyvä,Korn
199,Korn::N,vilja,Korn
200,Heu::N,heinä,Heu
201,Schale::N,kuori,Schale
202,Grube::N,kuoppa,Grube
203,Falle::N,loukku,Falle
204,Schlinge::N,ansa,Schlinge
205,Spur::N,jälki,Spur
206,Asche::N,tuhka,Asche
207,Dreck::N,lika,Dreck
208,Eisen::N,rauta,Eisen
209,Gold::N,kulta,Gold
210,Silber::N,hopea,Silber
211,Kohle::N,hiili,Kohle
212,Glas::N,lasi,Glas
213,Lehm::N,savi,Lehm
214,Sand::N,hiekka,Sand
215,Mensch::N,ihminen,Mensch
216,Mann::N,mies,Mann
217,Frau::N,nainen,Frau
218,Kind::N,lapsi,Kind
219,Junge::N,poika,Junge
220,Mädchen::N,tyttö,Mädchen
221,Familie::N,perhe,Familie
222,Großvater::N,isoisä,Großvater
223,Großmutter::N,isoäiti,Großmutter
224,Eltern::N,vanhemmat,Eltern
225,Vater::N,isä,Vater
226,Mutter::N,äiti,Mutter
227,Sohn::N,poika,Sohn
228,Tochter::N,tytär,Tochter
229,Bruder::N,veli,Bruder
230,Schwester::N,sisko,Schwester
231,Onkel::N,eno,Onkel
232,Onkel::N,setä,Onkel
233,Tante::N,täti,Tante
234,Ehemann::N,mies,Ehemann
235,Ehemann::N,aviomies,Ehemann
236,Ehefrau::N,vaimo,Ehefrau
237,Ehefrau::N,aviovaimo,Ehefrau
238,Freude::N,ilo,Freude
239,Freude::N,riemu,Freude
240,Gelächter::N,nauru,Gelächter
241,Glück::N,onni,Glück
242,Kummer::N,suru,Kummer
243,Kummer::N,murhe,Kummer
244,Wunsch::N,toive,Wunsch
245,Wunsch::N,toivomus,Wunsch
246,Lust::N,himo,Lust
247,Geist::N,henki,Geist
248,Gedanke::N,aate,Gedanke
249,Gedanke::N,ajatus,Gedanke
250,Gedächtnis::N,muisti,Gedächtnis
251,Verstand::N,äly,Verstand
252,Verstand::N,järki,Verstand
253,Verstand::N,ymmärrys,Verstand
254,Sinn::N,merkitys,Sinn
255,Grund::N,syy,Grund
256,Grund::N,peruste,Grund
257,Wahrheit::N,tosi,Wahrheit
258,Wahrheit::N,totuus,Wahrheit
259,Gespräch::N,puhelu,Gespräch
260,Gespräch::N,keskustelu,Gespräch
261,Märchen::N,satu,Märchen
262,Erzählung::N,tarina,Erzählung
263,Erzählung::N,kertomus,Erzählung
264,Nachricht::N,tieto,Nachricht
265,Nachricht::N,ilmoitus,Nachricht
266,Neuigkeit::N,uutinen,Neuigkeit
267,Name::N,nimi,Name
268,Rätsel::N,arvoitus,Rätsel
269,Rede::N,puhe,Rede
270,Sprache::N,kieli,Sprache
271,Stimme::N,ääni,Stimme
272,Wort::N,sana,Wort
273,Zeichen::N,merkki,Zeichen
274,Ruf::N,kutsu,Ruf
275,Lärm::N,melu,Lärm
276,Lärm::N,hälinä,Lärm
277,Laut::N,ääni,Laut
278,Ton::N,sävel,Ton
279,Lied::N,laulu,Lied
280,Ruhe::N,lepo,Ruhe
281,Ruhe::N,rauha,Ruhe
282,Leute::N,väki,Leute
283,Leute::N,ihmiset,Leute
284,Volk::N,kansa,Volk
285,Arbeit::N,työ,Arbeit
286,Gast::N,vieras,Gast
287,Geschenk::N,lahja,Geschenk
288,Spiel::N,peli,Spiel
289,Spiel::N,leikki,Spiel
290,Gesellschaft::N,seura,Gesellschaft
291,Hilfe::N,apu,Hilfe
292,Freund::N,ystävä,Freund
293,Kamerad::N,toveri,Kamerad
294,Angelegenheit::N,asia,Angelegenheit
295,Anzahl::N,lukumäärä,Anzahl
296,Art::N,laji,Art
297,Stück::N,pala,Stück
298,Stück::N,kappale,Stück
299,Teil::N,osa,Teil
300,Hälfte::N,puoli,Hälfte
301,Kreis::N,ympyrä,Kreis
302,Kreuz::N,risti,Kreuz
303,Linie::N,viiva,Linie
304,Strich::N,piirto,Strich
305,Abstand::N,väli,Abstand
306,Abstand::N,väljyys,Abstand
307,Entfernung::N,etäisyys,Entfernung
308,Gegend::N,seutu,Gegend
309,Platz::N,tila,Platz
310,Ort::N,kohta,Ort
311,Ort::N,paikka,Ort
312,Seite::N,sivu,Seite
313,Seite::N,kylki,Seite
314,Mitte::N,keskus,Mitte
315,Mitte::N,puoliväli,Mitte
316,Gegenstand::N,kalu,Gegenstand
317,Gegenstand::N,esine,Gegenstand
318,Sache::N,asia,Sache
319,Rand::N,ääri,Rand
320,Rand::N,syrjä,Rand
321,Kante::N,särmä,Kante
322,Ecke::N,nurkka,Ecke
323,Spitze::N,terä,Spitze
324,Spitze::N,kärki,Spitze
325,Ende::N,pää,Ende
326,Ende::N,perä,Ende
327,Loch::N,kolo,Loch
328,Loch::N,reikä,Loch
329,Winkel::N,kulma,Winkel
330,Muster::N,kuvio,Muster
331,Größe::N,koko,Größe
332,Größe::N,suuruus,Größe
333,Länge::N,pituus,Länge
334,Höhe::N,korkeus,Höhe
335,Gewicht::N,paino,Gewicht
336,Menge::N,määrä,Menge
337,Haufen::N,kasa,Haufen
338,Reihe::N,rivi,Reihe
339,Boot::N,vene,Boot
340,Ruder::N,airo,Ruder
341,Schlitten::N,reki,Schlitten
342,Schlitten::N,kelkka,Schlitten
343,Ski::N,suksi,Ski
344,Lagerfeuer::N,nuotio,Lagerfeuer
345,Last::N,kuorma,Last
346,Gang::N,kulku,Gang
347,Gang::N,käynti,Gang
348,Schritt::N,askel,Schritt
349,Norden::N,pohjoinen,Norden
350,Süden::N,etelä,Süden
351,Westen::N,länsi,Westen
352,Osten::N,itä,Osten
353,Holz::N,puu,Holz
354,Brett::N,lauta,Brett
355,Platte::N,levy,Platte
356,Stütze::N,noja,Stütze
357,Stange::N,tanko,Stange
358,Stock::N,keppi,Stock
359,Stab::N,sauva,Stab
360,Stab::N,seiväs,Stab
361,Rohr::N,putki,Rohr
362,Haus::N,talo,Haus
363,Heim::N,koti,Heim
364,Ofen::N,uuni,Ofen
365,Fußboden::N,lattia,Fußboden
366,Tisch::N,pöytä,Tisch
367,Stuhl::N,tuoli,Stuhl
368,Wiege::N,kehto,Wiege
369,Bett::N,sänky,Bett
370,Regal::N,hylly,Regal
371,Kiste::N,arkku,Kiste
372,Kiste::N,kirstu,Kiste
373,Kiste::N,laatikko,Kiste
374,Fenster::N,ikkuna,Fenster
375,Tür::N,ovi,Tür
376,Tor::N,portti,Tor
377,Zaun::N,aita,Zaun
378,Dach::N,katto,Dach
379,Leiter::N,tikkaat,Leiter
380,Leiter::N,tikapuut,Leiter
381,Besen::N,luuta,Besen
382,Spaten::N,lapio,Spaten
383,Schaufel::N,lapio,Schaufel
384,Gabel::N,haarukka,Gabel
385,Löffel::N,lusikka,Löffel
386,Messer::N,veitsi,Messer
387,Nagel::N,naula,Nagel
388,Netz::N,verkko,Netz
389,Haken::N,haka,Haken
390,Haken::N,koukku,Haken
391,Griff::N,ripa,Griff
392,Griff::N,kahva,Griff
393,Schloss::N,lukko,Schloss
394,Bild::N,kuva,Bild
395,Figur::N,kuvio,Figur
396,Puppe::N,nukke,Puppe
397,Beutel::N,pussi,Beutel
398,Bündel::N,nippu,Bündel
399,Bündel::N,kimppu,Bündel
400,Tasche::N,laukku,Tasche
401,Eimer::N,sanko,Eimer
402,Eimer::N,ämpäri,Eimer
403,Deckel::N,kansi,Deckel
404,Geschirr::N,astia,Geschirr
405,Sack::N,säkki,Sack
406,Tasse::N,kuppi,Tasse
407,Topf::N,pata,Topf
408,Kessel::N,kattila,Kessel
409,Essen::N,syönti,Essen
410,Nahrung::N,ruoka,Nahrung
411,Nahrung::N,ravinto,Nahrung
412,Speise::N,ruoka,Speise
413,Fleisch::N,liha,Fleisch
414,Getreide::N,vilja,Getreide
415,Brei::N,puuro,Brei
416,Brot::N,leipä,Brot
417,Scheibe::N,viipale,Scheibe
418,Fett::N,rasva,Fett
419,Butter::N,voi,Butter
420,Öl::N,öljy,Öl
421,Salz::N,suola,Salz
422,Suppe::N,keitto,Suppe
423,Honig::N,hunaja,Honig
424,Milch::N,maito,Milch
425,Tee::N,tee,Tee
426,Leder::N,nahka,Leder
427,Wolle::N,villa,Wolle
428,Stoff::N,kangas,Stoff
429,Nadel::N,neula,Nadel
430,Faden::N,lanka,Faden
431,Knopf::N,nappi,Knopf
432,Knoten::N,solmu,Knoten
433,Farbe::N,maali,Farbe
434,Kleidung::N,vaatteet,Kleidung
435,Hemd::N,paita,Hemd
436,Kragen::N,kaulus,Kragen
437,Ärmel::N,hiha,Ärmel
438,Hose::N,housut,Hose
439,Gürtel::N,vyö,Gürtel
440,Mütze::N,lakki,Mütze
441,Schuh::N,kenkä,Schuh
442,Stiefel::N,saapas,Stiefel
443,Ring::N,sormus,Ring
444,Band::N,nauha,Band
445,Kamm::N,kampa,Kamm
446,Spiegel::N,peili,Spiegel
447,Riemen::N,hihna,Riemen
448,Schnur::N,naru,Schnur
449,Schnur::N,nuora,Schnur
450,Leine::N,talutushihna,Leine
