,Concept_ID,cy,ru
0,Auge::N,llygad,глаз
1,Ohr::N,clust,ухо
2,Nase::N,trwyn,нос
3,Mund::N,ceg,рот
4,Zahn::N,dant,зуб
5,Zunge::N,tafod,язык
6,Lippe::N,gwefus,губа
7,Wange::N,boch,щека
8,Gesicht::N,wyneb,лицо
9,Stirn::N,talcen,лоб
10,Haar::N,blew,волос
11,Haar::N,blew,волосы
12,Schnurrbart::N,mwstas,ус
13,Schnurrbart::N,mwstas,усы
14,Bart::N,barf,борода
15,Kinn::N,gên,подбородок
16,Kiefer[Anatomie]::N,gên,челюсть
17,Kehle::N,gwddf,горло
18,Hals::N,gwddf,шея
19,Genick::N,gwar,затылок
20,Genick::N,gwegil,затылок
21,Kopf::N,pen,голова
22,Rücken::N,cefn,спина
23,Bauch::N,bol,живот
24,Nabel::N,bogail,пупок
25,Busen::N,bron,женская грудь
26,Brust::N,brest,грудь
27,Schulter::N,ysgwydd,плечо
28,Arm::N,braich,рука
29,Ellenbogen::N,penelin,локоть
30,Hand::N,llaw,кисть
31,Handfläche::N,palf,ладонь
32,Finger::N,bys,палец
33,Fingernagel::N,ewin,ноготь
34,Nagel[Anatomie]::N,ewin,ноготь
35,Zeh::N,bys troed,палец
36,Fuß::N,troed,ступня
37,Ferse::N,sawdl,пята
38,Ferse::N,sawdl,пятка
39,Knie::N,glin,колено
40,Oberschenkel::N,clun,бедро
41,Bein::N,coes,нога
42,Körper::N,corff,тело
43,Haut::N,croen,кожа
44,Blut::N,gwaed,кровь
45,Ader::N,gwythïen,вена
46,Ader::N,gwythïen,сосуд
47,Sehne::N,gewyn,жила
48,Sehne::N,gewyn,тетива
49,Sehne::N,gewyn,сухожилие
50,Knochen::N,asgwrn,кость
51,Gehirn::N,ymennydd,мозг
52,Herz::N,calon,сердце
53,Magen::N,cylla,желудок
54,Magen::N,stumog,желудок
55,Leber::N,iau,печень
56,Atem::N,anadl,дух
57,Atem::N,anadl,дыхание
58,Hunger::N,newyn,голод
59,Träne::N,deigryn,слеза
60,Geschmack::N,cyflas,вкус
61,Geruch::N,aroglau,запах
62,Schlaf::N,cwsg,сон
63,Traum::N,breuddwyd,сновидение
64,Himmel::N,awyr,небо
65,Sonne::N,haul,солнце
66,Mond::N,lleuad,луна
67,Stern::N,seren,звезда
68,Luft::N,awyr,воздух
69,Wind::N,gwynt,ветер
70,Welle::N,ton,волна
71,Wasser::N,dŵr,вода
72,Stein::N,carreg,камень
73,Boden::N,llawr,почва
74,Erde::N,pridd,земля
75,Staub::N,llwch,пыль
76,Rauch::N,mwg,дым
77,Funke::N,gwreichioni,искра
78,Feuer::N,tân,огонь
79,Licht::N,golau,свет
80,Schatten::N,cysgod,тень
81,Wetter::N,tywydd,погода
82,Nebel::N,niwl,туман
83,Wolke::N,cwmwl,облако
84,Regen::N,glaw,дождь
85,Schnee::N,ôd,снег
86,Schnee::N,eira,снег
87,Eis::N,iâ,лед
88,Frost::N,rhew,мороз
89,Kälte::N,oerni,холод
90,Kälte::N,annwyd,холод
91,Hitze::N,gwres,жара
92,Raureif::N,barrug,иней
93,Regenbogen::N,enfys,радуга
94,Donner::N,tyrfau,гром
95,Strömung::N,cerrynt,течение
96,Tropfen::N,dafn,капля
97,Tropfen::N,diferyn,капля
98,Schaum::N,ewyn,пена
99,Schmutz::N,baw,грязь
100,Schmutz::N,budreddi,грязь
101,See::N,llyn,озеро
102,Sumpf::N,cors,топь
103,Moor::N,rhos,болото
104,Wiese::N,dôl,луг
105,Wald::N,coedwig,лес
