,Concept_ID,pl,uk
0,Auge::N,oko,око
1,Ohr::N,ucho,вухо
2,Nase::N,nos,ніс
3,Mund::N,usta,рот
4,Zahn::N,ząb,зуб
5,Zunge::N,język,язик
6,Lippe::N,warga,губа
7,Wange::N,policzek,щока
8,Gesicht::N,twarz,обличчя
9,Stirn::N,czoło,лоб
10,Haar::N,włos,волосся
11,Haar::N,włosy,волосся
12,Schnurrbart::N,wąsy,вуса
13,Bart::N,broda,борода
14,Kinn::N,podbródek,підборіддя
15,Kiefer[Anatomie]::N,czeluść,щелепа
16,Kehle::N,gardło,горло
17,Hals::N,szyja,шия
18,Genick::N,kark,потилиця
19,Kopf::N,głowa,голова
20,Rücken::N,plecy,спина
21,Rücken::N,grzbiet,спина
22,Bauch::N,brzuch,живіт
23,Nabel::N,pępek,пупок
24,Busen::N,biust,груди
25,Brust::N,pierś,груди
26,Schulter::N,bark,плече
27,Schulter::N,ramię,плече
28,Arm::N,ręka,рука
29,Arm::N,ramię,рука
30,Ellenbogen::N,łokieć,лікоть
31,Hand::N,dłoń,рука
32,Handfläche::N,dłoń,долоня
33,Finger::N,palec,палець
34,Fingernagel::N,paznokieć,ніготь
35,Nagel[Anatomie]::N,paznokieć,ніготь
36,Zeh::N,palec,палець на нозі
37,Fuß::N,stopa,нога
38,Ferse::N,pięta,п’ятка
39,Knie::N,kolano,коліно
40,Oberschenkel::N,udo,стегно
41,Bein::N,noga,нога
42,Körper::N,ciało,тіло
43,Haut::N,skóra,шкіра
44,Blut::N,krew,кров
45,Ader::N,żyła,вена
46,Sehne::N,ścięgno,сухожилля
47,Knochen::N,kość,кістка
48,Gehirn::N,mózg,мозок
49,Herz::N,serce,серце
50,Magen::N,żołądek,шлунок
51,Leber::N,wątroba,печінка
52,Atem::N,dech,дихання
53,Atem::N,oddech,дихання
54,Hunger::N,głód,голод
55,Träne::N,łza,сльоза
56,Geschmack::N,smak,смак
57,Geruch::N,woń,запах
58,Geruch::N,zapach,запах
59,Schlaf::N,sen,сон
60,Schlaf::N,sen,сплячка
61,Traum::N,sen,сон
62,Himmel::N,niebo,небо
63,Sonne::N,słońce,сонце
64,Mond::N,księżyc,місяць
65,Stern::N,gwiazda,зірка
66,Luft::N,powietrze,повітря
67,Wind::N,wiatr,вітер
68,Welle::N,fala,хвиля
69,Wasser::N,woda,вода
70,Stein::N,kamień,камінь
71,Boden::N,grunt,ґрунт
