,Concept_ID,he,ru
0,Auge::N,עין,глаз
1,Ohr::N,אזן,ухо
2,Nase::N,אף,нос
3,Nase::N,חטם,нос
4,Mund::N,פה,рот
5,Zahn::N,שן,зуб
6,Zunge::N,לשון,язык
7,Lippe::N,שפה,губа
8,Wange::N,לחי,щека
9,Gesicht::N,פנים,лицо
10,Stirn::N,מצח,лоб
11,Haar::N,שערה,волос
12,Haar::N,שערה,волосы
13,Schnurrbart::N,שפם,ус
14,Schnurrbart::N,שפם,усы
15,Bart::N,זקן,борода
16,Kinn::N,סנטר,подбородок
17,Kiefer[Anatomie]::N,לסת,челюсть
18,Kehle::N,גרון,горло
19,Hals::N,צואר,шея
20,Genick::N,ערף,затылок
21,Kopf::N,ראש,голова
22,Rücken::N,גב,спина
23,Bauch::N,בטן,живот
24,Nabel::N,טבור,пупок
25,Busen::N,שד,женская грудь
26,Brust::N,חזה,грудь
27,Schulter::N,כתף,плечо
28,Arm::N,זרוע,рука
29,Ellenbogen::N,מרפק,локоть
30,Hand::N,יד,кисть
31,Handfläche::N,כף יד,ладонь
32,Finger::N,אצבע,палец
33,Fingernagel::N,צפרן,ноготь
34,Nagel[Anatomie]::N,צפרן,ноготь
35,Zeh::N,אצבע,палец
36,Fuß::N,רגל,ступня
37,Ferse::N,עקב,пята
38,Ferse::N,עקב,пятка
39,Knie::N,ברך,колено
40,Oberschenkel::N,ירך,бедро
41,Bein::N,רגל,нога
42,Körper::N,גוף,тело
43,Haut::N,עור,кожа
44,Blut::N,דם,кровь
45,Ader::N,וריד,вена
46,Ader::N,וריד,сосуд
47,Sehne::N,גיד,жила
48,Sehne::N,גיד,тетива
49,Sehne::N,גיד,сухожилие
50,Knochen::N,עצם,кость
51,Gehirn::N,מוח,мозг
52,Herz::N,לב,сердце
53,Magen::N,קבה,желудок
54,Leber::N,כבד,печень
55,Atem::N,נשימה,дух
56,Atem::N,נשימה,дыхание
57,Hunger::N,רעב,голод
58,Träne::N,דמעה,слеза
59,Geschmack::N,טעם,вкус
60,Geruch::N,ריח,запах
61,Schlaf::N,שנה,сон
62,Traum::N,חלום,сновидение
63,Himmel::N,שמים,небо
64,Sonne::N,שמש,солнце
65,Mond::N,ירח,луна
66,Stern::N,כוכב,звезда
67,Luft::N,אויר,воздух
68,Wind::N,רוח,ветер
69,Welle::N,גל,волна
70,Wasser::N,מים,вода
71,Stein::N,אבן,камень
72,Boden::N,קרקע,почва
73,Erde::N,אדמה,земля
74,Staub::N,אבק,пыль
75,Rauch::N,עשן,дым
76,Funke::N,ניצוץ,искра
77,Feuer::N,אש,огонь
78,Licht::N,אור,свет
79,Schatten::N,צל,тень
80,Wetter::N,מזג אויר,погода
81,Nebel::N,ערפל,туман
82,Wolke::N,ענן,облако
83,Regen::N,גשם,дождь
84,Schnee::N,שלג,снег
85,Eis::N,קרח,лед
86,Frost::N,צנה,мороз
87,Kälte::N,קר,холод
88,Hitze::N,חם,жара
89,Raureif::N,כפור,иней
90,Regenbogen::N,קשת,радуга
91,Donner::N,רעם,гром
92,Strömung::N,זרימה,течение
93,Tropfen::N,טפה,капля
94,Schaum::N,קצף,пена
95,Schmutz::N,לכלוך,грязь
96,See::N,אגם,озеро
97,Sumpf::N,בצה,топь
98,Moor::N,בצה,болото
99,Wiese::N,מרעה,луг
100,Wald::N,יער,лес
101,Hügel::N,תל,холм
102,Anhöhe::N,מעלה,возвышенность
103,Berg::N,הר,гора
104,Gipfel::N,פסגה,вершина
105,Höhle::N,מערה,пещера
106,Abhang::N,מדרון,склон
107,Abhang::N,שפוע,склон
108,Quelle::N,מעין,источник
109,Bach::N,נחל,ручей
110,Fluss::N,נהר,река
111,Ufer::N,גדה,берег
112,Küste::N,חוף,побережье
113,Festland::N,יבשה,суша
114,Meer::N,ים,море
115,Bucht::N,מפרץ,бухта
116,Insel::N,אי,остров
117,Blume::N,פרח,цветок
118,Gras::N,דשא,трава
119,Wurzel::N,שרש,корень
120,Baum::N,עץ,дерево
121,Stamm::N,גזע,ствол
122,Rinde::N,קלפת עץ,кора
123,Ast::N,ענף,сук
124,Zweig::N,ענף,ветвь
125,Blatt::N,עלה,лист
126,Birke::N,שדר,береза
127,Kiefer[Baum]::N,ארן,сосна
128,Weide[Baum]::N,ערבה,ива
129,Tanne::N,אשוח,ель
130,Horn::N,קרן,рог
131,Feder::N,נוצה,перо
132,Fell::N,פרוה,шкура
133,Flügel::N,כנף,крыло
134,Klaue::N,טלף,коготь
135,Kralle::N,טפר,лапа
136,Schwanz::N,זנב,хвост
137,Ei::N,ביצה,яйцо
138,Nest::N,קן,гнездо
139,Bau::N,מחלה,нора
140,Tier::N,חיה,животное
141,Herde::N,עדר,стадо
142,Kuh::N,פרה,корова
143,Bulle::N,פר,бык
144,Pferd::N,סוס,лошадь
145,Schaf::N,כבשה,овца
146,Schwein::N,חזיר,свинья
147,Hund::N,כלב,собака
148,Katze::N,חתול,кошка
149,Bär::N,דב,медведь
150,Eichhörnchen::N,סנאי,белка
151,Elch::N,דישון,лось
152,Fuchs::N,שועל,лиса
153,Hase::N,ארנב,заяц
154,Maus::N,עכבר,мышь
155,Wolf::N,זאב,волк
156,Vogel::N,צפור,птица
157,Schwarm::N,נחיל,стая
158,Schwarm::N,להקה,стая
159,Huhn::N,תרנגלת,курица
160,Hahn::N,תרנגול,петух
161,Gans::N,אוז,гусь
162,Adler::N,עיט,орел
163,Ente::N,ברוז,утка
164,Eule::N,ינשוף,сова
165,Kranich::N,עגור,журавль
166,Kranich::N,כרוכיה,журавль
167,Krähe::N,עורב,ворона
168,Kuckuck::N,קוקיה,кукушка
169,Schwan::N,ברבור,лебедь
170,Fisch::N,דג,рыба
171,Barsch::N,אוקונוס,окунь
172,Hecht::N,זאב הים,щука
173,Schlange[Tier]::N,נחש,змея
174,Wurm::N,תולעת,червяк
175,Spinne::N,עכביש,паук
176,Ameise::N,נמלה,муравей
177,Laus::N,כנה,вошь
178,Mücke::N,יתוש,комар
179,Fliege::N,זבוב,муха
180,Schmetterling::N,פרפר,бабочка
181,Beere::N,ענבה,ягода
182,Apfel::N,תפוח,яблоко
183,Pilz::N,פטריה,гриб
184,Zwiebel::N,בצל,луковица
185,Saat::N,זרעים,семя
186,Korn::N,גרעין,зерно
187,Heu::N,חציר,сено
188,Schale::N,קלפה,шелуха
189,Grube::N,בור,яма
190,Grube::N,שוחה,яма
191,Falle::N,מלכדת,ловушка
192,Schlinge::N,לולאה,силок
