,Concept_ID,ja,cy
0,Auge::N,目,llygad
1,Ohr::N,耳,clust
2,Nase::N,鼻,trwyn
3,Mund::N,口,ceg
4,Zahn::N,歯,dant
5,Zunge::N,舌,tafod
6,Lippe::N,唇,gwefus
7,Wange::N,頬,boch
8,Gesicht::N,顔,wyneb
9,Stirn::N,額,talcen
10,Haar::N,髪,blew
11,Schnurrbart::N,口髭,mwstas
12,Bart::N,髭,barf
13,Kinn::N,顎,gên
14,Kiefer[Anatomie]::N,顎,gên
15,Kehle::N,喉,gwddf
16,Hals::N,首,gwddf
17,Genick::N,首,gwar
18,Genick::N,首,gwegil
19,Kopf::N,頭,pen
20,Rücken::N,背中,cefn
21,Bauch::N,腹,bol
22,Bauch::N,お腹,bol
23,Nabel::N,へそ,bogail
24,Busen::N,乳房,bron
25,Brust::N,胸,brest
26,Schulter::N,肩,ysgwydd
27,Arm::N,腕,braich
28,Ellenbogen::N,肘,penelin
29,Hand::N,手,llaw
30,Handfläche::N,手のひら,palf
31,Finger::N,指,bys
32,Fingernagel::N,爪,ewin
33,Nagel[Anatomie]::N,爪,ewin
34,Zeh::N,足の指,bys troed
35,Fuß::N,足,troed
36,Ferse::N,かかと,sawdl
37,Knie::N,膝,glin
38,Oberschenkel::N,上腿,clun
39,Bein::N,足,coes
40,Körper::N,体,corff
41,Haut::N,皮膚,croen
42,Blut::N,血,gwaed
43,Ader::N,血管,gwythïen
44,Sehne::N,腱,gewyn
45,Knochen::N,骨,asgwrn
46,Gehirn::N,脳,ymennydd
47,Herz::N,心,calon
48,Herz::N,心臓,calon
49,Magen::N,胃,cylla
50,Magen::N,胃,stumog
51,Leber::N,肝臓,iau
52,Atem::N,息,anadl
53,Atem::N,呼吸,anadl
54,Hunger::N,空腹,newyn
55,Träne::N,涙,deigryn
56,Geschmack::N,味,cyflas
57,Geruch::N,匂い,aroglau
58,Schlaf::N,睡眠,cwsg
59,Traum::N,夢,breuddwyd
60,Himmel::N,空,awyr
61,Sonne::N,太陽,haul
62,Mond::N,月,lleuad
63,Stern::N,星,seren
64,Luft::N,空気,awyr
65,Wind::N,風,gwynt
66,Welle::N,波,ton
67,Wasser::N,水,dŵr
68,Stein::N,石,carreg
69,Boden::N,土地,llawr
70,Erde::N,土,pridd
71,Staub::N,埃,llwch
72,Rauch::N,煙,mwg
73,Funke::N,火花,gwreichioni
74,Feuer::N,火,tân
75,Licht::N,光,golau
76,Schatten::N,陰,cysgod
77,Wetter::N,天気,tywydd
78,Nebel::N,霧,niwl
79,Wolke::N,雲,cwmwl
80,Regen::N,雨,glaw
81,Schnee::N,雪,ôd
82,Schnee::N,雪,eira
83,Eis::N,氷,iâ
84,Frost::N,霜,rhew
85,Kälte::N,寒さ,oerni
86,Kälte::N,寒さ,annwyd
87,Hitze::N,暑さ,gwres
88,Raureif::N,霧氷,barrug
89,Regenbogen::N,虹,enfys
90,Donner::N,雷,tyrfau
91,Strömung::N,流れ,cerrynt
92,Tropfen::N,滴,dafn
93,Tropfen::N,滴,diferyn
94,Schaum::N,泡,ewyn
95,Schmutz::N,汚れ,baw
96,Schmutz::N,汚れ,budreddi
97,See::N,湖,llyn
98,Sumpf::N,沼,cors
99,Moor::N,湿原,rhos
100,Wiese::N,草原,dôl
101,Wald::N,森,coedwig
102,Hügel::N,丘,bryn
103,Anhöhe::N,高み,bryn
104,Berg::N,山,mynydd
105,Gipfel::N,頂上,copa
106,Höhle::N,洞窟,ogof
107,Abhang::N,斜面,llethr
108,Quelle::N,泉,tarddiad
109,Quelle::N,泉,ffynhonnell
110,Bach::N,小川,nant
111,Bach::N,小川,afonig
112,Bach::N,小川,cornant
113,Fluss::N,川,afon
114,Ufer::N,岸,glan
115,Küste::N,海岸,traeth
116,Küste::N,海岸,arfordir
