,Concept_ID,sah,no
0,Auge::N,харах,øye
1,Ohr::N,кулгаах,øre
2,Nase::N,мурун,nese
3,Mund::N,айах,munn
4,Zahn::N,тиис,tann
5,Zunge::N,тыл,tunge
6,Lippe::N,уос,leppe
7,Wange::N,иэдэс,kinn
8,Gesicht::N,сирэй,fjes
9,Gesicht::N,сирэй,ansikt
10,Stirn::N,сүүс,panne
11,Haar::N,баттах,hår
12,Schnurrbart::N,уос бытыга,bart
13,Bart::N,сэҥийэ бытыга,skjegg
14,Kinn::N,сэҥийэ,hake
15,Kiefer[Anatomie]::N,сыҥаах,kjeve
16,Kehle::N,тамах,strupe
17,Kehle::N,күөмэй,strupe
18,Hals::N,моой,hals
19,Genick::N,кэтэх,nakke
20,Kopf::N,бас,hode
21,Rücken::N,көҕүс,rygg
22,Bauch::N,ис,buk
23,Bauch::N,ис,mage
24,Nabel::N,киин,navle
25,Busen::N,эмиий,barm
26,Brust::N,түөс,bryst
27,Schulter::N,сарын,skulder
28,Arm::N,илии,arm
29,Ellenbogen::N,тоҕонох,albue
30,Hand::N,илии,hånd
31,Handfläche::N,ытыс,håndflate
32,Finger::N,тарбах,finger
33,Fingernagel::N,тыҥырах,fingernegl
34,Nagel[Anatomie]::N,тыҥырах,negl
35,Zeh::N,тарбах,tå
36,Fuß::N,уллуҥах,fot
37,Ferse::N,тилэх,hæl
38,Knie::N,тобук,kne
39,Knie::N,дьилбэк,kne
40,Oberschenkel::N,уллук,lår
41,Oberschenkel::N,өттүк,lår
42,Bein::N,атах,bein
43,Körper::N,бэйэ,kropp
44,Körper::N,бэйэ,legeme
45,Haut::N,тирии,hud
46,Haut::N,тирии,skinn
47,Blut::N,хаан,blod
48,Ader::N,вена,åre
49,Ader::N,күөх_тымыр,åre
50,Sehne::N,иҥиир,sene
51,Knochen::N,уҥуох,bein
52,Knochen::N,уҥуох,knokkel
53,Knochen::N,уҥгуох,bein
54,Knochen::N,уҥгуох,knokkel
55,Gehirn::N,мэйии,hjerne
56,Herz::N,сүрэх,hjerte
57,Magen::N,куртах,mage
58,Leber::N,быар,lever
59,Atem::N,тыын,pust
60,Hunger::N,аас,sult
61,Träne::N,харах уута,tåre
62,Geschmack::N,амтан,smak
63,Geruch::N,сыт,lukt
64,Schlaf::N,утуйуу,søvn
65,Traum::N,түүл,drøm
66,Himmel::N,халлаан,himmel
67,Sonne::N,күн,sol
68,Mond::N,ый,måne
69,Stern::N,сулус,stjerne
70,Luft::N,салгын,luft
71,Wind::N,тыал,vind
72,Welle::N,долгун,bølge
73,Welle::N,балхаан,bølge
74,Wasser::N,уу,vann
75,Stein::N,таас,stein
76,Boden::N,сир,bakke
77,Erde::N,буор,jord
78,Staub::N,быыл,støv
79,Rauch::N,буруо,røyk
80,Funke::N,кыым,gnist
81,Feuer::N,уот,ild
82,Licht::N,уот,lys
83,Schatten::N,күлүк,skygge
84,Wetter::N,күн-дьыл,vær
85,Nebel::N,туман,tåke
86,Wolke::N,былыт,sky
87,Regen::N,самыыр,regn
88,Schnee::N,хаар,snø
89,Eis::N,муус,is
90,Frost::N,тымныы,frost
91,Kälte::N,тымныы,kulde
92,Hitze::N,куйаас,hete
93,Raureif::N,кырыа,rimfrost
94,Regenbogen::N,кустук,regnbue
95,Donner::N,этиҥ,torden
96,Strömung::N,сүүрүк,strømning
97,Tropfen::N,таммах,dråpe
98,Tropfen::N,хааппыла,dråpe
99,Schaum::N,күүгэн,skum
100,Schmutz::N,кир,søl
101,Schmutz::N,кир,skitt
102,See::N,күөл,sjø
103,Sumpf::N,бадараан,sump
104,Sumpf::N,бадараан,myrlende
105,Moor::N,дьэбэрэ,myr
106,Moor::N,дьэбэрэ,myrhei
107,Wiese::N,ходуһа,eng
108,Wald::N,ойуур,skog
109,Hügel::N,булгунньах,haug
110,Hügel::N,булгунньах,bakke
111,Anhöhe::N,үрдэл,haug
112,Anhöhe::N,үрдэл,bakke
113,Berg::N,хайа,berg
114,Berg::N,хайа,fjell
115,Gipfel::N,чыпчаал,topp
116,Höhle::N,хайа_хаспаҕа,hule
117,Höhle::N,көҥүс,hule
118,Abhang::N,эниэ,li
119,Abhang::N,эниэ,skråning
120,Quelle::N,дьүүктэ,kilde
121,Bach::N,үрүйэ,bekk
122,Fluss::N,өрүс,elv
123,Ufer::N,биэрэк,bredd
124,Küste::N,кытыл,kyst
125,Festland::N,кураанах сир,fastland
126,Meer::N,муора,hav
127,Bucht::N,хомо,bukt
128,Bucht::N,бухта,bukt
129,Insel::N,арыы,øy
130,Blume::N,сибэкки,blomst
131,Gras::N,от,gress
132,Wurzel::N,силис,rot
133,Baum::N,мас,tre
134,Stamm::N,умнас,stamme
135,Rinde::N,хатырык,bark
136,Ast::N,мутук,gren
137,Zweig::N,лабаа,kvist
138,Blatt::N,сэбирдэх,blad
139,Birke::N,хатыҥ,bjørk
140,Kiefer[Baum]::N,бэс,furu
141,Weide[Baum]::N,үөт,selje
142,Weide[Baum]::N,үөт,piletre
143,Weide[Baum]::N,талах,selje
144,Weide[Baum]::N,талах,piletre
145,Tanne::N,харыйа,gran
146,Horn::N,муос,horn
147,Feder::N,куорсун,fjær
148,Fell::N,тирии,skinn
149,Flügel::N,кынат,vinge
150,Klaue::N,тыҥырах,klauv
151,Kralle::N,баппаҕай,klo
152,Schwanz::N,кутурук,hale
153,Ei::N,сымыыт,egg
154,Nest::N,уйа,rede
155,Bau::N,хороон,hi
156,Tier::N,кыыл,dyr
157,Tier::N,харамай,dyr
158,Herde::N,үөр,flokk
159,Kuh::N,ынах,ku
160,Bulle::N,оҕус,tyr
161,Pferd::N,сылгы,hest
162,Schaf::N,овца,får
163,Schwein::N,сибиинньэ,gris
164,Hund::N,ыт,hund
165,Katze::N,куоска,katt
166,Bär::N,эһэ,bjørn
167,Eichhörnchen::N,тииҥ,ekorn
168,Elch::N,тайах,elg
169,Fuchs::N,саһыл,rev
170,Hase::N,куобах,hare
171,Maus::N,кутуйах,mus
172,Wolf::N,бөрө,ulv
173,Wolf::N,бөрө,varg
174,Vogel::N,көтөр,fugl
175,Schwarm::N,бөлөх,sverm
176,Huhn::N,куурусса,høne
177,Hahn::N,бөтүүк,hane
178,Gans::N,хаас,gås
179,Adler::N,хотой,ørn
180,Ente::N,кус,and
181,Eule::N,мэкчиргэ,ugle
182,Kranich::N,туруйа,trane
183,Krähe::N,тураах,kråke
184,Kuckuck::N,кэҕэ,gjøk
185,Schwan::N,куба,svane
186,Fisch::N,балык,fisk
187,Barsch::N,алыһар,abbor
188,Hecht::N,сордон,gjedde
189,Schlange[Tier]::N,моҕой,orm
190,Schlange[Tier]::N,моҕой,slange
191,Schlange[Tier]::N,эриэн үөн,orm
192,Schlange[Tier]::N,эриэн үөн,slange
193,Wurm::N,үөн,orm
194,Wurm::N,үөн,mark
195,Spinne::N,ооҕуй,edderkopp
196,Ameise::N,кымырдаҕас,maur
197,Laus::N,быт,lus
198,Mücke::N,кумаар,mygg
199,Fliege::N,сахсырҕа,flue
200,Schmetterling::N,лыах,sommerfugl
201,Schmetterling::N,үрүмэччи,sommerfugl
202,Beere::N,отон,bær
203,Apfel::N,яблоко,eple
204,Pilz::N,тэллэй,sopp
205,Zwiebel::N,луук,løk
206,Saat::N,сиэмэ,sæd
207,Korn::N,сиэмэ,korn
208,Heu::N,от,høy
209,Schale::N,хах,skall
210,Grube::N,дьаама,grop
211,Falle::N,сохсо,felle
212,Schlinge::N,уктаа,snare
213,Spur::N,суол,spor
214,Asche::N,күл,aske
215,Dreck::N,бадараан,møkk
216,Dreck::N,бадараан,skitt
217,Eisen::N,тимир,jern
218,Gold::N,көмүс,gull
219,Gold::N,кыһыл көмүс,gull
220,Silber::N,көмүс,sølv
221,Silber::N,үрүҥ көмүс,sølv
222,Kohle::N,чох,kol
223,Kohle::N,чох,kull
224,Glas::N,өстүөкүлэ,glass
225,Lehm::N,туой,leire
226,Sand::N,кумах,sand
227,Mensch::N,киһи,menneske
228,Mann::N,эр,mann
229,Frau::N,дьахтар,kvinne
230,Kind::N,оҕо,barn
231,Junge::N,уол,gutt
232,Mädchen::N,кыыс оҕо,pike
233,Mädchen::N,кыыс оҕо,jente
234,Familie::N,кэргэн,familie
235,Großvater::N,эһэ,bestefar
236,Großmutter::N,эбэ,bestemor
237,Eltern::N,аҕа-ийэ,foreldre
238,Vater::N,аҕа,far
239,Mutter::N,ийэ,mor
240,Sohn::N,уол,sønn
241,Tochter::N,кыыс,datter
242,Bruder::N,убай,bror
243,Bruder::N,быраат,bror
244,Schwester::N,аҕас,søster
245,Schwester::N,балыс,søster
246,Onkel::N,таай,onkel
247,Onkel::N,абаҕа,onkel
248,Tante::N,эдьиий,tante
249,Ehemann::N,эр,ektemann
250,Ehefrau::N,ойох,hustru
251,Freude::N,үөрүү,glede
252,Gelächter::N,күлүү,latter
253,Glück::N,дьол,lykke
254,Glück::N,соргу,lykke
255,Kummer::N,кутурҕан,sorg
256,Wunsch::N,баҕарыы,ønske
257,Lust::N,баҕа,lyst
258,Geist::N,тыын,ånd
259,Gedanke::N,санаа,tanke
260,Gedächtnis::N,өй,minne
261,Gedächtnis::N,өй,hukommelse
262,Verstand::N,өй,forstand
263,Sinn::N,суолта,mening
264,Sinn::N,суолта,betydning
265,Grund::N,төрүөт,grunn
266,Wahrheit::N,кырдьык,sannhet
267,Gespräch::N,бэсиэдэ,samtale
268,Gespräch::N,кэпсэтии,samtale
269,Märchen::N,остуоруйа,eventyr
270,Erzählung::N,кэпсээн,fortelling
271,Nachricht::N,биллэриллии,melding
272,Neuigkeit::N,сонун,nyhet
273,Name::N,аат,navn
274,Rätsel::N,таабырын,gåte
275,Rede::N,этии,tale
276,Sprache::N,тыл,språk
277,Stimme::N,куолас,stemme
278,Wort::N,тыл,ord
279,Zeichen::N,бэлиэ,tegn
280,Ruf::N,ыҥырыы,rop
281,Lärm::N,айдаан,bråk
282,Laut::N,тыас,lyd
283,Ton::N,дорҕоон,tone
284,Lied::N,ырыа,vise
285,Ruhe::N,уу чуумпу,ro
286,Leute::N,дьон,folk
287,Volk::N,дьон,folk
288,Volk::N,норуот,folk
289,Arbeit::N,үлэ,arbeid
290,Gast::N,ыалдьыт,gjest
291,Geschenk::N,бэлэх,gave
292,Spiel::N,оонньуу,lek
293,Spiel::N,оонньуу,spill
294,Gesellschaft::N,общество,selskap
295,Hilfe::N,көмө,hjelp
296,Freund::N,доҕор,venn
297,Kamerad::N,атас,kamerat
