,Concept_ID,la,ml
0,Auge::N,oculus,കണ്ണ്
1,Ohr::N,auris,ചെവി
2,Nase::N,nasus,മൂക്ക്
3,Mund::N,os,വായ
4,Zahn::N,dens,പല്ല്
5,Zunge::N,lingua,നാക്ക്
6,Lippe::N,labrum,ചുണ്ട്
7,Wange::N,gena,കവിൾത്തടം
8,Gesicht::N,vultus,മുഖം
9,Stirn::N,frons,നെറ്റി
10,Haar::N,capillus,തലമുടി
11,Schnurrbart::N,barba labri superioris,മീശ
12,Bart::N,barba,താടിരോമം
13,Kinn::N,mentum,താടി
14,Kiefer[Anatomie]::N,mala,താടിയെല്ല്
15,Kehle::N,iugulums,കണ്ഠനാളം
16,Hals::N,collum,കഴുത്ത്
17,Genick::N,cervices,പിടലി
18,Kopf::N,caput,തല
19,Rücken::N,tergum,മുതുക്
20,Bauch::N,venter,നയറ്
21,Nabel::N,umbilicus,നാഭി
22,Busen::N,sinus,സ്തനം
23,Brust::N,pectus,സ്തനം
24,Schulter::N,umerus,തോൾ
25,Arm::N,bracchium,കൈ
26,Ellenbogen::N,cubitum,കൈമുട്ട്
27,Hand::N,manus,കൈ
28,Handfläche::N,palma,ഉള്ളം കൈ
29,Finger::N,digitus,വിരൽ
30,Fingernagel::N,unguiculus,നഖം
31,Nagel[Anatomie]::N,unguis,നഖം
32,Zeh::N,digitus,കാൽവിരൽ
33,Fuß::N,pes,കാൽപ്പാദം
34,Ferse::N,calx,ഉപ്പൂറ്റി
35,Knie::N,genu,കാൽമുട്ട്
36,Oberschenkel::N,femur,തുട
37,Bein::N,crus,കാൽ
38,Körper::N,corpus,ശരീരം
39,Haut::N,cutis,ചർമ്മം
40,Haut::N,pellis,ചർമ്മം
41,Blut::N,sanguis,രക്തം
42,Ader::N,vena,ഞരമ്പ്
43,Sehne::N,nervus,സ്നായു
44,Knochen::N,os,അസ്ഥി
45,Gehirn::N,cerebrum,തലച്ചോറ്
46,Herz::N,cor,ഹൃദയം
47,Herz::N,animus,ഹൃദയം
48,Magen::N,stomachus,വയർ
49,Leber::N,iecur,കരൾ
50,Atem::N,spiritus,ശ്വാസം
51,Hunger::N,fames,വിശപ്പ്
52,Träne::N,lacrima,കണ്ണീർ
53,Geschmack::N,sapor,രുചി
54,Geschmack::N,gustus,രുചി
55,Geruch::N,odor,ഗന്ധം
56,Schlaf::N,somnus,ഉറകും
57,Traum::N,somnium,സ്വപ്നം
58,Himmel::N,caelum,ആകാശം
59,Sonne::N,sol,സൂര്യൻ
60,Mond::N,luna,ചന്ദ്രൻ
61,Stern::N,sidus,നക്ഷത്രം
62,Stern::N,stella,നക്ഷത്രം
63,Luft::N,aer,കാറ്റ്
64,Wind::N,ventus,കാറ്റ്
65,Welle::N,unda,തിരമാല
66,Wasser::N,aqua,വെള്ളം
67,Stein::N,lapis,ശില
68,Stein::N,lapis,കല്ല്
69,Boden::N,solum,തറ
70,Boden::N,solum,നിലം
71,Erde::N,terra,മണ്ണ്
72,Staub::N,pulvis,പൊടി
73,Rauch::N,fumus,പുക
74,Funke::N,scintilla,തീപ്പൊരി
75,Feuer::N,ignis,തീ
76,Licht::N,lux,വിളക്ക്
77,Licht::N,lux,സൂര്യപ്രകാശം
78,Licht::N,lumen,വിളക്ക്
79,Licht::N,lumen,സൂര്യപ്രകാശം
80,Schatten::N,umbra,തണൽ
81,Wetter::N,caelum,കാലാവസ്ഥ
82,Wetter::N,tempestas,കാലാവസ്ഥ
83,Nebel::N,nebula,മൂടൽമഞ്ഞ്
84,Wolke::N,nubes,മേഘം
85,Regen::N,imber,മഴ
86,Regen::N,pluvia,മഴ
87,Schnee::N,nix,മഞ്ഞ്
88,Eis::N,glacies,ഐസ്
89,Frost::N,gelu,മൂടൽമഞ്ഞ്
90,Kälte::N,frigus,തണുപ്പ്
91,Hitze::N,calor,ചൂട്
92,Hitze::N,aestus,ചൂട്
93,Raureif::N,pruina,കോടമഞ്ഞ്
94,Regenbogen::N,arcus,മഴവില്ല്
95,Donner::N,tonitrus,ഇടി
96,Strömung::N,fluctus,പ്രവാഹം
97,Tropfen::N,gutta,തുള്ളി
98,Schaum::N,spuma,നുര
99,Schmutz::N,sordes,അഴുക്ക്
