,Concept_ID,fa,ba
0,Auge::N,چشم,күҙ
1,Ohr::N,گوش,ҡолаҡ
2,Nase::N,بینی,танау
3,Mund::N,دهان,ауыҙ
4,Zahn::N,دندان,теш
5,Zunge::N,زبان,тел
6,Lippe::N,لب,ирен
7,Wange::N,لپ,яцаҡтар
8,Gesicht::N,رو,бит
9,Gesicht::N,چهره,бит
10,Stirn::N,پیشانی,маңлай
11,Haar::N,مو,сәс
12,Schnurrbart::N,سبیل,мылтыҡ
13,Bart::N,ریش,һаҡал
14,Kinn::N,چانه,эйэк
15,Kiefer[Anatomie]::N,فک,яңаҡ һөйәге
16,Kiefer[Anatomie]::N,آرواره,яңаҡ һөйәге
17,Kehle::N,حلق,тамаҡ
18,Hals::N,گردن,муйын
19,Genick::N,پشت گردن,соңҡа
20,Kopf::N,سر,баш
21,Kopf::N,کله,баш
22,Rücken::N,پشت,арҡа
23,Bauch::N,شکم,ҡорһаҡ
24,Nabel::N,ناف,кендек
25,Busen::N,پستان,күкрәк
26,Brust::N,سینه,түш
27,Schulter::N,دوش,яурын
28,Schulter::N,شانه,яурын
29,Arm::N,بازو,ҡул
30,Ellenbogen::N,آرنج,терһәк
31,Hand::N,دست,ҡул
32,Hand::N,دست,ҡул суғы
33,Handfläche::N,کف دست,ус төбө
34,Finger::N,انگشت,бармаҡ
35,Fingernagel::N,ناخن دست,тырнаҡ
36,Nagel[Anatomie]::N,ناخن,тырнаҡ
37,Zeh::N,انگشت پا,бармаҡ
38,Fuß::N,پا,табан
39,Ferse::N,پاشنه,үксә
40,Knie::N,زانو,тубыҡ
41,Oberschenkel::N,ران,сандыр
42,Bein::N,پا,аяҡ
43,Bein::N,لنگ,аяҡ
44,Körper::N,تن,тән
45,Körper::N,بدن,тән
46,Haut::N,پوست,тире
47,Blut::N,خون,ҡан
48,Ader::N,رگ,тамыр
49,Sehne::N,زردپی,һеңер
50,Sehne::N,زردپی,тарамыш
51,Knochen::N,استخوان,һойәк
52,Gehirn::N,مخ,мейе
53,Gehirn::N,مغز,мейе
54,Herz::N,دل,йорәк
55,Herz::N,قلب,йорәк
56,Magen::N,معده,ашҡаҙан
57,Leber::N,کبد,бауыр
58,Atem::N,نفس,һулыш
59,Hunger::N,گرسنگی,аслыҡ
60,Träne::N,اشک,күҙ иәше
61,Geschmack::N,مزه,тәм
62,Geruch::N,بو,еҫ
63,Schlaf::N,خواب,йоҡлау
64,Traum::N,رؤیا,төш
65,Himmel::N,فلک,күк
66,Himmel::N,آسمان,күк
67,Sonne::N,آفتاب,ҡояш
68,Sonne::N,خورشید,ҡояш
69,Mond::N,ماه,ай
70,Stern::N,ستاره,йондоҙ
71,Luft::N,هوا,һауа
72,Wind::N,باد,ел
73,Welle::N,موج,тулҡын
74,Wasser::N,آب,һыу
75,Stein::N,سنگ,таш
76,Boden::N,زمین,тупраҡ
77,Erde::N,خاک,балсҡ
78,Erde::N,زمین,балсҡ
79,Staub::N,گرد,туҙан
80,Staub::N,غبار,туҙан
81,Rauch::N,دود,төтөн
82,Funke::N,جرقه,осҡон
83,Feuer::N,آتش,ут
84,Licht::N,نور,яҡтылыҡ
85,Licht::N,روشنی,яҡтылыҡ
86,Schatten::N,سایه,күләгә
87,Wetter::N,هوا,һауа торошо
88,Nebel::N,مه,төман
89,Wolke::N,ابر,болот
90,Regen::N,باران,ямғыр
91,Schnee::N,برف,ҡар
92,Eis::N,یخ,боҙ
93,Frost::N,یخبندان,һалҡын
94,Kälte::N,سرما,һыуыҡ
95,Hitze::N,گرما,томра
96,Hitze::N,گرما,эҫелек
97,Hitze::N,حرارت,томра
98,Hitze::N,حرارت,эҫелек
99,Raureif::N,برف ریزه,ҡырау
100,Regenbogen::N,رنگین‌کمان,йәйғор
101,Donner::N,رعد,күк күкрәү
102,Strömung::N,جریان,ағым
103,Tropfen::N,قطره,тамсы
104,Schaum::N,کف,күбек
105,Schmutz::N,گل,батҡаҡ
106,Schmutz::N,کثافت,батҡаҡ
107,See::N,دریاچه,күл
108,Sumpf::N,مرداب,һаҙлык
109,Sumpf::N,باتلاق,һаҙлык
110,Moor::N,باتلاق,һаҙ
111,Wiese::N,چمن,болон
112,Wald::N,جنگل,урман
113,Hügel::N,تل,түбә
114,Hügel::N,تپه,түбә
115,Anhöhe::N,بلندی,түбә
116,Anhöhe::N,بلندی,ҡалҡыулыҡ
117,Berg::N,کوه,тау
118,Gipfel::N,قله,түбә
119,Höhle::N,غار,мәмерйә
120,Abhang::N,سرازیری,ипкен
121,Quelle::N,چشمه,шишмә
122,Bach::N,نهر,шишмә
123,Fluss::N,رود,йылға
124,Ufer::N,ساحل,яр
125,Ufer::N,کرانه,яр
126,Küste::N,ساحل,яр буйы
127,Festland::N,خشکی,ҡоро ер
128,Meer::N,دریا,диңгез
129,Bucht::N,خلیج,бухта
130,Insel::N,جزیره,үтрау
131,Blume::N,گل,сәскә
132,Gras::N,علف,үлән
133,Wurzel::N,ریشه,тамыр
134,Baum::N,درخت,ағас
135,Stamm::N,تنه,олон
136,Stamm::N,تنه,көбәк
137,Rinde::N,توژ,ҡабыҡ
138,Rinde::N,پوست,ҡабыҡ
139,Ast::N,شاخه,ботаҡ
140,Zweig::N,شاخه,ботаҡ
141,Zweig::N,شاخه,тармаҡ
142,Blatt::N,برگ,япраҡ
143,Birke::N,غان,ҡайын
144,Kiefer[Baum]::N,کاج,ҡарғай
145,Weide[Baum]::N,بید,тал
146,Tanne::N,صنوبر,шыршы
147,Horn::N,شاخ,мөғөҙ
148,Feder::N,پر,ҡауырһын
149,Fell::N,خز,тире
150,Flügel::N,پر,ҡанат
151,Flügel::N,بال,ҡанат
152,Klaue::N,چنگ,тырнаҡ
153,Klaue::N,پنجه,тырнаҡ
154,Kralle::N,پنجه,аяҡ
155,Schwanz::N,دم,ҡойроҡ
156,Ei::N,تخم,йомортҡа
157,Nest::N,لانه,оя
158,Bau::N,بنا,оң
159,Bau::N,ساختمان,оң
160,Tier::N,هیوان,жайуан
161,Tier::N,هیوان,йыртҡыс
162,Herde::N,رمه,көтөү
163,Kuh::N,گاو,һыйыр
164,Bulle::N,گاو نر,үгеҙ
165,Pferd::N,اسب,ат
166,Schaf::N,گوسفند,һарыҡ
167,Schwein::N,خوک,сусҡа
168,Hund::N,سگ,эт
169,Katze::N,گربه,бесәй
170,Bär::N,خرس,айыу
171,Eichhörnchen::N,سنجاب,тейен
172,Elch::N,گوزن شمالی,мышы
