,Concept_ID,sah,kk
0,Auge::N,харах,көз
1,Ohr::N,кулгаах,құлақ
2,Nase::N,мурун,мұрын
3,Mund::N,айах,ауыз
4,Zahn::N,тиис,тіс
5,Zunge::N,тыл,тіл
6,Lippe::N,уос,ерін
7,Wange::N,иэдэс,ұрт
8,Gesicht::N,сирэй,бет-аузы
9,Stirn::N,сүүс,маңдай
10,Haar::N,баттах,қыл
11,Schnurrbart::N,уос бытыга,мұрт
12,Bart::N,сэҥийэ бытыга,сақал
13,Kinn::N,сэҥийэ,иек
14,Kiefer[Anatomie]::N,сыҥаах,жақ
15,Kehle::N,тамах,алқым
16,Kehle::N,күөмэй,алқым
17,Hals::N,моой,мойын
18,Genick::N,кэтэх,желке
19,Kopf::N,бас,кәллә
20,Rücken::N,көҕүс,арқа
21,Bauch::N,ис,қарын
22,Nabel::N,киин,кіндік
23,Busen::N,эмиий,омырау
24,Brust::N,түөс,кеуде
25,Schulter::N,сарын,иық
26,Arm::N,илии,қол
27,Ellenbogen::N,тоҕонох,шынтақ
28,Hand::N,илии,қол
29,Handfläche::N,ытыс,алақан
30,Finger::N,тарбах,саусақ
31,Fingernagel::N,тыҥырах,тырнақ
32,Nagel[Anatomie]::N,тыҥырах,тырнақ
33,Zeh::N,тарбах,тырнақ
34,Zeh::N,тарбах,тұяқ
35,Fuß::N,уллуҥах,аяқ-басы
36,Ferse::N,тилэх,өкше
37,Ferse::N,тилэх,өкшелік
38,Knie::N,тобук,тізе
39,Knie::N,дьилбэк,тізе
40,Oberschenkel::N,уллук,жамбас
41,Oberschenkel::N,өттүк,жамбас
42,Bein::N,атах,аяқ
43,Körper::N,бэйэ,дене
44,Haut::N,тирии,тері
45,Blut::N,хаан,қан
46,Ader::N,вена,көктамыр
47,Ader::N,вена,күретамыр
48,Ader::N,күөх_тымыр,көктамыр
49,Ader::N,күөх_тымыр,күретамыр
50,Sehne::N,иҥиир,сіңір
51,Knochen::N,уҥуох,жілік
52,Knochen::N,уҥгуох,жілік
53,Gehirn::N,мэйии,ми
54,Herz::N,сүрэх,жүрек
55,Magen::N,куртах,асқазан
56,Leber::N,быар,бауыр
57,Atem::N,тыын,леп
