,Concept_ID,it,nl
0,Auge::N,occhio,oog
1,Ohr::N,orecchio,oor
2,Nase::N,naso,neus
3,Mund::N,bocca,mond
4,Zahn::N,dente,tand
5,Zunge::N,lingua,tong
6,Lippe::N,labbro,lip
7,Wange::N,guancia,wang
8,Gesicht::N,viso,gelaat
9,Gesicht::N,viso,gezicht
10,Gesicht::N,faccia,gelaat
11,Gesicht::N,faccia,gezicht
12,Stirn::N,fronte,voorhoofd
13,Haar::N,capello,haar
14,Schnurrbart::N,baffi,snor
15,Schnurrbart::N,mustacchi,snor
16,Bart::N,barba,baard
17,Kinn::N,mento,kin
18,Kiefer[Anatomie]::N,mascella,kaak
19,Kehle::N,gola,keel
20,Kehle::N,gola,strot
21,Hals::N,collo,hals
22,Genick::N,nuca,nek
23,Kopf::N,capo,hoofd
24,Kopf::N,testa,hoofd
25,Rücken::N,dorso,rug
26,Rücken::N,schiena,rug
27,Bauch::N,ventre,buik
28,Nabel::N,ombelico,navel
29,Busen::N,seno,boezem
30,Brust::N,petto,borst
31,Schulter::N,spalla,schouder
32,Arm::N,braccio,arm
33,Ellenbogen::N,gomito,elleboog
34,Hand::N,mano,hand
35,Handfläche::N,palma,handpalm
36,Finger::N,dito,vinger
37,Fingernagel::N,unghia,nagel
38,Nagel[Anatomie]::N,unghia,nagel
39,Zeh::N,dito del piede,teen
40,Fuß::N,piede,voet
41,Ferse::N,tallone,hak
42,Ferse::N,tallone,hiel
43,Ferse::N,calcagno,hak
44,Ferse::N,calcagno,hiel
45,Knie::N,ginocchio,knie
46,Oberschenkel::N,fèmore,dij
47,Bein::N,gamba,been
48,Körper::N,corpo,lichaam
49,Haut::N,pelle,huid
50,Blut::N,sangue,bloed
51,Ader::N,vena,ader
52,Sehne::N,tèndine,pees
53,Knochen::N,osso,bot
54,Knochen::N,osso,been
55,Knochen::N,osso,knook
56,Gehirn::N,cervello,hersenen
57,Herz::N,cuore,hart
58,Magen::N,stòmaco,maag
59,Leber::N,fegato,lever
60,Atem::N,fiato,adem
61,Atem::N,respiro,adem
62,Hunger::N,fame,honger
63,Träne::N,làcrima,traan
64,Geschmack::N,gusto,smaak
65,Geschmack::N,sapore,smaak
66,Geruch::N,odore,geur
67,Schlaf::N,sonno,slaap
68,Traum::N,sogno,droom
69,Himmel::N,cielo,hemel
70,Sonne::N,sole,zon
71,Mond::N,luna,maan
72,Stern::N,stella,ster
73,Luft::N,aria,lucht
74,Wind::N,vento,wind
75,Welle::N,onda,golf
76,Wasser::N,acqua,water
77,Stein::N,sasso,steen
78,Stein::N,pietra,steen
79,Boden::N,suolo,grond
80,Boden::N,terreno,grond
81,Erde::N,terra,aarde
82,Staub::N,polvere,stof
83,Rauch::N,fumo,rook
84,Funke::N,scintilla,vonk
85,Feuer::N,fuoco,vuur
86,Licht::N,luce,licht
87,Schatten::N,ombra,schaduw
88,Wetter::N,tempo,weer
89,Nebel::N,nebbia,mist
90,Nebel::N,nebbia,nevel
91,Wolke::N,nube,wolk
92,Wolke::N,nùvola,wolk
93,Regen::N,pioggia,regen
94,Schnee::N,neve,sneeuw
95,Eis::N,ghiaccio,ijs
96,Frost::N,gelo,vorst
97,Kälte::N,freddo,kou
98,Kälte::N,freddo,koude
99,Hitze::N,caldo,hitte
100,Hitze::N,calura,hitte
101,Raureif::N,brina,rijp
102,Regenbogen::N,arcobaleno,regenboog
103,Donner::N,tuono,donder
104,Strömung::N,corrente,stroming
105,Tropfen::N,goccia,druppel
106,Schaum::N,spuma,schuim
107,Schaum::N,schiuma,schuim
108,Schmutz::N,sudiciume,vuil
109,See::N,lago,meer
110,Sumpf::N,palude,moeras
111,Moor::N,torbiera,veen
112,Wiese::N,prato,wei
113,Wiese::N,prato,weide
114,Wald::N,bosco,bos
115,Wald::N,foresta,bos
116,Hügel::N,colle,heuvel
117,Hügel::N,collina,heuvel
118,Anhöhe::N,altura,hoogte
119,Berg::N,monte,berg
120,Berg::N,montagna,berg
121,Gipfel::N,cima,top
122,Höhle::N,grotta,hol
123,Höhle::N,caverna,hol
124,Abhang::N,pendìo,helling
125,Quelle::N,sorgente,bron
126,Bach::N,ruscello,beek
127,Fluss::N,fiume,stroom
128,Ufer::N,riva,wal
129,Ufer::N,riva,oever
130,Küste::N,costa,kust
131,Festland::N,terraferma,vasteland
132,Meer::N,mare,zee
133,Bucht::N,cala,baai
134,Bucht::N,cala,inham
135,Insel::N,ìsola,eiland
136,Blume::N,fiore,bloem
137,Gras::N,erba,gras
138,Wurzel::N,radice,wortel
139,Baum::N,àlbero,boom
140,Stamm::N,tronco,stam
141,Rinde::N,corteccia,schors
142,Ast::N,ramo,tak
143,Zweig::N,ramo,twijg
144,Blatt::N,foglia,blad
145,Birke::N,betulla,berk
146,Kiefer[Baum]::N,pino,den
147,Weide[Baum]::N,sàlice,wilg
148,Tanne::N,abete,spar
149,Horn::N,corno,hoorn
150,Feder::N,penna,veer
151,Feder::N,penna,pluim
152,Fell::N,manto,vel
153,Fell::N,pelame,vel
154,Flügel::N,ala,vleugel
155,Klaue::N,grinfia,klauw
156,Kralle::N,unghia,klauw
157,Kralle::N,artiglio,klauw
158,Schwanz::N,coda,staart
159,Ei::N,uovo,ei
160,Nest::N,nido,nest
161,Bau::N,covo,hol
162,Tier::N,bestia,dier
163,Tier::N,animale,dier
164,Herde::N,gregge,kudde
165,Kuh::N,vacca,koe
166,Bulle::N,toro,stier
167,Pferd::N,cavallo,paard
168,Schaf::N,pècora,schaap
169,Schwein::N,porco,varken
170,Schwein::N,maiale,varken
171,Hund::N,cane,hond
172,Katze::N,gatta,kat
173,Bär::N,orso,beer
174,Eichhörnchen::N,scoiàttolo,eekhoorntje
175,Elch::N,alce,eland
176,Fuchs::N,volpe,vos
177,Hase::N,lepre,haas
178,Maus::N,topo,muis
179,Maus::N,sorcio,muis
180,Wolf::N,lupo,wolf
181,Vogel::N,uccello,vogel
182,Schwarm::N,stormo,zwerm
183,Huhn::N,gallina,kip
184,Huhn::N,gallina,hoen
185,Hahn::N,gallo,haan
186,Gans::N,oca,gans
187,Adler::N,àquila,arend
188,Ente::N,ànatra,eend
189,Eule::N,gufo,uil
190,Eule::N,civetta,uil
191,Kranich::N,gru,kraanvogel
192,Krähe::N,cornacchia,kraai
193,Kuckuck::N,cuccù,koekoek
194,Kuckuck::N,cùculo,koekoek
195,Schwan::N,cigno,zwaan
196,Fisch::N,pesce,vis
197,Barsch::N,pèrsico,baars
198,Hecht::N,luccio,snoek
199,Schlange[Tier]::N,serpente,slang
200,Wurm::N,baco,worm
201,Wurm::N,verme,worm
202,Spinne::N,ragno,spin
203,Ameise::N,formica,mier
204,Laus::N,pidocchio,luis
205,Mücke::N,zanzara,mug
206,Fliege::N,mosca,vlieg
207,Schmetterling::N,farfalla,vlinder
208,Beere::N,bacca,bes
209,Apfel::N,mela,appel
210,Pilz::N,fungo,paddestoel
211,Zwiebel::N,cipolla,ui
212,Saat::N,semente,zaad
213,Korn::N,grano,graan
214,Korn::N,grano,korrel
215,Heu::N,fieno,hooi
216,Schale::N,buccia,schil
217,Grube::N,cava,kuil
218,Grube::N,fossa,kuil
219,Falle::N,tràppola,val
220,Schlinge::N,laccio,strop
221,Spur::N,traccia,spoor
222,Asche::N,cenere,as
223,Dreck::N,fango,drek
224,Eisen::N,ferro,ijzer
225,Gold::N,oro,goud
226,Silber::N,argento,zilver
227,Kohle::N,carbone,kool
228,Glas::N,vetro,glas
229,Lehm::N,argilla,klei
230,Sand::N,arena,zand
231,Sand::N,sabbia,zand
232,Mensch::N,uomo,mens
233,Mensch::N,èssere umano,mens
234,Mann::N,uomo,man
235,Frau::N,donna,vrouw
236,Kind::N,bambino,kind
237,Junge::N,ragazzo,jongen
238,Mädchen::N,ragazza,meisje
239,Familie::N,famiglia,gezin
240,Familie::N,famiglia,familie
241,Großvater::N,nonno,grootvader
242,Großmutter::N,nonna,grootmoeder
243,Eltern::N,genitori,ouders
244,Vater::N,padre,vader
245,Mutter::N,madre,moeder
246,Sohn::N,figlio,zoon
247,Tochter::N,figlia,dochter
248,Bruder::N,fratello,broer
249,Bruder::N,fratello,broeder
250,Schwester::N,sorella,zus
251,Schwester::N,sorella,zuster
252,Onkel::N,zio,oom
253,Tante::N,zia,tante
254,Ehemann::N,marito,echtgenoot
255,Ehefrau::N,moglie,echtgenote
256,Freude::N,gioia,vreugde
257,Freude::N,piacere,vreugde
258,Gelächter::N,risata,gelach
259,Glück::N,felicità,geluk
260,Kummer::N,afflizione,verdriet
261,Wunsch::N,desiderio,wens
