,Concept_ID,pl,te
0,Auge::N,oko,కన్ను
1,Ohr::N,ucho,చెవి
2,Nase::N,nos,ముక్కు
3,Mund::N,usta,నోరు
4,Zahn::N,ząb,పల్లు
5,Zunge::N,język,నాలుక
6,Lippe::N,warga,పెదవి
7,Wange::N,policzek,చెంప
8,Gesicht::N,twarz,ముఖము
9,Stirn::N,czoło,నుదురు
10,Haar::N,włos,వెండ్రుక
11,Haar::N,włosy,వెండ్రుక
12,Schnurrbart::N,wąsy,మీసము
13,Bart::N,broda,గడ్డము
14,Kinn::N,podbródek,గడ్డము
15,Kiefer[Anatomie]::N,czeluść,దౌడ
16,Kehle::N,gardło,గొంతు
17,Hals::N,szyja,మెడ
18,Genick::N,kark,మూపు
19,Kopf::N,głowa,తల
20,Rücken::N,plecy,వెన్ను
21,Rücken::N,grzbiet,వెన్ను
22,Bauch::N,brzuch,కడుపు
23,Nabel::N,pępek,బొడ్డు
24,Busen::N,biust,స్తనము
25,Brust::N,pierś,ఱొమ్ము
26,Schulter::N,bark,భుజము
27,Schulter::N,ramię,భుజము
28,Arm::N,ręka,చేయి
29,Arm::N,ramię,చేయి
30,Ellenbogen::N,łokieć,మోచేయి
31,Hand::N,dłoń,చేయి
32,Handfläche::N,dłoń,అరచేయు
33,Finger::N,palec,చేతిప్రేలు
34,Fingernagel::N,paznokieć,గోరు
35,Nagel[Anatomie]::N,paznokieć,గోరు
36,Zeh::N,palec,కాలిప్రేలు
37,Fuß::N,stopa,అడుగు
38,Ferse::N,pięta,మడమ
39,Knie::N,kolano,మోకాలు
40,Oberschenkel::N,udo,తొడ
41,Bein::N,noga,కాలు
42,Körper::N,ciało,కాయము
43,Haut::N,skóra,చర్మము
44,Blut::N,krew,రక్తము
45,Ader::N,żyła,సిర
46,Sehne::N,ścięgno,స్నాయువు
47,Knochen::N,kość,ఎముక
48,Gehirn::N,mózg,మెదడు
49,Herz::N,serce,హృదయము
50,Magen::N,żołądek,కడుపు
51,Leber::N,wątroba,కాలేయము
52,Atem::N,dech,ఉపిరి
53,Atem::N,oddech,ఉపిరి
54,Hunger::N,głód,ఆకలి
55,Träne::N,łza,కన్నీటిచుక్క
56,Geschmack::N,smak,రుచి
57,Geruch::N,woń,వాసన
58,Geruch::N,zapach,వాసన
59,Schlaf::N,sen,నిద్ర
60,Traum::N,sen,కల
61,Himmel::N,niebo,ఆకాశము
62,Sonne::N,słońce,సూర్యుడు
63,Mond::N,księżyc,చంద్రుడు
64,Stern::N,gwiazda,నక్షత్రము
65,Luft::N,powietrze,గాలి
66,Wind::N,wiatr,వీచుచున్నగాలి
67,Welle::N,fala,అల
68,Wasser::N,woda,నీరు
69,Stein::N,kamień,ఱాయి
70,Boden::N,grunt,నేల
71,Erde::N,ziemia,మన్ను
72,Staub::N,pył,దుమ్ము
73,Staub::N,kurz,దుమ్ము
74,Rauch::N,dym,పొగ
75,Funke::N,iskra,అగ్నికణము
76,Feuer::N,ogień,అగ్ని
77,Licht::N,światło,కాంతి
78,Schatten::N,cień,నీడ
79,Wetter::N,pogoda,వాతావరణ స్థితి
80,Nebel::N,mgła,పొగమంచు
81,Wolke::N,obłok,మేఘము
82,Wolke::N,chmura,మేఘము
83,Regen::N,deszcz,వాన
84,Schnee::N,śnieg,హిమము
85,Eis::N,lód,మంచుగడ్డ
86,Frost::N,mróz,పేరిన మంచు
87,Kälte::N,chłód,చలి
88,Hitze::N,gorąco,వేడిమి
89,Raureif::N,szron,మంచు
90,Regenbogen::N,tęcza,ఇంద్రధనుస్సు
91,Donner::N,grzmot,ఉరుము
92,Strömung::N,nurt,ప్రవాహము
93,Tropfen::N,kropla,చుక్క
94,Schaum::N,piana,నురుగు
95,Schmutz::N,brud,మైల
96,See::N,jezioro,సరస్సు
97,Sumpf::N,bagno,చిత్తడినేల
98,Moor::N,bagno,చిత్తడినేల
99,Wiese::N,łąka,పచ్చిక బయలు
100,Wald::N,las,అడవి
101,Hügel::N,pagórek,చివ్నకొండ
102,Anhöhe::N,wzgórze,కొండ
103,Berg::N,góra,పర్వతము
104,Gipfel::N,szczyt,శిఖరము
105,Gipfel::N,wierzchołek,శిఖరము
106,Höhle::N,pieczara,గుహ
107,Abhang::N,stok,ఏటవాలు
108,Abhang::N,zbocze,ఏటవాలు
109,Quelle::N,zdrój,మూలము
110,Quelle::N,źródło,మూలము
111,Bach::N,potok,కాలువ
112,Bach::N,strumień,కాలువ
113,Fluss::N,rzeka,నది
114,Ufer::N,brzeg,తీరము
115,Küste::N,wybrzeże,తీరము
116,Festland::N,ląd,భూమి
117,Meer::N,morze,సముద్రము
118,Bucht::N,zatoka,మరుగు
119,Insel::N,wyspa,దీవి
120,Blume::N,kwiat,పుష్పము
121,Gras::N,trawa,పచ్చగడ్డి
122,Wurzel::N,korzeń,వేరు
123,Baum::N,drzewo,చెట్టు
124,Stamm::N,pień,చెట్టుబోదె
125,Rinde::N,kora,చెట్టుపట్ట
126,Ast::N,gałąź,కొమ్మ
127,Zweig::N,gałąź,చివుకు
128,Blatt::N,liść,ఆకు
129,Birke::N,brzoza,తరహా చెట్టు
130,Kiefer[Baum]::N,sosna,దేవదారు చెట్టు
131,Weide[Baum]::N,wierzba,జాతిచెట్టు
132,Tanne::N,jodła,దేవదారుచెట్టు
133,Horn::N,róg,కొమ్ము
134,Feder::N,pióro,ఈక
135,Fell::N,futro,తోలు
136,Flügel::N,skrzydło,ఱెక్క
137,Klaue::N,szpon,వంకరగోరు
138,Kralle::N,pazur,వంకరగోరు
139,Schwanz::N,ogon,తోక
140,Ei::N,jajko,గ్రుడ్డు
141,Nest::N,gniazdo,పక్షిగూడు
142,Bau::N,nora,గుహ
143,Tier::N,zwierzę,జంతువు
144,Herde::N,stado,మంద
145,Herde::N,trzoda,మంద
146,Kuh::N,krowa,ఆవు
147,Bulle::N,byk,గిత్త
148,Pferd::N,koń,గుఱ్ఱము
149,Schaf::N,owca,గొఱ్ఱె
150,Schwein::N,świnia,పంది
151,Hund::N,pies,కుక్క
152,Katze::N,kot,పిల్లి
