,Concept_ID,nl,en
0,Auge::N,oog,eye
1,Ohr::N,oor,ear
2,Nase::N,neus,nose
3,Mund::N,mond,mouth
4,Zahn::N,tand,tooth
5,Zunge::N,tong,tongue
6,Lippe::N,lip,lip
7,Wange::N,wang,cheek
8,Gesicht::N,gelaat,face
9,Gesicht::N,gezicht,face
10,Stirn::N,voorhoofd,forehead
11,Haar::N,haar,hair
12,Schnurrbart::N,snor,moustache
13,Bart::N,baard,beard
14,Kinn::N,kin,chin
15,Kiefer[Anatomie]::N,kaak,jaw
16,Kehle::N,keel,throat
17,Kehle::N,strot,throat
18,Hals::N,hals,neck
19,Genick::N,nek,nape
20,Kopf::N,hoofd,head
21,Rücken::N,rug,back
22,Rücken::N,rug,spine
23,Bauch::N,buik,belly
24,Nabel::N,navel,navel
25,Busen::N,boezem,bosom
26,Brust::N,borst,chest
27,Brust::N,borst,breast
28,Schulter::N,schouder,shoulder
29,Arm::N,arm,arm
30,Ellenbogen::N,elleboog,elbow
31,Hand::N,hand,hand
32,Handfläche::N,handpalm,palm
33,Finger::N,vinger,finger
34,Fingernagel::N,nagel,fingernail
35,Nagel[Anatomie]::N,nagel,nail
36,Zeh::N,teen,toe
37,Fuß::N,voet,foot
38,Ferse::N,hak,heel
39,Ferse::N,hiel,heel
40,Knie::N,knie,knee
41,Oberschenkel::N,dij,thigh
42,Bein::N,been,leg
43,Körper::N,lichaam,body
44,Haut::N,huid,skin
45,Blut::N,bloed,blood
46,Ader::N,ader,vein
47,Sehne::N,pees,sinew
48,Knochen::N,bot,bone
49,Knochen::N,been,bone
50,Knochen::N,knook,bone
51,Gehirn::N,hersenen,brain
52,Herz::N,hart,heart
53,Magen::N,maag,stomach
54,Leber::N,lever,liver
55,Atem::N,adem,breath
56,Hunger::N,honger,hunger
57,Träne::N,traan,tear
58,Geschmack::N,smaak,flavour
59,Geschmack::N,smaak,flavor
60,Geruch::N,geur,odour
61,Geruch::N,geur,odor
62,Schlaf::N,slaap,sleep
63,Traum::N,droom,dream
64,Himmel::N,hemel,sky
65,Sonne::N,zon,sun
66,Mond::N,maan,moon
67,Stern::N,ster,star
68,Luft::N,lucht,air
69,Wind::N,wind,wind
70,Welle::N,golf,wave
71,Wasser::N,water,water
72,Stein::N,steen,stone
73,Boden::N,grond,soil
74,Boden::N,grond,ground
75,Erde::N,aarde,earth
76,Staub::N,stof,dust
77,Rauch::N,rook,smoke
78,Funke::N,vonk,spark
79,Feuer::N,vuur,fire
80,Licht::N,licht,light
81,Schatten::N,schaduw,shadow
82,Wetter::N,weer,weather
83,Nebel::N,mist,fog
84,Nebel::N,nevel,fog
85,Wolke::N,wolk,cloud
86,Regen::N,regen,rain
87,Schnee::N,sneeuw,snow
88,Eis::N,ijs,ice
89,Frost::N,vorst,frost
90,Kälte::N,kou,chill
91,Kälte::N,koude,chill
92,Hitze::N,hitte,heat
