,Concept_ID,tt,sk
0,Auge::N,күз,oko
1,Ohr::N,колак,ucho
2,Nase::N,борын,nos
3,Mund::N,авыз,ústa
4,Mund::N,тамак,ústa
5,Zahn::N,теш,zub
6,Zunge::N,тел,jazyk
7,Lippe::N,ирен,pera
8,Wange::N,яңак,líce
9,Gesicht::N,йөз,tvár
10,Gesicht::N,йөз,obličaj
11,Stirn::N,маңгай,čelo
12,Haar::N,чәч,vlas
13,Schnurrbart::N,мыек,fúzy
14,Bart::N,сакал,brada
15,Kinn::N,ияк,brada
16,Kiefer[Anatomie]::N,казналык,čeľusť
17,Kehle::N,тамак,hrdlo
18,Hals::N,бугаз,krk
19,Genick::N,җилкә,väzy
20,Kopf::N,баш,hlava
21,Rücken::N,сырт,chrbát
22,Bauch::N,корсак,brucho
23,Nabel::N,кендек,pupok
24,Busen::N,түш,prsia
25,Brust::N,имчәк,hruď
26,Brust::N,күкрәк,hruď
27,Schulter::N,иңбаш,plece
28,Schulter::N,кулбаш,plece
29,Arm::N,кул,rameno
30,Ellenbogen::N,терсәк,lakeť
31,Hand::N,кул,ruka
32,Handfläche::N,уч,dlaň
33,Finger::N,бармак,prst
34,Fingernagel::N,тырнак,necht
35,Nagel[Anatomie]::N,тырнак,necht
36,Zeh::N,бармак,prst na nohe
37,Fuß::N,табан,noha
38,Ferse::N,үкчә,päta
39,Knie::N,тез,koleno
40,Oberschenkel::N,бот,stehno
41,Bein::N,аяк,noha
42,Körper::N,тән,telo
43,Körper::N,җисем,telo
44,Haut::N,тире,koža
45,Blut::N,кан,krv
46,Ader::N,тамыр,žila
47,Sehne::N,сеңер,šľacha
48,Knochen::N,сөяк,kosť
49,Gehirn::N,ми,mozog
50,Herz::N,йөрәк,srdce
51,Magen::N,ашказаны,žalúdok
52,Leber::N,бавыр,pečeň
53,Atem::N,сулыш,dych
54,Hunger::N,ачлык,hlad
55,Träne::N,яшь,slza
56,Geschmack::N,тәм,chuť
57,Geschmack::N,зәвык,chuť
58,Geruch::N,ис,pach
59,Schlaf::N,йокы,spánok
60,Traum::N,төш,sen
61,Himmel::N,күк,nebo
62,Sonne::N,кояш,slnko
63,Mond::N,ай,mesiac
64,Stern::N,йолдыз,hviezda
65,Luft::N,һава,vzduch
66,Wind::N,җил,vietor
67,Welle::N,дулкын,vlna
68,Wasser::N,су,voda
69,Stein::N,таш,kameň
70,Boden::N,туфрак,zem
71,Boden::N,туфрак,pôda
72,Erde::N,җир,zem
73,Staub::N,тузан,prach
74,Rauch::N,төтен,dym
75,Funke::N,очкын,iskra
76,Feuer::N,ут,oheň
77,Licht::N,якты,svetlo
78,Schatten::N,күләгә,tieň
79,Wetter::N,һава,počasie
80,Nebel::N,томан,hmla
81,Wolke::N,болыт,oblak
82,Wolke::N,болыт,mračno
83,Regen::N,яңгыр,dážď
84,Schnee::N,кар,sneh
85,Eis::N,боз,ľad
86,Frost::N,суык,mráz
87,Frost::N,салкын,mráz
88,Kälte::N,суык,zima
89,Kälte::N,суык,chlad
90,Kälte::N,салкын,zima
91,Kälte::N,салкын,chlad
92,Hitze::N,эсселек,horúčava
93,Raureif::N,бәс,srieň
94,Raureif::N,бәс,inovať
95,Raureif::N,сыкы,srieň
96,Raureif::N,сыкы,inovať
97,Regenbogen::N,салават күпере,dúha
98,Donner::N,күкрәү,hrom
99,Strömung::N,агыш'агым,prúdenie
100,Tropfen::N,тамчы,kvapka
101,Schaum::N,күбек,pena
102,Schmutz::N,пычрак,špina
103,Schmutz::N,пычрак,nečistota
104,See::N,күл,jazero
105,Sumpf::N,саз,bahno
106,Moor::N,торфлык,močiar
107,Wiese::N,болын,lúka
108,Wald::N,урман,les
109,Wald::N,урман,hora
110,Hügel::N,калку,vŕšok
