,Concept_ID,el,la
0,Auge::N,μάτι,oculus
1,Auge::N,οφθαλμός,oculus
2,Ohr::N,αυτί,auris
3,Nase::N,μύτη,nasus
4,Mund::N,στόμα,os
5,Zahn::N,δόντι,dens
6,Zunge::N,γλώσσα,lingua
7,Lippe::N,χείλος,labrum
8,Wange::N,παρειά,gena
9,Wange::N,μάγουλο,gena
10,Gesicht::N,πρόσωπο,vultus
11,Stirn::N,μέτωπο,frons
12,Haar::N,μαλλιά,capillus
13,Schnurrbart::N,μουστάκι,barba labri superioris
14,Bart::N,γένια,barba
15,Kinn::N,πιγούνι,mentum
16,Kiefer[Anatomie]::N,σαγόνι,mala
17,Kehle::N,λαρύγγι,iugulums
18,Hals::N,λαιμός,collum
19,Genick::N,σβέρκος,cervices
20,Kopf::N,κεφάλι,caput
21,Rücken::N,ράχη,tergum
22,Bauch::N,κοιλιά,venter
23,Nabel::N,αφαλός,umbilicus
24,Busen::N,στήθος,sinus
25,Brust::N,στήθος,pectus
26,Schulter::N,ώμος,umerus
27,Arm::N,χέρι,bracchium
28,Arm::N,μπράτςο,bracchium
29,Ellenbogen::N,αγκώνας,cubitum
30,Hand::N,χέρι,manus
31,Handfläche::N,παλάμη,palma
32,Finger::N,δάχτυλο,digitus
33,Fingernagel::N,νύχι,unguiculus
34,Nagel[Anatomie]::N,νύχι,unguis
35,Zeh::N,δάχτυλο του ποδιού,digitus
36,Fuß::N,πόδι,pes
37,Ferse::N,φτέρνα,calx
38,Knie::N,γόνατο,genu
39,Oberschenkel::N,μηρός,femur
40,Bein::N,πόδι,crus
41,Körper::N,σώμα,corpus
42,Körper::N,κορμί,corpus
43,Haut::N,πετσί,cutis
44,Haut::N,πετσί,pellis
45,Blut::N,αίμα,sanguis
46,Ader::N,φλέβα,vena
47,Sehne::N,νεύρο,nervus
48,Sehne::N,τένοντας,nervus
49,Knochen::N,οστό,os
50,Knochen::N,κόκκαλο,os
51,Gehirn::N,μυαλό,cerebrum
52,Gehirn::N,εγκέφαλος,cerebrum
53,Herz::N,καρδιά,cor
54,Herz::N,καρδιά,animus
55,Magen::N,στομάχι,stomachus
56,Leber::N,ήπαρ,iecur
57,Leber::N,συκωτί,iecur
58,Atem::N,αναπνοή,spiritus
59,Hunger::N,πείνα,fames
60,Träne::N,δάκρυ,lacrima
61,Geschmack::N,γεύση,sapor
62,Geschmack::N,γεύση,gustus
63,Geruch::N,οσμή,odor
64,Geruch::N,μυρωδία,odor
65,Schlaf::N,ύπνος,somnus
66,Traum::N,όνειρο,somnium
67,Himmel::N,ουρανός,caelum
68,Sonne::N,ήλιος,sol
69,Mond::N,σελήνη,luna
70,Mond::N,φεγγάρι,luna
71,Stern::N,άστρο,sidus
72,Stern::N,άστρο,stella
73,Stern::N,αστέρι,sidus
74,Stern::N,αστέρι,stella
75,Luft::N,αέρας,aer
76,Wind::N,αέρας,ventus
77,Wind::N,άνεμος,ventus
78,Welle::N,κύμα,unda
79,Wasser::N,νερό,aqua
80,Stein::N,πέτρα,lapis
81,Boden::N,χώμα,solum
82,Erde::N,γη,terra
83,Staub::N,σκόνη,pulvis
84,Rauch::N,καπνός,fumus
85,Funke::N,σπίθα,scintilla
86,Funke::N,σπινθήρας,scintilla
87,Feuer::N,φωτιά,ignis
88,Licht::N,φως,lux
89,Licht::N,φως,lumen
90,Schatten::N,σκιά,umbra
91,Schatten::N,ίσκιος,umbra
92,Wetter::N,καιρός,caelum
93,Wetter::N,καιρός,tempestas
94,Nebel::N,ομίχλη,nebula
95,Wolke::N,σύννεφο,nubes
96,Regen::N,βροχή,imber
97,Regen::N,βροχή,pluvia
98,Schnee::N,χιόνι,nix
99,Eis::N,πάγος,glacies
100,Frost::N,παγωνία,gelu
101,Kälte::N,κρύο,frigus
102,Kälte::N,ψύχος,frigus
103,Hitze::N,ζέστη,calor
104,Hitze::N,ζέστη,aestus
105,Raureif::N,πάχνη,pruina
106,Regenbogen::N,ουράνιο τόξο,arcus
107,Donner::N,βροντή,tonitrus
108,Strömung::N,ρεύμα,fluctus
109,Tropfen::N,στάλα,gutta
110,Schaum::N,αφρός,spuma
111,Schmutz::N,βρωμιά,sordes
112,Schmutz::N,βρωμιά,squalor
113,See::N,λίμνη,lacus
114,Sumpf::N,βάλτος,palus
115,Moor::N,έλος,palus
116,Wiese::N,λιβάδι,pratum
117,Wald::N,δάσος,silva
118,Hügel::N,λόφος,collis
119,Anhöhe::N,ύψωμα,specula
120,Berg::N,όρος,mons
121,Berg::N,βουνό,mons
122,Gipfel::N,κορυφή,vertex
123,Höhle::N,σπηλιά,caverna
124,Höhle::N,σπηλιά,spelunca
125,Abhang::N,πλαγιά,declivum
126,Quelle::N,πηγή,fons
127,Quelle::N,βρύση,fons
128,Bach::N,ρυάκι,rivus
129,Fluss::N,ποτάμι,flumen
130,Fluss::N,ποταμός,flumen
131,Ufer::N,όχθη,ripa
132,Küste::N,ακτή,litus
133,Küste::N,ακρογιαλιά,litus
134,Festland::N,στεριά,continens
135,Meer::N,θάλασσα,mare
136,Bucht::N,κόλπος,sinus
137,Insel::N,νησί,insula
138,Insel::N,νήσος,insula
139,Blume::N,άνθος,flos
140,Blume::N,λουλούδι,flos
141,Gras::N,χόρτο,herba
142,Gras::N,χόρτο,gramen
143,Gras::N,χορτάρι,herba
144,Gras::N,χορτάρι,gramen
145,Wurzel::N,ρίζα,radix
146,Baum::N,δέντρο,arbor
147,Stamm::N,κορμός,truncus
148,Rinde::N,φλούδα,cortex
149,Ast::N,κλαδί,ramus
150,Zweig::N,κλαδί,ramus
151,Zweig::N,κλάδος,ramus
152,Blatt::N,φύλλο,folium
153,Birke::N,σημύδα,betulla
154,Kiefer[Baum]::N,πεύκο,pinus
155,Weide[Baum]::N,ιτιά,salix
156,Tanne::N,έλατο,abies
157,Horn::N,κέρας,cornu
158,Horn::N,κέρατο,cornu
159,Feder::N,φτερό,penna
160,Fell::N,δέρμα,pellis
161,Fell::N,τομάρι,pellis
162,Flügel::N,πτερύγιο,ala
163,Klaue::N,κουλό,unguis
164,Kralle::N,νύχι,unguis
165,Schwanz::N,ουρά,cauda
166,Ei::N,αβγό,ovum
167,Nest::N,φωλιά,nidus
168,Bau::N,φωλιά,cavum
169,Bau::N,φωλιά,latibulum
170,Tier::N,ζώο,bestia
171,Herde::N,κοπάδι,grex
172,Kuh::N,αγελάδα,vacca
173,Bulle::N,ταύρος,taurus
174,Pferd::N,άλογο,equus
175,Schaf::N,πρόβατο,ovis
176,Schwein::N,γουρούνι,sus
177,Schwein::N,γουρούνι,porcus
178,Hund::N,σκυλί,canis
179,Hund::N,σκύλος,canis
