,Concept_ID,br,cs
0,Auge::N,lagad,oko
1,Ohr::N,skouarn,ucho
2,Nase::N,fri,nos
3,Mund::N,genoù,pusa
4,Zahn::N,dant,zub
5,Zunge::N,teod,jazyk
6,Lippe::N,muzell,ret
7,Wange::N,chot,tvář
8,Gesicht::N,dremm,obličej
9,Stirn::N,tal,čelo
10,Haar::N,blev,vlas
11,Haar::N,blev,vlasy
12,Schnurrbart::N,mourenn,kníry
13,Bart::N,barv,vousy
14,Kinn::N,groñj,brada
15,Kiefer[Anatomie]::N,javed,čelist
16,Kehle::N,gouzoug,hrdlo
17,Hals::N,gouzoug,krk
18,Genick::N,choug,týl
19,Kopf::N,penn,hlava
20,Rücken::N,kein,záda
21,Rücken::N,kein,hřbet
22,Bauch::N,kof,břicho
23,Nabel::N,begel,pupek
24,Busen::N,bronn,ňadra
25,Brust::N,bruched,prsa
26,Schulter::N,skoaz,plece
27,Schulter::N,skoaz,rameno
28,Arm::N,brec'h,ruka
29,Ellenbogen::N,ilin,loket
30,Hand::N,dorn,ruka
31,Handfläche::N,palv,dlaň
32,Finger::N,biz,prst
33,Fingernagel::N,ivin,nehet
34,Nagel[Anatomie]::N,ivin,nehet
35,Zeh::N,biz-troad,prst u nohy
36,Fuß::N,troad,noha
37,Ferse::N,seul,pata
38,Knie::N,glin,koleno
39,Oberschenkel::N,morzhed,stehno
40,Bein::N,gar,noha
41,Körper::N,korf,tělo
42,Haut::N,kroc'hen,kůže
43,Blut::N,gwad,krev
44,Ader::N,gwazhi,céva
45,Sehne::N,stir,šlacha
46,Knochen::N,askorn,kost
47,Gehirn::N,empenn,mozek
48,Herz::N,kalon,srdce
49,Magen::N,stomog,žaludek
50,Leber::N,avu,játra
51,Atem::N,anal,dech
52,Hunger::N,naon,hlad
53,Träne::N,daer,slza
54,Geschmack::N,blaz,vkus
55,Geruch::N,c'hwezh,vůně
56,Geruch::N,c'hwezh,zápach
57,Schlaf::N,kousked,spánek
58,Traum::N,hune,sen
59,Himmel::N,oabl,nebe
60,Sonne::N,heol,slunce
61,Mond::N,loar,měsíc
62,Stern::N,steredenn,hvězda
63,Luft::N,aer,vzduch
64,Wind::N,avel,vítr
65,Welle::N,houlenn,vlna
66,Wasser::N,dour,voda
67,Stein::N,maen,kámen
68,Boden::N,tachenn,půda
69,Erde::N,douar,země
70,Staub::N,poultr,prach
71,Rauch::N,moged,dým
72,Rauch::N,moged,kouř
73,Funke::N,ful,jiskra
74,Feuer::N,tan,oheň
75,Licht::N,gouloù,světlo
76,Schatten::N,disheol,stín
77,Wetter::N,amzer,počasí
78,Nebel::N,brumenn,mlha
79,Wolke::N,koumoulenn,mrak
80,Wolke::N,koumoulenn,oblak
81,Regen::N,glav,déšť
82,Schnee::N,erc'h,sníh
83,Eis::N,skorn,led
84,Frost::N,rev,mráz
85,Kälte::N,yen,chlad
