,Concept_ID,hi,ps
0,Auge::N,आँख,سترګه
1,Auge::N,चक्षु,سترګه
2,Ohr::N,कान,غوږ
3,Ohr::N,कर्ण,غوږ
4,Nase::N,नाक,پوزه
5,Nase::N,नासा,پوزه
6,Mund::N,मुख,خوله
7,Mund::N,मुँह,خوله
8,Zahn::N,दंत,غاښ
9,Zahn::N,दाँत,غاښ
10,Zunge::N,जीभ,جبه
11,Zunge::N,ज़बान,جبه
12,Zunge::N,जिह्वा,جبه
13,Lippe::N,ओंठ,شونډه
14,Lippe::N,होंठ,شونډه
15,Wange::N,गाल,باړخو
16,Wange::N,कपोल,باړخو
17,Gesicht::N,मुँह,مخ
18,Gesicht::N,चेहरा,مخ
19,Stirn::N,माथा,تندی
20,Stirn::N,माथा,وچولی
21,Stirn::N,मस्तक,تندی
22,Stirn::N,मस्तक,وچولی
23,Haar::N,बाल,وېښته
24,Schnurrbart::N,मूँछें,برېت
25,Bart::N,दाढ़ी,ږیره
26,Kinn::N,चिबुक,زنه
27,Kiefer[Anatomie]::N,जबड़ा,جامه
28,Kehle::N,गला,غاړه
29,Hals::N,गला,غاړه
30,Hals::N,गरदन,غاړه
31,Genick::N,गरदन,ورمېږ
32,Genick::N,ग्रीवा,ورمېږ
33,Kopf::N,सिर,سر
34,Kopf::N,शीर्ष,سر
35,Rücken::N,पीठ,شا
36,Bauch::N,उदर,نس
37,Bauch::N,उदर,ګېډه
38,Nabel::N,नाभि,نوم
39,Nabel::N,ढोंढी,نوم
40,Busen::N,कुच,تی
41,Busen::N,स्तन,تی
42,Brust::N,वक्ष,سینه
43,Schulter::N,कंधा,اوږه
44,Schulter::N,स्कंध,اوږه
45,Arm::N,बाँह,لاس
46,Arm::N,बाज़ू,لاس
47,Ellenbogen::N,कुहनी,څنګل
48,Hand::N,हाथ,لاس
49,Hand::N,हस्त,لاس
50,Handfläche::N,हथेली,ورغوی
51,Finger::N,उँगली,ګوته
52,Finger::N,अँगुली,ګوته
53,Fingernagel::N,नख,نوک
54,Fingernagel::N,नाख़ून,نوک
55,Nagel[Anatomie]::N,नख,نوک
56,Nagel[Anatomie]::N,नाख़ून,نوک
57,Zeh::N,उँगली,ګوته
58,Zeh::N,पाँव की उँगली,ګوته
59,Fuß::N,चरण,پښه
60,Fuß::N,पाँव,پښه
61,Ferse::N,एड़ी,پونده
62,Knie::N,जानु,زنګون
63,Knie::N,घुटना,زنګون
64,Oberschenkel::N,उरु,پتون
65,Bein::N,टाँग,پښه
66,Körper::N,तन,ځان
67,Körper::N,देह,ځان
68,Körper::N,शरीर,ځان
69,Haut::N,चर्म,پوټکی
70,Haut::N,त्वचा,پوټکی
71,Blut::N,लहू,وینه
72,Blut::N,ख़ून,وینه
73,Ader::N,रग,رګ
74,Ader::N,शिरा,رګ
75,Sehne::N,कंडरा,پله
76,Sehne::N,स्नायु,پله
77,Knochen::N,अस्थि,هډوکی
78,Gehirn::N,दिमाग़,ماغزه
79,Gehirn::N,मस्तिष्क,ماغزه
80,Herz::N,दिल,زړه
81,Herz::N,हृदय,زړه
82,Magen::N,मेदा,معده
83,Magen::N,अमाशय,معده
84,Leber::N,जिगर,ينه
85,Leber::N,जिगर,ځیګر
86,Leber::N,यकृत्,ينه
87,Leber::N,यकृत्,ځیګر
88,Atem::N,दम,نفس
89,Atem::N,साँस,نفس
90,Atem::N,श्वास,نفس
91,Hunger::N,भूख,ولږه
92,Hunger::N,क्षुधा,ولږه
93,Träne::N,आँसू,اوښکه
94,Träne::N,अश्रु,اوښکه
95,Geschmack::N,स्वाद,مزه
96,Geschmack::N,स्वाद,خوند
97,Geschmack::N,ज़ायक़ा,مزه
98,Geschmack::N,ज़ायक़ा,خوند
99,Geruch::N,बू,بوی
100,Geruch::N,गंध,بوی
101,Schlaf::N,नींद,خوب
102,Schlaf::N,निद्रा,خوب
103,Traum::N,सपना,خوب
104,Traum::N,स्वप्न,خوب
105,Himmel::N,आकाश,اسمان
106,Himmel::N,आसमान,اسمان
107,Sonne::N,रवि,لمر
108,Sonne::N,सूरज,لمر
109,Sonne::N,सूर्य,لمر
110,Mond::N,चाँद,سپوږمۍ
111,Mond::N,चंद्र,سپوږمۍ
112,Stern::N,तारा,ستوری
113,Stern::N,सितारा,ستوری
114,Luft::N,हवा,هوا
115,Luft::N,वायु,هوا
116,Wind::N,पाद,ورښ
117,Welle::N,लहर,موج
118,Welle::N,तरंग,موج
119,Wasser::N,जल,اوبه
120,Wasser::N,पानी,اوبه
121,Stein::N,पत्थर,ډبره
122,Boden::N,मिट्टी,مځکه
123,Erde::N,भूमि,خاوره
124,Erde::N,ज़मीन,خاوره
125,Staub::N,धूल,ګرد
126,Staub::N,धूल,خاوره
127,Rauch::N,धूआँ,دود
128,Rauch::N,धूआँ,لوګی
129,Rauch::N,धुम्र,دود
130,Rauch::N,धुम्र,لوګی
131,Funke::N,चिनगारी,سپرغۍ
132,Funke::N,स्फुलिंग,سپرغۍ
133,Feuer::N,आग,اور
134,Feuer::N,आतिश,اور
135,Feuer::N,अग्नि,اور
136,Licht::N,रोशनी,رڼا
137,Licht::N,प्रकाश,رڼا
138,Schatten::N,छाया,سیوری
139,Schatten::N,परछाई,سیوری
140,Wetter::N,ऋतु,هوا
141,Wetter::N,मौसम,هوا
142,Nebel::N,धुँध,لړه
143,Nebel::N,कुहरा,لړه
144,Wolke::N,मेघ,ورېځ
145,Wolke::N,अभ्र,ورېځ
146,Regen::N,मेंह,وریا
147,Regen::N,मेंह,باران
148,Regen::N,बारिश,وریا
149,Regen::N,बारिश,باران
150,Schnee::N,हिम,واوره
151,Schnee::N,बर्फ़,واوره
152,Eis::N,हिम,یخ
153,Eis::N,हिम,کنګل
154,Eis::N,बर्फ़,یخ
155,Eis::N,बर्फ़,کنګل
156,Frost::N,ठंड,یخ
157,Kälte::N,सर्दी,ساړه
158,Kälte::N,शीतलता,ساړه
159,Hitze::N,ताप,تودوخي
