,Concept_ID,sah,es
0,Auge::N,харах,ojo
1,Ohr::N,кулгаах,oreja
2,Nase::N,мурун,nariz
3,Mund::N,айах,boca
4,Zahn::N,тиис,diente
5,Zunge::N,тыл,lengua
6,Lippe::N,уос,labio
7,Wange::N,иэдэс,mejilla
8,Gesicht::N,сирэй,cara
9,Stirn::N,сүүс,frente
10,Haar::N,баттах,cabello
11,Schnurrbart::N,уос бытыга,bigote
12,Bart::N,сэҥийэ бытыга,barba
13,Kinn::N,сэҥийэ,barbilla
14,Kiefer[Anatomie]::N,сыҥаах,mandíbula
15,Kehle::N,тамах,garganta
16,Kehle::N,күөмэй,garganta
17,Hals::N,моой,cuello
18,Genick::N,кэтэх,nuca
19,Genick::N,кэтэх,cerviz
20,Kopf::N,бас,cabeza
21,Rücken::N,көҕүс,espalda
22,Bauch::N,ис,vientre
23,Nabel::N,киин,ombligo
24,Busen::N,эмиий,pecho
25,Brust::N,түөс,pecho
26,Schulter::N,сарын,hombro
27,Arm::N,илии,brazo
28,Ellenbogen::N,тоҕонох,codo
29,Hand::N,илии,mano
30,Handfläche::N,ытыс,palma
31,Finger::N,тарбах,dedo
32,Fingernagel::N,тыҥырах,uña
33,Nagel[Anatomie]::N,тыҥырах,uña
34,Zeh::N,тарбах,dedo del pie
35,Fuß::N,уллуҥах,pie
36,Ferse::N,тилэх,talón
37,Knie::N,тобук,rodilla
38,Knie::N,дьилбэк,rodilla
39,Oberschenkel::N,уллук,muslo
40,Oberschenkel::N,өттүк,muslo
41,Bein::N,атах,pierna
42,Körper::N,бэйэ,cuerpo
43,Haut::N,тирии,piel
44,Blut::N,хаан,sangre
45,Ader::N,вена,vena
46,Ader::N,күөх_тымыр,vena
47,Sehne::N,иҥиир,tendón
48,Knochen::N,уҥуох,hueso
49,Knochen::N,уҥгуох,hueso
50,Gehirn::N,мэйии,cerebro
51,Gehirn::N,мэйии,encéfalo
52,Herz::N,сүрэх,corazón
53,Magen::N,куртах,estómago
54,Leber::N,быар,hígado
55,Atem::N,тыын,aliento
56,Hunger::N,аас,hambre
57,Träne::N,харах уута,lágrima
58,Geschmack::N,амтан,gusto
59,Geruch::N,сыт,olor
60,Schlaf::N,утуйуу,sueño
61,Traum::N,түүл,sueño
62,Traum::N,түүл,ensueño
63,Himmel::N,халлаан,cielo
64,Sonne::N,күн,sol
65,Mond::N,ый,luna
66,Stern::N,сулус,estrella
67,Luft::N,салгын,aire
68,Wind::N,тыал,viento
69,Welle::N,долгун,ola
70,Welle::N,долгун,onda
71,Welle::N,балхаан,ola
72,Welle::N,балхаан,onda
73,Wasser::N,уу,agua
74,Stein::N,таас,piedra
75,Boden::N,сир,suelo
76,Erde::N,буор,tierra
77,Staub::N,быыл,polvo
78,Rauch::N,буруо,humo
79,Funke::N,кыым,chispa
80,Feuer::N,уот,fuego
81,Licht::N,уот,luz
82,Schatten::N,күлүк,sombra
83,Wetter::N,күн-дьыл,tiempo
84,Nebel::N,туман,niebla
85,Wolke::N,былыт,nube
86,Regen::N,самыыр,lluvia
87,Schnee::N,хаар,nieve
88,Eis::N,муус,hielo
89,Frost::N,тымныы,helada
90,Kälte::N,тымныы,frío
91,Hitze::N,куйаас,calor
92,Raureif::N,кырыа,escarcha
93,Regenbogen::N,кустук,arco iris
94,Donner::N,этиҥ,trueno
95,Strömung::N,сүүрүк,corriente
96,Tropfen::N,таммах,gota
97,Tropfen::N,хааппыла,gota
98,Schaum::N,күүгэн,espuma
99,Schmutz::N,кир,suciedad
100,See::N,күөл,lago
101,Sumpf::N,бадараан,pantano
102,Moor::N,дьэбэрэ,turbera
103,Wiese::N,ходуһа,prado
104,Wiese::N,ходуһа,pradera
105,Wald::N,ойуур,bosque
106,Hügel::N,булгунньах,colina
107,Anhöhe::N,үрдэл,cerro
108,Berg::N,хайа,monte
109,Berg::N,хайа,montaña
110,Gipfel::N,чыпчаал,cima
111,Gipfel::N,чыпчаал,cumbre
112,Höhle::N,хайа_хаспаҕа,cueva
113,Höhle::N,хайа_хаспаҕа,caverna
114,Höhle::N,көҥүс,cueva
115,Höhle::N,көҥүс,caverna
116,Abhang::N,эниэ,cuesta
117,Abhang::N,эниэ,declive
118,Quelle::N,дьүүктэ,fuente
119,Quelle::N,дьүүктэ,manantial
120,Bach::N,үрүйэ,arroyo
121,Fluss::N,өрүс,río
122,Ufer::N,биэрэк,orilla
123,Küste::N,кытыл,costa
124,Festland::N,кураанах сир,tierra firme
125,Meer::N,муора,mar
126,Bucht::N,хомо,cala
127,Bucht::N,хомо,bahía
128,Bucht::N,бухта,cala
129,Bucht::N,бухта,bahía
130,Insel::N,арыы,isla
131,Blume::N,сибэкки,flor
132,Gras::N,от,hierba
133,Wurzel::N,силис,raíz
134,Baum::N,мас,árbol
135,Stamm::N,умнас,tronco
136,Rinde::N,хатырык,corteza
137,Ast::N,мутук,rama
138,Zweig::N,лабаа,ramo
139,Blatt::N,сэбирдэх,hoja
140,Birke::N,хатыҥ,abedul
141,Kiefer[Baum]::N,бэс,pino
142,Weide[Baum]::N,үөт,sauce
143,Weide[Baum]::N,талах,sauce
144,Tanne::N,харыйа,abeto
145,Horn::N,муос,asta
146,Horn::N,муос,cuerno
147,Feder::N,куорсун,pluma
148,Fell::N,тирии,piel
149,Flügel::N,кынат,ala
150,Klaue::N,тыҥырах,garra
151,Kralle::N,баппаҕай,uña
152,Kralle::N,баппаҕай,garra
153,Schwanz::N,кутурук,cola
154,Ei::N,сымыыт,huevo
155,Nest::N,уйа,nido
156,Bau::N,хороон,madriguera
157,Tier::N,кыыл,animal
158,Tier::N,харамай,animal
159,Herde::N,үөр,rebaño
160,Kuh::N,ынах,vaca
161,Bulle::N,оҕус,toro
162,Pferd::N,сылгы,caballo
163,Schaf::N,овца,oveja
164,Schwein::N,сибиинньэ,cerdo
165,Hund::N,ыт,perro
166,Katze::N,куоска,gato
167,Bär::N,эһэ,oso
168,Eichhörnchen::N,тииҥ,ardilla
169,Elch::N,тайах,alce
170,Fuchs::N,саһыл,zorro
171,Hase::N,куобах,liebre
172,Maus::N,кутуйах,ratón
173,Wolf::N,бөрө,lobo
174,Vogel::N,көтөр,ave
175,Vogel::N,көтөр,pájaro
176,Schwarm::N,бөлөх,bandada
177,Huhn::N,куурусса,gallina
178,Hahn::N,бөтүүк,gallo
179,Gans::N,хаас,oca
180,Gans::N,хаас,ganso
181,Adler::N,хотой,águila
182,Ente::N,кус,pato
