,Concept_ID,ja,tt
0,Auge::N,目,күз
1,Ohr::N,耳,колак
2,Nase::N,鼻,борын
3,Mund::N,口,авыз
4,Mund::N,口,тамак
5,Zahn::N,歯,теш
6,Zunge::N,舌,тел
7,Lippe::N,唇,ирен
8,Wange::N,頬,яңак
9,Gesicht::N,顔,йөз
10,Stirn::N,額,маңгай
11,Haar::N,髪,чәч
12,Schnurrbart::N,口髭,мыек
13,Bart::N,髭,сакал
14,Kinn::N,顎,ияк
15,Kiefer[Anatomie]::N,顎,казналык
16,Kehle::N,喉,тамак
17,Hals::N,首,бугаз
18,Genick::N,首,җилкә
19,Kopf::N,頭,баш
20,Rücken::N,背中,сырт
21,Bauch::N,腹,корсак
22,Bauch::N,お腹,корсак
23,Nabel::N,へそ,кендек
24,Busen::N,乳房,түш
25,Brust::N,胸,имчәк
26,Brust::N,胸,күкрәк
27,Schulter::N,肩,иңбаш
28,Schulter::N,肩,кулбаш
29,Arm::N,腕,кул
30,Ellenbogen::N,肘,терсәк
31,Hand::N,手,кул
32,Handfläche::N,手のひら,уч
33,Finger::N,指,бармак
34,Fingernagel::N,爪,тырнак
35,Nagel[Anatomie]::N,爪,тырнак
36,Zeh::N,足の指,бармак
37,Fuß::N,足,табан
38,Ferse::N,かかと,үкчә
39,Knie::N,膝,тез
40,Oberschenkel::N,上腿,бот
41,Bein::N,足,аяк
42,Körper::N,体,тән
43,Körper::N,体,җисем
44,Haut::N,皮膚,тире
45,Blut::N,血,кан
46,Ader::N,血管,тамыр
47,Sehne::N,腱,сеңер
48,Knochen::N,骨,сөяк
49,Gehirn::N,脳,ми
50,Herz::N,心,йөрәк
51,Herz::N,心臓,йөрәк
52,Magen::N,胃,ашказаны
53,Leber::N,肝臓,бавыр
54,Atem::N,息,сулыш
55,Atem::N,呼吸,сулыш
56,Hunger::N,空腹,ачлык
57,Träne::N,涙,яшь
58,Geschmack::N,味,тәм
59,Geschmack::N,味,зәвык
60,Geruch::N,匂い,ис
61,Schlaf::N,睡眠,йокы
62,Traum::N,夢,төш
63,Himmel::N,空,күк
64,Sonne::N,太陽,кояш
65,Mond::N,月,ай
66,Stern::N,星,йолдыз
67,Luft::N,空気,һава
68,Wind::N,風,җил
69,Welle::N,波,дулкын
70,Wasser::N,水,су
71,Stein::N,石,таш
