,Concept_ID,ce,fa
0,Auge::N,бӏаьрг,چشم
1,Ohr::N,лерг,گوش
2,Nase::N,мара,بینی
3,Mund::N,бага,دهان
4,Zahn::N,церг,دندان
5,Zunge::N,мотт,زبان
6,Lippe::N,балда,لب
7,Wange::N,бесни,لپ
8,Gesicht::N,юьхь,رو
9,Gesicht::N,юьхь,چهره
10,Stirn::N,хьаж,پیشانی
11,Haar::N,мас,مو
12,Schnurrbart::N,мекх,سبیل
13,Bart::N,маж,ریش
14,Kinn::N,чӏениг,چانه
15,Kiefer[Anatomie]::N,мочхал,فک
16,Kiefer[Anatomie]::N,мочхал,آرواره
17,Kehle::N,къамкъарг,حلق
18,Hals::N,ворта,گردن
19,Genick::N,кӏесаркӏаг,پشت گردن
20,Kopf::N,корта,سر
21,Kopf::N,корта,کله
22,Rücken::N,букъ,پشت
23,Bauch::N,кийра,شکم
24,Nabel::N,цӏонга,ناف
25,Busen::N,зударийн накха,پستان
26,Brust::N,накха,سینه
27,Schulter::N,белш,دوش
28,Schulter::N,белш,شانه
29,Arm::N,пхьарс,بازو
30,Ellenbogen::N,пхьаьрсан гола,آرنج
31,Hand::N,куьг,دست
32,Handfläche::N,кераюкъ,کف دست
33,Finger::N,пӏелг,انگشت
34,Fingernagel::N,мӏара,ناخن دست
35,Nagel[Anatomie]::N,мӏара,ناخن
36,Zeh::N,кога пӏелг,انگشت پا
37,Fuß::N,ког,پا
38,Ferse::N,кӏажа,پاشنه
39,Knie::N,гола,زانو
40,Oberschenkel::N,варе,ران
41,Bein::N,ког,پا
42,Bein::N,ког,لنگ
43,Körper::N,хӏума,تن
44,Körper::N,хӏума,بدن
45,Haut::N,чкъор,پوست
46,Blut::N,цӏий,خون
47,Ader::N,пха,رگ
48,Sehne::N,хьорзам,زردپی
49,Knochen::N,даьӏахк,استخوان
50,Gehirn::N,хье,مخ
51,Gehirn::N,хье,مغز
52,Herz::N,дог,دل
53,Herz::N,дог,قلب
54,Magen::N,зорх,معده
55,Leber::N,доӏах,کبد
56,Atem::N,садеӏар,نفس
57,Hunger::N,мацалла,گرسنگی
58,Träne::N,бӏаьрхи,اشک
59,Geschmack::N,чам,مزه
60,Geruch::N,хьожа,بو
61,Schlaf::N,наб,خواب
62,Traum::N,гӏан,رؤیا
63,Himmel::N,стигал,فلک
64,Himmel::N,стигал,آسمان
65,Sonne::N,малх,آفتاب
66,Sonne::N,малх,خورشید
67,Mond::N,бутт,ماه
68,Stern::N,седа,ستاره
69,Luft::N,xӏаваъ,هوا
70,Wind::N,мох,باد
71,Welle::N,тулгӏе,موج
72,Wasser::N,хи,آب
73,Stein::N,тӏулг,سنگ
74,Boden::N,цӏенкъа,زمین
75,Erde::N,латта,خاک
76,Erde::N,латта,زمین
77,Staub::N,чан,گرد
78,Staub::N,чан,غبار
79,Rauch::N,кӏур,دود
80,Funke::N,суй,جرقه
81,Feuer::N,цӏе,آتش
82,Licht::N,серло,نور
83,Licht::N,серло,روشنی
84,Schatten::N,ӏиндагӏ,سایه
85,Wetter::N,хенан хӏоттам,هوا
86,Nebel::N,дохк,مه
87,Wolke::N,марха,ابر
88,Regen::N,догӏа,باران
89,Schnee::N,ло,برف
90,Eis::N,ша,یخ
91,Frost::N,шело,یخبندان
92,Kälte::N,шело,سرما
