,Concept_ID,ar,cs
0,Auge::N,عين,oko
1,Ohr::N,أذن,ucho
2,Nase::N,أنف,nos
3,Mund::N,فم,pusa
4,Zahn::N,سن,zub
5,Zunge::N,لسان,jazyk
6,Lippe::N,شفة,ret
7,Wange::N,خد,tvář
8,Wange::N,وجنة,tvář
9,Gesicht::N,وجه,obličej
10,Stirn::N,جبين,čelo
11,Haar::N,شعر,vlas
12,Haar::N,شعر,vlasy
13,Schnurrbart::N,شارب,kníry
14,Bart::N,لحية,vousy
15,Kinn::N,ذقن,brada
16,Kiefer[Anatomie]::N,فك,čelist
17,Kehle::N,حلق,hrdlo
18,Hals::N,عنق,krk
19,Hals::N,رقبة,krk
20,Genick::N,قفا,týl
21,Kopf::N,رأس,hlava
22,Rücken::N,ظهر,záda
23,Rücken::N,ظهر,hřbet
24,Bauch::N,بطن,břicho
25,Nabel::N,سرة,pupek
26,Busen::N,ثدي,ňadra
27,Brust::N,صدر,prsa
28,Schulter::N,كتف,plece
29,Schulter::N,كتف,rameno
30,Arm::N,ذراع,ruka
31,Ellenbogen::N,كوع,loket
32,Hand::N,يد,ruka
33,Handfläche::N,كف,dlaň
34,Finger::N,إصبع,prst
35,Fingernagel::N,ظفر,nehet
36,Nagel[Anatomie]::N,ظفر,nehet
37,Zeh::N,إصبع القدم,prst u nohy
38,Fuß::N,قدم,noha
39,Ferse::N,كعب,pata
40,Knie::N,ركبة,koleno
41,Oberschenkel::N,فخذ,stehno
42,Bein::N,ساق,noha
43,Körper::N,جسم,tělo
44,Haut::N,بشرة,kůže
45,Blut::N,دم,krev
46,Ader::N,عرق,céva
47,Sehne::N,طنب,šlacha
48,Knochen::N,عظم,kost
49,Gehirn::N,دماغ,mozek
50,Herz::N,قلب,srdce
51,Magen::N,معدة,žaludek
52,Leber::N,كبد,játra
53,Atem::N,نفس,dech
54,Hunger::N,جوع,hlad
55,Träne::N,دمعة,slza
56,Geschmack::N,طعم,vkus
57,Geschmack::N,مذاق,vkus
58,Geruch::N,رائحة,vůně
59,Geruch::N,رائحة,zápach
60,Schlaf::N,نوم,spánek
61,Schlaf::N,منام,spánek
62,Traum::N,حلم,sen
63,Himmel::N,سماء,nebe
64,Sonne::N,شمس,slunce
65,Mond::N,قمر,měsíc
66,Stern::N,نجم,hvězda
67,Stern::N,كوكب,hvězda
68,Luft::N,هواء,vzduch
69,Wind::N,ريح,vítr
70,Welle::N,موجة,vlna
71,Wasser::N,ماء,voda
72,Stein::N,حجر,kámen
73,Boden::N,تراب,půda
74,Erde::N,أرض,země
75,Staub::N,غبار,prach
76,Rauch::N,دخان,dým
77,Rauch::N,دخان,kouř
78,Funke::N,شرارة,jiskra
79,Feuer::N,نار,oheň
80,Licht::N,نور,světlo
81,Licht::N,ضوء,světlo
82,Schatten::N,ظل,stín
83,Schatten::N,فيء,stín
84,Wetter::N,جو,počasí
85,Wetter::N,طقس,počasí
86,Nebel::N,ضباب,mlha
87,Wolke::N,غيمة,mrak
88,Wolke::N,غيمة,oblak
89,Wolke::N,سحابة,mrak
90,Wolke::N,سحابة,oblak
91,Regen::N,مطر,déšť
92,Schnee::N,ثلج,sníh
93,Eis::N,جليد,led
94,Frost::N,صقيع,mráz
95,Kälte::N,برد,chlad
96,Hitze::N,حر,horko
97,Hitze::N,حرارة,horko
98,Raureif::N,صقيع,jinovatka
99,Regenbogen::N,قوس قزح,duha
100,Donner::N,رعد,hrom
101,Strömung::N,تيار,proudění
102,Tropfen::N,قطرة,kapka
103,Schaum::N,زبد,pěna
104,Schaum::N,رغوة,pěna
105,Schmutz::N,وسخ,špína
106,See::N,بحيرة,jezero
107,Sumpf::N,مستنقع,močál
108,Sumpf::N,مستنقع,bažina
109,Moor::N,مستنقع,bažina
110,Moor::N,مستنقع,slatina
111,Wiese::N,مرج,louka
112,Wald::N,غابة,les
113,Hügel::N,تل,kopec
114,Anhöhe::N,تل,pahorek
115,Berg::N,جبل,hora
116,Gipfel::N,قمة,vrchol
117,Höhle::N,كهف,jeskyně
118,Abhang::N,منحدر,svah
119,Abhang::N,منحدر,stráň
120,Quelle::N,منبع,pramen
121,Bach::N,مجرى,potok
122,Fluss::N,نهر,řeka
123,Ufer::N,ضفة,břeh
124,Küste::N,ساحل,pobřeží
125,Festland::N,بر,souš
126,Festland::N,بر,pevnina
127,Meer::N,بحر,moře
128,Bucht::N,خليج,záliv
129,Bucht::N,خليج,zátoka
130,Insel::N,جزيرة,ostrov
131,Blume::N,زهرة,květina
132,Gras::N,حشيش,tráva
133,Wurzel::N,أصل,kořen
134,Baum::N,شجرة,strom
135,Stamm::N,جذع,kmen
136,Rinde::N,قشرة,kůra
137,Ast::N,فرع,větev
138,Zweig::N,غصن,větev
139,Blatt::N,ورقة,lupen
140,Birke::N,قضبان,bříza
141,Kiefer[Baum]::N,صنوبرة,sosna
142,Kiefer[Baum]::N,صنوبرة,borovice
143,Weide[Baum]::N,صفصاف,vrba
144,Tanne::N,شوح,jedle
145,Tanne::N,تبوب,jedle
146,Horn::N,قرن,roh
147,Feder::N,ريشة,pero
148,Fell::N,فرو,srst
149,Flügel::N,جناح,křídlo
150,Klaue::N,مخلب,dráp
151,Klaue::N,مخلب,pazneht
152,Kralle::N,مخلب,dráp
153,Schwanz::N,ذيل,ocas
154,Ei::N,بيض,vejce
155,Nest::N,عش,hnízdo
156,Bau::N,جحر,nora
157,Tier::N,حيوان,zvíře
158,Herde::N,قطيع,stádo
159,Kuh::N,بقرة,kráva
160,Bulle::N,ثور,býk
161,Pferd::N,خيل,kůň
162,Schaf::N,شاة,ovce
163,Schwein::N,خنزير,vepř
164,Schwein::N,خنزير,prase
165,Hund::N,كلب,pes
166,Katze::N,قطة,kočka
167,Bär::N,دب,medvěd
168,Eichhörnchen::N,سنجاب,veverka
169,Elch::N,موظ,los
170,Fuchs::N,ثعلب,liška
171,Hase::N,أرنب,zajíc
172,Maus::N,فأرة,myš
